交易所,板块,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,振幅,时间戳,行业,原始代码,数据源
深交所,深市主板,000021,深科技,33.66,-0.6800000000000068,-1.980198019802,34.34,34.69,35.19,32.88,158559615.0,5388094177.34,6.726849155503771,2026-05-15 15:00:00,消费电子,sz000021,sina_snapshot
深交所,深市主板,000062,深圳华强,32.11,-1.5499999999999972,-4.604872251931067,33.66,33.42,34.5,31.71,66328786.0,2172896991.04,8.288770053475934,2026-05-15 15:00:00,其他电子Ⅱ,sz000062,sina_snapshot
深交所,深市主板,000063,中兴通讯,36.71,-0.8500000000000014,-2.2630457933972346,37.56,37.64,38.29,36.58,146967367.0,5466586802.89,4.552715654952079,2026-05-15 15:00:00,通信设备,sz000063,sina_snapshot
深交所,深市主板,000338,潍柴动力,34.77,0.5700000000000003,1.6666666666666674,34.2,34.23,35.64,33.8,108748757.0,3793084838.4,5.380116959064337,2026-05-15 15:00:00,汽车零部件,sz000338,sina_snapshot
深交所,深市主板,000513,丽珠集团,30.88,-0.5300000000000011,-1.6873607131486823,31.41,31.41,31.56,30.77,5961733.0,185473187.64,2.51512257242916,2026-05-15 15:00:00,化学制药,sz000513,sina_snapshot
深交所,深市主板,000526,学大教育,34.09,-0.28999999999999915,-0.8435136707387991,34.38,34.41,34.54,33.88,1627000.0,55649780.0,1.9197207678882973,2026-05-15 15:00:00,教育,sz000526,sina_snapshot
深交所,深市主板,000603,盛达资源,35.02,-2.4099999999999966,-6.438685546353183,37.43,36.76,36.88,34.58,27436796.0,973083266.52,6.144803633449116,2026-05-15 15:00:00,贵金属,sz000603,sina_snapshot
深交所,深市主板,000762,西藏矿业,33.21,-0.8200000000000003,-2.409638554216868,34.03,34.02,34.34,32.91,32083086.0,1078386768.97,4.202174551866021,2026-05-15 15:00:00,能源金属,sz000762,sina_snapshot
深交所,深市主板,000792,盐湖股份,33.89,-0.9399999999999977,-2.698822853861607,34.83,34.75,34.88,33.61,108361646.0,3698542887.7,3.646281940855593,2026-05-15 15:00:00,农化制品,sz000792,sina_snapshot
深交所,深市主板,000807,云铝股份,29.75,-1.8299999999999983,-5.7948068397720025,31.58,31.28,31.29,29.51,81063423.0,2443506455.6,5.636478784040524,2026-05-15 15:00:00,工业金属,sz000807,sina_snapshot
深交所,深市主板,000811,冰轮环境,33.12,-0.5399999999999991,-1.604278074866308,33.66,33.55,34.94,32.09,55755083.0,1860374772.68,8.46702317290551,2026-05-15 15:00:00,通用设备,sz000811,sina_snapshot
深交所,深市主板,000880,潍柴重机,32.48,0.04999999999999716,0.15417823003391046,32.43,32.34,32.95,31.25,44243317.0,1428093672.66,5.242059821153262,2026-05-15 15:00:00,汽车零部件,sz000880,sina_snapshot
深交所,深市主板,000933,神火股份,30.07,-1.9299999999999997,-6.031249999999999,32.0,31.36,31.5,29.82,70335719.0,2136130077.5,5.249999999999999,2026-05-15 15:00:00,工业金属,sz000933,sina_snapshot
深交所,深市主板,000935,四川双马,32.73,-0.6200000000000045,-1.8590704647676297,33.35,33.26,33.55,32.11,9075401.0,297236549.2,4.317841079460263,2026-05-15 15:00:00,多元金融,sz000935,sina_snapshot
深交所,深市主板,000938,紫光股份,31.91,-0.23000000000000043,-0.7156191661481033,32.14,32.3,33.96,31.66,273908225.0,8967377277.91,7.156191661481022,2026-05-15 15:00:00,IT服务Ⅱ,sz000938,sina_snapshot
深交所,深市主板,000963,华东医药,31.3,-1.4999999999999964,-4.5731707317073065,32.8,32.65,32.78,31.06,20663930.0,658111748.05,5.2439024390243985,2026-05-15 15:00:00,化学制药,sz000963,sina_snapshot
深交所,深市主板,001220,世盟股份,37.14,-0.9299999999999997,-2.4428684003152084,38.07,38.08,38.1,36.96,1771851.0,66115678.97,2.994483845547677,2026-05-15 15:00:00,物流,sz001220,sina_snapshot
深交所,深市主板,001228,永泰运,30.53,0.45000000000000284,1.496010638297882,30.08,30.08,31.26,29.91,1700400.0,51773266.0,4.488031914893622,2026-05-15 15:00:00,物流,sz001228,sina_snapshot
深交所,深市主板,001229,魅视科技,35.86,-0.5600000000000023,-1.5376166941241136,36.42,36.45,36.63,35.66,1412242.0,51014215.76,2.6633717737507023,2026-05-15 15:00:00,计算机设备,sz001229,sina_snapshot
深交所,深市主板,001255,博菲电气,34.74,-0.4899999999999949,-1.390860062446764,35.23,35.3,35.57,34.7,1244200.0,43628932.0,2.4694862333238645,2026-05-15 15:00:00,塑料,sz001255,sina_snapshot
深交所,深市主板,001277,速达股份,36.88,-0.1599999999999966,-0.43196544276456966,37.04,37.15,37.49,36.41,973046.0,36126892.48,2.915766738660922,2026-05-15 15:00:00,专用设备,sz001277,sina_snapshot
深交所,深市主板,001279,强邦新材,33.37,0.7399999999999949,2.2678516702420928,32.63,32.7,34.34,32.3,2545091.0,85213252.88,6.251915415262048,2026-05-15 15:00:00,包装印刷,sz001279,sina_snapshot
深交所,深市主板,001287,中电港,28.55,-1.3900000000000006,-4.6426185704742835,29.94,30.0,30.26,28.15,58786571.0,1705497853.94,7.047428189712769,2026-05-15 15:00:00,其他电子Ⅱ,sz001287,sina_snapshot
深交所,深市主板,001311,多利科技,28.54,-0.26000000000000156,-0.9027777777777832,28.8,28.83,29.63,28.35,3966779.0,114529134.88,4.444444444444437,2026-05-15 15:00:00,汽车零部件,sz001311,sina_snapshot
深交所,深市主板,001328,登康口腔,30.81,-0.23000000000000043,-0.7409793814433003,31.04,31.2,31.45,30.6,1059852.0,32781185.44,2.738402061855663,2026-05-15 15:00:00,个护用品,sz001328,sina_snapshot
深交所,深市主板,001336,楚环科技,30.27,0.4800000000000004,1.6112789526686822,29.79,29.94,30.7,29.6,2290600.0,69078751.0,3.6925142665323865,2026-05-15 15:00:00,环保设备Ⅱ,sz001336,sina_snapshot
深交所,深市主板,001388,信通电子,38.25,-0.22999999999999687,-0.5977130977130897,38.48,38.42,38.85,38.07,944514.0,36306209.46,2.0270270270270303,2026-05-15 15:00:00,电网设备,sz001388,sina_snapshot
深交所,深市主板,001395,亚联机械,38.66,0.3499999999999943,0.9135995823544617,38.31,38.18,39.18,38.18,716768.0,27785502.2,2.6102845210127903,2026-05-15 15:00:00,专用设备,sz001395,sina_snapshot
深交所,深市主板,002001,新 和 成,32.92,-0.030000000000001137,-0.09104704097117187,32.95,33.21,33.49,32.42,26701177.0,878251020.5,3.247344461305008,2026-05-15 15:00:00,化学制品,sz002001,sina_snapshot
深交所,深市主板,002074,国轩高科,36.13,-0.5700000000000003,-1.5531335149863768,36.7,36.7,37.11,35.8,48128097.0,1749540951.58,3.569482288828344,2026-05-15 15:00:00,电池,sz002074,sina_snapshot
深交所,深市主板,002128,电投能源,30.31,-1.7500000000000036,-5.4585152838428055,32.06,31.63,31.63,30.01,26053626.0,794463279.03,5.053025577043036,2026-05-15 15:00:00,煤炭开采,sz002128,sina_snapshot
深交所,深市主板,002134,天津普林,29.97,-0.22000000000000242,-0.7287181185823199,30.19,30.21,30.69,29.15,12924818.0,386984466.38,5.101026830076193,2026-05-15 15:00:00,元件,sz002134,sina_snapshot
深交所,深市主板,002138,顺络电子,35.63,-1.1400000000000006,-3.1003535490889322,36.77,36.84,37.44,35.02,29311496.0,1053059684.04,6.581452270872978,2026-05-15 15:00:00,元件,sz002138,sina_snapshot
深交所,深市主板,002142,宁波银行,31.84,-0.08000000000000185,-0.25062656641604586,31.92,31.8,31.9,31.5,21029627.0,667579570.46,1.253132832080196,2026-05-15 15:00:00,银行Ⅱ,sz002142,sina_snapshot
