日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,16.7100000000,16.6500000000,16.8700000000,16.5500000000,35084967,585810034.3500,0.00,-0.359100,0.00,0.663000
2025-04-16,16.5600000000,16.5100000000,16.6000000000,16.3500000000,34279612,564160569.6300,1.50,-0.840800,-0.14,0.647800
2025-04-17,16.4000000000,16.4000000000,16.5500000000,16.3800000000,22194059,365270635.3700,1.03,-0.666300,-0.11,0.419400
2025-04-18,16.3900000000,16.4100000000,16.4800000000,16.3000000000,17733956,290399961.4600,1.10,0.061000,0.01,0.335100
2025-04-21,16.3800000000,16.4100000000,16.4900000000,16.3500000000,20774183,340671771.4100,0.85,0.000000,0.00,0.392600
2025-04-22,16.3600000000,16.3700000000,16.4700000000,16.3500000000,21491977,352445640.9200,0.73,-0.243800,-0.04,0.406200
2025-04-23,16.4100000000,16.3300000000,16.4600000000,16.2700000000,27715608,452457775.8400,1.16,-0.244300,-0.04,0.523800
2025-04-24,16.3900000000,16.3400000000,16.6300000000,16.3200000000,39622966,651305261.5000,1.90,0.061200,0.01,0.748800
2025-04-25,16.3400000000,16.1500000000,16.3800000000,16.1300000000,36668187,595506299.3100,1.53,-1.162800,-0.19,0.693000
2025-04-28,16.1700000000,16.1100000000,16.1900000000,15.9900000000,20531032,330382498.2100,1.24,-0.247700,-0.04,0.388000
2025-04-29,16.0600000000,16.0900000000,16.2200000000,16.0200000000,15781739,254453417.7300,1.24,-0.124100,-0.02,0.298200
2025-04-30,16.1100000000,16.0000000000,16.1200000000,16.0000000000,19277738,309479881.1500,0.75,-0.559400,-0.09,0.364300
2025-05-06,16.0600000000,16.0800000000,16.1100000000,15.9900000000,28122918,451665340.9300,0.75,0.500000,0.08,0.531500
2025-05-07,16.1900000000,16.1100000000,16.2300000000,16.0100000000,34583179,556438478.9800,1.37,0.186600,0.03,0.653600
2025-05-08,16.0400000000,16.0700000000,16.1100000000,16.0100000000,23226744,373210698.3800,0.62,-0.248300,-0.04,0.438900
2025-05-09,16.0700000000,15.9500000000,16.0800000000,15.9100000000,33956938,542702789.6200,1.06,-0.746700,-0.12,0.641700
2025-05-12,16.0300000000,16.0900000000,16.1000000000,15.9800000000,26630506,427686543.6900,0.75,0.877700,0.14,0.503300
2025-05-13,16.3500000000,16.1100000000,16.4000000000,16.1100000000,31221129,506327281.9300,1.80,0.124300,0.02,0.590000
2025-05-14,16.1200000000,16.2500000000,16.2700000000,16.0500000000,27080706,437872146.9700,1.37,0.869000,0.14,0.511800
2025-05-15,16.1600000000,16.0000000000,16.2300000000,16.0000000000,29523774,474957587.7800,1.42,-1.538500,-0.25,0.557900
2025-05-16,15.9500000000,15.9300000000,15.9800000000,15.8600000000,19830259,315848224.4000,0.75,-0.437500,-0.07,0.374800
2025-05-19,15.9100000000,15.8700000000,15.9400000000,15.8200000000,19675488,311851574.2400,0.75,-0.376600,-0.06,0.371800
2025-05-20,15.8500000000,15.8800000000,15.9000000000,15.8100000000,18688380,296302648.5300,0.57,0.063000,0.01,0.353200
2025-05-21,15.8800000000,16.0700000000,16.0900000000,15.8600000000,31927154,510934673.4500,1.45,1.196500,0.19,0.603400
