日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,25.5250944000,25.6347725400,25.8042751200,25.2658551600,32433258,831065177.5300,0.00,0.038900,0.00,1.134000
2025-04-16,25.3057381200,25.0165866600,25.3256796000,24.7074937200,50427074,1262922005.1500,2.41,-2.411500,-0.62,1.763100
2025-04-17,24.7872596400,24.8670255600,25.3755333000,24.7573474200,36114442,908857419.9700,2.47,-0.597800,-0.15,1.262700
2025-04-18,24.8371133400,24.9767037000,25.0863818400,24.6975229800,27447879,685609915.1900,1.56,0.441100,0.11,0.959700
2025-04-21,24.8371133400,25.4951821800,25.5051529200,24.7772889000,39476300,997627999.9700,2.91,2.075800,0.52,1.380300
2025-04-22,25.3755333000,25.0066159200,25.3855040400,24.8271426000,39411138,991552693.5400,2.19,-1.916300,-0.49,1.378000
2025-04-23,25.2060307200,25.3157088600,25.5749481000,25.0764111000,43881091,1114124674.9300,1.99,1.236000,0.31,1.534300
2025-04-24,25.3855040400,24.8969377800,25.3855040400,24.7872596400,31823540,798021723.9800,2.36,-1.654200,-0.42,1.112700
2025-04-25,24.9168792600,25.1262648000,25.3755333000,24.8271426000,32012694,809065136.9300,2.20,0.921100,0.23,1.119300
2025-04-28,25.2060307200,24.8570548200,25.4852114400,24.7972303800,31256473,785268042.5300,2.74,-1.071400,-0.27,1.092900
2025-04-29,23.9297760000,24.3585178200,24.4283130000,23.5508878800,60288242,1455770199.7700,3.53,-2.005600,-0.50,2.107900
2025-04-30,24.4482544800,25.0664403600,25.2658551600,24.3385763400,51165837,1281891318.8800,3.81,2.906300,0.71,1.789000
2025-05-06,25.2957673800,25.6846262400,25.7245092000,25.2259722000,46270005,1185256664.8400,1.99,2.466200,0.62,1.617800
2025-05-07,26.0336021400,25.5649773600,26.1033973200,25.3256796000,43735523,1125318696.8400,3.03,-0.465800,-0.12,1.529200
2025-05-08,25.5250944000,25.6447432800,25.8441580800,25.4353577400,34693253,893373272.9100,1.60,0.312000,0.08,1.213000
2025-05-09,25.6248018000,25.1262648000,25.6347725400,25.0863818400,30733570,778717441.4700,2.14,-2.021800,-0.52,1.074600
2025-05-12,25.3755333000,25.6248018000,25.6248018000,25.3256796000,34166292,873131985.0300,1.19,1.984100,0.50,1.194600
2025-05-13,25.9239240000,25.3755333000,25.9438654800,25.3157088600,35049626,898860815.0700,2.45,-0.972800,-0.25,1.225500
2025-05-14,25.4552992200,25.4652699600,25.7045677200,25.2060307200,36892383,941244924.7100,1.96,0.353600,0.09,1.289900
2025-05-15,25.4652699600,24.5280204000,25.4652699600,24.5280204000,52932315,1316955877.9300,3.68,-3.680500,-0.94,1.850700
2025-05-16,24.4283130000,24.4482544800,24.6576400200,24.2588104200,29911764,733600688.0400,1.63,-0.325200,-0.08,1.045800
2025-05-19,24.3784593000,24.2986933800,24.4482544800,24.0593956200,24816965,603439946.6700,1.59,-0.611700,-0.15,0.867700
2025-05-20,24.2986933800,24.4382837400,24.4981081800,24.1391615400,24516157,598929313.1100,1.48,0.574500,0.14,0.857200
2025-05-21,24.5180496600,24.2787519000,24.6177570600,24.2388689400,26504538,649007605.9900,1.55,-0.652800,-0.16,0.926700
2025-05-22,24.1591030200,24.0394541400,24.4283130000,24.0294834000,23139100,561264691.8400,1.64,-0.985600,-0.24,0.809000
2025-05-23,24.0095419200,23.6306538000,24.1591030200,23.6007415800,34677093,830610747.0600,2.32,-1.700500,-0.41,1.212500
2025-05-26,23.7403319400,24.2089567200,24.3385763400,23.7403319400,35606420,860285547.8700,2.53,2.447300,0.58,1.244900
2025-05-27,24.1690737600,23.9098345200,24.3585178200,23.8599808200,25009917,602327792.3800,2.06,-1.235600,-0.30,0.874400
2025-05-28,23.9297760000,23.6904782400,24.0294834000,23.6206830600,21706997,517232096.8500,1.71,-0.917400,-0.22,0.759000
2025-05-29,23.8200978600,24.3286056000,24.3585178200,23.8001563800,40468929,980809919.7800,2.36,2.693600,0.64,1.415000
2025-05-30,24.2288982000,23.9596882200,24.2588104200,23.8799223000,26009768,625708187.1400,1.56,-1.516400,-0.37,0.909400
2025-06-03,23.8599808200,23.8001563800,24.0793371000,23.7403319400,28882242,691248933.3400,1.41,-0.665800,-0.16,1.009800
2025-06-04,23.8599808200,24.0992785800,24.2089567200,23.8500100800,28906602,698491261.7100,1.51,1.256800,0.30,1.010700
2025-06-05,24.1291908000,24.6676107600,24.6975229800,24.1192200600,58470938,1436273277.8200,2.40,2.358300,0.57,2.044400
2025-06-06,24.6676107600,24.6676107600,24.7274352000,24.4382837400,30245287,745541514.4200,1.17,0.000000,0.00,1.057500
2025-06-09,24.7074937200,24.7673181600,24.8470840800,24.5379911400,33193110,822860402.4000,1.25,0.404200,0.10,1.160600
2025-06-10,24.7772889000,24.0394541400,24.9069085200,23.8799223000,51339323,1247190142.1400,4.15,-2.938800,-0.73,1.795000
2025-06-11,24.0095419200,24.0394541400,24.2986933800,23.9297760000,31672398,764918525.3400,1.53,0.000000,0.00,1.107400
2025-06-12,23.9297760000,23.8500100800,24.1192200600,23.8001563800,33545956,804872064.9200,1.33,-0.788100,-0.19,1.172900
2025-06-13,23.8100000000,23.2200000000,23.8500000000,23.1300000000,65154109,1522838149.3300,3.02,-2.641500,-0.63,2.278100
2025-06-16,23.0900000000,23.2900000000,23.5300000000,23.0000000000,30307040,706614947.2600,2.28,0.301500,0.07,1.059700
2025-06-17,23.3600000000,23.0900000000,23.4100000000,23.0000000000,29758046,688648776.4000,1.76,-0.858700,-0.20,1.040500
