日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,43.4748256800,44.8851932100,46.1081692500,41.7488514300,3435488,154936313.6000,0.00,4.141900,0.00,7.981400
2025-04-16,44.3821950000,44.7273898500,45.5262693600,43.5931782000,2547010,115380184.8000,4.31,-0.351600,-0.16,5.917300
2025-04-17,44.4117831300,44.2342543500,45.2994270300,43.8890595000,1653400,74649475.8000,3.15,-1.102500,-0.49,3.841200
2025-04-18,43.9679611800,42.5871817800,44.0961764100,42.1433598300,2035475,88546026.7500,4.41,-3.723500,-1.65,4.728900
2025-04-21,42.2518496400,44.0665882800,44.4610966800,42.0447327300,2028790,89301414.2000,5.67,3.473800,1.48,4.713300
2025-04-22,44.3821950000,42.5575936500,44.3821950000,40.4568364200,4333388,186032918.4800,8.91,-3.424400,-1.51,10.067500
2025-04-23,42.3406140300,41.9756937600,43.3959240000,41.7291260100,2822488,121070061.2000,3.92,-1.367300,-0.58,6.557300
2025-04-24,41.9461056300,44.8654677900,45.6939354300,41.5121463900,4818229,216913237.3600,9.96,6.884400,2.89,11.193900
2025-04-25,44.8753305000,44.8457423700,45.4868185200,44.1159018300,2089800,94702312.0000,3.06,-0.044000,-0.02,4.855100
2025-04-28,44.7767034000,43.8791967900,44.7767034000,42.4392411300,2860347,125920320.8400,5.21,-2.155300,-0.97,6.645200
2025-04-29,43.4846883900,45.5262693600,46.7196572700,43.4846883900,4289845,197278911.2800,7.37,3.753700,1.65,9.966300
2025-04-30,45.5558574900,44.6189000400,47.3114198700,44.1750780900,4545087,211743758.1400,6.89,-1.993100,-0.91,10.559300
2025-05-06,44.4019204200,46.6506183000,46.6802064300,44.0172747300,3070200,141351813.3400,5.97,4.553500,2.03,7.132800
2025-05-07,46.8675979200,48.5541213300,49.2938245800,45.5262693600,3282568,159573458.9100,8.08,4.080300,1.90,7.626200
2025-05-08,48.3272790000,48.3272790000,48.8795907600,46.9169114700,2366837,115150024.3000,4.04,-0.467200,-0.23,5.498700
2025-05-09,47.8637316300,53.1600069000,53.1600069000,47.5185367800,3485141,179526737.0000,11.67,10.000000,4.83,8.096800
2025-05-12,53.1600069000,51.8778546000,56.2075842900,50.2011939000,6797628,357705623.9600,11.30,-2.411900,-1.28,15.792500
2025-05-13,50.8718581800,51.9764817000,52.5978324300,48.3371417100,6070012,309383035.7400,8.21,0.190100,0.10,14.102000
2025-05-14,50.3589972600,49.8066855000,50.8718581800,49.2346483200,3432689,174268438.7400,3.15,-4.174600,-2.17,7.974900
2025-05-15,49.4614906500,54.7873540500,54.7873540500,48.3371417100,6876094,365281293.3700,12.95,10.000000,4.98,15.974800
2025-05-16,53.6925932400,52.8641256000,53.7320440800,51.9567562800,4104596,220099203.1200,3.24,-3.510400,-1.92,9.535900
2025-05-19,52.4696172000,54.8366676000,55.9906046700,51.8285410500,3682368,201303447.3400,7.87,3.731300,1.97,8.555000
2025-05-20,53.7813576300,53.2093204500,58.6239482400,52.9824781200,5403893,304402436.0700,10.29,-2.967600,-1.63,12.554500
2025-05-21,52.3019511300,51.6806004000,53.1402814800,50.8422700500,4503024,236250260.4000,4.32,-2.873000,-1.53,10.461600
2025-05-22,50.9113090200,53.0909679300,55.0339218000,50.8521327600,6028576,321662886.0800,8.09,2.729000,1.41,14.005800
2025-05-23,52.1737359000,50.8521327600,55.7341742100,49.5108042000,6866245,362575287.8500,11.72,-4.217000,-2.24,15.951900
2025-05-26,49.8066855000,47.8933197600,50.1518803500,47.4889486500,6150472,301653434.4000,5.24,-5.818500,-2.96,14.289000
2025-05-27,47.7355164000,48.9584924400,49.2050601900,47.1141656700,4576536,225492637.0400,4.37,2.224100,1.07,10.632400
2025-05-28,49.1064330900,48.1990637700,50.0828413800,48.1300248000,3200000,157946006.9000,3.99,-1.551200,-0.76,7.434300
2025-05-29,47.9623587300,48.1004366700,48.8006890800,47.4297723900,2724057,133097723.2700,2.84,-0.204600,-0.10,6.328600
2025-05-30,47.8341435000,48.0412604100,49.1656093500,47.3508707100,2080150,101782919.0000,3.77,-0.123000,-0.06,4.832700
2025-06-03,47.5678503300,50.0631159600,51.1677394800,47.3508707100,4280968,215032596.8200,7.94,4.208600,2.02,9.945700
2025-06-04,50.1025668000,51.4537580700,51.7792275000,49.3234127100,3775064,194446034.3800,4.91,2.777800,1.39,8.770300
