日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,18.1500000000,17.9900000000,18.1500000000,17.4500000000,6652001,117877728.5700,0.00,0.446700,0.00,2.705700
2025-04-16,17.8400000000,17.6800000000,18.5200000000,17.3900000000,6269801,112423308.5500,6.28,-1.723200,-0.31,2.550300
2025-04-17,17.4300000000,17.6800000000,18.1400000000,17.3800000000,4867446,86745689.6400,4.30,0.000000,0.00,1.979800
2025-04-18,17.6700000000,17.6900000000,18.3000000000,17.4400000000,6108700,108999967.0000,4.86,0.056600,0.01,2.484700
2025-04-21,17.5400000000,18.4000000000,18.4000000000,17.4100000000,5052301,90554253.6700,5.60,4.013600,0.71,2.055000
2025-04-22,18.2700000000,18.0400000000,18.5000000000,17.8500000000,5993200,108307149.0000,3.53,-1.956500,-0.36,2.437700
2025-04-23,17.9000000000,17.7000000000,18.2100000000,17.6100000000,6492100,116250436.0000,3.33,-1.884700,-0.34,2.640700
2025-04-24,17.6600000000,17.2600000000,17.8500000000,17.0100000000,6954801,120707503.2800,4.75,-2.485900,-0.44,2.828900
2025-04-25,17.0900000000,18.9900000000,18.9900000000,17.0900000000,11228800,207511369.0000,11.01,10.023200,1.73,4.567300
2025-04-28,18.8000000000,17.7700000000,18.8000000000,17.3300000000,12775751,229417972.8500,7.74,-6.424400,-1.22,5.196600
2025-04-29,17.5600000000,17.7600000000,18.2000000000,17.5600000000,4659750,83152636.5000,3.60,-0.056300,-0.01,1.895400
2025-04-30,17.7100000000,17.6800000000,17.9900000000,17.6000000000,4517800,80193876.0000,2.20,-0.450500,-0.08,1.837600
2025-05-06,17.8000000000,18.2300000000,18.4900000000,17.8000000000,5467701,99740936.2200,3.90,3.110900,0.55,2.224000
2025-05-07,18.5100000000,18.6000000000,18.9700000000,18.4400000000,6618900,123328605.0000,2.91,2.029600,0.37,2.692300
2025-05-08,18.6000000000,19.2400000000,19.3400000000,18.5000000000,7292700,139158488.0000,4.52,3.440900,0.64,2.966300
2025-05-09,19.2200000000,18.7800000000,19.2400000000,18.5300000000,5179000,97156814.0000,3.69,-2.390900,-0.46,2.106600
2025-05-12,19.0600000000,19.0800000000,19.2100000000,18.8400000000,4660501,88957249.0500,1.97,1.597400,0.30,1.895700
2025-05-13,19.2700000000,18.7200000000,19.5000000000,18.4500000000,5426109,102083507.9000,5.50,-1.886800,-0.36,2.207100
2025-05-14,18.7000000000,18.4300000000,18.9900000000,18.2500000000,7326700,136496530.1100,3.95,-1.549100,-0.29,2.980200
2025-05-15,18.3800000000,18.3600000000,18.6500000000,18.1900000000,3587801,65903535.3000,2.50,-0.379800,-0.07,1.459300
2025-05-16,18.1800000000,18.5500000000,18.7500000000,18.1800000000,3070325,56874060.0000,3.10,1.034900,0.19,1.248900
2025-05-19,18.5500000000,19.5800000000,20.1300000000,18.5500000000,10053621,196879717.3400,8.52,5.552600,1.03,4.089300
2025-05-20,19.5700000000,20.4900000000,20.8500000000,19.4100000000,9901275,201385589.7500,7.35,4.647600,0.91,4.027400
2025-05-21,20.3200000000,19.8000000000,20.9200000000,19.7800000000,8241600,165870462.0000,5.56,-3.367500,-0.69,3.352300
2025-05-22,20.0000000000,19.4500000000,20.0100000000,19.3700000000,4825300,94570401.0900,3.23,-1.767700,-0.35,1.962700
2025-05-23,19.5000000000,19.3800000000,19.9700000000,19.2600000000,5693400,111654612.0000,3.65,-0.359900,-0.07,2.315800
2025-05-26,19.4900000000,19.9100000000,20.4400000000,19.4800000000,7271925,145481685.4900,4.95,2.734800,0.53,2.957900
2025-05-27,20.2800000000,20.9200000000,21.4000000000,20.0000000000,14334302,298011551.9800,7.03,5.072800,1.01,5.830500
2025-05-28,21.3000000000,21.9500000000,22.1800000000,20.3800000000,14702248,315247211.8800,8.60,4.923500,1.03,5.980200
2025-05-29,21.9500000000,22.7200000000,23.1200000000,21.6000000000,14638098,329653785.8400,6.92,3.508000,0.77,5.954100
2025-05-30,23.4000000000,22.7300000000,23.4000000000,22.5400000000,12124285,277124208.7800,3.79,0.044000,0.01,4.931600
2025-06-03,22.2500000000,23.0200000000,23.1900000000,22.2500000000,9883918,225919892.0400,4.14,1.275800,0.29,4.020300
2025-06-04,22.8800000000,21.0600000000,23.9300000000,21.0000000000,24317170,539762533.6500,12.73,-8.514300,-1.96,9.891100
2025-06-05,20.9000000000,23.1700000000,23.1700000000,20.9000000000,11748882,262293677.3000,10.78,10.019000,2.11,4.778900
2025-06-06,23.1000000000,23.7900000000,24.2900000000,22.7800000000,22454400,531520337.1200,6.52,2.675900,0.62,9.133400
2025-06-09,24.1100000000,25.2000000000,25.4900000000,24.1100000000,18451426,460936982.6700,5.80,5.926900,1.41,7.505200
2025-06-10,24.8200000000,25.0400000000,25.7700000000,24.5600000000,14892825,373771107.2500,4.80,-0.634900,-0.16,6.057700
2025-06-11,25.1500000000,25.0000000000,25.5400000000,24.7600000000,8363525,209799495.5000,3.12,-0.159700,-0.04,3.401900
2025-06-12,24.9000000000,25.2500000000,25.3500000000,24.5600000000,10556151,263859760.3500,3.16,1.000000,0.25,4.293700
2025-06-13,25.0500000000,24.7800000000,25.4300000000,24.6100000000,9240712,230379268.2700,3.25,-1.861400,-0.47,3.758700
2025-06-16,24.5100000000,25.8200000000,26.0500000000,24.3000000000,13786421,348367814.1500,7.06,4.196900,1.04,5.607700
2025-06-17,25.5700000000,25.2200000000,26.3500000000,24.8500000000,11461058,293272422.1700,5.81,-2.323800,-0.60,4.661800
2025-06-18,24.9600000000,25.2000000000,25.4800000000,24.6500000000,7257095,181573237.2500,3.29,-0.079300,-0.02,2.951800
2025-06-19,25.1100000000,24.4900000000,25.4600000000,24.3800000000,8942809,222563958.6100,4.29,-2.817500,-0.71,3.637500
2025-06-20,24.5000000000,24.2600000000,25.2000000000,23.5000000000,11264008,271616128.4300,6.94,-0.939200,-0.23,4.581700
2025-06-23,24.0200000000,23.8100000000,24.0200000000,23.1900000000,9919422,234343304.9600,3.42,-1.854900,-0.45,4.034700
2025-06-24,23.9900000000,23.7600000000,24.6000000000,23.4800000000,14457300,346633169.4400,4.70,-0.210000,-0.05,5.880500
2025-06-25,23.5000000000,25.4000000000,25.5600000000,23.5000000000,16624709,411049226.7800,8.67,6.902400,1.64,6.762100
2025-06-26,25.0200000000,23.9600000000,25.4700000000,23.8000000000,14271218,349367896.0300,6.57,-5.669300,-1.44,5.804900
2025-06-27,23.9400000000,22.8900000000,23.9600000000,21.6700000000,20434225,459087525.7200,9.56,-4.465800,-1.07,8.311700
2025-06-30,22.5800000000,22.8000000000,23.3900000000,22.5700000000,10696325,245303028.3100,3.58,-0.393200,-0.09,4.350800
2025-07-01,22.7500000000,22.3900000000,23.0700000000,22.2000000000,10168996,229163409.0200,3.82,-1.798200,-0.41,4.136300
2025-07-02,22.1200000000,21.5500000000,22.3900000000,21.4300000000,10626175,230413852.7500,4.29,-3.751700,-0.84,4.322200
2025-07-03,21.5700000000,21.7700000000,21.8400000000,21.3000000000,6967746,150199989.6000,2.51,1.020900,0.22,2.834100
2025-07-04,21.7500000000,21.6100000000,21.8700000000,21.4600000000,6406596,138488515.0400,1.88,-0.735000,-0.16,2.605900
2025-07-07,21.4400000000,21.7200000000,21.9000000000,21.4000000000,4918400,106905818.0000,2.31,0.509000,0.11,2.000600
2025-07-08,22.0000000000,22.2200000000,22.5700000000,21.7600000000,9637200,214437921.0000,3.73,2.302000,0.50,3.920000
2025-07-09,22.2200000000,21.8100000000,22.4300000000,21.7400000000,7424200,163759369.0000,3.11,-1.845200,-0.41,3.019800
2025-07-10,21.8200000000,21.4400000000,21.9300000000,21.3800000000,5208300,112124753.0000,2.52,-1.696500,-0.37,2.118500
2025-07-11,21.4000000000,21.6300000000,21.7400000000,21.1500000000,4887700,104775010.0000,2.75,0.886200,0.19,1.988100
2025-07-14,21.5100000000,21.5000000000,21.7100000000,21.2900000000,3335800,71624319.0000,1.94,-0.601000,-0.13,1.356800
2025-07-15,21.5000000000,21.3300000000,21.5900000000,21.1500000000,4146800,88468306.0000,2.05,-0.790700,-0.17,1.686700
2025-07-16,21.3400000000,21.2900000000,21.7000000000,21.2500000000,5129202,110113562.5400,2.11,-0.187500,-0.04,2.086300
2025-07-17,21.2900000000,21.6300000000,21.9200000000,21.2300000000,6199700,134259947.0000,3.24,1.597000,0.34,2.521700
2025-07-18,21.8100000000,21.7200000000,22.0700000000,21.3400000000,6380700,137648747.0000,3.37,0.416100,0.09,2.595400
2025-07-21,21.7100000000,22.5900000000,22.8800000000,21.6100000000,10484803,235978238.3800,5.85,4.005500,0.87,4.264700
2025-07-22,22.5800000000,21.9500000000,22.5900000000,21.8600000000,7200201,159318733.9400,3.23,-2.833100,-0.64,2.928700
2025-07-23,21.8500000000,21.2800000000,21.9500000000,21.1900000000,7277400,156312506.0000,3.46,-3.052400,-0.67,2.960100
2025-07-24,21.1600000000,20.9700000000,21.4300000000,20.7400000000,6859167,143458453.7700,3.24,-1.456800,-0.31,2.790000
2025-07-25,20.9700000000,21.1700000000,21.1700000000,20.7000000000,5132896,107805741.0600,2.24,0.953700,0.20,2.087800
2025-07-28,21.2200000000,21.9000000000,22.3200000000,21.0000000000,12230050,263634741.0000,6.24,3.448300,0.73,4.974600
2025-07-29,21.6600000000,22.4300000000,22.4900000000,21.3300000000,12396000,272225698.0000,5.30,2.420100,0.53,5.042100
2025-07-30,22.3500000000,22.0400000000,22.3800000000,21.8000000000,6448900,141904343.0000,2.59,-1.738700,-0.39,2.623100
2025-07-31,22.0000000000,21.1800000000,22.2300000000,21.1500000000,8840825,191098355.5000,4.90,-3.902000,-0.86,3.596000
2025-08-01,21.0600000000,21.0300000000,21.3000000000,20.9000000000,4106040,86655085.4000,1.89,-0.708200,-0.15,1.670100
2025-08-04,20.9000000000,22.1400000000,22.3000000000,20.6600000000,10548978,229311367.8200,7.80,5.278200,1.11,4.290800
2025-08-05,22.1500000000,22.4100000000,22.8500000000,22.1500000000,9105401,204735547.5800,3.16,1.219500,0.27,3.703600
2025-08-06,22.2000000000,22.7800000000,22.9000000000,22.1100000000,8195625,185756708.0000,3.53,1.651000,0.37,3.333600
2025-08-07,22.6300000000,21.9900000000,23.0500000000,21.8300000000,9319807,207176082.8500,5.36,-3.468000,-0.79,3.790900
2025-08-08,21.9000000000,21.1600000000,21.9900000000,20.9200000000,11403050,243372330.5000,4.87,-3.774400,-0.83,4.638200
2025-08-11,21.1500000000,21.9500000000,22.0900000000,21.1000000000,9650276,209639880.6900,4.68,3.733500,0.79,3.925300
2025-08-12,21.9000000000,21.4600000000,21.9900000000,21.2500000000,7650400,164400021.0000,3.37,-2.232300,-0.49,3.111800
2025-08-13,21.4500000000,21.4900000000,21.9700000000,21.4100000000,8799300,190219557.0000,2.61,0.139800,0.03,3.579100
2025-08-14,21.5000000000,21.5700000000,22.2400000000,21.1500000000,14395700,313534336.0000,5.07,0.372300,0.08,5.855500
2025-08-15,21.5200000000,22.9000000000,22.9600000000,21.4000000000,17729100,398416050.0000,7.23,6.166000,1.33,7.211400
2025-08-18,23.4300000000,24.8900000000,25.1900000000,23.4300000000,31677228,780741077.0800,7.69,8.690000,1.99,12.884800
2025-08-19,25.1900000000,25.5600000000,25.6000000000,24.3700000000,27633654,691201329.6100,4.94,2.691800,0.67,11.240100
2025-08-20,25.6000000000,25.2500000000,25.8000000000,24.8300000000,16360606,412223218.5500,3.79,-1.212800,-0.31,6.654700
2025-08-21,25.5000000000,24.9300000000,25.6000000000,24.8000000000,12657751,318453813.2600,3.17,-1.267300,-0.32,5.148600
2025-08-22,24.8800000000,26.0000000000,26.2000000000,24.5100000000,19944325,509640412.0000,6.78,4.292000,1.07,8.112400
2025-08-25,25.1000000000,23.4000000000,25.1200000000,23.4000000000,31256125,735786214.6200,6.62,-10.000000,-2.60,12.713500
2025-08-26,22.5500000000,22.4700000000,23.3900000000,21.9400000000,28880834,654164087.7600,6.20,-3.974400,-0.93,11.747400
2025-08-27,22.4400000000,21.8800000000,23.0500000000,21.8400000000,19284273,433991950.9700,5.38,-2.625700,-0.59,7.848800
2025-08-28,21.8600000000,22.4000000000,22.4200000000,21.5000000000,15141768,333158338.9600,4.20,2.376600,0.52,6.162800
2025-08-29,22.2700000000,21.9200000000,22.2800000000,21.8000000000,12113318,266067963.1200,2.14,-2.142900,-0.48,4.930200
2025-09-01,21.6000000000,22.4400000000,22.9600000000,21.6000000000,16061693,361161714.1300,6.20,2.372300,0.52,6.537200
2025-09-02,22.4300000000,21.4500000000,22.4300000000,21.2000000000,15513777,335227964.2500,5.48,-4.411800,-0.99,6.314200
2025-09-03,21.4800000000,21.1400000000,21.6600000000,20.9100000000,8031074,170642551.9900,3.50,-1.445200,-0.31,3.268700
2025-09-04,21.2300000000,20.7400000000,21.6500000000,20.4600000000,8676099,182998059.4700,5.63,-1.892100,-0.40,3.531200
2025-09-05,20.7400000000,21.2000000000,21.2400000000,20.5300000000,6661815,139950386.7500,3.42,2.217900,0.46,2.711400
2025-09-08,21.2000000000,21.0500000000,21.3300000000,20.9000000000,7036975,148413236.7500,2.03,-0.707500,-0.15,2.864100
2025-09-09,21.0900000000,21.1800000000,21.3700000000,20.8200000000,6584336,139022013.2300,2.61,0.617600,0.13,2.679900
2025-09-10,21.1800000000,21.4100000000,21.8800000000,21.1100000000,6563400,141070337.5000,3.64,1.085900,0.23,2.671300
2025-09-11,21.3200000000,21.7200000000,21.9900000000,21.2500000000,9409875,204396698.0000,3.46,1.447900,0.31,3.829900
2025-09-12,21.6600000000,21.5000000000,21.9000000000,21.3600000000,6759886,145650997.0200,2.49,-1.012900,-0.22,2.751300
2025-09-15,21.5000000000,21.2000000000,21.5200000000,21.1700000000,5501100,116955991.9700,1.63,-1.395300,-0.30,2.239000
2025-09-16,21.2100000000,21.3200000000,21.9000000000,21.0000000000,7339350,156939141.5000,4.25,0.566000,0.12,2.987200
2025-09-17,21.3200000000,21.1800000000,21.3200000000,21.0000000000,6035816,127631853.8200,1.50,-0.656700,-0.14,2.456600
2025-09-18,21.2100000000,20.9600000000,21.6000000000,20.8100000000,6807151,144033160.0300,3.73,-1.038700,-0.22,2.770500
2025-09-19,20.8800000000,20.3700000000,20.9700000000,20.2600000000,7833300,160246779.8000,3.39,-2.814900,-0.59,3.188200
2025-09-22,20.3700000000,20.6400000000,21.0500000000,20.3000000000,5649300,116746759.0000,3.68,1.325500,0.27,2.299300
2025-09-23,20.6400000000,20.2800000000,20.8000000000,19.7600000000,6785800,136396585.0000,5.04,-1.744200,-0.36,2.761900
2025-09-24,20.0100000000,20.2600000000,20.3400000000,19.9900000000,3708900,74973344.0000,1.73,-0.098600,-0.02,1.509500
2025-09-25,20.2700000000,20.1200000000,20.4400000000,20.0800000000,5940500,120083568.0000,1.78,-0.691000,-0.14,2.417800
2025-09-26,20.0100000000,21.0000000000,21.8500000000,19.8500000000,14312716,301259464.4300,9.94,4.373800,0.88,5.825300
2025-09-29,20.9400000000,20.5300000000,21.1000000000,20.3400000000,8247412,169391072.4000,3.62,-2.238100,-0.47,3.356700
2025-09-30,20.5000000000,20.5300000000,20.8000000000,20.4400000000,4943501,101806108.6100,1.75,0.000000,0.00,2.012000
2025-10-09,20.6000000000,20.2600000000,20.7400000000,20.0900000000,8268501,168052691.9200,3.17,-1.315100,-0.27,3.365300
2025-10-10,20.2500000000,20.1600000000,20.3700000000,20.0100000000,3972100,80035809.9800,1.78,-0.493600,-0.10,1.616700
2025-10-13,19.2100000000,20.0800000000,20.1000000000,18.8000000000,5908900,115955790.0000,6.45,-0.396800,-0.08,2.405000
2025-10-14,20.0500000000,19.2900000000,20.2400000000,19.2800000000,7092225,140050169.1800,4.78,-3.934300,-0.79,2.886600
2025-10-15,19.3200000000,19.2200000000,19.3800000000,19.0200000000,4566747,87584645.7400,1.87,-0.362900,-0.07,1.858700
2025-10-16,19.2500000000,18.9100000000,19.4100000000,18.8800000000,4850847,92609105.7000,2.76,-1.612900,-0.31,1.974300
2025-10-17,18.9500000000,18.0000000000,19.0100000000,17.9800000000,7441801,136397091.1400,5.45,-4.812300,-0.91,3.028800
2025-10-20,18.2800000000,18.5500000000,18.7800000000,18.2600000000,5773200,106819843.0000,2.89,3.055600,0.55,2.349700
2025-10-21,18.6800000000,19.6300000000,20.1100000000,18.4500000000,10494160,203571234.3800,8.95,5.822100,1.08,4.271200
2025-10-22,19.6200000000,20.1400000000,20.6500000000,19.3600000000,9072039,182718147.0000,6.57,2.598100,0.51,3.692400
2025-10-23,19.9400000000,20.4400000000,20.6000000000,19.7500000000,8250200,167350772.0600,4.22,1.489600,0.30,3.357900
2025-10-24,20.4400000000,20.5500000000,20.5900000000,20.2800000000,5786017,118654158.3500,1.52,0.538200,0.11,2.354900
2025-10-27,20.6300000000,20.7500000000,20.8500000000,20.3800000000,6724749,138921336.0600,2.29,0.973200,0.20,2.737000
2025-10-28,20.7500000000,20.6900000000,20.8500000000,20.4700000000,6324790,130981667.8000,1.83,-0.289200,-0.06,2.574200
2025-10-29,20.6000000000,20.4700000000,20.8400000000,20.4200000000,5343784,109783486.4900,2.03,-1.063300,-0.22,2.174900
2025-10-30,20.2800000000,20.1500000000,20.6100000000,20.0800000000,5520100,112201416.0000,2.59,-1.563300,-0.32,2.246700
2025-10-31,20.1600000000,20.2100000000,20.4400000000,20.0100000000,3754875,76110981.2500,2.13,0.297800,0.06,1.528300
2025-11-03,20.2000000000,22.2300000000,22.2300000000,20.0500000000,17601599,379875202.9900,10.79,9.995100,2.02,7.163900
2025-11-04,22.9000000000,23.1500000000,24.1900000000,22.6200000000,36950778,864987596.8800,7.06,4.138600,0.92,15.039100
2025-11-05,23.1500000000,23.4100000000,23.6600000000,22.7500000000,17847832,416594934.7800,3.93,1.123100,0.26,7.264200
2025-11-06,23.6000000000,23.6500000000,23.9200000000,22.9800000000,15831349,372565926.2900,4.02,1.025200,0.24,6.443400
2025-11-07,23.3500000000,23.9200000000,24.1800000000,23.3300000000,14131500,336904880.0000,3.59,1.141600,0.27,5.751600
2025-11-10,23.8500000000,24.4000000000,24.6500000000,23.6000000000,15074444,365360879.2700,4.39,2.006700,0.48,6.135400
2025-11-11,24.1700000000,24.2600000000,24.8300000000,23.8900000000,13540461,328997816.5800,3.85,-0.573800,-0.14,5.511000
2025-11-12,24.2200000000,23.5800000000,24.4500000000,23.3800000000,11364961,268839775.3100,4.41,-2.803000,-0.68,4.625600
2025-11-13,23.6200000000,23.8800000000,24.3500000000,23.4200000000,10876579,260897287.2000,3.94,1.272300,0.30,4.426800
2025-11-14,23.7400000000,24.1800000000,24.5400000000,23.6000000000,8783401,211632702.0600,3.94,1.256300,0.30,3.574900
2025-11-17,24.2000000000,23.9000000000,24.7900000000,23.4000000000,9935601,238488610.6500,5.75,-1.158000,-0.28,4.043800
2025-11-18,23.7400000000,23.2000000000,24.0000000000,22.8000000000,13569525,317572686.0000,5.02,-2.928900,-0.70,5.522900
2025-11-19,23.0900000000,22.3200000000,23.3200000000,22.1900000000,10858463,245313604.8800,4.87,-3.793100,-0.88,4.419400
2025-11-20,22.4600000000,22.4000000000,22.7600000000,22.0200000000,6391400,142911174.0000,3.32,0.358400,0.08,2.601300
2025-11-21,22.0000000000,21.1600000000,22.2000000000,21.0000000000,10470002,223768447.0000,5.36,-5.535700,-1.24,4.261300
2025-11-24,21.2700000000,21.8900000000,22.0600000000,21.1000000000,6590200,141872882.0000,4.54,3.449900,0.73,2.682200
2025-11-25,22.1200000000,22.2000000000,22.5000000000,21.9500000000,5088225,112900057.2500,2.51,1.416200,0.31,2.070900
2025-11-26,22.2800000000,22.0300000000,22.7400000000,21.9100000000,6022600,134492795.0000,3.74,-0.765800,-0.17,2.451200
2025-11-27,22.0800000000,21.6300000000,22.5000000000,21.5600000000,4678000,102612287.0000,4.27,-1.815700,-0.40,1.904000
2025-11-28,21.6000000000,22.5200000000,22.7300000000,21.4700000000,7650900,170125480.9400,5.83,4.114700,0.89,3.114000
2025-12-01,22.5400000000,22.1200000000,22.7200000000,22.0400000000,5228600,116475399.0000,3.02,-1.776200,-0.40,2.128100
2025-12-02,22.0300000000,22.0800000000,22.2900000000,21.8500000000,3628500,79982980.2200,1.99,-0.180800,-0.04,1.476800
2025-12-03,22.0300000000,21.8000000000,22.1700000000,21.5700000000,4019201,87633936.7500,2.72,-1.268100,-0.28,1.635800
2025-12-04,21.7500000000,21.5000000000,21.8000000000,21.2000000000,6597553,141506458.3700,2.75,-1.376100,-0.30,2.685200
2025-12-05,21.4000000000,21.9200000000,22.3600000000,21.3100000000,5627800,123171014.0000,4.88,1.953500,0.42,2.290500
2025-12-08,21.9300000000,21.9600000000,22.3800000000,21.8800000000,5390600,119214943.9700,2.28,0.182500,0.04,2.194000
2025-12-09,21.9000000000,22.1300000000,22.7500000000,21.7500000000,6932750,154699936.5000,4.55,0.774100,0.17,2.821700
2025-12-10,22.1200000000,22.3600000000,22.9100000000,21.8300000000,7007814,156883827.5800,4.88,1.039300,0.23,2.852200
2025-12-11,23.0000000000,22.0800000000,23.3000000000,22.0200000000,13269230,298015668.8000,5.72,-1.252200,-0.28,5.400600
2025-12-12,22.0000000000,23.9100000000,24.2900000000,21.9900000000,25336699,597370468.1700,10.42,8.288000,1.83,10.312200
2025-12-15,24.0200000000,23.2700000000,24.2700000000,23.2000000000,13944716,329739208.3200,4.48,-2.676700,-0.64,5.675600
2025-12-16,23.0700000000,22.9800000000,23.7000000000,22.6300000000,9502628,218727108.0800,4.60,-1.246200,-0.29,3.867600
2025-12-17,22.9200000000,23.2600000000,23.5700000000,22.7000000000,9530900,219787157.0000,3.79,1.218500,0.28,3.879100
2025-12-18,23.1800000000,22.8300000000,23.3000000000,22.6100000000,6622000,152057787.0000,2.97,-1.848700,-0.43,2.695200
2025-12-19,22.8900000000,22.9100000000,23.7300000000,22.8300000000,9436600,219599630.9900,3.94,0.350400,0.08,3.840700
2025-12-22,22.9300000000,23.2600000000,23.6000000000,22.8000000000,7941326,184766384.8800,3.49,1.527700,0.35,3.232200
2025-12-23,23.2200000000,23.2000000000,23.6000000000,23.0300000000,5835351,135698890.6600,2.45,-0.258000,-0.06,2.375000
2025-12-24,23.3100000000,25.5200000000,25.5200000000,23.3100000000,15412926,391607924.5200,9.53,10.000000,2.32,6.273100
