日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,34.0464586000,35.0434700000,36.2576522000,33.8391592000,16933897,608144429.4700,0.00,3.770800,0.00,1.519300
2025-04-16,35.1323126000,34.9250132000,35.6061398000,34.5795142000,10406870,369504546.2400,2.93,-0.338000,-0.12,0.933700
2025-04-17,34.5301572000,35.0335986000,35.5666542000,34.4808002000,5961163,212240611.3900,3.11,0.310900,0.11,0.534800
2025-04-18,35.0730842000,35.5863970000,36.4748230000,34.9842416000,8036959,290480483.3000,4.25,1.577900,0.55,0.721100
2025-04-21,35.7936964000,37.3731204000,37.7679764000,35.3889690000,13640019,512756873.8600,6.69,5.020800,1.79,1.223800
2025-04-22,37.8864332000,39.1401010000,39.6632852000,37.3928632000,19986704,783247731.6600,6.08,4.727900,1.77,1.793200
2025-04-23,38.6958880000,37.4817058000,38.9722872000,37.2546636000,15047287,578674016.1600,4.39,-4.237100,-1.66,1.350100
2025-04-24,37.5113200000,38.9426730000,39.2092008000,37.4915772000,12807846,502230241.4200,4.58,3.897800,1.46,1.149100
2025-04-25,40.4727400000,39.1401010000,40.7392678000,38.2812892000,14932451,592844886.7200,6.31,0.507000,0.20,1.339800
2025-04-28,38.5576884000,38.8933160000,39.1697152000,36.6919938000,13066279,500847534.2700,6.33,-0.630500,-0.25,1.172300
2025-04-29,38.8637018000,40.2160836000,40.4233830000,38.7946020000,12281393,496200444.2300,4.19,3.401000,1.32,1.101900
2025-04-30,39.9791700000,40.3740260000,40.5023542000,39.4757286000,8417652,341950892.8300,2.55,0.392700,0.16,0.755200
2025-05-06,40.5911968000,42.2397206000,43.0195612000,40.0778840000,13099503,556156995.7800,7.29,4.621000,1.87,1.175300
2025-05-07,41.9040930000,40.3937688000,42.8320046000,39.6928994000,12839353,528177544.6700,7.43,-4.370200,-1.85,1.152000
2025-05-08,40.0778840000,39.9396844000,40.3049262000,39.6830280000,6654353,269989228.7700,1.54,-1.124100,-0.45,0.597000
2025-05-09,39.9396844000,40.3740260000,41.4302658000,39.4954714000,7571751,312118371.6400,4.84,1.087500,0.43,0.679300
2025-05-12,39.4856000000,38.0542470000,39.8804560000,36.3366234000,17756960,680721844.9600,8.78,-5.745700,-2.32,1.593200
2025-05-13,38.6465310000,38.3800032000,39.0611298000,38.2516750000,9046560,353796981.9000,2.13,0.856000,0.33,0.811700
2025-05-14,38.3200000000,38.3000000000,38.7300000000,38.1100000000,5824890,224022934.7000,1.62,-0.208400,-0.08,0.522600
2025-05-15,38.3500000000,38.0500000000,38.8600000000,37.9900000000,7483667,286508158.0500,2.27,-0.652700,-0.25,0.671400
2025-05-16,37.9000000000,39.2300000000,39.7500000000,37.6200000000,10099332,394203551.4300,5.60,3.101200,1.18,0.906100
2025-05-19,38.9800000000,39.1700000000,39.5000000000,38.7000000000,5041600,196967792.0000,2.04,-0.152900,-0.06,0.452300
2025-05-20,41.0000000000,42.3000000000,42.5000000000,39.5300000000,18225344,753081564.4000,7.58,7.990800,3.13,1.635200
2025-05-21,42.2500000000,42.2600000000,42.4900000000,41.5300000000,7650867,322057445.6200,2.27,-0.094600,-0.04,0.686400
2025-05-22,41.8800000000,42.8000000000,43.4400000000,41.2400000000,8596013,364763826.7700,5.21,1.277800,0.54,0.771200
2025-05-23,42.8000000000,45.1000000000,46.0800000000,42.8000000000,13902101,622945406.1700,7.66,5.373800,2.30,1.247300
2025-05-26,44.8800000000,43.1000000000,44.8800000000,42.3800000000,11903313,514237920.6300,5.54,-4.434600,-2.00,1.068000
2025-05-27,43.5400000000,44.0300000000,44.6000000000,43.1200000000,8829265,387112097.8800,3.43,2.157800,0.93,0.792200
2025-05-28,44.2300000000,42.8600000000,44.8000000000,42.6900000000,9157223,398244847.1400,4.79,-2.657300,-1.17,0.821600
2025-05-29,43.0800000000,45.2500000000,45.4000000000,42.6900000000,11872911,528371621.4600,6.32,5.576300,2.39,1.065200
2025-05-30,45.2000000000,45.4400000000,46.3000000000,44.6000000000,11559693,523885083.6300,3.76,0.419900,0.19,1.037100
2025-06-03,44.7000000000,45.4700000000,46.1700000000,43.8500000000,10057804,452999923.7300,5.11,0.066000,0.03,0.902400
2025-06-04,45.1500000000,48.3500000000,48.6500000000,44.4700000000,11868320,559334791.2000,9.19,6.333800,2.88,1.064800
2025-06-05,49.2800000000,46.5800000000,49.2900000000,46.0000000000,9101958,428736174.6200,6.80,-3.660800,-1.77,0.816600
2025-06-06,46.2500000000,47.0300000000,47.5000000000,46.1300000000,6158743,288726783.2900,2.94,0.966100,0.45,0.552600
2025-06-09,47.0000000000,50.6800000000,51.5700000000,46.8000000000,12335832,615726351.5800,10.14,7.761000,3.65,1.106800
2025-06-10,50.6500000000,50.7000000000,51.6500000000,49.8000000000,8498711,431154109.8200,3.65,0.039500,0.02,0.762500
2025-06-11,50.5200000000,51.8700000000,51.8800000000,49.4000000000,7279821,370054261.0200,4.89,2.307700,1.17,0.653200
2025-06-12,51.1900000000,54.1900000000,54.2500000000,50.6600000000,8206470,430381542.6200,6.92,4.472700,2.32,0.736300
2025-06-13,53.3500000000,54.9700000000,54.9700000000,52.1400000000,8540480,456577224.6300,5.22,1.439400,0.78,0.766300
2025-06-16,54.5000000000,53.8600000000,55.0100000000,50.3700000000,15113463,800456260.7800,8.44,-2.019300,-1.11,1.356000
2025-06-17,52.3300000000,48.5000000000,53.0000000000,48.5000000000,17893495,894377944.9600,8.35,-9.951700,-5.36,1.605400
2025-06-18,48.5000000000,48.8200000000,49.5800000000,48.1000000000,10540003,513595095.6200,3.05,0.659800,0.32,0.945700
2025-06-19,48.6800000000,47.5700000000,49.7500000000,47.4300000000,11484035,553423499.3200,4.75,-2.560400,-1.25,1.030400
2025-06-20,47.6600000000,46.9200000000,47.9800000000,46.2500000000,10145583,475402575.2000,3.64,-1.366400,-0.65,0.910300
2025-06-23,46.9200000000,48.1600000000,48.6300000000,46.4100000000,10370364,494745751.7700,4.73,2.642800,1.24,0.930400
2025-06-24,48.3500000000,47.8000000000,48.4800000000,47.7200000000,7738800,371688650.5000,1.58,-0.747500,-0.36,0.694300
2025-06-25,47.7600000000,46.5300000000,48.1800000000,46.4800000000,9390957,441661967.8800,3.56,-2.656900,-1.27,0.842600
2025-06-26,46.2200000000,46.0000000000,46.4900000000,45.5900000000,10152410,466305021.4200,1.93,-1.139100,-0.53,0.910900
2025-06-27,46.0000000000,46.7600000000,47.3500000000,46.0000000000,8125069,380131395.2400,2.93,1.652200,0.76,0.729000
2025-06-30,46.7000000000,47.3300000000,47.6700000000,46.3000000000,6651704,314328777.7200,2.93,1.219000,0.57,0.596800
2025-07-01,47.5300000000,50.2600000000,50.4000000000,47.1100000000,14086421,691435456.6700,6.95,6.190600,2.93,1.263800
2025-07-02,50.9300000000,47.9000000000,50.9500000000,47.7700000000,8328353,408902484.7900,6.33,-4.695600,-2.36,0.747200
2025-07-03,47.9600000000,47.5400000000,48.7500000000,47.2300000000,8015929,384387017.2200,3.17,-0.751600,-0.36,0.719200
2025-07-04,47.2400000000,47.4300000000,47.7000000000,46.0200000000,9721100,456230808.7100,3.53,-0.231400,-0.11,0.872200
2025-07-07,47.2200000000,46.3400000000,47.6100000000,46.0500000000,7514200,349763168.0000,3.29,-2.298100,-1.09,0.674200
2025-07-08,46.1700000000,45.0000000000,46.7400000000,44.8400000000,13032258,591441514.4900,4.10,-2.891700,-1.34,1.169300
2025-07-09,44.7800000000,45.2900000000,45.7500000000,44.5000000000,7878520,356126918.5400,2.78,0.644400,0.29,0.706900
2025-07-10,45.4100000000,45.2400000000,45.7600000000,44.6900000000,5586015,252424982.2000,2.36,-0.110400,-0.05,0.501200
2025-07-11,45.1900000000,45.0100000000,45.5600000000,44.7000000000,5619805,253358674.9500,1.90,-0.508400,-0.23,0.504200
2025-07-14,45.1000000000,45.4200000000,45.7000000000,44.6500000000,6853300,309895351.9000,2.33,0.910900,0.41,0.614900
2025-07-15,45.6500000000,46.3000000000,46.7800000000,45.3000000000,9780295,450985903.6300,3.26,1.937500,0.88,0.877500
2025-07-16,46.6800000000,48.3200000000,48.6500000000,46.3800000000,15995758,765429322.9700,4.90,4.362900,2.02,1.435200
2025-07-17,49.6000000000,53.1500000000,53.1500000000,49.5000000000,16764369,872198891.5000,7.55,9.995900,4.83,1.504100
2025-07-18,54.5000000000,54.4000000000,55.4800000000,53.3600000000,16630848,900057844.7400,3.99,2.351800,1.25,1.492100
2025-07-21,53.7700000000,51.8800000000,53.7900000000,51.5800000000,12435635,650007841.7600,4.06,-4.632400,-2.52,1.115700
2025-07-22,51.8800000000,50.5000000000,52.6800000000,50.3000000000,12254702,627758630.7200,4.59,-2.660000,-1.38,1.099500
2025-07-23,49.9900000000,49.7000000000,50.1000000000,48.5900000000,9024209,445989326.1100,2.99,-1.584200,-0.80,0.809700
2025-07-24,49.9000000000,49.5000000000,50.1000000000,49.1200000000,6872566,340458200.7400,1.97,-0.402400,-0.20,0.616600
2025-07-25,49.5000000000,48.6800000000,49.6000000000,48.4000000000,6500760,317140151.6000,2.42,-1.656600,-0.82,0.583300
2025-07-28,48.8500000000,49.1500000000,49.5200000000,48.4200000000,8887510,434969822.9100,2.26,0.965500,0.47,0.797400
2025-07-29,49.1800000000,50.9600000000,51.7800000000,48.7000000000,15462010,784005900.5100,6.27,3.682600,1.81,1.387300
