日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,6.4353996300,6.3858202800,6.4651472400,6.3461568000,9939824,64183864.0100,0.00,-0.309600,0.00,0.831700
2025-04-16,6.3560726700,6.2370822300,6.4056520200,6.1379235300,12473840,78543220.5000,4.19,-2.329200,-0.15,1.043800
2025-04-17,6.2073346200,6.2271663600,6.2965774500,6.1676711400,8777391,55294070.2000,2.07,-0.159000,-0.01,0.734500
2025-04-18,6.2073346200,6.2271663600,6.2767457100,6.1577552700,8307894,52035794.8200,1.91,0.000000,0.00,0.695200
2025-04-21,6.2767457100,6.5048107200,6.5246424600,6.2370822300,20221629,131038344.3500,4.62,4.458600,0.28,1.692100
2025-04-22,6.5048107200,6.5643059400,6.6436329000,6.3461568000,19560815,128115241.0000,4.57,0.914600,0.06,1.636800
2025-04-23,6.6535487700,6.5643059400,6.6932122500,6.5246424600,20979873,139662471.4800,2.57,0.000000,0.00,1.755500
2025-04-24,6.5940535500,6.5048107200,6.6039694200,6.4552313700,10706313,70364155.2300,2.27,-0.906300,-0.06,0.895900
2025-04-25,6.5147265900,6.5643059400,6.6238011600,6.4948948500,9822474,65021091.0200,1.98,0.914600,0.06,0.821900
2025-04-28,6.5841376800,6.4849789800,6.5841376800,6.4750631100,7428396,48769106.8600,1.66,-1.208500,-0.08,0.621600
2025-04-29,6.5841376800,6.6138852900,6.6733805100,6.5643059400,12452120,83083092.6000,1.68,1.987800,0.13,1.041900
2025-04-30,6.6238011600,6.5742218100,6.6733805100,6.5543900700,11419930,76140308.0200,1.80,-0.599700,-0.04,0.955600
2025-05-06,6.6337170300,7.0600994400,7.0700153100,6.6238011600,38003974,264942029.6800,6.79,7.390600,0.49,3.180000
2025-05-07,7.1096787900,7.0501835700,7.1295105300,6.8617820400,39553873,278599460.7500,3.79,-0.140400,-0.01,3.309700
2025-05-08,7.0799311800,7.1195946600,7.3476596700,7.0700153100,38745553,280601480.6200,3.94,0.984500,0.07,3.242100
2025-05-09,7.1493422700,7.8335373000,7.8335373000,7.1493422700,84165897,644622230.8500,9.61,10.027900,0.71,7.042600
2025-05-12,7.8335373000,7.7343786000,7.9723594800,7.4567342400,105039349,817528787.8800,6.58,-1.265800,-0.10,8.789200
2025-05-13,7.7839579500,7.6153881600,7.8137055600,7.4071548900,78906306,602254382.5700,5.26,-1.538500,-0.12,6.602500
2025-05-14,7.6847992500,7.7046309900,7.9227801300,7.6054722900,85799547,671030299.8000,4.17,1.171900,0.09,7.179300
2025-05-15,7.7343786000,7.9326960000,8.2797514500,7.6451357700,110584310,883828424.2700,8.24,2.960100,0.23,9.253200
2025-05-16,7.8434531700,8.7259656000,8.7259656000,7.7938738200,95685944,814765544.2000,11.75,10.000000,0.79,8.006600
2025-05-19,8.8945353900,8.4185736300,8.9639464800,8.2995831900,126912142,1085070650.6200,7.61,-3.522700,-0.31,10.619500
2025-05-20,8.4582371100,8.4086577600,8.5772275500,8.0913499200,104585790,878433534.7800,5.77,-0.117800,-0.01,8.751300
2025-05-21,8.2797514500,8.0913499200,8.3094990600,7.9426118700,76148281,621188375.3300,4.36,-3.773600,-0.32,6.371800
2025-05-22,8.0120229600,7.8335373000,8.0616023100,7.8037896900,52949190,422087174.1000,3.19,-3.186300,-0.26,4.430600
2025-05-23,7.8732007800,7.7740420800,7.9822753500,7.7145468600,42618122,336792652.0000,3.42,-0.759500,-0.06,3.566100
2025-05-26,7.7244627300,7.7442944700,7.8137055600,7.6649675100,36407663,283969100.3900,1.91,-0.382700,-0.03,3.046400
2025-05-27,7.7542103400,7.6451357700,7.7938738200,7.5558929400,33119633,254657119.1500,3.07,-1.280400,-0.10,2.771300
2025-05-28,7.6352199000,7.8236214300,7.8533690400,7.5261453300,57745083,449637456.0600,4.28,2.334600,0.18,4.831900
2025-05-29,7.8732007800,8.2698355800,8.3590784100,7.7839579500,81721166,668779014.0500,7.35,5.703400,0.45,6.838100
2025-05-30,8.1409292700,8.1805927500,8.3293308000,8.0219388300,47337402,388584305.9400,3.72,-1.079100,-0.09,3.961000
2025-06-03,8.1706768800,8.3293308000,8.4582371100,8.0417705700,58663260,488617486.7000,5.09,1.818200,0.15,4.908700
2025-06-04,8.2301721000,8.5177323300,8.5772275500,8.2202562300,66120484,562706229.4400,4.29,2.261900,0.19,5.532700
2025-06-05,8.4483212400,8.2500038400,8.6268069000,8.1905086200,52225106,437743079.3000,5.12,-3.143200,-0.27,4.370000
2025-06-06,8.3500000000,8.3300000000,8.4500000000,8.2500000000,36673160,305879842.6000,2.42,0.969700,0.08,3.068700
2025-06-09,8.3400000000,8.3700000000,8.4700000000,8.2300000000,43759428,365631846.3800,2.88,0.480200,0.04,3.661600
