日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,10.9679204200,10.9285383000,11.0565301900,10.8793106500,8188088,91148130.7600,0.00,-0.179900,0.00,0.757800
2025-04-16,10.8793106500,10.8694651200,10.9285383000,10.6922455800,8378813,92187290.3500,2.16,-0.540500,-0.06,0.775400
2025-04-17,10.7808553500,10.8202374700,10.9679204200,10.7414732300,5488970,60748774.7000,2.08,-0.452900,-0.05,0.508000
2025-04-18,10.7316277000,10.8300830000,10.9186927700,10.7316277000,5610600,61587060.2000,1.73,0.091000,0.01,0.519200
2025-04-21,10.8990017100,10.9580748900,11.0269936000,10.8202374700,8288200,92061260.2000,1.91,1.181800,0.13,0.767000
2025-04-22,11.0565301900,11.1549854900,11.4503513900,10.9186927700,17062078,193177513.0400,4.85,1.796900,0.20,1.579000
2025-04-23,11.1549854900,11.1451399600,11.2239042000,11.0171480700,13429310,151520440.9000,1.85,-0.088300,-0.01,1.242800
2025-04-24,11.2042131400,11.3814326800,11.5586522200,11.1746765500,23828108,276226912.1400,3.45,2.120100,0.24,2.205200
2025-04-25,11.3715871500,11.3518960900,11.4798879800,11.3026684400,11954722,138139252.4600,1.56,-0.259500,-0.03,1.106400
2025-04-28,11.3420505600,11.1254489000,11.3420505600,11.1156033700,10742476,122165426.2800,1.99,-1.994800,-0.23,0.994200
2025-04-29,11.0762212500,11.2928229100,11.3420505600,11.0762212500,9956947,113998784.4700,2.39,1.504400,0.17,0.921500
2025-04-30,11.3322050300,11.4405058600,11.4798879800,11.2731318500,13874080,160390529.2000,1.83,1.307800,0.15,1.284000
2025-05-06,11.5094245700,11.6571075200,11.6669530500,11.3814326800,16917605,198106500.6600,2.50,1.893300,0.22,1.565600
2025-05-07,11.7161807000,11.7063351700,11.7850994100,11.5783432800,16691787,197732433.7700,1.77,0.422300,0.05,1.544700
2025-05-08,11.6472619900,11.7063351700,11.7949449400,11.5783432800,11580360,137775656.4000,1.85,0.000000,0.00,1.071700
2025-05-09,11.6669530500,11.6472619900,11.7358717600,11.5881888100,8452630,100043077.1000,1.26,-0.504600,-0.06,0.782300
2025-05-12,11.7063351700,11.7949449400,11.8047904700,11.6866441100,11321800,135297243.8000,1.01,1.268000,0.15,1.047800
2025-05-13,11.8244815300,11.7850994100,11.9130913000,11.7260262300,11404448,136758279.8800,1.59,-0.083500,-0.01,1.055400
2025-05-14,11.7850994100,11.8244815300,11.8934002400,11.7260262300,10374308,124313571.4200,1.42,0.334200,0.04,0.960100
2025-05-15,11.7555628200,11.7161807000,11.9229368300,11.6866441100,11144780,133379738.4400,2.00,-0.915900,-0.11,1.031400
2025-05-16,11.6767985800,11.6866441100,11.7949449400,11.6472619900,6627417,78934258.1000,1.26,-0.252100,-0.03,0.613300
2025-05-19,11.6866441100,11.7555628200,11.7850994100,11.5684977500,9243490,109601276.4000,1.85,0.589700,0.07,0.855400
2025-05-20,11.7555628200,11.6669530500,11.7850994100,11.6472619900,7645080,90740290.0000,1.17,-0.753800,-0.09,0.707500
2025-05-21,11.6767985800,11.6964896400,11.8540181200,11.6571075200,13400397,159743813.3300,1.69,0.253200,0.03,1.240100
2025-05-22,11.6669530500,11.4601969200,11.6964896400,11.4601969200,11449847,134239360.4900,2.02,-2.020200,-0.24,1.059600
2025-05-23,11.4700424500,11.4109692700,11.6275709300,11.4109692700,8910173,104389350.8600,1.89,-0.429600,-0.05,0.824600
