日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,11.9462763000,12.0160792500,12.5445873000,11.8764733500,59005365,719704580.7000,0.00,1.859700,0.00,13.044500
2025-04-16,11.6471208000,11.3679090000,11.9163607500,11.2681905000,42696361,494422848.0700,5.39,-5.394200,-0.65,9.439000
2025-04-17,11.3280216000,11.2183312500,11.5972615500,11.2183312500,27592801,314655842.3100,3.33,-1.315800,-0.15,6.100000
2025-04-18,11.3280216000,11.3080779000,11.3978245500,11.1285846000,18798304,212536295.4800,2.40,0.800000,0.09,4.155800
2025-04-21,11.3280216000,11.7468393000,11.7568111500,11.2283031000,23271444,269280052.4000,4.67,3.880100,0.44,5.144700
2025-04-22,11.7468393000,11.5972615500,12.0958540500,11.5374304500,28170169,332095686.6500,4.75,-1.273300,-0.15,6.227700
2025-04-23,11.7169237500,11.8266141000,12.0858822000,11.6870082000,29605170,351952734.1000,3.44,1.977600,0.23,6.544900
2025-04-24,11.8166422500,11.3778808500,11.9562481500,11.2582186500,32058573,369097895.2800,5.90,-3.794300,-0.45,7.087300
2025-04-25,11.3778808500,11.8864452000,12.2155162500,11.3579371500,51602381,613947554.4000,7.54,4.469800,0.51,11.407900
2025-04-28,11.6670645000,11.5573741500,11.7468393000,11.3280216000,35518903,409872130.6900,3.52,-2.768500,-0.33,7.852300
2025-04-29,11.5374304500,11.5972615500,11.7069519000,11.3679090000,22542461,262294288.2100,2.93,0.345100,0.04,4.983500
2025-04-30,11.6471208000,11.9363044500,12.0559666500,11.5673460000,31339821,373714457.9400,4.21,2.923500,0.34,6.928400
2025-05-06,12.0858822000,12.5146717500,12.5146717500,12.0858822000,40943253,507549521.2700,3.59,4.845400,0.58,9.051500
2025-05-07,12.6941650500,12.4049814000,12.7141087500,12.2454318000,40112700,500555478.8000,3.75,-0.876500,-0.11,8.867800
2025-05-08,12.4648125000,12.5745028500,12.6941650500,12.3152347500,39779970,501255863.6000,3.05,1.366600,0.17,8.794300
2025-05-09,12.6642495000,12.3451503000,12.7141087500,12.1556851500,34241616,422980229.6200,4.44,-1.823900,-0.23,7.569900
2025-05-12,12.5745028500,12.8836302000,12.9733768500,12.5645310000,55906397,715403348.6200,3.31,4.361900,0.54,12.359400
2025-05-13,12.7839117000,12.5346154500,12.8836302000,12.4448688000,46618800,589958301.2000,3.41,-2.709000,-0.35,10.306200
2025-05-14,12.4448688000,12.9235176000,13.5517441500,12.3351784500,75052702,987144299.2800,9.71,3.102600,0.39,16.592100
2025-05-15,12.8636865000,12.3850377000,12.9035739000,12.3750658500,45007836,563512006.6800,4.09,-4.166700,-0.54,9.950000
2025-05-16,12.1756288500,12.4648125000,12.7340524500,12.1756288500,27944532,349419015.1600,4.51,0.644100,0.08,6.177800
2025-05-19,12.4548406500,12.2554036500,12.4548406500,12.0958540500,25219743,308975229.8100,2.88,-1.680000,-0.21,5.575400
2025-05-20,12.2454318000,12.3451503000,12.4149532500,12.0759103500,21559300,265839282.0000,2.77,0.732300,0.09,4.766200
2025-05-21,12.2653755000,13.5816597000,13.5816597000,12.1955725500,64276728,843565757.5600,11.23,10.016200,1.24,14.209900
