日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,17.6372947200,17.7453182400,17.8533417600,17.3230444800,12504998,224245692.7800,0.00,0.500600,0.00,4.433500
2025-04-16,17.5881931200,17.2837632000,18.6095064000,17.0677161600,15473300,277485267.0000,8.69,-2.601000,-0.46,5.485900
2025-04-17,17.5489118400,17.3721460800,17.9122636800,17.2641225600,13164101,235606234.7200,3.75,0.511400,0.09,4.667200
2025-04-18,17.3034038400,17.2248412800,17.6569353600,17.1855600000,10192400,180310696.0000,2.71,-0.847900,-0.15,3.613600
2025-04-21,16.5177782400,17.8140604800,17.9613652800,16.3606531200,20961725,370681105.2500,9.29,3.420800,0.59,7.431800
2025-04-22,17.7944198400,17.3230444800,17.8631620800,17.2935835200,13957351,247759591.1400,3.20,-2.756300,-0.49,4.948500
2025-04-23,17.4801696000,17.5980134400,17.7649588800,17.3328648000,10187055,182279472.2500,2.49,1.587300,0.27,3.611700
2025-04-24,17.5489118400,17.0087942400,17.5783728000,16.9007707200,10810000,188869181.0000,3.85,-3.348200,-0.59,3.832600
2025-04-25,17.0186145600,17.2346616000,17.5292712000,17.0186145600,9550573,168233703.8800,3.00,1.327900,0.23,3.386100
2025-04-28,17.4310680000,17.0578958400,17.8042401600,17.0480755200,11969375,211901754.2500,4.39,-1.025600,-0.18,4.243600
2025-04-29,17.1168177600,17.5194508800,17.6765760000,16.9302316800,15053700,268405147.0000,4.38,2.705800,0.46,5.337200
2025-04-30,17.7453182400,18.2461545600,18.7175299200,17.5390915200,24043327,448041169.5000,6.73,4.148000,0.73,8.524400
2025-05-06,18.2952561600,18.7077096000,18.7568112000,18.1184904000,20207246,381042609.9200,3.50,2.529600,0.46,7.164300
2025-05-07,18.8844753600,18.3836390400,18.9237566400,18.1381310400,15792800,296756142.0000,4.20,-1.732300,-0.32,5.599200
2025-05-08,18.3639984000,18.5702251200,18.7371705600,18.2461545600,11470875,216542457.5000,2.67,1.015000,0.19,4.066900
2025-05-09,18.5800454400,18.0595684800,18.6193267200,17.9810059200,9873000,182479822.0000,3.44,-2.749900,-0.51,3.500400
2025-05-12,18.1675920000,18.3247171200,18.4327406400,18.1283107200,7770729,144493891.7500,1.69,1.468200,0.27,2.755100
2025-05-13,18.7077096000,20.1611169600,20.1611169600,18.7077096000,19147496,387115124.3500,7.93,10.021400,1.84,6.788600
2025-05-14,20.1905779200,20.9565628800,21.1038676800,19.9057886400,66767568,1397690116.8700,5.94,3.945400,0.80,23.671900
2025-05-15,20.4262656000,19.5718977600,20.4262656000,19.5620774400,30426018,613527819.5400,4.12,-6.607300,-1.38,10.787300
