日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,30.1354308000,30.3028498600,30.8740443000,29.5642363600,5419038,166275203.5200,0.00,0.621300,0.00,4.679500
2025-04-16,30.0369490000,29.0915237200,30.0763417200,28.6582038000,4527100,134823211.0000,4.68,-3.997400,-1.21,3.909300
2025-04-17,28.8551674000,28.3430620400,29.4263618400,28.3135175000,4341550,127068318.5000,3.83,-2.572800,-0.75,3.749100
2025-04-18,28.2741247800,28.6680519800,29.1506128000,28.1657948000,3487600,101476255.0000,3.47,1.146600,0.32,3.011700
2025-04-21,28.5301774600,30.3126980400,30.6475361600,28.3824547600,5352550,160892302.0000,7.90,5.736900,1.64,4.622100
2025-04-22,30.2536089600,29.6430218000,30.3717871200,29.6233254400,3091000,93803138.0000,2.47,-2.209200,-0.67,2.669200
2025-04-23,29.9384672000,31.1399451600,31.5929614400,29.8498335800,7244550,226881215.0000,5.88,5.049800,1.50,6.255900
2025-04-24,31.0217670000,30.8444997600,31.3664533000,30.5293580000,4850756,152130340.7400,2.69,-0.948800,-0.30,4.188800
2025-04-25,31.0020706400,31.1005524400,31.6126578000,30.4407243800,4097400,129390922.8000,3.80,0.830100,0.26,3.538300
2025-04-28,30.8051070400,30.4801171000,31.0808560800,30.2043680600,3351370,103937429.4000,2.82,-1.994900,-0.62,2.894000
2025-04-29,30.4899652800,31.2187306000,31.3664533000,30.0172526400,4734645,148924573.5500,4.43,2.423300,0.74,4.088500
2025-04-30,31.2285787800,32.5383867200,33.0209475400,31.1497933400,5889862,192406437.0300,5.99,4.227100,1.32,5.086100
2025-05-06,32.8042875800,33.8678910200,33.9959173600,32.3118785800,6417448,216889216.0900,5.18,4.086000,1.33,5.541700
2025-05-07,34.4686300000,33.8777392000,35.2564844000,33.3951783800,8765100,304709732.2000,5.50,0.029100,0.01,7.569000
2025-05-08,33.9762210000,34.3996927400,34.6360490600,33.5921419800,5014000,174797851.6000,3.08,1.540700,0.52,4.329800
2025-05-09,34.4095409200,33.0012511800,34.4193891000,32.7944394000,5790295,195431986.5500,4.72,-4.065300,-1.40,5.000100
2025-05-12,33.4936601800,34.1928809600,34.3406036600,33.4936601800,4870640,168271971.4500,2.57,3.610900,1.19,4.206000
2025-05-13,34.6557454200,33.9072837400,34.6557454200,33.5921419800,4380030,151392966.5500,3.11,-0.835300,-0.29,3.782300
2025-05-14,33.5822938000,33.1785184200,34.0747028000,33.0012511800,4415290,149785981.6000,3.17,-2.149300,-0.73,3.812800
2025-05-15,33.1883666000,32.4399049200,33.1883666000,32.0164331800,4212575,138494683.5000,3.53,-2.226200,-0.74,3.637700
2025-05-16,32.1543077000,33.3065447600,33.5429010800,32.1543077000,4467425,150596142.1000,4.28,2.671500,0.87,3.857800
2025-05-19,33.8580428400,35.6208670600,36.0443388000,33.5625974400,12143975,432501130.2200,7.45,6.948600,2.31,10.486800
2025-05-20,36.1329724200,36.6746223200,38.0041266200,35.6799561400,11134013,418022369.9000,6.52,2.958300,1.05,9.614600
2025-05-21,36.6746223200,35.2170916800,36.6746223200,34.6655936000,7328733,263087363.6900,5.48,-3.974200,-1.46,6.328600
2025-05-22,35.2170916800,34.3701482000,35.5322334400,34.3504518400,5494585,194378397.1000,3.36,-2.404900,-0.85,4.744800
2025-05-23,34.5178709000,33.5330529000,34.9905835400,33.3951783800,6155005,212896422.7500,4.64,-2.435500,-0.84,5.315100
2025-05-26,31.9967368200,31.5437205400,32.3414231200,31.1694897000,7228215,232048682.4500,3.49,-5.932500,-1.99,6.241800
2025-05-27,31.5437205400,31.0907042600,31.5437205400,30.5195098200,3760500,118243077.0000,3.25,-1.436200,-0.45,3.247300
2025-05-28,31.1305523400,31.2002624700,31.7878192800,30.8218360500,3265570,102435629.2000,3.11,0.352300,0.11,2.819900
2025-05-29,31.2002624700,31.2002624700,32.0467426200,31.0708008000,4520230,143075643.3000,3.13,0.000000,0.00,3.903400
2025-05-30,31.2002624700,30.0849003900,31.2102210600,29.9554387200,3174400,96634297.9000,4.02,-3.574800,-1.12,2.741200
