日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,22.5585031000,22.1171002500,22.7181594500,21.8259622000,10693600,253637909.5300,0.00,-1.381900,0.00,1.991900
2025-04-16,21.9574439000,21.4221255500,22.0325763000,21.2718607500,9134888,209436830.1200,3.44,-3.142300,-0.69,1.701500
2025-04-17,21.4596917500,21.6099565500,21.7977875500,21.3563847000,6476566,148964980.3800,2.06,0.876800,0.19,1.206400
2025-04-18,21.6099565500,21.3282100500,21.7226551500,20.9807227000,8316400,188662696.0000,3.43,-1.303800,-0.28,1.549100
2025-04-21,21.2530776500,21.4503002000,21.6756974000,21.0840297500,5641500,128608355.0000,2.77,0.572400,0.12,1.050800
2025-04-22,21.3188185000,21.0276804500,21.5536072500,20.9995058000,6695400,151629547.0000,2.58,-1.970200,-0.42,1.247100
2025-04-23,21.1215959500,21.1215959500,21.2624692000,20.7741086000,8630500,193590893.0000,2.32,0.446600,0.09,1.607600
2025-04-24,21.2155114500,21.1309875000,21.2249030000,20.8961987500,4778500,107174661.0000,1.56,0.044500,0.01,0.890100
2025-04-25,21.1309875000,21.0088973500,21.2061199000,20.9713311500,3445800,77319271.0000,1.11,-0.577800,-0.12,0.641800
2025-04-28,20.9713311500,21.2061199000,21.7414382500,20.5768860500,10811600,244296707.0000,5.54,0.938800,0.20,2.013900
2025-04-29,21.2061199000,21.2624692000,21.7508298000,21.1309875000,5686500,129586731.0000,2.92,0.265700,0.06,1.059200
2025-04-30,21.2624692000,21.2342945500,21.3845593500,21.1967283500,4834700,109535125.0000,0.88,-0.132500,-0.03,0.900600
2025-05-06,21.3094269500,21.4784748500,21.5254326000,21.0558551000,7121297,162093498.0200,2.21,1.149900,0.24,1.326500
2025-05-07,21.6005650000,22.0607509500,22.1640580000,21.5629988000,13704537,318925162.3300,2.80,2.711000,0.58,2.552700
2025-05-08,22.0137932000,21.8353537500,22.0137932000,21.7132636000,5955200,138389113.0000,1.36,-1.021700,-0.23,1.109300
2025-05-09,21.8729199500,21.7696129000,22.0513594000,21.7038720500,5840500,135691389.0000,1.59,-0.301100,-0.07,1.087900
2025-05-12,21.8541368500,21.8353537500,21.9574439000,21.6475227500,5947300,137819352.0000,1.42,0.302000,0.07,1.107800
2025-05-13,21.9292692500,22.2110157500,22.3424974500,21.7038720500,11278100,264966180.0000,2.92,1.720400,0.38,2.100800
2025-05-14,22.1734495500,22.2767566000,22.3706721000,22.0513594000,5975200,141418078.0000,1.44,0.296000,0.07,1.113000
2025-05-15,22.2485819500,22.2673650500,22.7463341000,22.2297988500,6275096,150155204.2800,2.32,-0.042200,-0.01,1.168900
2025-05-16,22.2204073000,23.8921032000,24.2208074500,22.2204073000,18665605,464042977.8000,8.98,7.296500,1.62,3.476800
2025-05-19,23.8075792500,23.4788750000,23.9108863000,23.2440862500,10996600,274368452.9200,2.79,-1.729600,-0.41,2.048300
2025-05-20,23.4788750000,23.4037426000,23.5540074000,23.1971285000,7662035,190831279.4600,1.52,-0.320000,-0.08,1.427200
2025-05-21,23.3192186500,23.4976581000,23.6948806500,23.3192186500,8349995,209028153.0000,1.61,0.401300,0.09,1.555300
2025-05-22,23.4037426000,23.5070496500,23.7606215000,23.1219961000,8503954,212619494.8100,2.72,0.040000,0.01,1.584000
2025-05-23,23.6197482500,23.7136637500,24.0423680000,23.5070496500,8343500,211122563.2000,2.28,0.878900,0.21,1.554100
2025-05-26,23.9296694000,23.4319172500,24.5870779000,23.2346947000,9053004,228642683.8300,5.70,-1.188100,-0.28,1.686300
2025-05-27,23.5540074000,23.8545370000,23.8921032000,23.3943510500,6320678,159301352.8600,2.12,1.803600,0.42,1.177300
2025-05-28,23.8357539000,23.7794046000,24.0423680000,23.5070496500,4803492,121498022.6100,2.24,-0.315000,-0.08,0.894700
2025-05-29,23.7230553000,23.5352243000,23.8263623500,23.4507003500,5338982,134067649.9900,1.58,-1.026900,-0.24,0.994500
2025-05-30,23.3943510500,23.5258327500,23.6667060000,23.2440862500,4470675,111517772.4200,1.80,-0.039900,-0.01,0.832700
2025-06-03,23.4600919000,23.2253031500,23.5727905000,23.1877369500,5012719,124530467.6700,1.64,-1.277400,-0.30,0.933700
2025-06-04,23.3473933000,22.7745087500,23.3567848500,22.7181594500,9428355,229098824.4900,2.75,-1.941000,-0.45,1.756200
2025-06-05,22.7369425500,22.7745087500,22.8872073500,22.6712017000,4135800,100375511.0000,0.95,0.000000,0.00,0.770400
2025-06-06,22.7932918500,22.7745087500,22.9623397500,22.7181594500,3306579,80387958.8900,1.07,0.000000,0.00,0.615900
2025-06-09,22.7745087500,22.7087679000,22.9153820000,22.6712017000,4656135,112856763.3300,1.07,-0.288700,-0.07,0.867300
2025-06-10,22.7369425500,22.7651172000,23.0092975000,22.5585031000,6377045,154878211.8500,1.99,0.248100,0.06,1.187800
2025-06-11,22.7651172000,22.9905144000,23.0844299000,22.7087679000,5892505,143859391.8700,1.65,0.990100,0.23,1.097600
2025-06-12,22.9623397500,22.8872073500,23.0092975000,22.7369425500,5656761,137759821.5300,1.18,-0.449300,-0.10,1.053500
2025-06-13,22.8308580500,22.6242439500,22.9059904500,22.4927622500,8730712,211023115.6000,1.81,-1.149000,-0.26,1.626000
2025-06-16,22.7463341000,22.6993763500,23.0844299000,22.6712017000,7710626,187364338.8700,1.83,0.332100,0.08,1.432800
2025-06-17,22.6993763500,22.6148524000,22.8120749500,22.4645876000,7443234,179189778.1800,1.53,-0.372400,-0.08,1.383100
2025-06-18,22.6054608500,22.4458045000,22.6336355000,22.3424974500,3774500,90258502.0000,1.29,-0.747500,-0.17,0.701400
2025-06-19,22.4364129500,22.3800636500,22.7275510000,22.2579735000,5148017,122898872.7600,2.09,-0.292900,-0.07,0.956600
2025-06-20,22.3331059000,22.5021538000,22.6336355000,22.2579735000,8313902,198765831.2900,1.68,0.545500,0.12,1.544900
2025-06-23,22.2055506600,22.3933981500,22.4922652500,21.9386094900,8059571,181458340.5200,2.46,-0.483300,-0.11,1.497700
2025-06-24,22.1660038200,22.5812456400,22.7196595800,21.6321214800,15237127,342560554.7500,4.86,0.838900,0.19,2.831500
2025-06-25,22.2648709200,22.2549842100,22.4823785400,22.0177031700,16748460,376864273.7400,2.06,-1.444800,-0.33,3.112300
2025-06-26,22.2450975000,22.0078164600,22.2846443400,21.9287227800,10764904,240110990.8600,1.60,-1.110600,-0.25,1.918400
2025-06-27,22.0275898800,22.0770234300,22.4428317000,21.9386094900,11290884,253434879.1900,2.29,0.314500,0.07,2.012100
2025-06-30,22.0967968500,22.3044177600,22.3241911800,21.9781563300,10063152,225781841.7100,1.57,1.030000,0.23,1.759900
2025-07-01,22.2549842100,23.1250146900,23.1645615300,22.2253240800,18817661,433461178.7800,4.21,3.679100,0.82,3.257200
2025-07-02,22.9964874600,23.1546748200,23.2535419200,22.8679602300,9959065,232261722.5300,1.67,0.128300,0.03,1.723800
2025-07-03,23.1447881100,23.1942216600,23.3029754700,23.0953545600,5377001,126112661.2700,0.90,0.170800,0.04,0.922500
2025-07-04,23.1250146900,22.7888665500,23.2535419200,22.6998861600,9113820,210370706.5200,2.39,-1.747700,-0.41,1.563600
2025-07-07,22.7888665500,22.7987532600,22.8383001000,22.5021519600,5232989,120005648.7500,1.48,0.043400,0.01,0.897800
2025-07-08,23.0360343000,22.8778469400,23.2832020500,22.7690931300,9284926,215930316.1700,2.25,0.346900,0.08,1.593000
2025-07-09,22.9272804900,22.7592064200,22.9866007500,22.7394330000,5673842,131089965.8000,1.08,-0.518600,-0.12,0.973400
2025-07-10,22.7690931300,22.9866007500,23.0360343000,22.6603393200,6721266,155635263.7500,1.65,0.999100,0.23,1.141800
2025-07-11,22.9866007500,22.9173937800,23.1151279800,22.8679602300,6819112,158341682.7800,1.08,-0.301100,-0.07,1.158400
2025-07-14,22.9173937800,23.3820691500,23.5798033500,22.8481868100,9224319,216464094.0200,3.19,2.027600,0.46,1.567000
2025-07-15,24.3213066000,24.3311933100,24.9342826200,24.0049318800,23898676,589826947.1500,3.97,4.059200,0.95,4.024100
2025-07-16,24.3311933100,23.9060647800,24.6475680300,23.8566312300,10525785,257633606.1100,3.25,-1.747300,-0.43,1.772400
2025-07-17,23.9752717500,23.7478774200,24.0148185900,23.6292369000,7624675,183162681.0100,1.61,-0.661700,-0.16,1.283900
2025-07-18,23.7676508400,24.7068882900,25.1913370800,23.7676508400,17952101,447671046.2100,6.00,4.038300,0.96,3.022800
2025-07-21,24.6574547400,24.7662085500,25.0924699800,24.5289275100,9664944,242044957.5700,2.28,0.240100,0.06,1.627400
2025-07-22,24.7563218400,25.3099776000,25.3791845700,24.6277946100,12247017,310285470.8000,3.03,2.195600,0.54,2.062200
2025-07-23,25.2605440500,24.8453022300,25.6065789000,24.7167750000,12476564,317174353.5800,3.52,-1.835900,-0.46,2.100800
2025-07-24,24.7464351300,24.8947357800,24.9145092000,24.3015331800,10115016,251892929.4500,2.47,0.199000,0.05,1.703200
2025-07-25,24.9738294600,24.7167750000,25.3198643100,24.6970015800,7149815,180504279.4400,2.50,-0.714900,-0.18,1.203900
2025-07-28,24.7167750000,24.5684743500,24.8255288100,24.4004002800,8021655,199305515.7700,1.72,-0.600000,-0.15,1.344500
2025-07-29,24.6475680300,24.6772281600,24.8354155200,24.0543654300,10599448,262253597.3900,3.18,0.442700,0.11,1.776600
2025-07-30,24.7167750000,24.7563218400,25.1715636600,24.6179079000,10278209,258623761.4800,2.24,0.320500,0.08,1.722700
2025-07-31,24.7068882900,24.3213066000,24.7760952600,24.0939122700,10331263,253461208.7000,2.76,-1.757200,-0.44,1.731600
2025-08-01,24.2619863400,24.5190408000,24.7365484200,24.2619863400,8284074,206086655.3500,1.95,0.813000,0.20,1.388500
2025-08-04,24.5684743500,24.5684743500,24.6673414500,24.3806268600,4892504,121428802.8900,1.17,0.201600,0.05,0.820000
2025-08-05,24.6179079000,24.4992673800,24.6970015800,24.4498338300,4604080,114260792.5800,1.01,-0.281700,-0.07,0.771700
2025-08-06,24.5091540900,24.7464351300,24.8551889400,24.4597205400,7060442,176420453.3000,1.61,1.008900,0.25,1.183400
2025-08-07,24.8156421000,24.3213066000,24.8848490700,24.2619863400,7481125,184926157.9300,2.52,-1.717900,-0.43,1.253900
2025-08-08,24.2422129200,24.4696072500,24.5981344800,24.2224395000,4217778,104197790.5400,1.54,0.609800,0.15,0.706900
2025-08-11,24.5684743500,24.8947357800,25.4286181200,24.4893806700,14612791,369693651.8900,3.84,1.737400,0.43,2.449200
2025-08-12,24.8551889400,25.1122434000,25.2902041800,24.7068882900,7822301,198222040.1300,2.34,0.873700,0.22,1.311100
2025-08-13,25.2012237900,25.4286181200,25.4681649600,24.9145092000,9098573,232193649.2500,2.20,1.259800,0.32,1.525000
2025-08-14,25.4187314100,24.9441693300,25.4879383800,24.9145092000,7031833,178603537.4400,2.26,-1.905100,-0.48,1.178600
2025-08-15,24.9441693300,25.7944263900,25.8537466500,24.8551889400,8789932,227445517.5500,4.00,3.408600,0.85,1.473300
2025-08-18,25.9031802000,25.5670320600,26.0811409800,25.4681649600,10460206,270941519.3200,2.38,-0.881600,-0.23,1.753200
2025-08-19,25.5077118000,25.2803174700,25.6757858700,25.2407706300,7681658,197477515.8400,1.70,-1.121400,-0.29,1.287500
2025-08-20,25.3099776000,25.7647662600,25.9229536200,25.3099776000,9513174,246533140.0900,2.42,1.916300,0.48,1.594500
2025-08-21,25.8043131000,26.2887618900,26.4963828000,25.6065789000,12242958,323266664.7300,3.45,2.033800,0.52,2.052000
2025-08-22,26.4864960900,26.0910276900,26.4864960900,25.8339732300,9132154,241073143.2500,2.48,-0.752200,-0.20,1.530600
2025-08-25,26.1503479500,26.4271758300,26.5260429300,26.0415941400,10553769,280551086.0800,1.86,1.288400,0.34,1.768900
2025-08-26,26.4370625400,27.1489056600,27.2477727600,26.2986486000,12516911,340955693.8700,3.59,2.731000,0.72,2.097900
2025-08-27,26.8819644900,25.8932934900,26.9907183000,25.8636333600,21940997,585365616.4100,4.15,-4.624900,-1.26,3.677500
2025-08-28,25.9031802000,25.9526137500,26.3085353100,25.5077118000,11956303,313172025.5900,3.09,0.229100,0.06,2.004000
2025-08-29,26.0317074300,26.5754764800,27.0599252700,26.0119340100,12265307,329731600.3300,4.04,2.400000,0.62,2.055800
2025-09-01,26.6051366100,26.7830973900,27.2477727600,26.5557030600,14872015,404046032.1300,2.60,0.781300,0.21,2.492700
2025-09-02,27.0401518500,26.6446834500,27.0401518500,26.2788751800,10809092,290739728.9400,2.84,-0.516800,-0.14,1.811700
2025-09-03,26.7534372600,26.7633239700,26.9907183000,26.3184220200,9035359,243621023.6900,2.52,0.445300,0.12,1.514400
2025-09-04,26.7929841000,26.1800080800,26.8127575200,25.7647662600,9429975,251343938.9700,3.92,-2.179500,-0.58,1.580500
2025-09-05,26.2800000000,26.8000000000,27.0500000000,26.2600000000,16044183,430004713.2400,3.02,2.368200,0.62,2.689100
2025-09-08,26.8000000000,27.7200000000,27.8500000000,26.6700000000,14397235,394469030.7500,4.40,3.432800,0.92,2.413100
2025-09-09,27.7300000000,27.5500000000,28.3000000000,27.4000000000,13259685,369049150.2300,3.25,-0.613300,-0.17,2.222400
2025-09-10,27.6200000000,27.2900000000,27.7500000000,26.8900000000,8229209,224049200.6900,3.12,-0.943700,-0.26,1.379300
2025-09-11,27.3000000000,27.4700000000,27.5500000000,27.0600000000,8870226,242226732.6700,1.80,0.659600,0.18,1.486700
2025-09-12,27.5100000000,27.5900000000,27.6300000000,26.9800000000,11326983,309516914.4000,2.37,0.436800,0.12,1.898500
2025-09-15,27.4400000000,27.0600000000,27.5000000000,26.9800000000,10144592,275212797.3000,1.88,-1.921000,-0.53,1.700300
2025-09-16,27.1700000000,26.6700000000,27.4500000000,26.3100000000,10251733,273750947.3600,4.21,-1.441200,-0.39,1.718300
2025-09-17,26.6700000000,26.4100000000,26.7500000000,26.3500000000,6388322,169092914.6800,1.50,-0.974900,-0.26,1.070700
2025-09-18,26.4000000000,25.7700000000,26.4800000000,25.6300000000,8728352,227674277.9100,3.22,-2.423300,-0.64,1.463000
2025-09-19,25.7700000000,26.2000000000,26.3000000000,25.7600000000,7734977,201978006.5800,2.10,1.668600,0.43,1.296500
2025-09-22,26.1800000000,25.9500000000,26.2000000000,25.3300000000,12040457,308624977.9500,3.32,-0.954200,-0.25,2.018100
2025-09-23,25.7800000000,25.5100000000,25.8500000000,25.2500000000,7396153,188470504.0900,2.31,-1.695600,-0.44,1.239700
2025-09-24,25.5200000000,26.2900000000,26.3000000000,25.4300000000,6958499,180419492.4300,3.41,3.057600,0.78,1.166300
2025-09-25,26.2100000000,26.3500000000,26.5400000000,26.1500000000,6833173,180077535.7000,1.48,0.228200,0.06,1.145300
2025-09-26,26.3500000000,26.8200000000,26.9300000000,26.2500000000,9271951,247797013.7100,2.58,1.783700,0.47,1.554100
