日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,35.4814299800,35.2148241300,35.8775301000,34.6054393300,9488133,438504177.6700,0.00,-0.794000,0.00,6.185200
2025-04-16,34.9025144200,33.5009293800,35.0396260000,33.0438907800,11246211,500189509.7700,5.67,-4.867000,-1.71,7.331200
2025-04-17,33.6837448200,33.3028793200,34.4150065800,33.2571754600,7311135,324537252.0700,3.46,-0.591200,-0.20,4.766000
2025-04-18,33.3257312500,33.1733850500,33.7218313700,32.9829523000,5259100,229949144.0000,2.22,-0.388800,-0.13,3.428300
2025-04-21,32.6020868000,34.7501682200,34.8568105600,32.4878271500,9170790,407519672.6000,7.14,4.753200,1.58,5.978300
2025-04-22,34.4911796800,33.8589429500,34.7349336000,33.7827698500,7009190,314381669.5000,2.74,-2.564700,-0.89,4.569200
2025-04-23,34.5825874000,36.3421860100,36.8144592300,34.4302412000,19099154,895110572.1100,7.04,7.334100,2.48,12.450500
2025-04-24,36.4716802800,35.6870973500,37.0962997000,35.3367010900,12414000,589240152.0000,4.84,-1.802600,-0.66,8.092500
2025-04-25,35.7480358300,36.6087918600,36.9439535000,35.1157991000,13748900,655837081.0000,5.12,2.582700,0.92,8.962700
2025-04-28,36.3345687000,35.4052568800,36.4869149000,35.1462683400,8285400,387108243.0000,3.66,-3.287600,-1.20,5.401100
2025-04-29,35.1767375800,37.3324363100,38.5283539800,34.9101317300,16842811,818728254.9300,10.22,5.443200,1.93,10.979600
2025-04-30,38.0408461400,41.0649182100,41.0649182100,37.4009921000,18381963,945451932.6700,9.81,9.998000,3.73,11.982900
2025-05-06,41.6666857000,41.9713781000,43.1139746000,41.2858202000,20855101,1154522150.3200,4.45,2.207400,0.91,13.595100
2025-05-07,42.6417013800,43.0073322600,44.6450539100,41.8647357600,22508063,1272975732.4200,6.62,2.468200,1.04,14.672700
2025-05-08,42.6569360000,42.2836878100,44.5612635000,42.1084896800,17975200,1017917210.0000,5.70,-1.682600,-0.72,11.717800
2025-05-09,42.3522436000,43.2510861800,44.8811905200,40.8287816000,24971799,1393538588.7800,9.58,2.287900,0.97,16.278700
2025-05-12,45.0411540300,44.9573636200,46.4275044500,44.0966075900,23596100,1399286421.1900,5.39,3.945100,1.71,15.381900
2025-05-13,45.4753407000,44.0661383500,46.1380466700,43.8452363600,16630833,979215643.0900,5.10,-1.982400,-0.89,10.841400
2025-05-14,43.6548036100,44.8964251400,46.3132448000,43.5100747200,18462933,1091164992.4500,6.36,1.884200,0.83,12.035700
2025-05-15,44.8583385900,44.1956326200,45.2772906400,42.7178744800,15242100,877404248.0000,5.70,-1.560900,-0.70,9.936100
2025-05-16,44.1803980000,46.0237870200,47.6615086700,44.1727806900,23982590,1456769811.6000,7.89,4.136500,1.83,15.633900
2025-05-19,45.5515138000,44.9954501700,45.6962426900,43.5100747200,18574609,1080616496.4100,4.75,-2.234400,-1.03,12.108500
2025-05-20,45.0106847900,43.0835053600,45.0487713400,42.9692457100,14868590,849346907.7000,4.62,-4.249200,-1.91,9.692600
2025-05-21,42.9540110900,42.7483437200,43.5405439600,42.3674782200,10056349,566466339.6400,2.72,-0.777900,-0.34,6.555600
2025-05-22,42.5807629000,42.3598609100,43.1825303900,42.2836878100,6241000,348910714.0000,2.10,-0.908800,-0.39,4.068400
2025-05-23,42.0475512000,42.4207993900,43.9518787000,41.9180569300,11385600,642009394.1500,4.80,0.143900,0.06,7.422100
2025-05-26,41.4686356400,42.1770454700,43.0530361200,40.6002623000,11238008,615502742.5600,5.78,-0.574600,-0.24,7.325900
2025-05-27,41.9332915500,42.5045898000,43.0378015000,40.6916700200,10712418,591490509.0000,5.56,0.776600,0.33,6.983300
2025-05-28,42.3522436000,41.7200068700,42.9387764700,41.6438337700,8061301,446847593.9500,3.05,-1.845900,-0.78,5.255000
2025-05-29,41.7000000000,41.8200000000,42.4600000000,41.1100000000,8696162,364610764.8400,3.24,0.239700,0.10,4.360700
2025-05-30,41.5800000000,39.7600000000,41.7300000000,39.5000000000,14279984,576039129.4400,5.33,-4.925900,-2.06,7.160700
2025-06-03,39.2900000000,38.9700000000,40.1800000000,38.9500000000,9951469,391295850.7200,3.09,-1.986900,-0.79,4.990200
2025-06-04,39.0800000000,42.1300000000,42.8000000000,38.9100000000,21398498,879000997.1800,9.98,8.108800,3.16,10.730300
2025-06-05,42.0700000000,42.6000000000,43.1500000000,40.3300000000,20722359,866459299.5900,6.69,1.115600,0.47,10.391200
2025-06-06,42.5100000000,41.6900000000,42.8600000000,41.5000000000,10519547,440630158.2600,3.19,-2.136200,-0.91,5.275000
2025-06-09,41.5500000000,41.7800000000,43.0000000000,41.4500000000,12046282,507552374.3500,3.72,0.215900,0.09,6.040600
2025-06-10,41.7800000000,41.0500000000,41.9900000000,39.8700000000,13305396,542281950.1400,5.07,-1.747200,-0.73,6.672000
2025-06-11,41.8400000000,40.7700000000,41.9000000000,40.3700000000,11494630,473189373.9000,3.73,-0.682100,-0.28,5.764000
2025-06-12,40.1300000000,39.9800000000,40.7000000000,39.7100000000,8650809,346609032.5900,2.43,-1.937700,-0.79,4.337900
