日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,23.5026972000,23.2338104100,23.6222024400,23.0744700900,2322801,54348676.0200,0.00,-1.644200,0.00,1.120600
2025-04-16,23.7018726000,23.6222024400,24.8272136100,23.3632744200,5465700,131876393.3600,6.30,1.671700,0.39,2.636800
2025-04-17,23.5325735100,25.9824309300,25.9824309300,23.3831919600,14383125,364445972.6300,11.00,9.991600,2.36,6.938800
2025-04-18,25.9824309300,26.6098334400,27.2671122600,25.6936266000,19035446,506047434.4800,6.06,2.414700,0.63,9.183300
2025-04-21,26.4106580400,28.3426594200,29.2289899500,26.1118949400,18400546,517401619.6900,11.71,6.512000,1.73,8.877000
2025-04-22,27.8845560000,27.7849683000,28.6215049800,27.4364113500,11847606,333224001.0600,4.18,-1.967700,-0.56,5.715600
2025-04-23,28.0339375500,26.7990500700,28.1534427900,26.4604518900,12546040,339767238.1200,6.09,-3.548400,-0.99,6.052600
2025-04-24,26.6994623700,26.7492562200,27.3965762700,26.2911528000,7057969,188925694.3900,4.12,-0.185800,-0.05,3.405000
2025-04-25,26.6895036000,26.4704106600,26.7890913000,26.1218537100,8112771,215551076.8100,2.49,-1.042400,-0.28,4.095600
2025-04-28,26.6197922100,26.3210291100,26.7592149900,26.1417712500,5685058,150625557.4000,2.33,-0.564300,-0.15,2.870000
2025-04-29,26.1915651000,26.4006992700,26.5002869700,25.5940389000,7348735,192882575.7700,3.44,0.302700,0.08,3.709900
2025-04-30,26.4106580400,26.0820186300,26.6197922100,26.0521423200,6548005,173007049.5800,2.15,-1.207100,-0.32,3.305700
2025-05-06,26.0919774000,26.9384728500,26.9384728500,26.0919774000,7934380,212615684.6000,3.25,3.283700,0.86,4.005600
2025-05-07,27.3866175000,27.6555042900,28.6812576000,26.9085965400,17023073,470637364.4700,6.58,2.661700,0.72,8.593900
2025-05-08,27.3866175000,27.6754218300,27.6853806000,27.0480193200,11464085,314709997.0200,2.30,0.072000,0.02,5.787500
2025-05-09,27.5658753600,27.2571534900,27.6256279800,26.9783079300,7994902,218827506.7000,2.34,-1.511300,-0.42,4.036100
2025-05-12,26.9085965400,28.0936901700,28.5418348200,26.8986377700,12382814,347757474.6000,6.03,3.069100,0.84,6.251300
2025-05-13,28.0737726300,27.5857929000,28.5517935900,27.4862052000,11291802,317249038.5400,3.79,-1.807900,-0.51,5.700500
2025-05-14,27.3965762700,27.1575657900,28.0837314000,27.0878544000,7840774,215411241.2800,3.61,-1.552300,-0.43,3.958300
