日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,20.8768529200,20.7927097600,21.0638377200,20.6898681200,23852414,531673331.0000,0.00,-0.447600,0.00,1.300300
2025-04-16,20.7553128000,20.6431219200,20.7646620400,20.4748356000,22292310,490192666.6100,1.39,-0.719400,-0.15,1.215300
2025-04-17,20.5683280000,20.6431219200,20.7553128000,20.5028833200,16555752,365451292.8500,1.22,0.000000,0.00,0.902600
2025-04-18,20.6524711600,20.5309310400,20.6524711600,20.4467878800,12296101,270139908.0100,1.00,-0.543500,-0.11,0.670300
2025-04-21,20.5122325600,20.6150742000,20.6431219200,20.3719939600,19689268,432070211.1400,1.32,0.409800,0.08,1.073400
2025-04-22,20.5402802800,20.6524711600,20.7646620400,20.5028833200,18453509,407997797.0100,1.27,0.181400,0.04,1.006000
2025-04-23,20.6898681200,20.8207574800,20.9703453200,20.6150742000,19321715,429636000.2900,1.72,0.814800,0.17,1.053300
2025-04-24,20.7833605200,20.9422976000,21.0544884800,20.7740112800,18351696,410947528.5300,1.35,0.583700,0.12,1.000500
2025-04-25,20.8768529200,21.0638377200,21.1760286000,20.8020590000,20966630,472070051.7100,1.79,0.580400,0.12,1.143000
2025-04-28,20.9235991200,21.3069179600,21.4097596000,20.5963757200,29089556,657970967.6600,3.86,1.154000,0.24,1.585800
2025-04-29,21.1386316400,20.8301067200,21.3162672000,20.6898681200,27087170,606862400.3700,2.94,-2.237800,-0.48,1.476700
2025-04-30,20.8488052000,20.8768529200,21.3910611200,20.8114082400,30041961,678265580.0900,2.78,0.224400,0.05,1.637800
2025-05-06,21.1105839200,20.8581544400,21.1853778400,20.7833605200,33413044,747826445.6300,1.93,-0.089600,-0.02,1.821500
2025-05-07,21.0825362000,21.6341413600,21.7930784400,21.0170915200,54205153,1239877107.9300,3.72,3.720300,0.78,2.955000
2025-05-08,21.5499982000,21.4191088400,21.5873951600,21.3162672000,27858828,638229431.6700,1.25,-0.993900,-0.22,1.518700
2025-05-09,21.4097596000,21.4658550400,21.7276337600,21.4097596000,25526011,589147784.7500,1.48,0.218200,0.05,1.391600
2025-05-12,21.5032520000,21.4191088400,21.5967444000,21.2508225200,24405365,558259690.9800,1.61,-0.217800,-0.05,1.330500
2025-05-13,21.5032520000,21.4939027600,21.5312997200,21.2508225200,22039238,504397262.4000,1.31,0.349200,0.07,1.201500
2025-05-14,21.4471565600,21.7930784400,21.8772216000,21.3817118800,31547405,731760722.0500,2.31,1.391900,0.30,1.719800
2025-05-15,21.7930784400,21.8772216000,22.1296510800,21.7837292000,26991813,634341266.3100,1.59,0.386100,0.08,1.471500
2025-05-16,21.9707140000,22.3633820800,22.3820805600,21.8398246400,29716190,704099337.8700,2.48,2.222200,0.49,1.620000
2025-05-19,22.3446836000,22.4007790400,22.4194775200,21.7182845200,37921220,899242449.0200,3.14,0.167200,0.04,2.067300
2025-05-20,22.4288267600,22.2605404400,22.7280024400,22.1950957600,36164141,866729056.4800,2.38,-0.626000,-0.14,1.971500
2025-05-21,22.2792389200,22.4942714400,22.5223191600,22.2324927200,34416084,826081632.4800,1.30,1.050000,0.23,1.876200
2025-05-22,22.5141071200,22.2065102400,22.6927117600,22.1767428000,28079409,631803457.6800,2.29,-1.279200,-0.29,1.530800
2025-05-23,22.2164327200,22.0576730400,22.4644947200,22.0378280800,24372752,545376068.2800,1.92,-0.670200,-0.15,1.328700
2025-05-26,22.0775180000,21.9187583200,22.1568978400,21.8294560000,15734280,348220579.6000,1.48,-0.629800,-0.14,0.857800
2025-05-27,21.9584482400,21.8889908800,21.9683707200,21.6905412800,12890979,283497867.9900,1.27,-0.135800,-0.03,0.702800
2025-05-28,21.9286808000,21.6310064000,21.9485257600,21.5913164800,15439171,338000284.8700,1.63,-1.178600,-0.26,0.841700
2025-05-29,21.6111614400,21.6111614400,21.7203087200,21.5020141600,16828352,366490693.0400,1.01,-0.091700,-0.02,0.917400
2025-05-30,21.5417040800,21.6310064000,21.8790684000,21.5119366400,16802928,367302758.4700,1.70,0.091800,0.02,0.916000
2025-06-03,21.5813940000,21.5516265600,21.6310064000,21.3829444000,16947912,366822666.0000,1.15,-0.367000,-0.08,0.923900
2025-06-04,21.5516265600,21.8691459200,21.8691459200,21.5218591200,19502422,427467867.0800,1.61,1.473300,0.32,1.063200
2025-06-05,21.8691459200,22.3057350400,22.3851148800,21.8493009600,24531422,549833277.1100,2.45,1.996400,0.44,1.337400
2025-06-06,22.3057350400,22.0775180000,22.3950373600,22.0775180000,11831206,264938358.7400,1.42,-1.023100,-0.23,0.645000
2025-06-09,22.0378280800,22.0080606400,22.2759676000,21.9386032800,13953664,309784560.5200,1.53,-0.314600,-0.07,0.760700
2025-06-10,22.0477505600,21.9187583200,22.1568978400,21.8096110400,12978658,287555189.9000,1.58,-0.405800,-0.09,0.707500
2025-06-11,21.9386032800,21.9286808000,22.0874404800,21.8294560000,13720113,304079156.0800,1.18,0.045300,0.01,0.752600
2025-06-12,21.9782932000,22.1271304000,22.1866652800,21.8592234400,15758809,349266780.4400,1.49,0.905000,0.20,0.864400
2025-06-13,22.0874404800,22.6530218400,22.6728668000,22.0775180000,37252063,844533811.1800,2.69,2.376700,0.53,2.043500
2025-06-16,22.5537970400,22.4248048000,22.8613939200,22.4148823200,18863588,429810709.4800,1.97,-1.007400,-0.23,1.034800
2025-06-17,22.4744172000,22.5240296000,22.7026342400,22.3553474400,13307122,302076571.9400,1.55,0.442500,0.10,0.730000
2025-06-18,22.5438745600,22.4644947200,22.6232544000,22.3355024800,9221900,208419767.9800,1.28,-0.264300,-0.06,0.505900
2025-06-19,22.4843396800,22.2561226400,22.5141071200,22.1866652800,9422481,212100210.0000,1.46,-0.927600,-0.21,0.516900
2025-06-20,22.2462001600,22.1271304000,22.3553474400,22.0874404800,14652933,328097921.4700,1.20,-0.579600,-0.13,0.803800
2025-06-23,22.1271304000,22.0080606400,22.3652699200,21.9485257600,13090558,291546028.5500,1.88,-0.538100,-0.12,0.718100
2025-06-24,22.0080606400,22.0874404800,22.2263552000,21.9485257600,15294011,340399202.5000,1.26,0.360700,0.08,0.839000
2025-06-25,22.0874404800,21.8294560000,22.1767428000,21.6607738400,29659775,652509773.3000,2.34,-1.168000,-0.26,1.627000
2025-06-26,21.8393784800,21.7401536800,21.9683707200,21.6806188000,23197227,508653584.9600,1.32,-0.409100,-0.09,1.272500
2025-06-27,21.7897660800,22.2660451200,22.4843396800,21.7302312000,34647060,775557036.7200,3.47,2.419000,0.53,1.900600
2025-06-30,22.2065102400,21.7996885600,22.2660451200,21.7798436000,35208421,776546446.9600,2.18,-2.094500,-0.47,1.931400
2025-07-01,21.8393784800,21.9088358400,21.9386032800,21.7401536800,17379676,383061497.2400,0.91,0.500700,0.11,0.953400
2025-07-02,21.9088358400,22.2065102400,22.3057350400,21.8790684000,22287720,496898567.6800,1.95,1.358700,0.30,1.222600
2025-07-03,22.1767428000,22.2561226400,22.3156575200,22.0378280800,14897578,333236573.7300,1.25,0.223400,0.05,0.817200
2025-07-04,22.2759676000,22.0179831200,22.2759676000,21.9088358400,15783123,349760070.6900,1.65,-1.070000,-0.24,0.865800
2025-07-07,22.0279056000,22.1965877600,22.2164327200,21.7203087200,15649533,347870944.6700,2.25,0.811200,0.18,0.858500
2025-07-08,22.1866652800,22.3454249600,22.4744172000,22.1370528800,17122161,385318697.9300,1.52,0.670500,0.15,0.939200
2025-07-09,22.3751924000,22.2164327200,22.3950373600,22.1271304000,13059898,292285451.9800,1.20,-0.577300,-0.13,0.716400
2025-07-10,22.2362776800,22.7621691200,22.7820140800,22.1568978400,29810388,676706011.6600,2.81,2.456500,0.55,1.635200
2025-07-11,22.7621691200,22.4347272800,22.8018590400,22.4148823200,23907764,544663501.1200,1.70,-1.438500,-0.33,1.311500
2025-07-14,22.5240296000,22.5240296000,22.7621691200,22.4049598400,18110068,411613454.4100,1.59,0.398100,0.09,0.993400
2025-07-15,22.5240296000,22.6927117600,23.0796884800,22.5240296000,31260790,719740745.3400,2.47,0.748900,0.17,1.714800
2025-07-16,22.6728668000,22.5240296000,22.8316264800,22.4942621600,17831950,406115185.0200,1.49,-0.743300,-0.17,0.978200
2025-07-17,22.5339520800,22.3553474400,22.6430993600,22.2858900800,23711132,534720671.0200,1.59,-0.748900,-0.17,1.300700
2025-07-18,22.3454249600,22.9010838400,22.9705412000,22.3454249600,32788821,751905791.7400,2.80,2.441200,0.55,1.798600
2025-07-21,23.0697660000,24.2604636000,24.3299209600,23.0697660000,67118427,1629095487.8500,5.50,5.935900,1.36,3.681800
2025-07-22,24.2803085600,24.8558124000,24.8756573600,24.1513163200,49621683,1227126012.8200,2.99,2.454000,0.60,2.722000
2025-07-23,24.9947271200,24.6871302400,25.3916263200,24.6375178400,42999435,1080073534.0300,3.03,-0.678600,-0.17,2.358700
2025-07-24,24.5184480800,24.5581380000,24.7268201600,24.2009287200,33390772,822508739.5700,2.13,-0.522500,-0.13,1.831600
2025-07-25,24.6871302400,24.5581380000,24.9649596800,24.5184480800,27597080,687824498.2500,1.82,0.000000,0.00,1.513800
2025-07-28,24.3299209600,24.5085256000,24.6077504000,24.1017039200,22422598,550744640.9700,2.06,-0.202000,-0.05,1.230000
2025-07-29,24.4489907200,24.3199984800,24.5382930400,23.9627892000,21355900,521725462.5600,2.35,-0.769200,-0.19,1.171500
2025-07-30,24.2306961600,25.0046496000,25.3519364000,24.2306961600,37802361,952585331.8600,4.61,2.815200,0.68,2.073600
2025-07-31,24.8062000000,24.4688356800,25.0344170400,24.4291457600,23569415,585910673.2400,2.42,-2.142900,-0.54,1.292900
2025-08-01,24.4390682400,24.0322465600,24.5978279200,23.9826341600,18680853,456202432.7300,2.51,-1.784300,-0.44,1.024700
2025-08-04,23.8834093600,24.0719364800,24.3100760000,23.8139520000,14814044,359294152.6100,2.06,0.165200,0.04,0.812600
2025-08-05,24.1314713600,24.0520915200,24.2207736800,23.9627892000,15865178,384634496.7600,1.07,-0.082400,-0.02,0.870300
2025-08-06,24.0620140000,24.3696108800,24.5482155200,24.0520915200,16253133,398833367.6700,2.06,1.320100,0.32,0.891600
