日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,30.5838360000,30.4060230000,31.1172750000,30.2776025000,11827989,366367804.4100,0.00,-0.613500,0.00,2.475600
2025-04-16,30.4751725000,30.0306400000,30.8011630000,29.6848925000,10703100,326698234.0000,3.67,-1.234600,-0.38,2.240200
2025-04-17,29.8923410000,30.3763875000,31.0086115000,29.7836775000,12144300,375240107.0000,4.08,1.151300,0.35,2.541800
2025-04-18,30.3269950000,30.5542005000,30.8900695000,30.0899110000,11787736,365325979.4000,2.63,0.585400,0.18,2.467200
2025-04-21,30.7023780000,31.5618075000,31.6112000000,30.4850510000,16966560,538307688.0000,3.69,3.297800,1.01,3.551100
2025-04-22,31.5618075000,31.2753310000,31.5618075000,31.1271535000,11481301,364194622.7800,1.38,-0.907700,-0.29,2.403100
2025-04-23,31.3444805000,31.5222935000,32.0359755000,31.1271535000,16064902,513121888.4000,2.91,0.789600,0.25,3.362400
2025-04-24,31.5025365000,31.1073965000,31.5025365000,30.9789760000,9702665,306093711.6800,1.66,-1.316200,-0.41,2.030800
2025-04-25,30.9789760000,31.3444805000,31.9075550000,30.7023780000,20437510,649016665.4800,3.87,0.762100,0.24,4.277600
2025-04-28,31.4630225000,30.8011630000,31.4926580000,30.6529855000,10783300,337120571.8000,2.68,-1.733400,-0.54,2.257000
2025-04-29,28.9538835000,28.8748555000,29.1613320000,28.4006875000,22908123,669407318.8900,2.47,-6.254000,-1.93,4.794700
2025-04-30,28.6970425000,28.8254630000,29.0131545000,28.6476500000,8925865,260869102.4700,1.27,-0.171100,-0.05,1.868200
2025-05-06,28.8057060000,29.4280515000,29.4972010000,28.7563135000,12368315,366761885.5300,2.57,2.090500,0.60,2.588700
2025-05-07,29.6355000000,30.1393035000,30.4850510000,29.5268365000,16057749,487062769.5800,3.26,2.416900,0.71,3.360900
2025-05-08,30.0800325000,30.4257800000,30.4949295000,29.7342850000,11714000,357865981.9900,2.52,0.950500,0.29,2.451800
2025-05-09,30.5245650000,29.8725840000,30.6035930000,29.7639205000,8786701,267025069.2800,2.76,-1.818200,-0.55,1.839100
2025-05-12,30.1195465000,30.5838360000,31.1271535000,29.9911260000,17355799,538472946.2400,3.80,2.381000,0.71,3.632600
2025-05-13,30.9197050000,29.9516120000,30.9493405000,29.8627055000,12394234,379086314.8400,3.55,-2.067200,-0.63,2.594100
2025-05-14,29.9318550000,29.8923410000,30.1393035000,29.7342850000,8002700,242489788.0000,1.35,-0.197900,-0.06,1.675000
2025-05-15,29.8627055000,29.3687805000,29.9219765000,29.3095095000,8294600,248181812.9000,2.05,-1.751500,-0.52,1.736100
2025-05-16,29.2798740000,29.7836775000,30.0405185000,29.2502385000,9702802,292676991.5700,2.69,1.412700,0.41,2.030800
2025-05-19,29.8429485000,29.4873225000,29.9120980000,29.3589020000,5904300,176323625.0000,1.86,-0.995000,-0.30,1.235800
2025-05-20,29.4478085000,29.4873225000,29.6058645000,29.2699955000,4879800,145444672.9800,1.14,0.000000,0.00,1.021400
2025-05-21,29.4972010000,29.5367150000,29.6157430000,29.2403600000,5884806,175283301.3700,1.27,0.167500,0.05,1.231700
2025-05-22,29.4576870000,28.9637620000,29.4774440000,28.9341265000,6660244,196604450.2000,1.84,-1.939800,-0.57,1.394000
2025-05-23,28.9440050000,28.6674070000,29.2206030000,28.6476500000,4621596,135361364.6800,1.98,-1.023200,-0.30,0.967300
2025-05-26,28.8057060000,29.0427900000,29.0427900000,28.6674070000,4358333,127456338.6200,1.31,1.309400,0.38,0.912200
2025-05-27,29.0329115000,28.6772855000,29.0329115000,28.5488650000,4445100,129059114.0000,1.67,-1.258500,-0.37,0.930400
2025-05-28,28.6476500000,28.8748555000,29.4181730000,28.6081360000,6204341,181828469.3800,2.82,0.688900,0.20,1.298600
2025-05-29,28.8946125000,29.0427900000,29.1613320000,28.6871640000,6657845,195527142.7700,1.64,0.581600,0.17,1.393500
2025-05-30,29.0526685000,28.9736405000,29.1909675000,28.7365565000,5422835,158939586.6000,1.56,-0.238100,-0.07,1.135000
2025-06-03,28.9440050000,29.0329115000,29.2206030000,28.8946125000,6112492,179828151.7200,1.13,0.204600,0.06,1.279400
2025-06-04,29.0526685000,29.3292665000,29.3885375000,29.0526685000,5903315,174997798.5600,1.16,1.020800,0.30,1.235600
2025-06-05,29.3589020000,29.1613320000,29.3589020000,29.1020610000,5435661,160644976.1300,0.88,-0.572600,-0.17,1.137700
2025-06-06,29.2403600000,29.5169580000,29.6947710000,29.2206030000,8901997,265768687.5200,1.63,1.219500,0.36,1.863200
2025-06-09,29.6058645000,30.0800325000,30.3072380000,29.4478085000,11971615,362351266.8400,2.91,1.907600,0.56,2.505700
2025-06-10,30.0800325000,29.6552570000,30.1195465000,29.4478085000,7677621,231420496.8000,2.23,-1.412200,-0.42,1.606900
2025-06-11,29.7441635000,29.8923410000,30.1393035000,29.7342850000,6738100,204071514.4300,1.37,0.799500,0.24,1.410300
2025-06-12,29.7836775000,29.5367150000,29.8231915000,29.4873225000,5446007,163127652.6300,1.12,-1.189700,-0.36,1.139900
2025-06-13,29.7046495000,29.5169580000,29.9120980000,29.3687805000,7773635,232944267.5700,1.84,-0.066900,-0.02,1.627000
2025-06-16,29.5268365000,29.3490235000,29.6651355000,29.2206030000,7303486,217534167.3200,1.51,-0.568900,-0.17,1.528600
2025-06-17,29.2897525000,29.6552570000,30.0997895000,29.2403600000,8374117,252002183.3900,2.93,1.043400,0.31,1.752700
2025-06-18,29.5861075000,29.5169580000,29.6355000000,29.2107245000,5257767,156613101.2400,1.43,-0.466400,-0.14,1.100500
2025-06-19,29.4280515000,28.9143695000,29.4280515000,28.7859490000,7023940,206549852.8000,2.18,-2.041500,-0.60,1.470100
2025-06-20,28.9143695000,28.5982575000,28.9835190000,28.5982575000,5351970,155860540.4300,1.33,-1.093300,-0.32,1.120200
2025-06-23,28.6476500000,28.8452200000,28.9044910000,28.4994725000,3685700,107236051.0000,1.42,0.863600,0.25,0.771400
2025-06-24,28.9044910000,29.0921825000,29.1514535000,28.6970425000,5780934,169684452.6900,1.58,0.856200,0.25,1.210000
2025-06-25,29.2008460000,30.2183315000,30.4751725000,29.1415750000,19353925,588373118.6300,4.58,3.871000,1.13,4.050800
2025-06-26,30.3072380000,30.5245650000,31.0086115000,30.2183315000,18308509,569556583.3500,2.62,1.013400,0.31,3.832000
2025-06-27,30.5048080000,30.6332285000,30.9197050000,30.4257800000,10383654,322549981.1300,1.62,0.356000,0.11,2.173300
2025-06-30,30.7517705000,31.0481255000,31.1172750000,30.6233500000,12650449,396620477.2200,1.61,1.354400,0.41,2.647800
2025-07-01,30.9295835000,31.2259385000,31.3938730000,30.8209200000,12532359,394973561.8300,1.85,0.572700,0.18,2.623100
2025-07-02,32.1742745000,31.0283685000,32.3718445000,30.9493405000,29610813,952322899.6500,4.56,-0.632700,-0.20,6.197600
2025-07-03,31.1172750000,30.8110415000,31.4729010000,30.6233500000,14108669,441583335.8000,2.74,-0.700400,-0.22,2.953000
2025-07-04,30.6529855000,30.2578455000,30.7814060000,30.1294250000,11816801,363188127.5700,2.12,-1.795400,-0.55,2.473300
2025-07-07,30.2578455000,30.3171165000,30.5146865000,30.1491820000,5619200,172615434.9900,1.21,0.195900,0.06,1.176100
2025-07-08,30.4060230000,30.4554155000,30.5640790000,30.2874810000,6762042,208359506.0600,0.91,0.456200,0.14,1.415300
2025-07-09,30.4652940000,30.0899110000,30.5344435000,29.9614905000,8093501,247769578.3800,1.88,-1.200100,-0.37,1.694000
2025-07-10,30.0800325000,30.4554155000,30.4652940000,30.0405185000,7086551,217219748.2300,1.41,1.214700,0.37,1.483200
2025-07-11,30.5048080000,30.8505555000,31.1172750000,30.3566305000,11880649,370297258.0200,2.50,1.297400,0.40,2.486600
