日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,29.9194118000,30.4841159300,30.7714215400,29.6221991000,45170029,1380224398.0000,0.00,-0.420700,0.00,1.249700
2025-04-16,31.3559398500,31.4153823900,31.4550107500,30.6426293700,52579903,1652354062.4100,2.66,3.054900,0.93,1.454700
2025-04-17,32.1782283200,31.3460327600,33.1194018700,30.9002137100,70182698,2253322965.8000,7.06,-0.220800,-0.07,1.941700
2025-04-18,30.9596562500,31.0091917000,31.4252894800,30.3156954000,36690708,1140914556.4400,3.54,-1.074600,-0.34,1.015100
2025-04-21,31.8314801700,33.4859642000,33.4859642000,31.8017589000,71111883,2341614959.5200,5.43,7.987200,2.48,1.967400
2025-04-22,33.6841060000,33.6345705500,34.9621206100,33.4859642000,78836446,2709540443.8000,4.41,0.443800,0.15,2.181200
2025-04-23,31.7026880000,31.0488200600,32.6537686400,30.9200278900,91282716,2916719471.1100,5.15,-7.687800,-2.59,2.525500
2025-04-24,31.4054753000,30.9596562500,31.7026880000,30.9101208000,39802288,1256877734.6400,2.55,-0.287200,-0.09,1.101200
2025-04-25,31.1577980500,30.3751379400,31.3361256700,30.2661599500,41630931,1289057199.6200,3.46,-1.888000,-0.58,1.151800
2025-04-28,29.7708054500,30.5633726500,30.7615144500,29.7608983600,32136458,985419632.1600,3.29,0.619700,0.19,0.889100
2025-04-29,30.8011428100,30.1670890500,30.8605853500,30.0977394200,23241420,710944156.9700,2.50,-1.296600,-0.40,0.643000
2025-04-30,30.1571819600,30.0184827000,30.5435584700,29.8104338100,22830552,693055590.0400,2.43,-0.492600,-0.15,0.631600
2025-05-06,30.7119790000,30.6228151900,31.0389129700,30.4246733900,36384708,1128646293.7700,2.05,2.013200,0.60,1.006600
2025-05-07,30.4147663000,30.8308640800,31.0091917000,30.1968103200,35745011,1106924407.1100,2.65,0.679400,0.21,0.988900
2025-05-08,30.6525364600,30.0779252400,30.8903066200,29.9986685200,31725671,973027588.3600,2.89,-2.442200,-0.75,0.877700
2025-05-09,29.3448005800,29.9293188900,30.0878323300,29.3348934900,29281289,879192448.6300,2.50,-0.494100,-0.15,0.810100
2025-05-12,29.3051722200,29.0376807900,29.5528494700,28.7107468200,48368229,1415912064.8900,2.81,-2.979100,-0.89,1.338200
2025-05-13,28.8296319000,29.5132211100,29.7311770900,28.7206539100,45487511,1339072965.9900,3.48,1.637700,0.48,1.258500
2025-05-14,29.2853580400,29.0079595200,29.5825707400,28.8296319000,27428131,802863468.9000,2.55,-1.712000,-0.51,0.758800
2025-05-15,28.7305610000,28.8791673500,29.0277737000,28.5819546500,27367177,795115265.0800,1.54,-0.444000,-0.13,0.757200
2025-05-16,29.1070304200,29.0773091500,29.2754509500,28.8890744400,21657832,635402151.2500,1.34,0.686100,0.20,0.599200
2025-05-19,29.2259155000,28.9386098900,29.5528494700,28.7900035400,18671058,548111468.8300,2.62,-0.477000,-0.14,0.516600
2025-05-20,28.9088886200,29.0773091500,29.5132211100,28.8296319000,22878893,674370677.8200,2.36,0.479300,0.14,0.633000
2025-05-21,29.7807125400,30.4147663000,30.4742088400,29.1763800500,59473779,1795950285.3200,4.46,4.599700,1.34,1.645400
2025-05-22,30.4444875700,30.4444875700,31.0488200600,30.3256024900,38252265,1184213903.4600,2.38,0.097700,0.03,1.058300
2025-05-23,30.2760670400,30.5336513800,30.7912357200,29.9194118000,35370677,1086040044.7300,2.86,0.292900,0.09,0.978600
2025-05-26,30.2166245000,30.7317931800,30.9992846100,30.1175536000,33160043,1026173544.2500,2.89,0.648900,0.20,0.917400
2025-05-27,30.5435584700,29.7807125400,30.9101208000,29.5528494700,22729116,689263220.2500,4.42,-3.094800,-0.95,0.628800
2025-05-28,29.7212700000,29.8104338100,30.0184827000,29.6420132800,11736733,353112169.8600,1.26,0.099800,0.03,0.324700
2025-05-29,29.1268446000,29.6023849200,29.6519203700,28.9683311600,21899629,648626682.8900,2.29,-0.697900,-0.21,0.605900
2025-05-30,29.8896905300,29.7212700000,30.0184827000,29.5231282000,14289874,429535600.5300,1.67,0.401600,0.12,0.395400
