日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,47.4157629900,47.7036546900,48.1067030700,46.7344193000,1429151,70683072.3900,0.00,0.505500,0.00,0.450700
2025-04-16,47.7036546900,48.6728900800,49.2198843100,47.5789016200,2935433,148892196.5900,3.44,2.031800,0.97,0.925700
2025-04-17,48.6536973000,47.7996185900,48.6536973000,47.5117268900,2125937,106183321.2500,2.35,-1.794200,-0.87,0.670400
2025-04-18,47.7516366400,47.5117268900,47.7804258100,47.1374676800,855600,42303870.0000,1.35,-0.602300,-0.29,0.269800
2025-04-21,47.5117268900,48.3849983800,48.6345045200,47.3102027000,1547380,77829337.8000,2.79,1.838000,0.87,0.488000
2025-04-22,48.4617695000,49.6901074200,50.1699269200,47.6940583000,3153764,162078529.9200,5.12,2.697300,1.31,0.994500
2025-04-23,48.6920828600,47.5405160600,49.0663420700,47.5117268900,2680100,134571997.0000,3.13,-4.326000,-2.15,0.845200
2025-04-24,47.5693052300,47.6556727400,48.1738778000,47.0223110000,1550400,77027745.0000,2.42,0.242200,0.12,0.488900
2025-04-25,47.5884980100,48.4809622800,48.6153117400,47.4061666000,1493423,74920267.9700,2.54,1.731800,0.83,0.470900
2025-04-28,47.9723536100,48.7208720300,48.7976431500,47.8859861000,1078302,54563847.3100,1.88,0.494900,0.24,0.340000
2025-04-29,47.8667933200,46.7152265200,48.0395283400,45.7747803000,3903401,188883713.9600,4.65,-4.116600,-2.01,1.230900
2025-04-30,46.5904734500,46.0530756100,46.6864373500,45.9859008800,2280398,109896593.4400,1.50,-1.417400,-0.66,0.719100
2025-05-06,46.5232987200,46.6576481800,46.7536120800,46.2929853600,1673031,81191280.1800,1.00,1.312800,0.60,0.527600
2025-05-07,46.8591723700,48.2122633600,48.4233839400,46.8591723700,3862080,191410288.6800,3.35,3.332000,1.55,1.217900
2025-05-08,47.9147752700,47.3965702100,47.9627572200,47.2430279700,1567000,77588077.0000,1.49,-1.691900,-0.82,0.494200
2025-05-09,47.4061666000,47.3773774300,47.5693052300,47.2910099200,847508,41877552.7200,0.59,-0.040500,-0.02,0.267300
2025-05-12,47.3102027000,47.0990821200,47.4541485500,46.5712806700,2000470,97861587.4600,1.86,-0.587400,-0.28,0.630800
2025-05-13,47.0894857300,47.0031182200,47.5309196700,46.9551362700,1711134,84109854.0800,1.22,-0.203700,-0.10,0.539600
2025-05-14,46.9263471000,46.6384554000,46.9263471000,46.2833889700,2054700,99551793.0000,1.37,-0.775800,-0.36,0.647900
2025-05-15,46.6384554000,46.5041059400,46.6576481800,46.3505637000,876848,42473697.6000,0.66,-0.288100,-0.13,0.276500
2025-05-16,46.5232987200,46.3409673100,46.7632084700,46.2737925800,1283000,62080079.0000,1.05,-0.350800,-0.16,0.404600
2025-05-19,46.3409673100,46.4081420400,46.4945095500,46.0626720000,1244348,60029857.3200,0.93,0.145000,0.07,0.392400
2025-05-20,46.3985456500,47.1374676800,47.3485882600,46.2258106300,2264674,110848373.9600,2.42,1.571500,0.73,0.714200
2025-05-21,47.1662568500,48.1067030700,48.4329803300,46.9359434900,3428169,170868034.4700,3.18,2.056200,0.97,1.081100
2025-05-22,48.0779139000,47.6556727400,48.2794380900,47.3293954800,1580696,78548863.2400,1.97,-0.937600,-0.45,0.498500
2025-05-23,47.5309196700,47.0702929500,47.7708294200,47.0511001700,1078664,53278024.3100,1.51,-1.228400,-0.59,0.340200
2025-05-26,47.3006063100,46.7440156900,47.8092149800,46.6576481800,1630136,79926228.7500,2.45,-0.693200,-0.33,0.514100
2025-05-27,46.8495759800,47.3773774300,47.8380041500,46.5520878900,1723087,84848660.4400,2.75,1.355000,0.63,0.543400
2025-05-28,47.0511001700,52.1179940900,52.1179940900,47.0511001700,9240995,487745895.2600,10.69,10.006100,4.74,2.914100
2025-05-29,51.7245421000,50.6785355900,51.7245421000,49.6037399100,5191945,274266982.9100,4.07,-2.761900,-1.44,1.637300
2025-05-30,50.4194330600,49.3542337700,50.6689392000,49.3062518200,3331946,173173202.2200,2.69,-2.613100,-1.32,1.050700
2025-06-03,49.9012280000,50.7649031000,50.9184453400,49.5269687900,3818350,200748205.6800,2.82,2.858300,1.41,1.204100
2025-06-04,49.9012280000,51.5805962500,51.7821204400,49.7093002000,3525053,187045863.6700,4.08,1.606800,0.82,1.111600
2025-06-05,51.3886684500,49.2870590400,53.3367356200,48.9703781700,5046231,265448881.4100,8.47,-4.446500,-2.29,1.591300
