日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,24.2645068000,23.8468390600,24.2645068000,23.7672833000,12437341,299079658.1300,0.00,-1.882200,0.00,1.514100
2025-04-16,23.9860616400,23.8468390600,24.2943402100,23.4689492000,13508479,324403964.2100,3.46,0.000000,0.00,1.644500
2025-04-17,23.5882828400,23.7573388300,24.1352286900,23.5683939000,12714711,305297898.2600,2.38,-0.375300,-0.09,1.547900
2025-04-18,23.6181162500,23.6777830700,23.9164503500,23.4689492000,9112266,217062478.7700,1.88,-0.334900,-0.08,1.109300
2025-04-21,23.6181162500,23.8170056500,23.9263948200,23.4192268500,9095471,217590579.8700,2.14,0.588000,0.14,1.107300
2025-04-22,23.7871722400,23.6976720100,23.9164503500,23.6280607200,8866413,212025882.9200,1.21,-0.501000,-0.12,1.079400
2025-04-23,23.6976720100,23.5087270800,23.8567835300,23.3794489700,10626551,251173793.3300,2.01,-0.797300,-0.19,1.293700
2025-04-24,23.5186715500,23.0214480500,23.5385604900,22.9617812300,10155274,236420929.5400,2.45,-2.072800,-0.49,1.236300
2025-04-25,23.0512814600,23.1905040400,23.2601153300,22.9617812300,6766729,157538635.4800,1.30,0.734300,0.17,0.823800
2025-04-28,23.2004485100,23.0711704000,23.3695045000,23.0313925200,5817150,135477043.4800,1.46,-0.514600,-0.12,0.708200
2025-04-29,23.0313925200,23.6678386000,23.6777830700,22.8921699400,10596664,249859267.3700,3.41,2.586200,0.60,1.290000
2025-04-30,23.6678386000,23.6877275400,23.8567835300,23.6081717800,11358043,270553404.8000,1.05,0.084000,0.02,1.382700
2025-05-06,23.8667280000,23.9263948200,23.9263948200,23.6181162500,13778316,330073535.7200,1.30,1.007600,0.24,1.677300
2025-05-07,24.0457284600,24.5528964300,25.0003975800,23.8866169400,30218970,742146318.1500,4.66,2.618500,0.63,3.678800
2025-05-08,24.3639515000,24.6921190100,24.7020634800,24.1153397500,20752949,509180729.8400,2.39,0.567000,0.14,2.526400
2025-05-09,24.6921190100,24.3042846800,24.6921190100,24.2147844500,14343956,351651785.0400,1.93,-1.570700,-0.39,1.746200
2025-05-12,24.3639515000,25.4578432000,25.8257885900,23.9661727000,38716505,985701165.8300,7.65,4.746300,1.15,4.713300
2025-05-13,25.4478987300,24.6026187800,25.4478987300,24.5628409000,22008361,550641899.4800,3.48,-3.359400,-0.86,2.679300
2025-05-14,24.6026187800,24.5528964300,24.7617303000,24.3540070300,10736400,264539910.8700,1.66,-0.202100,-0.05,1.307000
2025-05-15,24.5628409000,24.2645068000,24.9208418200,24.2446178600,10742130,264926891.0400,2.75,-1.174600,-0.29,1.307700
2025-05-16,24.2346733900,24.5031740800,24.9606197000,24.1750065700,13138598,325965185.6400,3.24,0.983600,0.24,1.599500
2025-05-19,24.5628409000,24.7816192400,24.9407307600,24.4633962000,13404396,333975170.1200,1.95,1.136400,0.28,1.631800
2025-05-20,24.8512305300,24.4733406700,24.9705641700,24.4236183200,11155280,275816272.7400,2.21,-1.244000,-0.31,1.358000
2025-05-21,24.4832851400,24.3838404400,24.6125632500,24.2744512700,6879447,169013070.9700,1.38,-0.365700,-0.09,0.837500
2025-05-22,24.3142291500,24.1252842200,24.4136738500,24.1053952800,6997554,170446909.7400,1.26,-1.060400,-0.26,0.851900
2025-05-23,24.0656174000,23.9065058800,24.3142291500,23.8866169400,7685448,186281751.3600,1.77,-0.906800,-0.22,0.935600
2025-05-26,23.7672833000,24.3042846800,24.3241736200,23.7672833000,6819419,165399020.6700,2.33,1.663900,0.40,0.830200
2025-05-27,24.1451731600,24.1948955100,24.2744512700,23.9661727000,5123300,124121472.0000,1.27,-0.450100,-0.11,0.623700
2025-05-28,24.1053952800,24.0954508100,24.4037293800,23.9761171700,7290330,177263175.9000,1.77,-0.411000,-0.10,0.887500
2025-05-29,24.0357839900,24.2843957400,24.4136738500,24.0158950500,7553210,184530720.0400,1.65,0.784200,0.19,0.919500
2025-05-30,24.2843957400,24.5230630200,24.7517858300,23.9960061100,11057832,271962314.8100,3.11,0.982800,0.24,1.346200
2025-06-03,24.4932296100,24.7816192400,24.9506752300,24.3639515000,11829246,294489193.7800,2.39,1.054300,0.26,1.440100
2025-06-04,24.6225077200,24.8910084100,24.9606197000,24.5926743100,10352378,258720420.1100,1.48,0.441400,0.11,1.260300
2025-06-05,24.8213971200,24.7816192400,24.9705641700,24.7120079500,7454165,185849852.1500,1.04,-0.439500,-0.11,0.907500
2025-06-06,24.9009528800,24.6921190100,25.0700088700,24.6622856000,8682878,217075188.6200,1.65,-0.361200,-0.09,1.057000
2025-06-09,24.6921190100,24.8910084100,24.9506752300,24.6125632500,7980726,199327290.7800,1.37,0.805500,0.20,0.971600
2025-06-10,24.9705641700,24.6523411300,24.9705641700,24.5330074900,9223315,229841247.1000,1.76,-0.958800,-0.24,1.122800
2025-06-11,24.7915637100,24.5031740800,24.7915637100,24.4435072600,8002692,197905023.1200,1.41,-0.605100,-0.15,0.974200
2025-06-12,24.5230630200,24.5230630200,24.5628409000,24.1948955100,8233401,201920358.4800,1.50,0.081200,0.02,1.002300
2025-06-13,24.5230630200,24.9506752300,25.1097867500,24.5230630200,19481663,488265956.6800,2.39,1.743700,0.43,2.371700
2025-06-16,24.9805086400,25.0202865200,25.1097867500,24.7219524200,10999350,276308670.3600,1.55,0.279000,0.07,1.339000
2025-06-17,24.9904531100,24.9506752300,25.0202865200,24.6523411300,7633859,190380858.9200,1.47,-0.278200,-0.07,0.929300
2025-06-18,24.8611750000,25.2788427400,25.5175100200,24.7617303000,15832400,402277246.0600,3.03,1.315300,0.33,1.927400
2025-06-19,25.1793980400,24.8611750000,25.2092314500,24.5330074900,12046736,300896565.2000,2.68,-1.652200,-0.42,1.466500
2025-06-20,24.8114526500,24.7418413600,25.0103420500,24.5628409000,7559484,188778925.4200,1.80,-0.480000,-0.12,0.920300
2025-06-23,24.8611750000,25.2887872100,25.3484540300,24.7120079500,12835094,324744476.9900,2.57,2.210600,0.55,1.562500
2025-06-24,24.9904531100,24.9108973500,24.9904531100,24.5827298400,12692031,317066501.7400,1.61,-1.494300,-0.38,1.545100
2025-06-25,24.9108973500,25.5871213100,25.7462328300,24.8313415900,22599333,579284197.1700,3.67,2.714600,0.68,2.751200
2025-06-26,25.5871213100,26.4423457300,27.3572369700,25.5871213100,42277810,1134353750.1600,6.92,3.342400,0.86,5.146800
2025-06-27,26.2036784500,26.5020125500,26.9495137000,26.1539561000,21385824,572028641.6800,3.01,0.225600,0.06,2.603500
2025-06-30,26.8997913500,27.0390139300,27.3174590900,26.7705132400,22046247,598855507.8100,2.06,2.026300,0.54,2.683900
2025-07-01,27.0390139300,27.8544604700,28.3417395000,26.7009019500,37268760,1039296647.0600,6.07,3.015800,0.82,4.537000
2025-07-02,28.6897959500,27.1285141600,28.8986298200,27.1185696900,48295696,1359564499.1700,6.39,-2.606200,-0.73,5.879400
2025-07-03,26.9992360500,27.0191249900,27.6754600100,26.7705132400,24488804,666309103.1800,3.34,-0.403200,-0.11,2.981200
2025-07-04,26.8102911200,26.7804577100,27.1782365100,26.4622346700,18950070,509812547.4400,2.65,-0.883300,-0.24,2.306900
2025-07-07,26.9992360500,27.1484031000,27.6655155400,26.8301800600,22087519,604197184.9100,3.12,1.373900,0.37,2.688900
2025-07-08,27.0489584000,26.9992360500,27.0986807500,26.7108464200,15255400,413096251.7000,1.43,-0.549500,-0.15,1.857200
2025-07-09,26.9992360500,26.7307353600,27.2776812100,26.7009019500,14369826,389838866.0400,2.14,-0.994500,-0.27,1.749400
2025-07-10,26.5517349000,26.9594581700,26.9892915800,26.5219014900,11465434,308657879.7800,1.75,0.855700,0.23,1.395800
2025-07-11,26.9594581700,27.9041828200,28.3417395000,26.9594581700,30474696,851266382.6500,5.13,3.504200,0.94,3.709900
2025-07-14,27.8445160000,27.7749047100,28.0831832800,27.5064040200,15644094,436957740.1200,2.07,-0.463300,-0.13,1.904500
2025-07-15,28.1030722200,27.7848491800,28.1130166900,27.4964595500,16653956,464904181.9100,2.22,0.035800,0.01,2.027400
2025-07-16,27.9439607000,27.3472925000,27.9439607000,27.2379033300,13781043,380327897.7800,2.54,-1.574800,-0.44,1.677700
2025-07-17,27.3671814400,27.7152378900,27.7152378900,27.0688473400,15933636,439037396.4400,2.36,1.345500,0.37,1.939700
2025-07-18,27.6155427000,27.6853292700,27.7551158400,27.3164574000,12928035,357306962.1500,1.58,-0.107900,-0.03,1.573800
2025-07-21,27.6853292700,27.7152378000,27.8149329000,27.5457561300,14843941,412003518.2000,0.97,0.108000,0.03,1.807100
2025-07-22,27.7152378000,27.6952987800,27.9644755500,27.5557256400,16333240,454105544.1000,1.47,-0.071900,-0.02,1.988400
2025-07-23,27.5856341700,27.0572501400,27.5856341700,26.9176770000,17314331,472711689.8800,2.41,-2.303800,-0.64,2.107800
2025-07-24,26.9376160200,27.4161525000,27.4161525000,26.9376160200,12649149,345002888.7800,1.77,1.326500,0.36,1.539900
2025-07-25,27.4161525000,27.4261220100,27.5557256400,27.1469757300,10721434,294078756.6200,1.49,0.036400,0.01,1.305200
2025-07-28,27.4261220100,27.6354817200,27.7949938800,27.2466708300,14644412,404200099.1500,2.00,0.763400,0.21,1.782800
2025-07-29,27.6354817200,28.1140182000,28.2137133000,27.4261220100,18420398,515663849.5400,2.85,1.731600,0.48,2.242500
2025-07-30,28.1339572200,27.9943840800,28.7022192900,27.7052682900,23425904,663652415.8600,3.55,-0.425500,-0.12,2.851800
2025-07-31,27.9943840800,27.3663049500,28.0542011400,27.2666098500,15072006,417454702.5300,2.81,-2.243600,-0.63,1.834800
2025-08-01,27.2765793600,27.2067927900,27.6653902500,26.9774940600,12021721,329296251.7500,2.51,-0.582900,-0.16,1.463500
2025-08-04,27.0871586700,28.1040486900,28.1040486900,27.0472806300,19439597,542132869.7700,3.88,3.297900,0.90,2.366500
2025-08-05,28.2236828100,28.4031339900,28.5127986000,28.0342621200,19729050,560525797.8200,1.70,1.064200,0.30,2.401800
2025-08-06,28.4031339900,30.5067006000,30.9054810000,28.3333474200,51365437,1544801684.4100,9.06,7.406100,2.10,6.253100
2025-08-07,30.6462737400,29.8287739200,30.7858468800,29.4100545000,31506953,946086219.7600,4.51,-2.222200,-0.68,3.835600
2025-08-08,29.7490178400,29.6991702900,30.4070055000,29.6094447000,22373610,671417316.3300,2.67,-0.434500,-0.13,2.723700
2025-08-11,29.7490178400,29.3701764600,29.8885909800,29.2006947900,21712737,639656045.6700,2.32,-1.107800,-0.33,2.643300
2025-08-12,29.3701764600,29.2306033200,29.6194142100,28.8218534100,17645152,515441556.6000,2.72,-0.475200,-0.14,2.148100
2025-08-13,29.2106643000,29.2804508700,29.5197191100,29.1109692000,17579631,516510637.9700,1.40,0.170500,0.05,2.140100
2025-08-14,29.2505423400,28.6324327200,29.2505423400,28.6224632100,18779040,542908306.5800,2.15,-2.213100,-0.65,2.286100
2025-08-15,28.6424022300,28.8717009600,28.9315180200,28.5327376200,13674667,394345999.3900,1.39,0.835700,0.24,1.664700
2025-08-18,29.0312131200,29.4499325400,29.6792312700,29.0312131200,22592628,666442700.6600,2.24,2.002800,0.58,2.750400
