日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,46.0494345000,45.9125572000,46.3329660500,45.5410331000,3056808,143543282.1200,0.00,-0.381800,0.00,0.627000
2025-04-16,45.7072412500,45.8930033000,45.9321111000,44.8859774500,3209308,149314681.0400,2.28,-0.042600,-0.02,0.658300
2025-04-17,45.6290256500,46.3231891000,47.3790997000,45.5312561500,4310600,204503133.0000,4.03,0.937400,0.43,0.884200
2025-04-18,46.1667579000,46.0298806000,46.4209586000,45.6876873500,2056482,96732027.1000,1.58,-0.633200,-0.29,0.421800
2025-04-21,46.0298806000,45.8538955000,46.1472040000,45.6876873500,2712200,127175620.9800,1.00,-0.382300,-0.18,0.556300
2025-04-22,45.6094717500,45.6290256500,46.0494345000,45.5605870000,2463108,115349935.3600,1.07,-0.490400,-0.22,0.505200
2025-04-23,45.6974643000,45.8245646500,46.0201036500,44.9837469500,3608210,168338797.6800,2.27,0.428500,0.20,0.740100
2025-04-24,45.6681334500,45.6779104000,46.3134121500,45.5801409000,3588185,168643670.5000,1.60,-0.320000,-0.15,0.736000
2025-04-25,45.6681334500,45.3846019000,46.2058657000,45.2770554500,2976300,139167234.0000,2.03,-0.642100,-0.29,0.610500
2025-04-28,45.2672785000,44.6317767500,45.4823714000,44.5828920000,3623701,166520691.5400,1.98,-1.658800,-0.75,0.743300
2025-04-29,44.3873530000,44.3775760500,44.6219998000,43.6443048000,2776836,125610113.0600,2.19,-0.569600,-0.25,0.569600
2025-04-30,44.6122228500,44.5340072500,45.4139327500,44.3971299500,3495286,160076828.7600,2.29,0.352500,0.16,0.717000
2025-05-06,44.8664235500,45.4530405500,45.4725944500,44.4851225000,3043015,140117633.8900,2.22,2.063700,0.92,0.624200
2025-05-07,46.1472040000,45.6094717500,46.2840813000,45.2770554500,3079538,143799773.0800,2.22,0.344200,0.16,0.631700
2025-05-08,45.5605870000,45.9027802500,46.1374270500,45.2770554500,2994027,140298828.3500,1.89,0.643100,0.29,0.614200
