日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,22.8077917800,22.8429239300,22.9272410900,22.5618667300,3709752,120100059.0500,0.00,-0.153600,0.00,0.355800
2025-04-16,22.7305010500,22.3229681100,22.7375274800,21.8943558800,7448889,234991222.9900,3.69,-2.276200,-0.52,0.714400
2025-04-17,22.2808095300,22.1754130800,22.3932324100,22.1192016400,4895744,155117322.8800,1.23,-0.661000,-0.15,0.469500
2025-04-18,22.1683866500,22.3510738300,22.4845760000,22.1332545000,3565506,113329714.5000,1.58,0.792100,0.18,0.342000
2025-04-21,22.5126817200,22.5407874400,22.6953689000,22.3089152500,3346150,107210924.2000,1.73,0.848800,0.19,0.320900
2025-04-22,22.6040253100,22.7445539100,23.0677696900,22.4986288600,4735484,154133977.9600,2.52,0.904000,0.20,0.454200
2025-04-23,22.9764261000,23.3136947400,23.4893554900,22.8148182100,5179500,170980639.6000,2.97,2.502300,0.57,0.496800
2025-04-24,23.2855890200,23.1029018400,23.2926154500,22.9483203800,3250677,106858266.5300,1.48,-0.904200,-0.21,0.311800
2025-04-25,23.1731661400,23.0537168300,23.2574833000,22.9834525300,2042921,67180429.9100,1.19,-0.212900,-0.05,0.195900
2025-04-28,23.0396639700,23.5244876400,23.5947519400,22.9834525300,3952302,131191264.9000,2.65,2.042100,0.47,0.379100
2025-04-29,23.1169547000,23.2574833000,23.3207211700,22.8499503600,5213149,171683425.5900,2.00,-1.135000,-0.27,0.500000
2025-04-30,23.2574833000,23.0747961200,23.3699061800,23.0396639700,4082623,134377563.7200,1.42,-0.785500,-0.18,0.391600
2025-05-06,23.1872190000,23.5315140700,23.7914919800,22.8218446400,7311811,243875356.4300,4.20,1.979300,0.46,0.701300
2025-05-07,23.8195977000,23.3347740300,24.0866020400,23.1872190000,5341213,178755453.5000,3.82,-0.836100,-0.20,0.512300
2025-05-08,23.3418004600,23.3699061800,23.6017783700,23.2645097300,4076419,135969120.7000,1.45,0.150600,0.04,0.391000
2025-05-09,23.3699061800,23.0396639700,23.3769326100,23.0326375400,4804200,158217455.8400,1.47,-1.413100,-0.33,0.460800
2025-05-12,23.2223511500,23.3699061800,23.5034083500,23.1029018400,5368425,178511517.7000,1.74,1.433400,0.33,0.514900
2025-05-13,23.7001483900,23.3628797500,23.7071748200,23.3277476000,4565109,152600304.1800,1.62,-0.030100,-0.01,0.437800
2025-05-14,23.3699061800,23.4261176200,23.4963819200,23.1731661400,3804041,126280893.8600,1.38,0.270700,0.06,0.364800
2025-05-15,23.3839590400,23.4471969100,23.5736726500,23.1591132800,3446616,114586422.3300,1.77,0.090000,0.02,0.330600
2025-05-16,23.3769326100,23.0888489800,23.4612497700,23.0818225500,4625964,152539120.5700,1.62,-1.528300,-0.36,0.443700
2025-05-19,22.9834525300,22.7375274800,23.1661397100,22.5407874400,4475365,145000545.5900,2.71,-1.521600,-0.35,0.429200
2025-05-20,22.8148182100,23.2926154500,23.7844655500,22.6321310300,7281961,240860257.1400,5.07,2.441300,0.56,0.698400
2025-05-21,23.3066683100,23.6579898100,23.7352805400,23.2293775800,5710764,191532915.4600,2.17,1.568600,0.37,0.547700
2025-05-22,23.6228576600,23.6088048000,23.8406769900,23.5315140700,3695299,124719827.1000,1.31,-0.207900,-0.05,0.354400
2025-05-23,23.6158312300,23.7844655500,24.0655227500,23.6088048000,5711002,194102996.1900,1.93,0.744000,0.18,0.547700
2025-05-26,23.7774391200,23.4963819200,23.9952584500,23.3980119000,3795600,127804153.1200,2.51,-1.211200,-0.29,0.364000
2025-05-27,23.4963819200,23.1801925700,23.7142012500,23.1169547000,4177299,139345998.2200,2.54,-1.345700,-0.32,0.400600
2025-05-28,23.2012718600,23.3769326100,23.4331440500,23.0607432600,2707957,89695661.3000,1.61,0.848700,0.20,0.259700
2025-05-29,23.2645097300,23.3558533200,23.5806990800,23.1661397100,4088229,136236417.3800,1.77,-0.090200,-0.02,0.392100
2025-05-30,23.3418004600,23.0185846800,23.3418004600,22.9693996700,4252680,139663769.0000,1.59,-1.444000,-0.34,0.407900
