日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,14.2514858500,14.1389000500,14.2702501500,14.0638428500,50973272,767895503.5100,0.00,-0.528100,0.00,2.139000
2025-04-16,14.1858108000,13.9794035000,14.1858108000,13.7729962000,49887104,739593996.8700,2.92,-1.128100,-0.16,2.093500
2025-04-17,13.9606392000,14.0263142500,14.0450785500,13.9043463000,26013241,387681256.7000,1.01,0.335600,0.05,1.091600
2025-04-18,14.0263142500,14.0732250000,14.1576643500,13.9137284500,22389927,334435259.6400,1.74,0.334400,0.05,0.939600
2025-04-21,14.0826071500,14.4485110000,14.4766574500,14.0263142500,47076857,716691826.5900,3.20,2.666700,0.38,1.975500
2025-04-22,14.4485110000,14.3734538000,14.4672753000,14.3077787500,38721764,593637888.1000,1.10,-0.519500,-0.08,1.624900
2025-04-23,14.5329503500,14.4860396000,14.6924469000,14.3734538000,53554900,829446786.3500,2.22,0.783300,0.11,2.247400
2025-04-24,14.4578931500,14.2421037000,14.5423325000,14.2139572500,32202389,492105759.0100,2.27,-1.683900,-0.24,1.351300
2025-04-25,14.2890144500,14.4860396000,14.7487398000,14.2327215500,48513736,751951376.2400,3.62,1.712800,0.24,2.035800
2025-04-28,14.3546895000,14.5986254000,14.6455361500,14.3453073500,36861463,570099981.5300,2.07,0.777200,0.11,1.546900
2025-04-29,14.5423325000,14.6455361500,14.7393576500,14.5141860500,25643093,399675090.4600,1.54,0.321300,0.05,1.076100
2025-04-30,14.6267718500,14.4297467000,14.6361540000,14.4109824000,26369649,407611937.4200,1.54,-1.473400,-0.22,1.106600
2025-05-06,14.4578931500,14.5517146500,14.5892432500,14.3546895000,34401523,532397676.3500,1.63,0.845300,0.12,1.443600
2025-05-07,14.7299755000,14.6455361500,14.7768862500,14.4672753000,37569430,584991533.2000,2.13,0.644700,0.09,1.576600
2025-05-08,14.5329503500,14.5704789500,14.6173897000,14.4860396000,25319926,393162408.2500,0.90,-0.512500,-0.08,1.062500
2025-05-09,14.5798611000,14.6361540000,14.6455361500,14.4954217500,23622252,367088932.1300,1.03,0.450700,0.07,0.991300
2025-05-12,14.6830647500,14.9363828000,14.9457649500,14.6361540000,37128552,586140621.4000,2.12,2.051300,0.30,1.558100
2025-05-13,14.9645292500,14.9926757000,15.0395864500,14.8988542000,24370716,389064698.2600,0.94,0.376900,0.06,1.022700
2025-05-14,15.0020578500,15.1709365500,15.1803187000,14.9551471000,29549561,475302194.7100,1.50,1.189000,0.18,1.240000
2025-05-15,15.1334079500,14.9832935500,15.1615544000,14.9832935500,24074502,386425959.1300,1.18,-1.236900,-0.19,1.010300
2025-05-16,15.0114400000,15.1615544000,15.1897008500,14.9270006500,19946219,320459840.1000,1.75,1.189700,0.18,0.837000
2025-05-19,15.1146436500,14.8519434500,15.1427901000,14.7862684000,29280068,463942268.7000,2.35,-2.042100,-0.31,1.228700
2025-05-20,14.8800899000,14.8425613000,14.9551471000,14.8425613000,21034852,333710619.5600,0.76,-0.063200,-0.01,0.882700
2025-05-21,14.8894720500,15.0489686000,15.0864972000,14.8707077500,27089118,432402000.7200,1.45,1.390600,0.21,1.136800
2025-05-22,14.9645292500,14.9645292500,15.0395864500,14.8613256000,19504524,311098595.0000,1.18,-0.561100,-0.08,0.818500
2025-05-23,14.9363828000,15.0771150500,15.2178473000,14.9363828000,30692714,493954435.2100,1.88,0.752400,0.11,1.288000
2025-05-26,15.1897008500,15.1709365500,15.3679617000,15.1240258000,31650275,513840140.6000,1.62,0.622300,0.09,1.328200
2025-05-27,15.2835223500,14.9363828000,15.3116688000,14.8988542000,25745283,411873908.7400,2.72,-1.546100,-0.23,1.080400
2025-05-28,14.9363828000,14.9270006500,15.0395864500,14.8988542000,14266046,227410148.1800,0.94,-0.062800,-0.01,0.598700
2025-05-29,14.8707077500,14.9832935500,15.0677329000,14.8237970000,19430855,310301934.3000,1.63,0.377100,0.06,0.815400
2025-05-30,14.9363828000,14.8237970000,14.9739114000,14.8050327000,17293475,274086720.4400,1.13,-1.064500,-0.16,0.725700
2025-06-03,14.9176185000,15.0020578500,15.0302043000,14.9082363500,26278472,419239595.9600,0.82,1.202500,0.18,1.102700
2025-06-04,14.9926757000,15.1615544000,15.2178473000,14.9926757000,24886791,401902467.4000,1.50,1.063200,0.16,1.044300
2025-06-05,15.1803187000,15.1240258000,15.2178473000,15.0677329000,19758690,318915046.9500,0.99,-0.247500,-0.04,0.829200
2025-06-06,15.1990830000,15.3679617000,15.4242546000,15.1803187000,28262175,461875805.4500,1.61,1.612900,0.24,1.186000
2025-06-09,15.3022866500,15.4148724500,15.4617832000,15.1709365500,27121162,442588819.4700,1.89,0.305300,0.05,1.138100
2025-06-10,15.4524010500,15.4336367500,15.5556047000,15.3210509500,27399517,450917756.6500,1.52,0.121700,0.02,1.149800
2025-06-11,15.4054903000,15.5274582500,15.6212797500,15.3961081500,24919166,413060925.2400,1.46,0.607900,0.09,1.045700
2025-06-12,15.4993118000,15.5837511500,15.6494262000,15.4430189000,24791863,410895511.4300,1.33,0.362500,0.06,1.040400
2025-06-13,15.5743690000,15.4993118000,15.6681905000,15.4524010500,31194515,516699879.6600,1.38,-0.541800,-0.08,1.309000
2025-06-16,15.5743690000,15.6494262000,15.8370692000,15.5368404000,36037766,601946500.9500,1.94,0.968500,0.15,1.512300
2025-06-17,15.6494262000,15.6963369500,15.7432477000,15.5274582500,18742692,313033055.7100,1.38,0.299800,0.05,0.786500
2025-06-18,15.7338655500,15.6494262000,15.7432477000,15.4899296500,23269061,387645462.4700,1.61,-0.298900,-0.05,0.976500
2025-06-19,15.6306619000,15.4805475000,15.6775726500,15.4336367500,27828096,460898875.9800,1.56,-1.079100,-0.17,1.167800
2025-06-20,15.5204973000,15.2907859500,15.5704345500,15.1809240000,33352323,514057042.6300,2.52,-1.225800,-0.19,1.399600
2025-06-23,15.2807985000,15.1409742000,15.5204973000,15.1309867500,31590744,482601878.5700,2.55,-0.979800,-0.15,1.325700
2025-06-24,15.2508361500,15.3706855500,15.5204973000,15.2008989000,29879694,460348847.6300,2.11,1.517200,0.23,1.253900
2025-06-25,15.4705600500,15.5204973000,15.5304847500,15.3606981000,19171602,296288192.6800,1.10,0.974700,0.15,0.804500
2025-06-26,15.7502086500,15.8500831500,16.1796690000,15.7502086500,47107248,753467253.3000,2.77,2.123600,0.33,1.976800
2025-06-27,16.1596941000,16.5791670000,16.7289787500,16.1596941000,70962372,1174169600.6700,3.59,4.599900,0.73,2.977900
2025-06-30,16.6390917000,16.6091293500,16.7090038500,16.4493301500,36484600,604614296.2000,1.57,0.180700,0.03,1.531000
2025-07-01,16.7189913000,16.8188658000,16.8288532500,16.3993929000,28858701,479189057.4500,2.59,1.262800,0.21,1.211000
2025-07-02,16.7589411000,17.3482006500,17.6078743500,16.6990164000,68660673,1189149751.2400,5.40,3.147300,0.53,2.881300
2025-07-03,17.5279747500,17.5479496500,17.6378367000,17.3182383000,37814971,661787659.4300,1.84,1.151400,0.20,1.586900
2025-07-04,17.3681755500,17.0785395000,17.4281002500,17.0385897000,40147311,689682976.4900,2.22,-2.675000,-0.47,1.684700
2025-07-07,16.8787905000,17.0286022500,17.0985144000,16.8188658000,21715172,369585898.0100,1.64,-0.292400,-0.05,0.911300
2025-07-08,17.0685520500,16.9487026500,17.1584391000,16.8987654000,25060522,426120848.8600,1.52,-0.469200,-0.08,1.051600
2025-07-09,17.1284767500,16.2995184000,17.2283512500,16.2595686000,71924119,1187106693.2200,5.72,-3.830300,-0.65,3.018200
2025-07-10,16.3095058500,16.3794180000,16.4193678000,16.2595686000,26472401,432870918.9600,0.98,0.490200,0.08,1.110900
2025-07-11,16.4293552500,16.4792925000,16.7289787500,16.3494556500,45961801,759722921.9300,2.32,0.609800,0.10,1.928700
2025-07-14,16.5092548500,16.3894054500,16.5691795500,16.3694305500,36677550,603897915.5000,1.21,-0.545500,-0.09,1.539100
