日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,21.4740864000,21.3086016000,21.5130240000,21.2307264000,9816735,215350906.2200,0.00,-0.770600,0.00,0.456800
2025-04-16,21.4643520000,21.3572736000,21.4935552000,21.0457728000,7920556,173035560.8800,2.10,0.228400,0.05,0.368600
2025-04-17,21.2404608000,21.2891328000,21.5227584000,21.1820544000,7391457,162097241.2100,1.60,-0.319100,-0.07,0.344000
2025-04-18,21.2209920000,21.3670080000,21.4156800000,21.1917888000,5952588,130219679.4000,1.05,0.365800,0.08,0.277000
2025-04-21,21.3280704000,21.5032896000,21.5616960000,21.2599296000,6342200,140004312.0000,1.41,0.637800,0.14,0.295100
2025-04-22,21.5227584000,21.5714304000,21.6687744000,21.5130240000,6419532,142345387.4400,0.72,0.316900,0.07,0.298700
2025-04-23,21.6298368000,21.6493056000,21.8245248000,21.6006336000,6160834,137212228.1800,1.04,0.361000,0.08,0.286700
2025-04-24,21.6201024000,21.7953216000,22.0289472000,21.5908992000,8274868,185612971.7800,2.02,0.674500,0.15,0.385100
2025-04-25,21.8050560000,21.9510720000,22.0289472000,21.7953216000,6261390,141008169.0400,1.07,0.714600,0.16,0.291400
2025-04-28,21.9510720000,21.8245248000,22.0192128000,21.7369152000,7144840,160447706.8100,1.29,-0.576500,-0.13,0.332500
2025-04-29,21.8050560000,21.8731968000,22.0094784000,21.7855872000,6959852,156521123.8400,1.03,0.223000,0.05,0.323900
2025-04-30,21.8829312000,21.6785088000,21.9024000000,21.6006336000,13126406,292333766.1000,1.38,-0.890100,-0.19,0.610800
2025-05-06,21.7758528000,21.7077120000,21.8731968000,21.5811648000,16474567,367335906.7300,1.35,0.134700,0.03,0.766600
2025-05-07,21.9705408000,21.9024000000,22.0678848000,21.6395712000,14501256,324936872.2500,1.97,0.896900,0.19,0.674800
2025-05-08,21.9024000000,22.2917760000,22.2917760000,21.8147904000,13109853,298279836.2100,2.18,1.777800,0.39,0.610100
2025-05-09,22.2723072000,22.3112448000,22.3404480000,22.0678848000,8611456,196329761.6400,1.22,0.087300,0.02,0.400700
2025-05-12,22.4377920000,22.3209792000,22.4572608000,22.1360256000,12110864,276812578.6500,1.44,0.043600,0.01,0.563600
