日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,27.6203348000,27.4707662000,27.8197596000,27.2214852000,16315690,448796257.7400,0.00,-0.970500,0.00,2.501700
2025-04-16,27.4707662000,26.9223480000,27.7300184400,26.5733546000,18511238,502468312.9800,4.21,-1.996400,-0.55,2.838400
2025-04-17,26.6431532800,26.5035559200,27.2613701600,26.5035559200,25624639,690254230.0200,2.81,-1.555600,-0.42,3.929100
2025-04-18,26.3739298000,26.6431532800,26.7628081600,26.1745050000,14097397,373766326.4900,2.22,0.526700,0.14,2.161600
2025-04-21,26.7328944400,27.9493857200,28.1388392800,26.6431532800,31234852,864717812.2900,5.61,4.902700,1.31,4.789400
2025-04-22,27.9095007600,27.5605073600,27.9194720000,27.4209100000,20653115,573043962.9500,1.78,-1.391400,-0.39,3.166800
2025-04-23,27.7300184400,27.7898458800,27.9693282000,27.5605073600,19838247,552833301.4900,1.48,0.832100,0.23,3.041900
2025-04-24,27.8596445600,27.2513989200,27.8895582800,27.1915714800,17582005,484793359.0600,2.51,-1.937600,-0.54,2.695900
2025-04-25,27.3710538000,27.8596445600,27.9992419200,27.1616577600,19367861,536526057.3100,3.07,2.232000,0.61,2.969700
2025-04-28,27.7798746400,27.7499609200,28.0191844000,27.3710538000,17256217,479109366.0800,2.33,-0.393700,-0.11,2.646000
2025-04-29,27.5206224000,27.7001047200,27.9095007600,27.1217728000,22028578,609401831.9900,2.84,-0.179700,-0.05,3.377700
2025-04-30,27.8596445600,28.5676026000,28.8767110400,27.7798746400,34212580,973305658.7300,3.96,3.131700,0.87,5.245900
2025-05-06,28.6174588000,29.7242664400,29.8738350400,28.6174588000,32183386,949367669.3200,4.40,4.048900,1.16,4.934800
2025-05-07,29.9137200000,29.2356756800,30.1729722400,28.9863946800,33887464,999181546.2500,3.99,-1.643700,-0.49,5.196100
2025-05-08,29.2356756800,29.2556181600,29.6145828000,29.0761358400,21227542,623345791.6000,1.84,0.068200,0.02,3.254900
2025-05-09,29.2157332000,28.3781490400,29.2157332000,28.1886954800,22469340,641772039.3800,3.51,-2.999300,-0.88,3.445300
2025-05-12,28.7071999600,29.2955031200,29.4650142000,28.6972287200,27716048,810388139.2600,2.71,3.232600,0.92,4.249800
2025-05-13,29.7142952000,28.8368260800,29.7940651200,28.7371136800,20924534,610598141.9800,3.61,-1.565700,-0.46,3.208400
2025-05-14,28.8667398000,28.6972287200,29.0362508800,28.3582065600,20269584,582715513.7800,2.35,-0.484100,-0.14,3.108000
2025-05-15,28.6772862400,27.6203348000,28.6872574800,27.5405648800,22798224,638056239.5300,4.00,-3.752600,-1.08,3.495700
2025-05-16,27.4308812400,27.4707662000,27.8795870400,27.4109387600,19121819,529781919.1300,1.70,-0.541500,-0.15,2.932000
2025-05-19,27.3211976000,27.5704786000,27.6303060400,27.1716290000,13631391,375029708.5200,1.67,0.363000,0.10,2.090200
2025-05-20,27.6303060400,27.6901334800,27.7798746400,27.4308812400,12343518,341946471.2600,1.27,0.434000,0.12,1.892700
2025-05-21,27.6901334800,27.3810250400,27.7001047200,27.1915714800,12169223,334174998.3000,1.84,-1.116300,-0.31,1.866000
2025-05-22,27.2414276800,27.0918590800,28.0191844000,27.0619453600,16815122,462806983.8600,3.50,-1.056100,-0.29,2.578300
2025-05-23,26.9921466800,26.6032683200,27.2414276800,26.5932970800,15434214,416751265.2800,2.39,-1.803500,-0.49,2.366600
2025-05-26,26.6730670000,26.9622329600,27.0519741200,26.6730670000,11717903,316018393.8500,1.42,1.349300,0.36,1.796800
2025-05-27,26.9921466800,26.4437284800,27.0120891600,26.3440160800,13328799,354634799.1700,2.48,-1.923100,-0.52,2.043800
2025-05-28,26.5135271600,26.2343324400,26.6531245200,26.1844762400,9382884,247956961.4000,1.77,-0.791900,-0.21,1.438700
2025-05-29,26.2343324400,26.7129519600,26.8026931200,26.2044187200,14684445,392336305.9200,2.28,1.824400,0.48,2.251600
