日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,35.7806059600,35.3814915600,36.1996760800,35.0322664600,12130100,430593214.4100,0.00,-0.949700,0.00,4.548700
2025-04-16,34.9923550200,36.5289454600,36.7584362400,34.7229528000,20555115,740809375.9800,5.75,3.243100,1.15,7.708100
2025-04-17,36.1896982200,37.2772849600,37.5367093200,35.9402517200,19962805,738349586.7400,4.37,2.048600,0.75,7.486000
2025-04-18,36.9180820000,35.2817129600,37.5267314600,35.2517793800,17185606,624564138.5400,6.10,-5.353300,-2.00,6.444500
2025-04-21,34.4834841600,34.9823771600,35.6708495000,34.4435727200,10472205,366433864.1500,3.48,-0.848400,-0.30,3.927000
2025-04-22,35.1120893400,33.8548789800,35.1719565000,33.4158531400,13148308,449324578.8900,5.02,-3.223000,-1.13,4.930600
2025-04-23,33.8648568400,34.0045468800,34.3238384000,33.5555431800,8068385,274041694.1600,2.27,0.442100,0.15,3.025600
2025-04-24,34.0045468800,33.0366944600,34.0145247400,32.8271594000,9397090,313338798.2400,3.49,-2.846200,-0.97,3.523900
2025-04-25,32.5278236000,32.6974472200,33.3060966800,32.2384656600,9113172,300139208.4400,3.23,-1.026900,-0.34,3.417400
2025-04-28,32.8670708400,32.5378014600,33.0766059000,31.6098604800,10265645,331264778.1100,4.49,-0.488300,-0.16,3.849600
2025-04-29,32.1586427800,31.9989970200,32.4180671400,31.6996612200,5819900,186853620.0000,2.21,-1.655900,-0.54,2.182400
2025-04-30,32.0788199000,32.2384656600,32.4280450000,31.9391298600,5689393,183572769.0400,1.53,0.748400,0.24,2.133500
2025-05-06,32.4380228600,32.6375800600,32.6874693600,31.9391298600,7517786,243920192.2800,2.32,1.238000,0.40,2.819100
2025-05-07,32.6475579200,32.8570929800,33.5754989000,32.6276022000,8824400,292209129.0000,2.90,0.672600,0.22,3.309100
2025-05-08,32.6774915000,32.5677350400,33.0566501800,32.4978900200,5565452,182669080.8400,1.70,-0.880700,-0.29,2.087000
2025-05-09,32.4380228600,32.0987756200,32.6276022000,32.0289306000,4580000,147833915.0000,1.84,-1.440000,-0.47,1.717500
2025-05-12,32.3182885400,32.2584213800,32.3581999800,31.8493291200,4133900,133195250.0000,1.59,0.497400,0.16,1.550200
2025-05-13,32.5278236000,32.0588641800,32.5278236000,31.7994398200,5628200,180778287.0000,2.26,-0.618600,-0.20,2.110500
2025-05-14,32.0289306000,31.9391298600,32.1785985000,31.6298162000,4063805,129906984.1000,1.71,-0.373500,-0.12,1.523900
2025-05-15,31.8094176800,31.6397940600,32.3083106800,31.5899047600,5721598,182529454.9400,2.25,-0.937200,-0.30,2.145600
2025-05-16,31.6397940600,31.8493291200,32.0788199000,31.4302590000,4746410,150869921.9000,2.05,0.662300,0.21,1.779900
2025-05-19,31.6497719200,32.7473365200,32.9269380000,31.6397940600,10150200,331017006.0000,4.04,2.819500,0.90,3.806300
2025-05-20,32.6276022000,32.5876907600,32.9568715800,32.5078678800,6934900,227530330.0000,1.37,-0.487500,-0.16,2.600600
2025-05-21,32.4380228600,32.3482221200,33.0267166000,32.3083106800,5890300,192456930.5200,2.20,-0.734800,-0.24,2.208800
2025-05-22,32.2683992400,31.8393512600,32.4280450000,31.7295948000,4067200,130391527.0000,2.16,-1.573100,-0.51,1.525200
2025-05-23,31.7894619600,31.7096390800,32.0788199000,31.5400154600,3257000,103888497.0000,1.69,-0.407400,-0.13,1.221400
2025-05-26,31.5300376000,31.8193955400,31.8293734000,31.4302590000,3619181,114809178.2300,1.26,0.346100,0.11,1.357200
2025-05-27,31.6797055000,32.4180671400,32.6475579200,31.6298162000,6578379,213213764.0000,3.20,1.881500,0.60,2.466900
2025-05-28,32.2484435200,32.1287092000,32.4080892800,31.9291520000,3494267,112388756.8800,1.48,-0.892600,-0.29,1.310300
2025-05-29,32.0887977600,33.0366944600,33.2162959400,31.8992184200,7825167,256555547.8900,4.10,2.826100,0.91,2.934400
2025-05-30,32.8271594000,32.5777129000,33.2262738000,32.4579785800,4463120,146633073.4800,2.33,-1.389300,-0.46,1.673600
2025-06-03,32.5777129000,33.0965616200,33.3060966800,32.3981114200,5773318,190747530.5000,2.79,1.592600,0.52,2.165000
2025-06-04,32.9468937200,36.4092111400,36.4092111400,32.8072036800,24261792,852436277.5600,10.88,10.009000,3.31,9.098100
2025-06-05,36.1098753400,36.5489011800,37.5466871800,35.9202960000,27781408,1024880678.0700,4.47,0.383700,0.14,10.417900
2025-06-06,36.5489011800,36.1098753400,37.1974620800,35.4912480200,13311506,480953796.0200,4.67,-1.201200,-0.44,4.991800
2025-06-09,36.2196318000,36.9779491600,37.1675285000,35.7107609400,14981566,552355976.9400,4.03,2.404000,0.87,5.618000
2025-06-10,36.9979048800,36.6786133600,37.8859344200,36.5588790400,16995862,631680903.1200,3.59,-0.809500,-0.30,6.373400
2025-06-11,36.5788347600,37.2772849600,37.5666429000,36.4391447200,13177102,490472047.3200,3.07,1.632200,0.60,4.941400
2025-06-12,37.4169750000,36.9979048800,37.7163108000,36.9480155800,9094950,339646583.5000,2.06,-0.749500,-0.28,3.410600
2025-06-13,36.7285026600,35.1520007800,36.9081041400,34.6231742000,13987089,497138028.4300,6.18,-4.989200,-1.85,5.245100
2025-06-16,34.9225100000,35.4712923000,35.8704067000,34.7927978200,6625104,233833238.9300,3.07,0.908300,0.32,2.484400
2025-06-17,35.5211816000,35.7007830800,36.3393661200,35.3814915600,6522223,234706847.7100,2.70,0.647000,0.23,2.445800
2025-06-18,35.4413587200,35.3715137000,35.7905838200,35.2218458000,3438678,122159481.3000,1.59,-0.922300,-0.33,1.289500
2025-06-19,35.2218458000,36.0599860400,37.8260672600,35.1420229200,11864735,433862635.7500,7.59,1.946400,0.69,4.449200
2025-06-20,36.5300000000,35.6900000000,36.5900000000,35.5000000000,5379199,192501320.3000,3.02,-1.026100,-0.37,2.017200
2025-06-23,35.3500000000,36.2500000000,36.3000000000,35.2000000000,5467431,196676230.9600,3.08,1.569100,0.56,2.050300
