日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,22.5047866500,22.8695160000,22.9188037500,22.3470658500,1280000,29439955.0000,0.00,1.799000,0.00,2.583800
2025-04-16,22.8300858000,22.2977781000,22.8695160000,21.9527638500,1460300,33231922.0000,4.01,-2.500000,-0.57,2.947700
2025-04-17,22.1794875000,22.5737895000,22.7709405000,22.1696299500,923900,21184773.0000,2.70,1.237800,0.28,1.865000
2025-04-18,22.4949291000,23.1948151500,23.4806841000,22.3766385000,1721800,40131605.0000,4.89,2.751100,0.62,3.475600
2025-04-21,23.2243878000,25.0381770000,25.0578921000,23.0666670000,3978922,98233501.6000,8.58,7.947300,1.84,8.031700
2025-04-22,27.5419947000,27.5419947000,27.5419947000,26.8618237500,4863027,135191874.6200,2.72,10.000000,2.50,9.816400
2025-04-23,27.9264391500,28.2221656500,29.7205132500,27.6307126500,12517188,360554932.8800,7.59,2.469600,0.68,25.266800
2025-04-24,28.5080346000,29.4543594000,29.7993736500,28.3108836000,9846845,290936117.1600,5.27,4.366000,1.23,19.876600
2025-04-25,29.1290602500,29.2769235000,29.8486614000,28.8629064000,6922155,206073069.4400,3.35,-0.602400,-0.18,13.972900
2025-04-28,29.5726500000,29.3262112500,30.2823936000,29.1290602500,6116788,183280878.9200,3.94,0.168400,0.05,12.347200
2025-04-29,29.3656414500,29.9866671000,30.5189748000,29.1882055500,5700400,173976478.0000,4.54,2.252100,0.66,11.506700
2025-04-30,30.2232483000,29.5529349000,30.7161258000,29.4740745000,5217617,158451180.0000,4.14,-1.446400,-0.43,10.532100
2025-05-06,29.5529349000,30.1443879000,30.2429634000,29.1980631000,8155143,246364502.2800,3.54,2.001300,0.59,16.461700
2025-05-07,30.0655275000,30.6372654000,30.6471229500,29.9768095500,4683400,144217201.0000,2.22,1.635100,0.49,9.453800
2025-05-08,30.5584050000,30.4006842000,30.6569805000,29.9669520000,3590762,110609661.0400,2.25,-0.772200,-0.24,7.248200
2025-05-09,30.2626785000,31.5441600000,32.1750432000,30.1641030000,5961700,189460122.0000,6.61,3.761300,1.14,12.034100
2025-05-12,31.3470090000,31.0808551500,32.0271799500,30.8935617000,4240600,134292654.0000,3.59,-1.468800,-0.46,8.560000
2025-05-13,31.2188608500,31.1005702500,31.5145873500,30.6865531500,2885300,90961696.0000,2.66,0.063400,0.02,5.824200
2025-05-14,30.8837041500,33.2298010500,33.2692312500,30.7654135500,6620930,216669186.8000,8.05,6.846300,2.13,13.364800
2025-05-15,33.1903708500,32.5792027500,34.0874079000,32.3327640000,6063900,204239993.0000,5.28,-1.957900,-0.65,12.240400
2025-05-16,32.5792027500,32.4510546000,33.2988039000,32.3919093000,3260000,108188475.0000,2.78,-0.393300,-0.13,6.580500
2025-05-19,32.3327640000,32.5693452000,32.7763537500,31.8004563000,3125591,102541038.2500,3.01,0.364500,0.12,6.309200
2025-05-20,32.4411970500,32.1849007500,32.4510546000,31.9286044500,2619920,85533926.2000,1.60,-1.180400,-0.38,5.288500
2025-05-21,32.1849007500,31.6525930500,32.8650717000,31.4652996000,2654491,86053240.6600,4.35,-1.653900,-0.53,5.358300
2025-05-22,31.6131628500,31.2090033000,31.9581771000,31.1695731000,2073600,66161475.0000,2.49,-1.401400,-0.44,4.185700
2025-05-23,31.0512825000,31.6033053000,32.3130489000,31.0414249500,2552900,82321328.0000,4.07,1.263400,0.39,5.153200
2025-05-26,31.5441600000,32.3919093000,32.5594876500,31.4751571500,2580600,84299467.0000,3.43,2.495300,0.79,5.209100
2025-05-27,32.2341885000,32.0666101500,32.6087754000,31.7413110000,1750100,56939600.0000,2.68,-1.004300,-0.33,3.532700
2025-05-28,31.8990318000,32.6679207000,33.0030774000,31.8103138500,1905978,62856361.4200,3.72,1.875200,0.60,3.847400
