日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,31.5401168500,31.6869061000,32.1468457500,31.3639697500,2501148,81068757.7600,0.00,0.778100,0.00,5.019500
2025-04-16,31.4618292500,32.5774275500,33.2330862000,31.4618292500,5741342,190105498.4900,5.59,2.810400,0.89,11.522200
2025-04-17,32.1957755000,32.0294143500,32.4795680500,31.9804846000,3562000,117087263.0000,1.53,-1.682200,-0.55,7.148500
2025-04-18,32.1957755000,32.7731465500,33.1547986000,31.8043375000,4499209,149786225.5600,4.22,2.322000,0.74,9.029400
2025-04-21,32.7340027500,32.8025044000,33.0275812500,32.5969994500,2709620,90756965.0100,1.31,0.089600,0.03,5.437900
2025-04-22,32.6165713500,32.5187118500,32.7829325000,32.3914945000,1934800,64352528.0000,1.19,-0.865200,-0.28,3.882900
2025-04-23,32.6459292000,33.1058688500,33.6440961000,32.5774275500,3191700,108047785.3200,3.28,1.805600,0.59,6.405400
2025-04-24,32.9884374500,32.8807920000,33.4581630500,32.7340027500,2472492,83488543.1200,2.19,-0.679900,-0.23,4.962000
2025-04-25,33.2330862000,33.0275812500,33.6930258500,32.8025044000,2426200,81946956.0000,2.71,0.446400,0.15,4.869100
2025-04-28,32.9492936500,32.6263573000,33.2526581000,32.6165713500,1903300,63982678.0000,1.93,-1.214800,-0.40,3.819700
2025-04-29,32.5676416000,32.5872135000,32.8220763000,32.3425647500,1579900,52675111.0000,1.47,-0.120000,-0.04,3.170700
2025-04-30,32.5969994500,33.0569391000,33.3015878500,32.5969994500,2526105,85156044.5700,2.16,1.441400,0.47,5.069600
2025-05-06,33.3309457000,33.6343101500,33.6343101500,33.0765110000,2260544,77202939.8800,1.69,1.746600,0.58,4.536700
2025-05-07,34.0551060000,34.0257481500,34.2508250000,33.5168787500,2957165,102533224.8800,2.18,1.163800,0.39,5.934700
2025-05-08,33.8593870000,34.3878283000,34.4954737500,33.7321696500,2657507,93200203.6300,2.24,1.064100,0.36,5.333300
2025-05-09,34.3682564000,33.9572465000,34.5346175500,33.7713134500,1886783,65682621.4800,2.22,-1.252100,-0.43,3.786600
2025-05-12,34.1823233500,34.4171861500,34.4465440000,34.1823233500,1745665,61218885.5000,0.78,1.354500,0.46,3.503400
