日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,38.0766612000,37.7426554000,38.1454271000,37.3398837000,3490896,133741987.5200,0.00,-1.386000,0.00,3.154000
2025-04-16,37.5756525000,39.4028607000,41.5149562000,37.3300600000,13078732,530143508.4900,11.09,4.398800,1.66,11.816700
2025-04-17,39.1965630000,40.0217538000,41.4461903000,38.5383751000,10222246,415536175.2700,7.38,1.570700,0.62,9.235900
2025-04-18,40.1789330000,37.5265340000,40.2771700000,37.5265340000,8323649,325970603.1500,6.87,-6.234700,-2.50,7.520500
2025-04-21,37.3300600000,38.5973173000,38.7053780000,37.0255253000,7315819,283415202.9700,4.48,2.853400,1.07,6.609900
2025-04-22,38.2829589000,37.5854762000,38.4696092000,36.7013432000,7812500,297097503.0000,4.58,-2.621500,-1.01,7.058600
2025-04-23,37.8310687000,37.8900109000,38.7741439000,37.7819502000,6190742,240786943.1000,2.64,0.810200,0.30,5.593400
2025-04-24,38.0000000000,38.1300000000,39.1700000000,38.0000000000,5455200,209604579.0000,3.09,0.633400,0.24,4.928800
2025-04-25,38.2000000000,39.3800000000,39.4700000000,37.8300000000,6243320,242780409.5000,4.30,3.278300,1.25,5.640900
2025-04-28,39.0000000000,38.0400000000,39.0000000000,37.5100000000,6974496,264522234.8800,3.78,-3.402700,-1.34,6.301500
2025-04-29,37.7700000000,37.8300000000,38.1900000000,37.2000000000,3391743,128103128.4300,2.60,-0.552100,-0.21,3.064500
2025-04-30,37.8500000000,36.7600000000,37.9000000000,36.7400000000,4731854,175801267.3800,3.07,-2.828400,-1.07,4.275300
2025-05-06,36.6500000000,36.9000000000,36.9500000000,35.9900000000,4913962,179541329.7000,2.61,0.380800,0.14,4.439800
2025-05-07,37.0000000000,36.9100000000,37.4700000000,36.7200000000,3413666,126365404.7400,2.03,0.027100,0.01,3.084300
2025-05-08,36.8800000000,37.1700000000,37.2300000000,36.7700000000,2311000,85679044.0000,1.25,0.704400,0.26,2.088000
2025-05-09,37.0500000000,36.9900000000,37.4500000000,36.7100000000,2128468,78687078.5600,1.99,-0.484300,-0.18,1.923100
2025-05-12,37.2600000000,36.7600000000,37.2600000000,36.6200000000,2467454,90693931.9600,1.73,-0.621800,-0.23,2.229400
2025-05-13,36.8300000000,37.2100000000,37.3700000000,36.6900000000,3110366,115090894.9000,1.85,1.224200,0.45,2.810200
2025-05-14,37.0400000000,36.8100000000,37.1600000000,36.5300000000,3090570,113564822.0000,1.69,-1.075000,-0.40,2.792300
2025-05-15,36.7600000000,36.7000000000,37.0000000000,36.6200000000,1251200,46047295.0000,1.03,-0.298800,-0.11,1.130500
2025-05-16,36.9000000000,36.9700000000,37.1000000000,36.5600000000,1541300,56814593.0000,1.47,0.735700,0.27,1.392600
2025-05-19,36.9700000000,37.6300000000,38.0900000000,36.7300000000,3700100,139040013.0000,3.68,1.785200,0.66,3.343100
2025-05-20,37.6000000000,38.4500000000,38.7600000000,37.5700000000,3341836,128229666.4300,3.16,2.179100,0.82,3.019400
2025-05-21,37.6100000000,38.1200000000,38.5000000000,35.7500000000,5661676,212115620.9500,7.15,-0.858300,-0.33,5.115400
2025-05-22,37.8800000000,37.5900000000,38.1600000000,36.8100000000,3787700,142143006.0000,3.54,-1.390300,-0.53,3.422200
2025-05-23,37.5100000000,36.7000000000,37.5900000000,36.7000000000,1903260,70450838.6000,2.37,-2.367700,-0.89,1.719600
2025-05-26,36.2800000000,37.2900000000,37.7000000000,36.2800000000,2401660,89185030.8000,3.87,1.607600,0.59,2.169900
2025-05-27,37.2800000000,37.5400000000,38.3000000000,37.1500000000,1956500,74005411.0000,3.08,0.670400,0.25,1.767700
2025-05-28,37.2000000000,37.4300000000,38.0500000000,37.2000000000,1316400,49470879.0000,2.26,-0.293000,-0.11,1.189400
2025-05-29,37.5800000000,37.2500000000,37.5800000000,36.8800000000,1921772,71263072.1200,1.87,-0.480900,-0.18,1.736300
2025-05-30,37.1500000000,36.8300000000,37.3600000000,36.7600000000,1752300,64836817.0000,1.61,-1.127500,-0.42,1.583200
2025-06-03,36.5100000000,36.9900000000,37.0600000000,36.4300000000,1698763,62469000.3700,1.71,0.434400,0.16,1.534800
2025-06-04,36.8100000000,38.6000000000,38.9500000000,36.3800000000,6564190,249046737.8000,6.95,4.352500,1.61,5.930800
2025-06-05,38.5500000000,37.9400000000,39.0800000000,37.8400000000,3054600,116663896.7000,3.21,-1.709800,-0.66,2.759800
2025-06-06,38.0000000000,37.7500000000,38.1000000000,37.4100000000,2243300,84463344.0000,1.82,-0.500800,-0.19,2.026800
2025-06-09,37.5800000000,37.3600000000,37.7200000000,36.9600000000,2802636,104756972.7200,2.01,-1.033100,-0.39,2.532200
2025-06-10,37.2500000000,37.3400000000,37.5500000000,36.9100000000,2881900,107490254.8400,1.71,-0.053500,-0.02,2.603800
2025-06-11,37.3300000000,37.8500000000,38.4000000000,37.3300000000,3537700,133708793.0000,2.87,1.365800,0.51,3.196300
2025-06-12,37.7500000000,37.4800000000,38.1000000000,37.4100000000,2055741,77421515.4600,1.82,-0.977500,-0.37,1.857400
2025-06-13,37.2100000000,36.3700000000,37.4700000000,36.2200000000,3487524,127801570.7200,3.34,-2.961600,-1.11,3.151000
2025-06-16,36.2100000000,35.8100000000,36.3700000000,35.6000000000,3546043,127419840.8800,2.12,-1.539700,-0.56,3.203900
2025-06-17,35.9300000000,35.9800000000,36.4000000000,35.8000000000,2418057,87249171.7200,1.68,0.474700,0.17,2.184700
2025-06-18,35.8300000000,35.7800000000,36.0300000000,35.7000000000,1565500,56090010.0000,0.92,-0.555900,-0.20,1.414400
2025-06-19,35.8800000000,35.6700000000,36.1500000000,35.5100000000,1560235,55868276.3000,1.79,-0.307400,-0.11,1.409700
2025-06-20,35.5500000000,35.3600000000,35.9400000000,35.3400000000,1372500,48774219.5800,1.68,-0.869100,-0.31,1.240100
2025-06-23,35.0000000000,35.3600000000,35.5100000000,35.0000000000,1327483,46851258.3000,1.44,0.000000,0.00,1.199400
2025-06-24,35.4000000000,35.8500000000,35.8500000000,35.4000000000,2030300,72417475.0000,1.27,1.385700,0.49,1.834400
2025-06-25,35.9100000000,36.1000000000,36.4700000000,35.7800000000,2327200,84012912.0000,1.92,0.697400,0.25,2.102600
2025-06-26,36.0500000000,36.4000000000,36.7400000000,35.8000000000,3019349,109777649.6400,2.60,0.831000,0.30,2.728000
2025-06-27,36.2800000000,36.0300000000,36.4400000000,35.8800000000,2060000,74358782.1000,1.54,-1.016500,-0.37,1.861200
2025-06-30,35.9500000000,36.2400000000,36.4100000000,35.8600000000,1495180,54149891.0000,1.53,0.582800,0.21,1.350900
2025-07-01,36.4400000000,36.6600000000,36.7800000000,36.1900000000,2070609,75611054.0400,1.63,1.158900,0.42,1.870800
2025-07-02,36.5900000000,36.3800000000,36.9000000000,36.3100000000,1677199,61393637.4400,1.61,-0.763800,-0.28,1.515400
2025-07-03,36.3000000000,36.1900000000,36.5300000000,36.1100000000,1221267,44260288.0600,1.15,-0.522300,-0.19,1.103400
2025-07-04,36.1100000000,36.1000000000,36.2200000000,35.9200000000,1285400,46359309.3400,0.83,-0.248700,-0.09,1.161400
2025-07-07,36.1900000000,36.0200000000,36.7000000000,35.9500000000,1352090,48919853.7000,2.08,-0.221600,-0.08,1.221600
2025-07-08,36.0000000000,36.0800000000,36.0800000000,35.7500000000,1403800,50416832.0000,0.92,0.166600,0.06,1.268300
2025-07-09,35.9800000000,35.9700000000,36.1900000000,35.9300000000,956332,34457133.9300,0.72,-0.304900,-0.11,0.864100
2025-07-10,36.0000000000,35.9300000000,36.0700000000,35.7600000000,1117732,40102923.8800,0.86,-0.111200,-0.04,1.009900
2025-07-11,35.9100000000,35.9900000000,36.0000000000,35.6500000000,1655601,59333376.9000,0.97,0.167000,0.06,1.495800
2025-07-14,35.9300000000,35.9900000000,36.3500000000,35.8500000000,1171100,42215591.0000,1.39,0.000000,0.00,1.058100
2025-07-15,35.9300000000,35.1900000000,35.9300000000,35.0300000000,2785672,98563429.6800,2.50,-2.222800,-0.80,2.516900
2025-07-16,35.0700000000,35.4500000000,35.6400000000,35.0700000000,1406420,49879553.2000,1.62,0.738800,0.26,1.270700
2025-07-17,35.5000000000,35.3500000000,35.7800000000,35.2600000000,1716400,60874466.0000,1.47,-0.282100,-0.10,1.550800
2025-07-18,35.3600000000,35.6600000000,35.6900000000,35.3000000000,1404600,49879038.0000,1.10,0.876900,0.31,1.269100
2025-07-21,35.6600000000,35.8300000000,35.9300000000,35.6000000000,1737000,62096798.0000,0.93,0.476700,0.17,1.569400
2025-07-22,35.8300000000,36.0400000000,36.0600000000,35.7000000000,2300900,82668079.8000,1.00,0.586100,0.21,2.078900
2025-07-23,36.0300000000,35.7700000000,36.2300000000,35.7200000000,1627900,58452309.0000,1.42,-0.749200,-0.27,1.470800
2025-07-24,35.7700000000,36.2000000000,36.2600000000,35.7200000000,2369271,85457295.1300,1.51,1.202100,0.43,2.140600
2025-07-25,36.2800000000,36.0800000000,36.3200000000,36.0200000000,1693400,61217404.0000,0.83,-0.331500,-0.12,1.530000
2025-07-28,36.5500000000,36.1800000000,36.9500000000,36.0200000000,3179246,115890878.4200,2.58,0.277200,0.10,2.872500
2025-07-29,36.0500000000,35.7800000000,36.3400000000,35.5700000000,2510200,89841803.0000,2.13,-1.105600,-0.40,2.268000
2025-07-30,35.7100000000,36.0900000000,36.2800000000,35.6000000000,2283560,82347938.2300,1.90,0.866400,0.31,2.063200
2025-07-31,36.0000000000,35.6600000000,36.1500000000,35.5900000000,1684500,60275704.0000,1.55,-1.191500,-0.43,1.522000
2025-08-01,35.6000000000,35.5500000000,35.8500000000,35.4400000000,1692961,60267722.2600,1.15,-0.308500,-0.11,1.529600
2025-08-04,35.4500000000,35.6600000000,35.6600000000,35.4500000000,1053400,37472840.0000,0.59,0.309400,0.11,0.951800
2025-08-05,35.7000000000,35.7500000000,35.7900000000,35.5500000000,1002700,35790688.0000,0.67,0.252400,0.09,0.905900
