日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,23.6218687500,23.1444583500,23.8108437000,22.8958071000,12946170,301658081.3000,0.00,-1.648400,0.00,2.981300
2025-04-16,22.9952676000,22.5278032500,23.0748360000,22.2294217500,12497972,283847103.6200,3.65,-2.664400,-0.62,2.878100
2025-04-17,22.4681269500,22.2990441000,22.9753755000,22.2890980500,11770112,267603604.4600,3.05,-1.015500,-0.23,2.710500
2025-04-18,22.3786125000,22.9753755000,23.3234872500,22.1399073000,19617214,450075019.5600,5.31,3.033000,0.68,4.517600
2025-04-21,23.3831635500,23.3931096000,23.5920306000,23.0052136500,18222432,425873829.3200,2.55,1.818200,0.42,4.196400
2025-04-22,23.8705200000,23.2837030500,24.1987396500,23.2538649000,22241392,527648485.0700,4.04,-0.467700,-0.11,5.121900
2025-04-23,23.2936491000,23.6914911000,23.8406818500,23.2339728000,20966578,497185489.4800,2.61,1.751400,0.41,4.828300
2025-04-24,23.5820845500,22.8261847500,23.5820845500,22.6571019000,17164854,397418338.2600,3.90,-3.652400,-0.87,3.952800
2025-04-25,22.4780730000,22.7068321500,23.0052136500,22.4780730000,14804610,338969486.5000,2.31,-0.522900,-0.12,3.409300
2025-04-28,22.6571019000,22.5079111500,23.0748360000,22.5079111500,12256800,279912337.8000,2.50,-0.876000,-0.20,2.822600
2025-04-29,22.1796915000,22.2393678000,22.7963466000,21.9608784000,16100555,363132173.0000,3.71,-1.193100,-0.27,3.707700
2025-04-30,22.2493138500,22.9753755000,23.6715990000,21.9807705000,23135770,531994232.3600,7.60,3.309500,0.74,5.327800
2025-05-06,23.4030556500,23.9401423500,23.9401423500,23.2339728000,25356113,602431421.2300,3.07,4.199100,0.96,5.839100
2025-05-07,24.1092252000,23.5323543000,24.2484699000,23.2538649000,25459060,604429761.5300,4.15,-1.703400,-0.41,5.862800
2025-05-08,23.3632714500,24.0097647000,24.0495489000,23.2837030500,20311491,486657355.4500,3.25,2.028700,0.48,4.677400
2025-05-09,23.8705200000,23.1345123000,23.8705200000,23.0251057500,19735590,462288722.3800,3.52,-3.645400,-0.88,4.544800
2025-05-12,23.4229477500,23.5323543000,23.5522464000,23.2041346500,14006261,329554307.1700,1.50,1.719700,0.40,3.225400
2025-05-13,23.7113832000,24.3777685500,24.5468514000,23.5224082500,37516252,907203531.9200,4.35,3.592600,0.85,8.639400
2025-05-14,24.3678225000,24.1589554500,24.3877146000,23.9401423500,23216300,563679611.2000,1.84,-0.897600,-0.22,5.346400
2025-05-15,24.0694410000,23.2339728000,24.1291173000,23.1742965000,18419941,434501916.9900,3.95,-3.828700,-0.92,4.241800
2025-05-16,23.0350518000,23.0748360000,23.3533254000,22.8759150000,9610536,223986905.0200,2.05,-0.684900,-0.16,2.213200
2025-05-19,23.0748360000,23.1245662500,23.1941886000,22.5874795500,9013950,207429270.0000,2.63,0.215500,0.05,2.075800
2025-05-20,22.9753755000,23.1345123000,23.4328938000,22.8460768500,8947815,208604307.3500,2.54,0.043000,0.01,2.060500
2025-05-21,23.0648899500,22.5775335000,23.0847820500,22.5576414000,12605870,288005484.6000,2.28,-2.407600,-0.56,2.902900
2025-05-22,22.4880190500,22.2791520000,22.6670479500,22.2393678000,8171350,184174841.7600,1.89,-1.321600,-0.30,1.881700
2025-05-23,22.2890980500,21.7719034500,22.4183967000,21.7619574000,9935432,220917006.1800,2.95,-2.276800,-0.51,2.288000
2025-05-26,21.7719034500,22.1399073000,22.2095296500,21.7719034500,7552250,167127642.3300,2.01,1.690300,0.37,1.739200
2025-05-27,22.1796915000,21.4138456500,22.1796915000,21.2944930500,14110755,305972900.3000,4.00,-3.279400,-0.73,3.249500
2025-05-28,21.5232522000,21.1850865000,21.5729824500,21.1254102000,7792080,167012062.0000,2.09,-1.068300,-0.23,1.794400
2025-05-29,21.1353562500,21.7122271500,21.8813100000,21.1353562500,10705262,231832268.3700,3.52,2.488300,0.53,2.465300
2025-05-30,21.5829285000,21.2746009500,21.5829285000,21.2049786000,7524577,161145580.0400,1.74,-2.015600,-0.44,1.732800
2025-06-03,21.3044391000,21.5431443000,22.0305007500,21.2944930500,8694921,189215160.8200,3.46,1.262300,0.27,2.002300
2025-06-04,21.7122271500,21.7619574000,21.9310402500,21.5829285000,9227377,202173216.4400,1.62,1.015700,0.22,2.124900
2025-06-05,21.8315797500,22.1597994000,22.2592599000,21.5431443000,13298717,294120043.3100,3.29,1.828200,0.40,3.062500
2025-06-06,22.1299612500,22.1697454500,22.3487743500,21.9807705000,10075026,224285786.9300,1.66,0.044900,0.01,2.320100
2025-06-09,22.3189362000,22.1995836000,22.4382888000,22.0702849500,10059230,224869099.6600,1.66,0.134600,0.03,2.316500
2025-06-10,22.3388283000,21.8116876500,22.3388283000,21.4934140500,11251033,247129409.2300,3.81,-1.747300,-0.39,2.590900
2025-06-11,21.6326587500,21.7022811000,21.9310402500,21.6326587500,8610700,188396708.0000,1.37,-0.501600,-0.11,1.982900
2025-06-12,21.5829285000,21.5530903500,21.9210942000,21.3939535500,7670530,167353424.6000,2.43,-0.687400,-0.15,1.766400
2025-06-13,21.4138456500,20.9165431500,21.5232522000,20.8867050000,12099081,256727830.4200,2.95,-2.953400,-0.64,2.786200
2025-06-16,20.7574063500,21.1353562500,21.2547088500,20.7076761000,6510108,138313160.6700,2.62,1.046100,0.22,1.499200
2025-06-17,21.1751404500,20.9463813000,21.1751404500,20.8170826500,6543980,137688846.8000,1.69,-0.894100,-0.19,1.507000
2025-06-18,20.8867050000,20.8568668500,20.9563273500,20.6380537500,6576506,137596339.3800,1.52,-0.427400,-0.09,1.514400
2025-06-19,20.8966510500,20.4291867000,21.0458418000,20.3894025000,8591315,178762508.1000,3.15,-2.050500,-0.43,1.978400
2025-06-20,20.3993485500,20.1208591500,20.6082156000,20.0611828500,7815310,158948256.5000,2.68,-1.509300,-0.31,1.799700
2025-06-23,19.9119921000,20.2799959500,20.3098341000,19.8921000000,5946656,120675316.6400,2.08,0.790900,0.16,1.369400
2025-06-24,20.3800000000,20.8800000000,21.2000000000,20.3700000000,10441810,216901626.7300,4.09,2.958600,0.60,2.404600
2025-06-25,20.8400000000,21.2000000000,21.2500000000,20.8000000000,11881485,250472370.8000,2.16,1.532600,0.32,2.736100
2025-06-26,21.3300000000,21.1900000000,21.5300000000,21.1100000000,11620740,247508566.9000,1.98,-0.047200,-0.01,2.676000
2025-06-27,21.1900000000,21.3200000000,21.4900000000,21.0300000000,10656156,227330296.9400,2.17,0.613500,0.13,2.453900
2025-06-30,21.3000000000,21.4700000000,21.5500000000,21.2400000000,8980030,192475931.8000,1.45,0.703600,0.15,2.067900
2025-07-01,21.4000000000,21.4100000000,21.4600000000,21.1200000000,8550570,182237651.5000,1.58,-0.279500,-0.06,1.969000
2025-07-02,21.3900000000,20.9800000000,21.3900000000,20.8800000000,8254516,173689930.0600,2.38,-2.008400,-0.43,1.900900
2025-07-03,20.8800000000,21.2000000000,21.2700000000,20.8800000000,7275860,153688075.3000,1.86,1.048600,0.22,1.675500
2025-07-04,21.2000000000,21.0700000000,21.4600000000,21.0300000000,8865670,188393748.5000,2.03,-0.613200,-0.13,2.041600
2025-07-07,21.0000000000,20.8300000000,21.0400000000,20.8100000000,6001570,125265082.1000,1.09,-1.139100,-0.24,1.382000
2025-07-08,20.8300000000,21.4300000000,21.4500000000,20.7600000000,10799190,228789479.4000,3.31,2.880500,0.60,2.486800
2025-07-09,21.4500000000,22.4800000000,23.0000000000,21.4500000000,38705042,863059928.2300,7.23,4.899700,1.05,8.913000
2025-07-10,22.2000000000,22.3100000000,22.4900000000,22.0700000000,17400144,386910135.4900,1.87,-0.756200,-0.17,4.006900
2025-07-11,22.2700000000,22.7000000000,22.8800000000,21.9300000000,21048873,472915788.0200,4.26,1.748100,0.39,4.847200
2025-07-14,22.6100000000,22.4700000000,22.7000000000,22.4100000000,11635567,262034379.1000,1.28,-1.013200,-0.23,2.679400
2025-07-15,22.2400000000,22.8300000000,23.1000000000,21.8900000000,27086823,610323562.5100,5.38,1.602100,0.36,6.237600
2025-07-16,22.8300000000,22.7900000000,23.2800000000,22.3700000000,19810399,453235401.9600,3.99,-0.175200,-0.04,4.562000
2025-07-17,22.5600000000,22.8100000000,22.9100000000,22.5100000000,14900750,338544070.0000,1.76,0.087800,0.02,3.431400
2025-07-18,23.2600000000,22.8600000000,23.4400000000,22.8500000000,24785146,574122730.5800,2.59,0.219200,0.05,5.707500
2025-07-21,22.6500000000,22.5700000000,22.8600000000,22.5200000000,15121633,341901523.4700,1.49,-1.268600,-0.29,3.482200
2025-07-22,22.5000000000,22.2700000000,22.5700000000,22.1600000000,13886724,309601556.9600,1.82,-1.329200,-0.30,3.197800
2025-07-23,22.3400000000,22.1200000000,22.4000000000,22.0500000000,10377990,230866165.1400,1.57,-0.673600,-0.15,2.389900
2025-07-24,22.2300000000,22.3500000000,22.3800000000,22.1500000000,8972760,200166266.1000,1.04,1.039800,0.23,2.066300
2025-07-25,22.4300000000,22.7500000000,22.9500000000,22.4000000000,15758620,356879429.2000,2.46,1.789700,0.40,3.628900
2025-07-28,22.8800000000,22.5700000000,22.9000000000,22.4500000000,12574310,284632932.7000,1.98,-0.791200,-0.18,2.895600
2025-07-29,22.4700000000,22.6600000000,22.6600000000,22.1800000000,11570876,258803098.7500,2.13,0.398800,0.09,2.664600
2025-07-30,22.4000000000,22.0000000000,22.4000000000,21.8900000000,12726878,281912013.6500,2.25,-2.912600,-0.66,2.930800
2025-07-31,21.9000000000,21.7800000000,22.2400000000,21.7000000000,9163800,201886825.2500,2.45,-1.000000,-0.22,2.110200
2025-08-01,22.0600000000,21.8700000000,22.0600000000,21.5800000000,8789253,191758750.7800,2.20,0.413200,0.09,2.024000
2025-08-04,21.7000000000,21.9000000000,21.9000000000,21.6100000000,5068792,110560339.1000,1.33,0.137200,0.03,1.167200
2025-08-05,22.0200000000,21.8600000000,22.0200000000,21.7500000000,7384504,161250913.4000,1.23,-0.182600,-0.04,1.700500
2025-08-06,21.8500000000,22.1500000000,22.1900000000,21.7000000000,10064865,221871097.1300,2.24,1.326600,0.29,2.317700
2025-08-07,22.0600000000,21.9300000000,22.2400000000,21.9200000000,8393503,184941514.0400,1.44,-0.993200,-0.22,1.932900
2025-08-08,21.8500000000,21.5200000000,21.9200000000,21.5000000000,10002427,216137871.9000,1.92,-1.869600,-0.41,2.303400
2025-08-11,21.4700000000,22.0400000000,22.1000000000,21.4700000000,11010095,241182218.4100,2.93,2.416400,0.52,2.535400
2025-08-12,22.0400000000,21.9300000000,22.0900000000,21.8100000000,8059934,176699238.5700,1.27,-0.499100,-0.11,1.856000
2025-08-13,21.9400000000,22.1000000000,22.2200000000,21.8400000000,11940198,263480893.1300,1.73,0.775200,0.17,2.749600
2025-08-14,22.1500000000,21.7700000000,22.2700000000,21.7500000000,11983927,263260135.7000,2.35,-1.493200,-0.33,2.759700
2025-08-15,21.6300000000,22.0300000000,22.0700000000,21.6000000000,10464779,229447533.4000,2.16,1.194300,0.26,2.409800
2025-08-18,22.0500000000,22.7600000000,22.8000000000,22.0500000000,26614494,601084251.7800,3.40,3.313700,0.73,6.128800
2025-08-19,22.8700000000,22.7300000000,22.9800000000,22.4400000000,18719607,425519202.3900,2.37,-0.131800,-0.03,4.310800
2025-08-20,22.5100000000,23.0500000000,23.0500000000,22.5100000000,20394791,466151909.4800,2.38,1.407800,0.32,4.696500
2025-08-21,23.1100000000,22.9500000000,23.3200000000,22.7900000000,18746981,431050250.6900,2.30,-0.433800,-0.10,4.317100
2025-08-22,22.9500000000,23.3000000000,23.4700000000,22.8100000000,21615665,502796467.0400,2.88,1.525100,0.35,4.977700
2025-08-25,23.8100000000,23.4200000000,23.9400000000,23.2100000000,27041863,637017465.7200,3.13,0.515000,0.12,6.227200
2025-08-26,23.2100000000,23.5500000000,23.8700000000,23.1800000000,20911122,493058030.2200,2.95,0.555100,0.13,4.815400
2025-08-27,23.5500000000,23.7100000000,24.5400000000,23.5400000000,43379638,1043097325.6100,4.25,0.679400,0.16,9.989500
2025-08-28,23.8500000000,24.2100000000,24.3300000000,23.3200000000,33624989,804687296.4000,4.26,2.108800,0.50,7.743200
2025-08-29,24.3300000000,23.8400000000,24.5000000000,23.6300000000,22821249,545511885.8800,3.59,-1.528300,-0.37,5.255300
2025-09-01,23.9000000000,23.9400000000,24.4500000000,23.9000000000,22071151,531651569.7800,2.31,0.419500,0.10,5.082600
2025-09-02,23.9800000000,23.0100000000,23.9900000000,22.9000000000,21979048,510264945.9200,4.55,-3.884700,-0.93,5.061400
