日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,18.7400000000,18.3200000000,18.7700000000,18.0300000000,1742200,31818732.0000,0.00,-2.189000,0.00,2.247900
2025-04-16,18.6500000000,18.6800000000,19.4700000000,18.3000000000,4059280,76592177.0000,6.39,1.965100,0.36,5.237400
2025-04-17,18.2000000000,18.0800000000,18.5200000000,17.5600000000,3122600,56635573.0000,5.14,-3.212000,-0.60,4.028900
2025-04-18,17.9000000000,17.4500000000,18.0800000000,17.3100000000,2232661,39165153.8900,4.26,-3.484500,-0.63,2.880700
2025-04-21,17.1300000000,17.6200000000,18.1300000000,17.0600000000,2500600,44304106.0000,6.13,0.974200,0.17,3.226400
2025-04-22,17.4600000000,17.2100000000,17.6200000000,17.1100000000,2442200,42138454.0000,2.89,-2.326900,-0.41,3.151000
2025-04-23,17.1900000000,17.0100000000,17.3900000000,16.9200000000,2282400,39035785.0000,2.73,-1.162100,-0.20,2.944800
2025-04-24,16.9700000000,16.3400000000,16.9700000000,16.2400000000,2402400,39653731.0000,4.29,-3.938900,-0.67,3.099700
2025-04-25,16.2100000000,16.1500000000,16.4800000000,16.1000000000,1883800,30603125.0000,2.33,-1.162800,-0.19,2.430600
2025-04-28,16.1500000000,16.1500000000,16.1500000000,16.1500000000,,,0.00,0,0.00,0
2025-04-29,15.3400000000,15.3400000000,15.3400000000,15.3400000000,106800,1638312.0000,0.00,-5.015500,-0.81,0.137800
2025-04-30,14.5700000000,14.5700000000,14.5700000000,14.5700000000,575700,8387949.0000,0.00,-5.019600,-0.77,0.742800
2025-05-06,14.6100000000,15.3000000000,15.3000000000,14.6100000000,5365894,80108858.3000,4.74,5.010300,0.73,6.923300
2025-05-07,15.6000000000,16.0700000000,16.0700000000,15.4300000000,3822100,59967642.0000,4.18,5.032700,0.77,4.931400
2025-05-08,16.4600000000,16.8700000000,16.8700000000,16.4600000000,1934800,32368583.0000,2.55,4.978200,0.80,2.496400
2025-05-09,17.7100000000,17.7100000000,17.7100000000,17.7100000000,402700,7131817.0000,0.00,4.979300,0.84,0.519600
2025-05-12,18.6000000000,18.6000000000,18.6000000000,18.6000000000,247510,4603686.0000,0.00,5.025400,0.89,0.319300
2025-05-13,19.5300000000,18.6100000000,19.5300000000,18.2300000000,7306400,139327096.0800,6.99,0.053800,0.01,9.427000
2025-05-14,18.7500000000,19.5400000000,19.5400000000,18.7500000000,1655000,31961854.0000,4.25,4.997300,0.93,2.135300
2025-05-15,19.9300000000,19.1400000000,19.9300000000,18.9500000000,4662700,90421709.0000,5.02,-2.047100,-0.40,6.016000
2025-05-16,18.6100000000,18.3200000000,18.9900000000,18.1800000000,3678438,67696673.8400,4.23,-4.284200,-0.82,4.746100
2025-05-19,18.3200000000,18.6200000000,18.8700000000,18.3100000000,2723200,50769624.0000,3.06,1.637600,0.30,3.513600
2025-05-20,18.3200000000,18.5300000000,18.9300000000,18.2800000000,3001300,55685389.0000,3.49,-0.483400,-0.09,3.872400
2025-05-21,18.4400000000,19.2500000000,19.3900000000,18.4100000000,2755300,52096338.0000,5.29,3.885600,0.72,3.555000
2025-05-22,19.1600000000,18.4500000000,19.3400000000,18.3800000000,2502737,47129989.3100,4.99,-4.155800,-0.80,3.229100
2025-05-23,18.5600000000,17.8200000000,18.6800000000,17.7400000000,1959200,35597767.6000,5.09,-3.414600,-0.63,2.527800
2025-05-26,17.8700000000,18.3200000000,18.3300000000,17.7200000000,1842037,33259936.7500,3.42,2.805800,0.50,2.376700
2025-05-27,18.2800000000,18.3900000000,18.5200000000,18.0200000000,1692437,30864740.7000,2.73,0.382100,0.07,2.183600
2025-05-28,18.5900000000,18.0600000000,18.6100000000,17.9200000000,1727237,31327901.1100,3.75,-1.794500,-0.33,2.228500
2025-05-29,18.1000000000,18.9600000000,18.9600000000,18.0600000000,2217600,41410286.0000,4.98,4.983400,0.90,2.861200
2025-05-30,19.0800000000,18.6900000000,19.3200000000,18.5300000000,2500200,47304506.2600,4.17,-1.424100,-0.27,3.225900
2025-06-03,18.8100000000,19.6200000000,19.6200000000,18.8100000000,2793300,54062676.0000,4.33,4.975900,0.93,3.604000
2025-06-04,19.8500000000,19.6800000000,20.5200000000,19.4300000000,3277800,65235307.0000,5.56,0.305800,0.06,4.229100
2025-06-05,19.4500000000,20.3000000000,20.6200000000,19.4400000000,2893000,57845211.0000,6.00,3.150400,0.62,3.732700
