日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,36.0176950800,37.4844350900,37.7466998600,35.8914194500,2747021,104901095.6300,0.00,3.237000,0.00,5.230400
2025-04-16,37.3970135000,36.9696190600,38.0769592000,36.5616516400,1983143,75998605.0500,4.04,-1.373400,-0.51,3.776000
2025-04-17,36.7170678000,37.2998784000,37.7369863500,36.6490732300,1452327,55856107.1400,2.94,0.893300,0.33,2.765300
2025-04-18,37.2998784000,36.6685002500,37.6592782700,36.5616516400,979770,37122401.8000,2.94,-1.692700,-0.63,1.865500
2025-04-21,36.6490732300,36.9210515100,37.0570406500,36.4353760100,807942,30572142.3000,1.70,0.688700,0.25,1.538400
2025-04-22,36.8919109800,37.0473271400,37.3970135000,36.5616516400,708907,26896092.3800,2.26,0.342000,0.13,1.349800
2025-04-23,37.1541757500,38.4654996000,39.2037263600,37.0667541600,2257886,88983825.9000,5.77,3.828000,1.42,4.299100
2025-04-24,38.3197969500,39.0385966900,39.5339857000,38.2906564200,2241200,89529512.0000,3.23,1.489900,0.57,4.267300
2025-04-25,40.2527854400,39.0094561600,40.6898933900,38.8540400000,2945983,120470123.5100,4.70,-0.074600,-0.03,5.609300
2025-04-28,39.1551588100,37.3581594600,39.3688560300,37.2513108500,2396596,93526277.2400,5.43,-4.233100,-1.65,4.563200
2025-04-29,37.3387324400,37.3095919100,37.8826890000,37.0181866100,1814201,69969567.1500,2.31,-0.130000,-0.05,3.454300
2025-04-30,37.5912837000,37.8826890000,37.9506835700,37.3095919100,1041400,40478054.0000,1.72,1.536100,0.57,1.982900
2025-05-06,38.0089646300,38.6986238400,38.7471913900,37.9798241000,1434100,56742776.0000,2.03,2.153800,0.82,2.730600
2025-05-07,38.8443264900,38.8540400000,39.3882830500,38.5917752300,1247286,49876583.8000,2.06,0.401600,0.16,2.374900
2025-05-08,38.7471913900,39.0483102000,40.0488017300,38.6112022500,1162090,47021860.4500,3.70,0.500000,0.19,2.212700
2025-05-09,39.0968777500,38.0089646300,39.1163047700,37.8924025100,1494900,58974361.0000,3.13,-2.661700,-1.04,2.846300
2025-05-12,38.5043536400,39.0483102000,39.1454453000,38.0089646300,1838051,73116520.5500,2.99,2.734500,1.04,3.499700
2025-05-13,39.3397155000,38.3586509900,39.3494290100,38.1546672800,1212435,48070438.2500,3.06,-1.766200,-0.69,2.308500
2025-05-14,38.3683645000,37.9021160200,38.4946401300,37.8146944300,882500,34571917.0000,1.77,-1.190200,-0.46,1.680300
2025-05-15,37.8826890000,37.4552945600,37.8826890000,37.2901648900,843905,32596992.1500,1.56,-1.178900,-0.45,1.606800
2025-05-16,37.5330026400,37.6787052900,38.3392239700,37.5330026400,1337032,52061007.6000,2.15,0.596500,0.22,2.545800
2025-05-19,37.4067270100,37.0667541600,37.7369863500,36.8724839600,939348,35884119.8200,2.29,-1.624100,-0.61,1.788600
2025-05-20,37.1833162800,37.5330026400,37.6787052900,36.8336299200,682180,26210025.4000,2.28,1.257900,0.47,1.298900
2025-05-21,37.5524296600,36.8724839600,37.6398512500,36.8627704500,860650,32870151.5000,2.07,-1.759800,-0.66,1.638700
2025-05-22,36.8724839600,36.1439707100,37.1833162800,36.0565491200,887800,33433436.0000,3.06,-1.975800,-0.73,1.690400
2025-05-23,36.2508193200,35.8039978600,36.5033705800,35.8039978600,781300,29096433.0000,1.93,-0.940600,-0.34,1.487600
2025-05-26,35.8234248800,35.6874357400,36.0371221000,35.2406142800,740834,27205682.6100,2.22,-0.325600,-0.12,1.410600
2025-05-27,35.6680087200,35.1920467300,35.6680087200,35.1143386500,750900,27341383.0000,1.55,-1.388100,-0.50,1.429700
2025-05-28,35.2114737500,35.4057439500,35.7457168000,35.2114737500,704129,25704565.3100,1.52,0.607200,0.21,1.340700
2025-05-29,35.4543115000,35.6097276600,36.0565491200,35.4154574600,1078895,39642134.1500,1.81,0.576100,0.20,2.054300
2025-05-30,35.6000141500,35.0269170600,35.8914194500,34.9686360000,1032400,37446453.0000,2.59,-1.636700,-0.58,1.965700
2025-06-03,34.9297819600,34.9783495100,35.2794683200,34.6189496400,817792,29501377.6400,1.89,-0.138700,-0.05,1.557100
2025-06-04,34.9880630200,34.7257982500,35.3086088500,33.5116095000,1677800,59988923.0000,5.14,-0.722000,-0.25,3.194600
2025-06-05,34.9440865200,34.8349482600,35.1226764000,34.5174551400,1085000,38045205.0000,1.74,0.314300,0.11,2.065900
2025-06-06,34.8250266000,35.6782893600,35.9263308600,34.6265934000,2017700,71814313.0000,3.73,2.421000,0.84,3.841800
2025-06-09,35.5493077800,35.1226764000,36.1247640600,34.7456533200,1829900,65001224.0000,3.87,-1.557300,-0.56,3.484200
2025-06-10,35.2218930000,34.7555749800,35.2218930000,34.2297270000,1134200,39676405.0000,2.82,-1.045200,-0.37,2.159600
2025-06-11,34.7952616200,35.0929114200,35.5691511000,34.6563583800,1085683,38640287.3300,2.63,0.970600,0.34,2.067200
2025-06-12,35.2318146600,34.9936948200,35.2913446200,34.8051832800,569400,20044577.0000,1.39,-0.282700,-0.10,1.084200
2025-06-13,34.6365150600,34.4480035200,35.1325980600,34.4480035200,856600,29983774.0000,1.96,-1.559400,-0.55,1.631000
2025-06-16,34.4480035200,34.1404320600,34.6861233600,33.9320772000,923300,31904247.0000,2.19,-0.892900,-0.31,1.758000
2025-06-17,34.2793353000,33.9916071600,34.3289436000,33.8328606000,510237,17472951.6500,1.45,-0.435900,-0.15,0.971500
2025-06-18,34.0213721400,34.3587085800,34.4182385400,33.8427822600,668587,23012410.3100,1.69,1.080000,0.37,1.273000
2025-06-19,34.2594919800,34.6960450200,35.6088377400,34.1602753800,1387496,49007213.4400,4.22,0.981800,0.34,2.641800
2025-06-20,34.5869067600,34.4281602000,35.3409529200,34.2793353000,854767,29889223.2800,3.06,-0.772100,-0.27,1.627500
2025-06-23,34.4976118200,34.3587085800,34.6067500800,34.0610587800,751200,26003128.0000,1.59,-0.201700,-0.07,1.430300
2025-06-24,34.5075334800,35.7973492800,35.8866442200,34.3587085800,2027200,72278602.0000,4.45,4.187100,1.44,3.859900
2025-06-25,35.7973492800,35.9759391600,36.4621005000,35.5989160800,1365437,49532495.0900,2.41,0.498900,0.18,2.599800
2025-06-26,35.9560958400,35.5691511000,36.1842940200,35.3707179000,1351900,48678590.0000,2.26,-1.130700,-0.41,2.574100
2025-06-27,35.6485243800,35.9560958400,36.0949990800,35.5195428000,1009301,36457579.9300,1.62,1.087900,0.39,1.921700
2025-06-30,35.9660175000,36.3827272200,36.7101420000,35.9660175000,1294161,47511313.0400,2.07,1.186500,0.43,2.464100
2025-07-01,36.6208470600,36.4422571800,36.6605337000,36.1346857200,863900,31683312.0000,1.45,0.163600,0.06,1.644900
2025-07-02,36.5216304600,36.3529622400,36.9085752000,36.1148424000,714200,26173634.0000,2.18,-0.245000,-0.09,1.359900
2025-07-03,36.2140590000,36.0949990800,36.5910820800,36.0453907800,906021,33089581.1300,1.50,-0.709600,-0.26,1.725100
2025-07-04,36.0949990800,35.8469575800,36.4323355200,35.8370359200,1029200,37493197.0000,1.65,-0.687200,-0.25,1.959600
2025-07-07,35.8271142600,36.1644507000,36.1644507000,35.4798561600,870380,31385036.1000,1.91,0.885700,0.32,1.657200
2025-07-08,36.1644507000,36.4521788400,36.6406903800,36.0751557600,952575,34989703.7500,1.56,0.795600,0.29,1.813700
2025-07-09,36.6010037400,36.2735889600,36.8292019200,36.2339023200,758619,27846721.5600,1.63,-0.489900,-0.18,1.444400
2025-07-10,36.3728055600,36.3132756000,36.5315521200,36.1148424000,679700,24855966.0000,1.15,0.109400,0.04,1.294200
2025-07-11,36.3132756000,36.5910820800,36.5910820800,35.8965658800,905968,33064785.2800,1.91,0.765000,0.28,1.725000
2025-07-14,37.7023080000,37.2459116400,38.0594877600,36.8887318800,2085356,78669883.3600,3.20,1.789600,0.65,3.970600
2025-07-15,37.5733264200,37.7717596200,37.9007412000,37.1070084000,2322905,87877831.3000,2.13,1.411800,0.53,4.422900
2025-07-16,37.9404278400,37.7519163000,38.2281559800,37.5336397800,1115405,42556477.7000,1.84,-0.052500,-0.02,2.123800
2025-07-17,37.7519163000,37.5038748000,37.9503495000,37.5038748000,915100,34714765.0000,1.18,-0.657000,-0.25,1.742400
2025-07-18,37.5038748000,37.8808978800,37.9701928200,37.4542665000,1082500,41111782.0000,1.38,1.005300,0.38,2.061100
2025-07-21,38.0793310800,38.4464325000,38.6746306800,37.9503495000,1361400,52677359.0000,1.91,1.492900,0.57,2.592200
2025-07-22,38.5952574000,38.3968242000,38.6944740000,38.0297227800,1454759,56305493.2700,1.73,-0.129000,-0.05,2.769900
2025-07-23,38.3968242000,37.8114462600,38.4960408000,37.7221513200,1218226,46683053.4000,2.02,-1.524500,-0.59,2.319500
2025-07-24,37.8511329000,37.7122296600,38.0098794600,37.5832480800,1209313,45981448.9500,1.13,-0.262400,-0.10,2.302600
2025-07-25,37.7816812800,37.8114462600,38.0198011200,37.5733264200,1059964,40358153.0800,1.18,0.263100,0.10,2.018200
2025-07-28,37.9007412000,37.9503495000,38.1487827000,37.7221513200,1007300,38511055.0000,1.13,0.367400,0.14,1.917900
2025-07-29,37.8015246000,37.9503495000,38.0892527400,37.6427780400,910062,34700056.0400,1.18,0.000000,0.00,1.732800
2025-07-30,37.9602711600,38.2777642800,38.2777642800,37.5038748000,1387788,53010028.4800,2.04,0.862700,0.33,2.642400
2025-07-31,37.9701928200,38.4960408000,39.9743681400,37.9503495000,2454761,96648512.8800,5.29,0.570200,0.22,4.674000
2025-08-01,38.4067458600,40.3613128800,40.8673175400,38.2777642800,3601556,144954814.7200,6.73,4.845400,1.87,6.857500
2025-08-04,40.1628796800,42.6532163400,42.8119629000,39.8850732000,4157499,174929674.4200,7.25,5.678500,2.29,7.916000
2025-08-05,42.4547831400,43.0500827400,43.0897693800,42.0380734200,2650111,113976845.4300,2.47,0.930400,0.40,5.045900
2025-08-06,42.8318062200,43.1294560200,43.4370274800,42.5837647200,2586488,112022659.6200,1.98,0.184400,0.08,4.924800
2025-08-07,42.7623546000,44.3398985400,44.7268432800,42.7623546000,2776648,123132837.9400,4.55,2.806500,1.21,5.286800
2025-08-08,44.3101335600,44.5978617000,45.6297143400,43.9529538000,2834388,127872165.4800,3.78,0.581800,0.26,5.396800
2025-08-11,44.7268432800,45.8083042200,46.0166590800,44.6077833600,2468317,113249635.9400,3.16,2.714100,1.21,4.699800
2025-08-12,46.4333688000,46.0265807400,46.4829771000,45.0641797200,2165830,99948556.7000,3.10,0.476500,0.22,4.123800
2025-08-13,45.8975991600,46.3539955200,46.7310186000,45.3320645400,1744918,80939510.9000,3.04,0.711400,0.33,3.322400
2025-08-14,46.3936821600,46.2845439000,47.5049080800,45.9968157600,2167245,102198055.6600,3.25,-0.149800,-0.07,4.126500
2025-08-15,46.0960323600,44.5085667600,46.0960323600,44.0323270800,3712846,166977811.8400,4.46,-3.837100,-1.78,7.069400
2025-08-18,45.0641797200,46.2944655600,46.4829771000,43.9628754600,4052896,183466361.4900,5.66,4.012500,1.79,7.716900
2025-08-19,46.2845439000,46.1456406600,46.9592167800,45.7785392400,2118510,98868523.9400,2.55,-0.321500,-0.15,4.033700
2025-08-20,45.7388526000,47.9712261000,48.0803643600,45.6694009800,2305061,109771824.1200,5.22,3.956100,1.83,4.388900
2025-08-21,47.7727929000,46.1257973400,47.7727929000,45.9571291200,1906936,89781284.5900,3.78,-3.846900,-1.85,3.630900
2025-08-22,46.0563457200,45.8182258800,46.7607835800,45.4610461200,2024049,93699865.1600,2.82,-0.666800,-0.31,3.853900
2025-08-25,45.6495576600,44.8855898400,46.0861107000,44.3398985400,2853843,129567332.8500,3.81,-2.035500,-0.93,5.433800
2025-08-26,44.5482534000,44.6673133200,45.0939447000,44.4291934800,1732779,78177271.9600,1.48,-0.486300,-0.22,3.299300
2025-08-27,44.6673133200,43.1691426600,45.0244930800,43.1592210000,2220171,98979987.1300,4.18,-3.354100,-1.50,4.227300
