日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,40.4500000000,39.7800000000,40.6700000000,39.5000000000,3205086,127658800.0000,0.00,-1.656400,0.00,2.033900
2025-04-16,39.7400000000,38.7000000000,40.8600000000,38.3100000000,4250496,167535898.9600,6.41,-2.714900,-1.08,2.697200
2025-04-17,38.0100000000,38.4100000000,38.9500000000,38.0100000000,3846400,147956840.6400,2.43,-0.749400,-0.29,2.440800
2025-04-18,38.3000000000,38.6400000000,38.9100000000,37.5500000000,3947099,151014802.3400,3.54,0.598800,0.23,2.504700
2025-04-21,38.7700000000,38.5300000000,39.3700000000,38.2800000000,5192896,200936027.2400,2.82,-0.284700,-0.11,3.295300
2025-04-22,38.3000000000,36.9100000000,38.4500000000,36.3200000000,6869520,254408082.5300,5.53,-4.204500,-1.62,4.359200
2025-04-23,37.0100000000,37.0000000000,37.5500000000,36.8000000000,5734064,213044392.7600,2.03,0.243800,0.09,3.638700
2025-04-24,37.1200000000,37.1900000000,38.6000000000,36.8100000000,10621660,400388556.2200,4.84,0.513500,0.19,6.740200
2025-04-25,36.5100000000,33.4700000000,37.2000000000,33.4700000000,11722040,406296290.6000,10.03,-10.002700,-3.72,7.438500
2025-04-28,34.5000000000,32.3100000000,35.2800000000,32.2000000000,16793395,560101087.5100,9.20,-3.465800,-1.16,10.656600
2025-04-29,31.9900000000,29.3000000000,31.9900000000,29.0800000000,26507160,797757071.5600,9.01,-9.316000,-3.01,16.820700
2025-04-30,31.2200000000,32.2300000000,32.2300000000,30.8900000000,11411244,359183162.1200,4.57,10.000000,2.93,7.241200
2025-05-06,34.0000000000,34.4900000000,35.4500000000,33.3300000000,27193308,937786453.0400,6.58,7.012100,2.26,17.256100
2025-05-07,34.7100000000,33.7800000000,34.7500000000,33.3500000000,17010896,575974643.2000,4.06,-2.058600,-0.71,10.794600
2025-05-08,33.9700000000,34.5000000000,34.8600000000,33.7200000000,14269112,489228579.5200,3.37,2.131400,0.72,9.054800
2025-05-09,34.6100000000,33.7900000000,34.6900000000,33.4400000000,8315300,281504973.0000,3.62,-2.058000,-0.71,5.276600
2025-05-12,33.8300000000,33.8600000000,34.0500000000,33.5200000000,7868800,265740483.0000,1.57,0.207200,0.07,4.993300
2025-05-13,34.2300000000,34.0300000000,34.5000000000,33.5100000000,9294500,316441681.0000,2.92,0.502100,0.17,5.898000
2025-05-14,34.3000000000,34.3800000000,34.8500000000,33.9700000000,10891400,374105397.0000,2.59,1.028500,0.35,6.911400
2025-05-15,34.1900000000,33.7500000000,34.8500000000,33.6100000000,7872700,267583331.0000,3.61,-1.832500,-0.63,4.995800
2025-05-16,33.5600000000,33.3900000000,33.6900000000,32.9000000000,7082405,236289774.0000,2.34,-1.066700,-0.36,4.494300
2025-05-19,33.3600000000,33.6100000000,33.8500000000,33.0000000000,6187000,207147281.0000,2.55,0.658900,0.22,3.926100
2025-05-20,33.6100000000,35.4400000000,35.4600000000,33.2100000000,13292844,458713109.7600,6.69,5.444800,1.83,8.435300
2025-05-21,35.2900000000,36.8800000000,37.3800000000,35.2500000000,19314472,707836041.8000,6.01,4.063200,1.44,12.256400
2025-05-22,36.5000000000,36.6400000000,36.8300000000,35.5100000000,12626776,457099203.8400,3.58,-0.650800,-0.24,8.012600
2025-05-23,36.5900000000,35.2000000000,36.6800000000,35.2000000000,10808492,386830695.6400,4.04,-3.930100,-1.44,6.858800
2025-05-26,35.2100000000,34.8700000000,35.8800000000,34.6400000000,7320800,255698925.0000,3.52,-0.937500,-0.33,4.645600
2025-05-27,35.0400000000,34.6900000000,35.1600000000,34.4200000000,6137996,213288076.0400,2.12,-0.516200,-0.18,3.895000
2025-05-28,34.5000000000,37.1500000000,37.7800000000,34.5000000000,16868296,611399283.4400,9.46,7.091400,2.46,10.704100
2025-05-29,36.9900000000,37.1000000000,37.7500000000,36.8300000000,11141251,414180403.4700,2.48,-0.134600,-0.05,7.069900
2025-05-30,36.8300000000,38.1700000000,38.5400000000,36.7500000000,14861934,562737404.7600,4.82,2.884100,1.07,9.431000
2025-06-03,37.3900000000,38.0400000000,38.3100000000,37.3100000000,9390700,354871967.3600,2.62,-0.340600,-0.13,5.959100
2025-06-04,37.8800000000,38.2600000000,39.0200000000,37.8800000000,10651570,409815072.9200,3.00,0.578300,0.22,6.759200
2025-06-05,38.2000000000,38.3900000000,38.6500000000,37.8500000000,8280568,316560317.3300,2.09,0.339800,0.13,5.254600
2025-06-06,38.4600000000,39.4500000000,39.9000000000,38.4000000000,11544196,453154917.3000,3.91,2.761100,1.06,7.325600
2025-06-09,39.6700000000,41.0300000000,41.3800000000,39.6500000000,11975522,486943102.3600,4.39,4.005100,1.58,7.599300
2025-06-10,40.9300000000,39.7900000000,41.1500000000,39.2300000000,12167550,489227947.5800,4.68,-3.022200,-1.24,7.721200
2025-06-11,39.5600000000,40.1600000000,40.8000000000,39.5600000000,7371384,297706720.4000,3.12,0.929900,0.37,4.677700
2025-06-12,40.2500000000,42.5600000000,43.3300000000,39.8000000000,12738063,533517560.4900,8.79,5.976100,2.40,8.083200
2025-06-13,42.4000000000,43.5100000000,43.7500000000,42.0600000000,14342900,616313025.0800,3.97,2.232100,0.95,9.101600
2025-06-16,43.5400000000,45.3900000000,45.4900000000,43.2300000000,12559800,560201517.3600,5.19,4.320800,1.88,7.970100
2025-06-17,46.4000000000,40.8500000000,47.6500000000,40.8500000000,28276040,1240853511.9200,14.98,-10.002200,-4.54,17.943200
2025-06-18,40.4000000000,39.0100000000,40.5300000000,38.5100000000,17228500,676584392.0000,4.94,-4.504300,-1.84,10.932700
