日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,24.5662673400,24.2674076400,24.8750890300,24.2076357000,2165314,53084547.4700,0.00,-1.416400,0.00,0.921400
2025-04-16,24.2076357000,23.7892321200,24.2674076400,23.3210185900,2266444,54072185.3600,3.90,-1.970400,-0.48,0.964400
2025-04-17,23.4804104300,23.9286999800,24.1877117200,23.4804104300,1757428,42349231.0000,2.97,0.586300,0.14,0.747800
2025-04-18,23.9486239600,23.8390420700,24.2275596800,23.6099163000,1291408,30854292.9600,2.58,-0.374700,-0.09,0.549500
2025-04-21,23.9087760000,24.4068755000,24.4068755000,23.5700683400,1708496,41546990.6800,3.51,2.381900,0.57,0.727000
2025-04-22,24.4068755000,24.2474836600,24.8850510200,23.9785099300,2375903,58131901.6100,3.71,-0.653100,-0.16,1.011000
2025-04-23,24.2474836600,25.1440627600,25.3931125100,24.1677877400,4521438,113368912.2600,5.05,3.697600,0.90,1.923900
2025-04-24,25.4827704200,24.8153170900,25.4827704200,24.5363813700,2752444,68919896.7600,3.76,-1.307400,-0.33,1.171200
2025-04-25,24.7555451500,24.5861913200,25.1042148000,24.5563053500,1896884,47094500.8800,2.21,-0.923300,-0.23,0.807100
2025-04-28,24.6160772900,23.9286999800,24.7953931100,23.7095362000,2553676,61644128.0000,4.42,-2.674200,-0.66,1.086600
2025-04-29,23.6995742100,24.2873316200,24.5264193800,23.6995742100,2012238,49063686.3900,3.46,1.498800,0.36,0.856200
2025-04-30,24.2972936100,26.7180571800,26.7180571800,24.2972936100,6610996,170858024.4000,9.97,10.008200,2.43,2.813000
2025-05-06,27.1165367800,27.5050543900,27.8338000600,27.1165367800,7289011,200921310.3200,2.68,2.945600,0.79,3.101500
2025-05-07,27.6744082200,27.5947123000,28.2422416500,27.2858906100,5319096,147774786.7200,3.48,0.326000,0.09,2.263300
2025-05-08,27.4353204600,27.9931919000,28.5411013500,27.3954725000,5132110,145011834.4200,4.15,1.444000,0.40,2.183800
2025-05-09,27.9533439400,28.2621656300,28.5211773700,27.2659666300,5119192,143017345.9500,4.48,0.960900,0.27,2.178300
2025-05-12,28.2621656300,28.4614054300,28.6008732900,27.9134959800,4721909,133828435.6100,2.43,0.705000,0.20,2.009200
2025-05-13,28.7702271200,27.5648263300,28.7801891100,27.5050543900,4329652,121415764.8000,4.48,-3.150200,-0.90,1.842300
2025-05-14,27.7242181700,28.1924317000,28.3916715000,27.4353204600,4511170,126471080.7600,3.47,2.276800,0.63,1.919500
2025-05-15,28.1226977700,27.8736480200,28.3817095100,27.6146362800,2776343,77862488.5200,2.72,-1.130700,-0.32,1.181400
2025-05-16,27.7242181700,28.0928118000,28.5510633400,27.6245982700,3556366,100885442.5300,3.32,0.786300,0.22,1.513300
