日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,31.8189796000,31.9746212000,32.2469940000,31.5466068000,2617774,86014310.2000,0.00,0.828200,0.00,0.538300
2025-04-16,31.7217036000,31.2450512000,31.8578900000,31.0310440000,2932500,94138035.0000,2.59,-2.281700,-0.73,0.603100
2025-04-17,31.1866856000,31.2547788000,31.5563344000,31.0213164000,1718394,55141780.0800,1.71,0.031100,0.01,0.353400
2025-04-18,31.2742340000,31.2255960000,31.5563344000,31.1477752000,1555700,50128583.0000,1.31,-0.093400,-0.03,0.319900
2025-04-21,31.3909652000,32.0038040000,32.1691732000,31.0407716000,3426661,111824517.4000,3.61,2.492200,0.78,0.704700
2025-04-22,30.5933020000,29.3287140000,30.5933020000,28.8034236000,12183597,366661773.9000,5.59,-8.358700,-2.68,2.505600
2025-04-23,28.9882480000,29.2703484000,29.4649004000,28.5991440000,6527582,194619237.1600,2.95,-0.199000,-0.06,1.342400
2025-04-24,28.9882480000,28.4629576000,29.2217104000,28.4629576000,4764196,140884480.4400,2.59,-2.758400,-0.81,0.979800
2025-04-25,28.4726852000,28.0738536000,28.5796888000,27.8306636000,3935705,113797892.9700,2.63,-1.367100,-0.39,0.809400
2025-04-28,28.0933088000,28.0057604000,28.3559540000,27.9279396000,2251318,64958797.1200,1.52,-0.242600,-0.07,0.463000
2025-04-29,28.1419468000,28.5796888000,28.6866924000,27.5874736000,5544403,160909300.4800,3.92,2.049300,0.57,1.140200
2025-04-30,27.8209360000,25.7197744000,27.8209360000,25.7197744000,17761350,477551502.1100,7.35,-10.006800,-2.86,3.652600
2025-05-06,25.3598532000,26.0018748000,26.0116024000,25.2917600000,6994269,184891297.6300,2.80,1.096800,0.28,1.438400
2025-05-07,26.1186060000,25.9726920000,26.5758032000,25.7878676000,7830576,210393624.8900,3.03,-0.112200,-0.03,1.610400
2025-05-08,25.8267780000,26.1866992000,26.2450648000,25.8267780000,5722118,153532693.3200,1.61,0.824000,0.21,1.176800
2025-05-09,26.1866992000,26.2742476000,26.3034304000,25.8073228000,5656168,151619013.0600,1.89,0.334300,0.09,1.163200
2025-05-12,26.3617960000,26.6244412000,26.9065416000,26.3617960000,5895028,161121083.6000,2.07,1.332800,0.35,1.212300
2025-05-13,26.8481760000,26.5271652000,26.8481760000,26.4687996000,4619784,126463881.9600,1.42,-0.365400,-0.10,0.950100
2025-05-14,26.5271652000,26.3909788000,26.5271652000,26.1769716000,4054291,109703698.1800,1.32,-0.513400,-0.14,0.833800
2025-05-15,26.2937028000,26.0991508000,26.3520684000,26.0310576000,3309857,89004130.4400,1.22,-1.105800,-0.29,0.680700
2025-05-16,26.0407852000,26.0796956000,26.2547924000,26.0310576000,2424100,65162230.0000,0.86,-0.074500,-0.02,0.498500
2025-05-19,26.0894232000,26.1575164000,26.1866992000,25.8851436000,2615300,69936653.7000,1.16,0.298400,0.08,0.537800
2025-05-20,26.1380612000,26.2450648000,26.3034304000,25.9726920000,2867775,77234145.1500,1.26,0.334700,0.09,0.589800
2025-05-21,26.2645200000,26.1575164000,26.4979824000,26.1088784000,3503400,94435489.6000,1.48,-0.333600,-0.09,0.720500
2025-05-22,26.1477888000,25.9143264000,26.2256096000,25.8948712000,3202386,85624655.1200,1.26,-0.929700,-0.24,0.658600
2025-05-23,25.9143264000,25.5349500000,25.9726920000,25.4863120000,3936200,104041977.0000,1.88,-1.464000,-0.38,0.809500
2025-05-26,25.5446776000,25.2723048000,25.5835880000,25.1847564000,3749865,97406961.0800,1.56,-1.028600,-0.26,0.771200
2025-05-27,25.4182188000,26.0894232000,26.4396168000,25.3598532000,7589631,202247045.5600,4.27,3.233300,0.82,1.560800
2025-05-28,26.0991508000,26.2450648000,26.6341688000,25.7975952000,6246200,168340211.7000,3.21,0.596600,0.16,1.284500
2025-05-29,26.2839752000,26.5466204000,26.5563480000,26.2450648000,4985510,135424442.4000,1.19,1.149000,0.30,1.025300
2025-05-30,26.5660756000,26.2353372000,26.5758032000,26.1283336000,3855730,104256692.4000,1.69,-1.172600,-0.31,0.792900
2025-06-03,26.1186060000,25.6905916000,26.1477888000,25.6127708000,3716457,98468102.3600,2.04,-2.076400,-0.54,0.764300
2025-06-04,25.7781400000,25.7975952000,26.0018748000,25.7489572000,2657900,70625559.4000,0.98,0.416500,0.11,0.546600
2025-06-05,25.7781400000,25.9240540000,25.9532368000,25.7586848000,2552799,67840634.4000,0.75,0.490200,0.13,0.525000
2025-06-06,25.8365056000,25.8365056000,25.9337816000,25.7392296000,1588600,42197164.2000,0.75,-0.337700,-0.09,0.326700
2025-06-09,25.8267780000,26.0602404000,26.0699680000,25.8170504000,2323226,62026033.7400,0.98,0.866000,0.22,0.477800
2025-06-10,26.0602404000,25.7003192000,26.0991508000,25.5349500000,3412100,90404739.0000,2.16,-1.381100,-0.36,0.701700
2025-06-11,25.7489572000,25.8754160000,26.0213300000,25.6516812000,2570756,68441143.4800,1.44,0.681300,0.18,0.528700
2025-06-12,25.8754160000,25.7003192000,25.9045988000,25.7003192000,2225256,58941067.7200,0.79,-0.676700,-0.18,0.457600
2025-06-13,25.7100468000,25.4084912000,25.8073228000,25.3793084000,3080000,80818391.0000,1.67,-1.135500,-0.29,0.633400
2025-06-16,25.3987636000,25.2333944000,25.3987636000,25.1750288000,3034000,78736593.0000,0.88,-0.689100,-0.18,0.623900
2025-06-17,25.2820324000,25.2431220000,25.5154948000,25.1750288000,2025400,52691571.0000,1.35,0.038600,0.01,0.416500
2025-06-18,25.2820324000,25.4571292000,25.7586848000,25.2723048000,3552840,93285168.1700,1.93,0.847800,0.21,0.730600
2025-06-19,25.3890360000,24.9707492000,25.4279464000,24.9026560000,3597026,92795553.1200,2.06,-1.910600,-0.49,0.739700
2025-06-20,24.9707492000,24.4649140000,25.1069356000,24.3384552000,4863318,123164951.5500,3.08,-2.025700,-0.51,1.000100
2025-06-23,24.4260036000,24.6400108000,24.6594660000,24.2703620000,2523190,63503270.5000,1.59,0.715700,0.18,0.518900
2025-06-24,24.7500000000,24.9200000000,24.9400000000,24.4100000000,3834239,94761890.7700,2.15,1.136400,0.28,0.788500
