日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,39.9657948000,37.3610589200,41.0395027200,36.7049040800,18837043,715878268.6800,0.00,-7.869600,0.00,4.077800
2025-04-16,37.2218745600,37.0528649800,38.1961650800,36.5160110200,10597402,397899422.6900,4.50,-0.824900,-0.31,2.294100
2025-04-17,36.9832728000,36.0885162000,37.5698354600,35.7902640000,11125838,409766529.9400,4.80,-2.602600,-0.96,2.408500
2025-04-18,36.0885162000,35.7803222600,36.8540301800,35.3627691800,8340406,302229290.4700,4.13,-0.854000,-0.31,1.805500
2025-04-21,35.9393901000,36.7943797400,37.3710006600,35.7405553000,6930253,256285009.9400,4.56,2.834100,1.01,1.500200
2025-04-22,36.8341467000,36.9236223600,38.0569807200,35.7902640000,8222173,305895511.8200,6.16,0.351300,0.13,1.779900
2025-04-23,36.8838554000,36.6949623400,37.2715832600,36.4165936200,5396648,199687755.5300,2.32,-0.619300,-0.23,1.168200
2025-04-24,36.3967101400,36.8540301800,37.0429232400,35.8101474800,5581781,205448375.7900,3.36,0.433500,0.16,1.173700
2025-04-25,36.8540301800,37.2616415200,38.2657572600,36.5358945000,6158449,231987420.0700,4.69,1.106000,0.41,1.295000
2025-04-28,37.2417580400,37.6593111200,38.5739512000,37.1224571600,5677904,216237475.1200,3.90,1.067200,0.40,1.193900
2025-04-29,38.1166311600,38.9815625400,39.2301060400,36.9037388800,10218356,392251791.2000,6.18,3.511100,1.32,2.148700
2025-04-30,38.7628442600,37.7786120000,39.1903390800,37.6791946000,7490485,289536803.6900,3.88,-3.085900,-1.20,1.575100
2025-05-06,37.9476215800,37.8780294000,38.4148833600,37.2417580400,8967777,339725181.6200,3.11,0.263200,0.10,1.885700
2025-05-07,38.4049416200,39.3295234400,40.3634644000,38.3353494400,14034394,553363994.5400,5.35,3.832000,1.45,2.951100
2025-05-08,39.0014460200,38.6236599000,39.2201643000,38.0768642000,9019006,348575966.5400,2.91,-1.794700,-0.71,1.896500
2025-05-09,38.5739512000,37.3014084800,38.7330190400,36.7844380000,10080493,378378834.1400,5.05,-3.423400,-1.32,2.119700
2025-05-12,37.1423406400,39.6874260800,40.2640470000,37.1423406400,15124091,596768556.0300,8.37,6.396600,2.39,3.180200
2025-05-13,39.6774843400,38.0271555000,39.6874260800,37.8283207000,9699457,375388710.9100,4.68,-4.183400,-1.66,2.039600
2025-05-14,37.9078546200,37.5201267600,38.3751164000,37.3710006600,6788720,257791892.4000,2.64,-1.333300,-0.51,1.427500
2025-05-15,37.2914667400,36.5657197200,37.5598937200,36.2774092600,6492967,239414078.2700,3.42,-2.543700,-0.95,1.365300
2025-05-16,36.5160110200,36.3470014400,36.9335641000,36.2078170800,4152647,152622771.9600,1.98,-0.598200,-0.22,0.873200
2025-05-19,36.3867684000,36.1481666400,36.6949623400,35.8002057400,4156443,150990497.4200,2.46,-0.547000,-0.20,0.874000
2025-05-20,36.1581083800,35.4920118000,36.2873510000,35.1440509000,7692093,274576981.9300,3.16,-1.815200,-0.66,1.617500
2025-05-21,35.5019535400,35.5914292000,35.9890988000,35.2931770000,7371500,264546479.8300,1.96,0.280100,0.10,1.550000
2025-05-22,35.4920118000,35.5218370200,36.3768266600,35.1738761200,6176235,223130420.6600,3.38,-0.195500,-0.07,1.298700
2025-05-23,35.3031187400,34.9949248000,35.7803222600,34.9949248000,4284701,152484378.0000,2.21,-1.483300,-0.53,0.901000
2025-05-26,35.0048665400,35.2434683000,35.3428857000,34.5972552000,3983828,140470674.3500,2.13,0.710200,0.25,0.837700
2025-05-27,35.1639343800,34.2095273400,35.1738761200,33.9808673200,6109840,211244690.3500,3.39,-2.933700,-1.03,1.284700
2025-05-28,34.2791195200,34.1896438600,34.5475465000,34.0604012400,4380260,151254604.7200,1.42,-0.058100,-0.02,0.921100
2025-05-29,34.3390112800,34.8369667800,35.0461080900,34.1099517500,5524830,191386165.7800,2.74,1.893400,0.65,1.161700
2025-05-30,34.7572939000,35.9922235400,36.5499337000,34.5581117000,9177851,331334559.4300,5.72,3.316200,1.16,1.929900
2025-06-03,36.0320599800,35.5540227000,36.3009559500,35.3847178300,4449813,159434004.2200,2.55,-1.217500,-0.44,0.935700
2025-06-04,35.4046360500,35.3946769400,35.6336955800,34.9166396600,3353892,118854285.4300,2.02,-0.448200,-0.16,0.705200
2025-06-05,35.4046360500,35.5042271500,36.0021826500,35.0461080900,4834721,172145264.3700,2.70,0.309500,0.11,1.016600
2025-06-06,35.7034093500,35.3847178300,36.3806288300,35.2054538500,5324200,191602223.6600,3.31,-0.336600,-0.12,1.119500
2025-06-09,35.3847178300,35.1954947400,35.8527960000,35.0361489800,5230760,185853610.7100,2.31,-0.534800,-0.19,1.099900
2025-06-10,35.0660263100,34.2095428500,35.0660263100,33.6219553600,9369193,320853743.8800,4.10,-2.801400,-0.99,1.970100
2025-06-11,34.1995837400,34.3688886100,34.5481525900,33.8808922200,3318505,114386488.5000,1.95,0.465800,0.16,0.697800
2025-06-12,34.1995837400,34.9166396600,35.5341044800,34.0203197600,5609571,197368596.9400,4.40,1.593700,0.55,1.179600
2025-06-13,35.1556583000,35.3349222800,35.5042271500,34.8668441100,5453634,192768240.2300,1.83,1.197900,0.42,1.146800
2025-06-16,35.3349222800,34.0999926400,35.7930413400,33.6717509100,9841356,339490081.1000,6.00,-3.494900,-1.23,2.069400
2025-06-17,34.0999926400,33.8609740000,34.4585206000,33.8111784500,5711841,195320437.1900,1.90,-0.700900,-0.24,1.201100
2025-06-18,33.7912602300,34.1597473000,34.3888068300,33.6319144700,4312521,147318378.9100,2.24,0.882400,0.30,0.906800
2025-06-19,33.8908513300,33.4626096000,34.0800744200,33.1140407500,5008665,168500397.9600,2.83,-2.040800,-0.70,1.053200
2025-06-20,33.4626096000,33.5622007000,33.6418735800,32.8451447800,5613158,187239464.1900,2.38,0.297600,0.10,1.180300
2025-06-23,33.2335500700,34.7971303400,35.0560672000,33.1737954100,9614791,328644576.7400,5.61,3.679500,1.23,2.021800
2025-06-24,34.5780299200,35.9822644300,36.0519782000,33.9207286600,12441987,440120872.0500,6.12,3.405800,1.19,2.616200
2025-06-25,36.0519782000,37.4661718200,37.7251086800,36.0519782000,14200452,530035834.6100,4.65,4.124000,1.48,2.986000
2025-06-26,37.7450269000,36.4403834900,37.9940046500,36.3507515000,9787360,365748559.8400,4.39,-2.737900,-1.03,2.058000
2025-06-27,36.7092794600,37.0379300900,37.5259264800,36.4702608200,5896027,220127402.5500,2.90,1.639800,0.60,1.239800
2025-06-30,37.1275620800,37.8744953300,39.1990569600,37.1275620800,12210641,469570280.3800,5.59,2.258700,0.84,2.567600
2025-07-01,37.6454358000,37.8844544400,38.3425735000,37.3466625000,6226028,236344098.9300,2.63,0.026300,0.01,1.309200
2025-07-02,37.8346588900,37.0379300900,37.9342499900,36.8885434400,4740100,177628994.0000,2.76,-2.234500,-0.85,0.996700
2025-07-03,37.0678074200,36.5598928100,37.8346588900,36.3607106100,5900765,218543155.7500,3.98,-1.290700,-0.48,1.240800
2025-07-04,36.4503426000,36.5499337000,36.9482981000,36.1615284100,5329292,195465084.9900,2.15,-0.027200,-0.01,1.120600
2025-07-07,36.5200563700,36.3706697200,37.1574394100,36.3009559500,4333172,159413705.1400,2.34,-0.490500,-0.18,0.911200
2025-07-08,36.3706697200,36.9881345400,37.6454358000,36.2611195100,12161890,450930426.2600,3.81,1.697700,0.62,2.557300
2025-07-09,36.7690341200,36.3806288300,37.5060082600,36.3208741700,5666978,209715244.3400,3.20,-1.642400,-0.61,1.191600
2025-07-10,37.2072349600,36.9781754300,37.5358855900,36.7192385700,10652348,396851621.6300,2.24,1.642500,0.60,2.239900
2025-07-11,36.5499337000,37.4362944900,37.6952313500,36.5399745900,8793632,328842693.4900,3.12,1.238900,0.46,1.849100
2025-07-14,37.4362944900,36.4304243800,37.4462536000,36.4105061600,9957024,366141780.9800,2.77,-2.686900,-1.01,2.093700
2025-07-15,36.4802199300,36.8088705600,36.9283798800,36.2113239600,6307288,231938542.0600,1.97,1.038800,0.38,1.326300
2025-07-16,36.7491159000,35.9523871000,37.1673985200,35.8428368900,9540329,348114358.0000,3.60,-2.326800,-0.86,2.006100
2025-07-17,35.7532049000,36.8387478900,37.4462536000,35.0859445300,12445798,453126628.7100,6.57,2.465400,0.89,2.617000
2025-07-18,36.7590750100,36.7291976800,37.2171940700,36.4603017100,8089224,299058842.3200,2.05,-0.297400,-0.11,1.701000
2025-07-21,36.7192385700,37.0180118700,37.4860900400,36.6296065800,6881108,256168492.5700,2.33,0.786300,0.29,1.446900
2025-07-22,37.1474803000,37.1673985200,37.9242908800,36.8487070000,8584149,322119232.4600,2.91,0.403600,0.15,1.805000
2025-07-23,37.1375211900,36.1615284100,37.1375211900,36.0718964200,8923330,326423483.0000,2.87,-2.706300,-1.01,1.876400
2025-07-24,36.0519782000,36.6694430200,36.8885434400,36.0519782000,6121269,224466416.6200,2.31,1.404600,0.51,1.287200
2025-07-25,36.7192385700,36.6495248000,37.3765398300,36.4503426000,8089347,299566162.1800,2.53,-0.054300,-0.02,1.701000
2025-07-28,36.7889523400,37.2171940700,38.0438002000,36.7491159000,9804890,369123365.2700,3.53,1.548900,0.57,2.061700
2025-07-29,37.1474803000,38.8006925600,38.8206107800,36.9781754300,14009367,536509963.2300,4.95,4.254700,1.58,2.945800
2025-07-30,38.8106516700,37.2968669500,38.8405290000,37.2072349600,12037856,458012964.9100,4.21,-3.875800,-1.50,2.531300
2025-07-31,37.2072349600,36.3208741700,37.4960491500,36.2511604000,14317940,527517451.6800,3.34,-2.616800,-0.98,3.010700
2025-08-01,36.4005470500,36.6196474700,36.8487070000,35.8627551100,6880343,251805741.9500,2.71,0.822600,0.30,1.446800
2025-08-04,36.5997292500,37.5558038100,37.7948224500,36.4304243800,9147074,342971522.4600,3.73,2.556400,0.94,1.923400
2025-08-05,37.5657629200,37.5657629200,37.8147406700,37.0578483100,8340266,313566989.1400,2.02,0.026500,0.01,1.753800
2025-08-06,37.5558038100,38.4421646000,38.7210196800,37.4462536000,12279185,473493648.8600,3.39,2.333000,0.88,2.582000
2025-08-07,38.7409379000,37.4362944900,38.7708152300,37.2371122900,10707454,404542988.8100,3.99,-2.616600,-1.01,2.251500
2025-08-08,37.3267442800,37.2669896200,37.7450269000,37.2271531800,6091697,228951027.6700,1.38,-0.452200,-0.17,1.280900
2025-08-11,37.2769487300,37.9940046500,38.2429824000,37.0976847500,8146740,309893144.0800,3.07,1.950800,0.73,1.713100
2025-08-12,38.0139228700,37.2371122900,38.0238819800,36.5598928100,10062811,375829942.7800,3.85,-1.992100,-0.76,2.116000
2025-08-13,37.1275620800,37.2072349600,37.5856811400,36.9682163200,8781185,328072912.2500,1.66,-0.080200,-0.03,1.846500
2025-08-14,37.1673985200,36.5897701400,37.3466625000,36.4005470500,8955095,330303718.0000,2.54,-1.659500,-0.62,1.883000
2025-08-15,36.5300154800,36.7291976800,36.9482981000,36.3706697200,8594141,316522778.7400,1.58,0.381100,0.14,1.807100
2025-08-18,36.8287887800,37.5657629200,37.7251086800,36.6495248000,18926527,706160136.5900,2.93,2.277700,0.84,3.979800
2025-08-19,37.7251086800,36.8188296700,37.7450269000,36.6794021300,12386353,459611608.9600,2.84,-1.988300,-0.75,2.604500
2025-08-20,36.6694430200,37.1275620800,37.2171940700,36.5798110300,9429499,349842065.5400,1.73,0.838500,0.31,1.982800
2025-08-21,37.2371122900,37.4163762700,37.8147406700,37.1275620800,12871024,484147471.0900,1.85,0.777900,0.29,2.706500
2025-08-22,37.6354766900,40.2148861800,40.6331688000,37.3466625000,28355946,1109393594.4600,8.78,7.479400,2.80,5.962600
2025-08-25,40.8223918900,40.1352133000,40.8223918900,39.4380756000,19618956,789028153.1500,3.44,-0.198100,-0.08,4.125400
2025-08-26,40.1352133000,40.4041092700,41.0116149800,39.8961946600,13248088,538220787.7800,2.78,0.670000,0.27,2.785700
2025-08-27,40.3343955000,39.8762764400,41.4597749300,39.8364400000,16242423,664359424.7600,4.02,-1.306400,-0.53,3.415400
2025-08-28,39.7766853400,40.5634550300,40.6132505800,39.0596294200,13697711,549159066.3800,3.90,1.723300,0.69,2.880300
2025-08-29,42.8142138900,40.3343955000,42.8142138900,39.8364400000,14936765,607370474.8800,7.34,-0.564700,-0.23,3.140800
2025-09-01,40.3343955000,40.3443546100,40.4339866000,39.7468080100,10837814,435916929.6500,1.70,0.024700,0.01,2.278900
2025-09-02,40.2646817300,39.1393023000,40.4339866000,38.4421646000,11219339,440905001.9200,4.94,-2.986900,-1.21,2.359200
2025-09-03,39.2289342900,37.3765398300,39.3384845000,37.2171940700,12561880,479161372.1600,5.42,-4.503800,-1.76,2.641500
2025-09-04,37.3466625000,36.3109150600,38.5019192600,35.8030004500,11797851,440438016.0100,7.22,-2.851100,-1.07,2.480800
2025-09-05,36.4503426000,37.0180118700,37.1873167400,36.2013648500,7289589,268657923.3700,2.72,1.947300,0.71,1.532800
2025-09-08,37.2171940700,37.4064171600,37.7151495700,36.7291976800,6562395,244926197.0900,2.66,1.049200,0.39,1.379900
2025-09-09,37.1474803000,36.6694430200,37.1972758500,36.4304243800,5605792,207166247.4700,2.05,-1.970200,-0.74,1.178800
2025-09-10,36.5997292500,36.5598928100,36.9980936500,36.3507515000,4677581,171752785.8400,1.77,-0.298800,-0.11,0.983600
