日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,23.5809600000,23.7774680000,24.1213570000,23.3844520000,2466570,59887939.6000,0.00,0.917400,0.00,1.279500
2025-04-16,23.8265950000,23.3746266000,23.8953728000,22.9717852000,1916913,45713250.5400,3.88,-1.694200,-0.40,0.994400
2025-04-17,23.3353250000,23.1388170000,23.7578172000,23.1191662000,1573300,37352998.0000,2.73,-1.008800,-0.24,0.816100
2025-04-18,23.1388170000,22.8833566000,23.2075948000,22.5885946000,1956970,45516821.6000,2.68,-1.104000,-0.26,1.015200
2025-04-21,22.8440550000,23.2174202000,23.2665472000,22.5984200000,1653198,38684396.4100,2.92,1.459900,0.33,0.857600
2025-04-22,23.1682932000,23.2075948000,23.5416584000,22.9914360000,1534226,36228753.8800,2.37,-0.042300,-0.01,0.795900
2025-04-23,23.4532298000,23.2075948000,23.4827060000,23.0602138000,1135062,26826623.4400,1.82,0.000000,0.00,0.588800
2025-04-24,23.3844520000,23.1093408000,23.4728806000,22.8538804000,1679430,39548314.7500,2.67,-0.423400,-0.10,0.871200
2025-04-25,23.1191662000,23.9641506000,24.2687380000,23.0503884000,4183767,101349712.3600,5.27,3.699000,0.85,2.170300
2025-04-28,23.9543252000,24.0722300000,24.1311824000,23.5220076000,3056871,74170922.4700,2.54,0.451000,0.11,1.585700
2025-04-29,23.8757220000,23.6890394000,23.9543252000,23.5809600000,2499400,60426119.0000,1.55,-1.591800,-0.38,1.296500
2025-04-30,24.0034522000,23.5613092000,24.0722300000,23.4925314000,2658974,64532880.5000,2.45,-0.539200,-0.13,1.379300
2025-05-06,23.5711346000,24.0329284000,24.1115316000,23.5711346000,2260510,54986812.5000,2.29,2.001700,0.47,1.172600
2025-05-07,24.1999602000,24.3178650000,24.6617540000,24.1410078000,2995003,74239186.8300,2.17,1.185600,0.28,1.553600
2025-05-08,24.1704840000,24.1901348000,24.3866428000,24.0525792000,2472740,60829605.7000,1.37,-0.525300,-0.13,1.282700
2025-05-09,24.1901348000,23.8658966000,24.1999602000,23.7381664000,1614897,39318362.1900,1.91,-1.340400,-0.32,0.837700
2025-05-12,24.0722300000,24.1704840000,24.3669920000,23.9248490000,1959209,48122510.1000,1.85,1.276200,0.30,1.016300
2025-05-13,24.4554206000,24.2196110000,24.4554206000,24.0231030000,1395300,34339846.0000,1.79,0.203300,0.05,0.723800
2025-05-14,24.2196110000,24.0722300000,24.3178650000,23.8953728000,1725300,42218418.5000,1.74,-0.608500,-0.15,0.895000
2025-05-15,24.1410078000,24.0820554000,24.3669920000,23.8855474000,1842730,45179917.7000,2.00,0.040800,0.01,0.955900
