日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,35.7149924000,35.6952603600,36.3069536000,35.0835671200,895700,32499541.0000,0.00,0.416300,0.00,0.205600
2025-04-16,35.5275380200,35.4979399600,35.7149924000,35.0934331400,520300,18624108.0000,1.74,-0.552800,-0.20,0.119400
2025-04-17,35.3006195600,35.3894137400,35.7149924000,35.1230312000,609474,21898979.7100,1.67,-0.305700,-0.11,0.139900
2025-04-18,35.5176720000,34.0180369600,35.5571360800,33.6135301400,2250051,77616964.3500,5.49,-3.875100,-1.37,0.516500
2025-04-21,33.9391088000,33.7911185000,34.1265631800,33.2879514800,1719428,58638999.6000,2.47,-0.667100,-0.23,0.394700
2025-04-22,33.7121903400,33.5148699400,33.8108505400,33.3570136200,996000,33855837.0000,1.34,-0.817500,-0.28,0.228700
2025-04-23,33.6628602400,33.7220563600,33.9884389000,33.4655398400,1122700,38399685.0200,1.56,0.618200,0.21,0.257700
2025-04-24,33.7121903400,33.5444680000,34.0377690000,33.3964777000,715400,24412692.0000,1.90,-0.526600,-0.18,0.164200
2025-04-25,33.5444680000,34.1462952200,34.2153573600,33.4458078000,1317800,45398583.0000,2.29,1.794100,0.60,0.302500
2025-04-28,34.0377690000,33.5444680000,34.1068311400,33.5050039200,692200,23648412.0000,1.76,-1.762500,-0.60,0.158900
2025-04-29,33.3274155600,33.4951379000,33.7319223800,32.9525068000,766500,25959840.0000,2.32,-0.147100,-0.05,0.176000
2025-04-30,34.1462952200,34.8862467200,36.0011069800,33.7516544200,2709544,96660820.5400,6.72,4.153200,1.39,0.622000
2025-05-06,35.4584758800,35.2808875200,35.7149924000,34.4718738800,2033198,72289651.6200,3.56,1.131200,0.39,0.466800
2025-05-07,35.5176720000,35.6755283200,35.7939205600,35.1723613000,1427818,51365281.0800,1.76,1.118600,0.39,0.327800
2025-05-08,35.7149924000,35.6853943400,35.7149924000,35.4091457800,716216,25843198.9600,0.86,0.027700,0.01,0.164400
2025-05-09,35.7149924000,36.0109730000,36.2082934000,35.4486098600,1062217,38649329.1200,2.13,0.912400,0.33,0.243900
2025-05-12,36.3168196200,36.4648099200,36.4845419600,35.8333846400,1106442,40612100.5400,1.81,1.260300,0.45,0.254000
2025-05-13,36.9877089800,36.4746759400,36.9975750000,36.3168196200,1056009,39175619.4900,1.87,0.027100,0.01,0.242400
2025-05-14,36.8989148000,36.2674895200,36.9778429600,36.0603031000,891900,32848813.0000,2.52,-0.568000,-0.21,0.204800
2025-05-15,35.5078059800,36.3661497200,36.6029342000,35.5078059800,963838,35494492.5000,3.02,0.272000,0.10,0.221300
2025-05-16,36.3661497200,36.4845419600,36.5930681800,35.9912409600,875559,32245143.9700,1.65,0.325600,0.12,0.201000
2025-05-19,36.4746759400,36.9186468400,36.9877089800,36.0109730000,957000,35556595.7600,2.68,1.189800,0.43,0.219700
2025-05-20,36.9186468400,37.2639575400,37.4612779400,36.7015944000,992651,37420836.5800,2.06,0.935300,0.35,0.227900
2025-05-21,37.2836895800,37.2836895800,37.5698041600,37.0962352000,972904,36899731.7800,1.27,0.053000,0.02,0.223300
2025-05-22,37.3823497800,36.6621303200,37.4415459000,36.6226662400,889400,33338228.0000,2.20,-1.667100,-0.62,0.204200
2025-05-23,36.7410584800,36.1392312600,36.9087808200,36.0109730000,966288,35680237.6400,2.45,-1.426300,-0.52,0.221800
2025-05-26,36.0701691200,36.4746759400,36.7509245000,35.8629827000,1102900,40692442.0000,2.46,0.928200,0.34,0.253200
2025-05-27,36.6226662400,36.9975750000,37.1455653000,36.4746759400,1088277,40733604.6600,1.84,1.433600,0.52,0.249800
2025-05-28,36.9581109200,37.1652973400,37.5895362000,36.8002546000,905804,34141232.4400,2.13,0.453300,0.17,0.207900
2025-05-29,37.1652973400,36.8002546000,37.4514119200,36.4549439000,959120,35717127.0000,2.68,-0.982200,-0.37,0.220200
2025-05-30,36.7903885800,37.0074410200,37.1159672400,36.5733361400,949363,35502869.6300,1.47,0.563000,0.21,0.217900
2025-06-03,36.5042740000,36.6325322600,36.9186468400,36.4253458400,945100,35126808.0000,1.33,-1.013100,-0.37,0.217000
2025-06-04,36.3266856400,37.2146274400,37.2738235600,36.3266856400,903152,33835314.4400,2.59,1.589000,0.58,0.207300
2025-06-05,37.2935556000,36.8199866400,37.4612779400,36.5536041000,1063937,39812219.8100,2.44,-1.060400,-0.39,0.244200
2025-06-06,37.0500000000,36.7500000000,37.0500000000,36.5600000000,721785,26536731.5500,1.33,-0.190100,-0.07,0.165700
2025-06-09,36.6900000000,36.9800000000,37.1700000000,36.5700000000,699185,25809517.4500,1.63,0.625900,0.23,0.160500
2025-06-10,36.9800000000,36.9500000000,37.1300000000,36.2500000000,809852,29730470.7600,2.38,-0.081100,-0.03,0.185900
2025-06-11,36.6300000000,36.6600000000,37.0100000000,36.5500000000,754506,27716152.1600,1.24,-0.784800,-0.29,0.173200
2025-06-12,36.7000000000,36.6500000000,36.7700000000,36.3700000000,565700,20676105.0000,1.09,-0.027300,-0.01,0.129900
2025-06-13,36.2600000000,36.2100000000,36.6400000000,35.9000000000,924800,33433023.0000,2.02,-1.200500,-0.44,0.212300
2025-06-16,36.1500000000,36.3100000000,36.8800000000,36.0000000000,1073714,39235705.4200,2.43,0.276200,0.10,0.246500
2025-06-17,36.2600000000,36.5400000000,36.5600000000,36.0600000000,555746,20205962.1000,1.38,0.633400,0.23,0.127600
2025-06-18,36.2700000000,36.1600000000,36.5300000000,36.1100000000,518000,18799714.0000,1.15,-1.040000,-0.38,0.118900
2025-06-19,36.1800000000,35.8300000000,36.3000000000,35.6800000000,601700,21652980.0000,1.71,-0.912600,-0.33,0.138100
2025-06-20,35.8000000000,35.6000000000,36.0800000000,35.5500000000,722200,25812539.0000,1.48,-0.641900,-0.23,0.165800
2025-06-23,35.5100000000,35.2600000000,35.7600000000,35.0200000000,647200,22787465.0000,2.08,-0.955100,-0.34,0.148600
2025-06-24,35.4400000000,35.6100000000,35.9000000000,35.3900000000,960100,34194904.9400,1.45,0.992600,0.35,0.220400
2025-06-25,35.7600000000,36.0700000000,36.1000000000,35.5800000000,843500,30243177.0000,1.46,1.291800,0.46,0.193600
2025-06-26,36.0700000000,35.9800000000,36.2300000000,35.8100000000,679400,24450557.0000,1.16,-0.249500,-0.09,0.156000
2025-06-27,35.9000000000,35.7500000000,36.1800000000,35.5600000000,943100,33875916.0000,1.72,-0.639200,-0.23,0.216500
2025-06-30,35.9700000000,35.8700000000,36.1100000000,35.6300000000,826300,29620384.0000,1.34,0.335700,0.12,0.189700
2025-07-01,36.2300000000,35.8900000000,36.2300000000,35.7300000000,564100,20250638.0000,1.39,0.055800,0.02,0.129500
2025-07-02,35.8200000000,35.7700000000,36.0300000000,35.6000000000,664563,23769765.4700,1.20,-0.334400,-0.12,0.152600
2025-07-03,35.7700000000,35.9800000000,36.1800000000,35.7000000000,845100,30360844.0000,1.34,0.587100,0.21,0.194000
2025-07-04,35.9600000000,36.1100000000,36.4200000000,35.9000000000,1250763,45213227.6400,1.45,0.361300,0.13,0.287100
2025-07-07,36.0000000000,35.8500000000,36.2500000000,35.7000000000,1069117,38478094.4500,1.52,-0.720000,-0.26,0.245400
2025-07-08,35.8000000000,36.0600000000,36.2900000000,35.6500000000,1707331,61565773.0800,1.79,0.585800,0.21,0.391900
2025-07-09,36.0600000000,36.5600000000,36.6200000000,36.0100000000,1410814,51288032.1000,1.69,1.386600,0.50,0.323900
2025-07-10,36.4600000000,36.7500000000,36.7600000000,36.2400000000,1063200,38778487.0000,1.42,0.519700,0.19,0.244100
2025-07-11,36.7000000000,36.5300000000,36.9800000000,36.4600000000,1152600,42322627.0000,1.41,-0.598600,-0.22,0.264600
2025-07-14,36.7100000000,36.7800000000,37.0600000000,36.6400000000,1228352,45288645.2400,1.15,0.684400,0.25,0.282000
