日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,13.0000000000,12.5000000000,13.0000000000,12.3200000000,3628100,45530070.0000,0.00,0.563200,0.00,1.718700
2025-04-16,12.5000000000,12.1600000000,12.6000000000,11.9600000000,3452400,42144802.0000,5.12,-2.720000,-0.34,1.635500
2025-04-17,12.4000000000,12.1200000000,12.4000000000,12.1200000000,2688683,32854914.9400,2.30,-0.328900,-0.04,1.273700
2025-04-18,12.1700000000,12.2300000000,12.4000000000,12.0000000000,2339300,28457255.0000,3.30,0.907600,0.11,1.108200
2025-04-21,12.2400000000,12.5800000000,12.6000000000,12.1200000000,3059076,38087960.9600,3.92,2.861800,0.35,1.449200
2025-04-22,12.5800000000,12.6600000000,12.7400000000,12.5000000000,2447600,30868317.0000,1.91,0.635900,0.08,1.159500
2025-04-23,12.9600000000,12.7400000000,12.9600000000,12.6600000000,2004400,25593077.0000,2.37,0.631900,0.08,0.949500
2025-04-24,12.8800000000,12.5900000000,13.0700000000,12.5500000000,3564400,45642653.0000,4.08,-1.177400,-0.15,1.688500
2025-04-25,12.7400000000,12.9000000000,12.9300000000,12.6500000000,3753500,48146288.0000,2.22,2.462300,0.31,1.778100
2025-04-28,12.8200000000,12.8600000000,13.1900000000,12.7700000000,4106800,53237774.0000,3.26,-0.310100,-0.04,1.945500
2025-04-29,12.8500000000,13.2500000000,13.3000000000,12.8500000000,4273500,56366254.0000,3.50,3.032700,0.39,2.024500
2025-04-30,13.2200000000,13.4900000000,13.6600000000,13.2200000000,3441500,46528202.0000,3.32,1.811300,0.24,1.630300
2025-05-06,13.6300000000,14.0500000000,14.1100000000,13.6200000000,4276200,59644423.0000,3.63,4.151200,0.56,2.025700
2025-05-07,14.1200000000,13.9300000000,14.2700000000,13.8600000000,4279680,60006388.0000,2.92,-0.854100,-0.12,2.027400
2025-05-08,14.0500000000,14.4200000000,14.4700000000,13.8900000000,4900500,69320043.0000,4.16,3.517600,0.49,2.321500
2025-05-09,14.3800000000,14.3800000000,14.4600000000,14.1600000000,3868300,55231949.0000,2.08,-0.277400,-0.04,1.832500
2025-05-12,14.3700000000,14.6600000000,15.4200000000,14.1900000000,11529200,170457223.0000,8.55,1.947100,0.28,5.461600
2025-05-13,14.5000000000,14.3000000000,14.7200000000,14.2400000000,7454700,107459151.0000,3.27,-2.455700,-0.36,3.531500
2025-05-14,14.3100000000,14.2300000000,14.4300000000,14.2100000000,4510600,64526325.0000,1.54,-0.489500,-0.07,2.136800
2025-05-15,14.2000000000,14.2600000000,14.5800000000,14.1000000000,3149100,45116295.0000,3.37,0.210800,0.03,1.491800
2025-05-16,14.3800000000,14.7000000000,14.7300000000,14.2200000000,5031800,73204221.0000,3.58,3.085600,0.44,2.383700
2025-05-19,14.7900000000,14.6500000000,14.9100000000,14.5300000000,2970200,43578948.0000,2.59,-0.340100,-0.05,1.407000
2025-05-20,14.6500000000,14.8600000000,14.9500000000,14.6000000000,3670900,54224355.0000,2.39,1.433400,0.21,1.739000
2025-05-21,14.8600000000,14.7500000000,14.8900000000,14.6400000000,2077500,30613286.0000,1.68,-0.740200,-0.11,0.984200
2025-05-22,14.8300000000,14.3000000000,14.8500000000,14.3000000000,3952100,57354661.0000,3.73,-3.050800,-0.45,1.872200
2025-05-23,14.6000000000,14.3900000000,14.6500000000,14.1800000000,4373500,63405560.0000,3.29,0.629400,0.09,2.071800
2025-05-26,14.4800000000,14.6200000000,14.7000000000,14.2900000000,2440000,35425618.0000,2.85,1.598300,0.23,1.155900
2025-05-27,14.6000000000,14.5600000000,14.6000000000,14.3600000000,1723630,24969561.8000,1.64,-0.410400,-0.06,0.816500
2025-05-28,14.5100000000,14.4000000000,14.6700000000,14.3100000000,1951400,28143095.0000,2.47,-1.098900,-0.16,0.924400
2025-05-29,14.4000000000,14.3400000000,14.4700000000,14.2000000000,3851400,55185490.0000,1.88,-0.416700,-0.06,1.824500
2025-05-30,14.5100000000,14.1600000000,14.5500000000,14.1000000000,2836995,40531428.2500,3.14,-1.255200,-0.18,1.343900
2025-06-03,14.0000000000,14.7600000000,14.9600000000,14.0000000000,6613300,96378380.0000,6.78,4.237300,0.60,3.132900
2025-06-04,14.8900000000,14.8000000000,14.9100000000,14.6100000000,3658300,54018035.0000,2.03,0.271000,0.04,1.733000
2025-06-05,15.0900000000,14.6300000000,15.0900000000,14.6000000000,3620700,53474487.0000,3.31,-1.148600,-0.17,1.715200
2025-06-06,14.6300000000,14.8700000000,15.0600000000,14.6300000000,4314795,64210906.8000,2.94,1.640500,0.24,2.044000
2025-06-09,14.8500000000,15.0400000000,15.2900000000,14.8500000000,5007600,75693173.0000,2.96,1.143200,0.17,2.372200
2025-06-10,15.2000000000,15.1600000000,15.5400000000,14.9600000000,8494300,129537905.0000,3.86,0.797900,0.12,4.023900
2025-06-11,15.2400000000,15.6900000000,15.9800000000,15.1000000000,9810184,153537584.4400,5.80,3.496000,0.53,4.647300
2025-06-12,15.7000000000,16.3000000000,16.4600000000,15.6300000000,13580900,220383524.1600,5.29,3.887800,0.61,6.433600
2025-06-13,16.3000000000,16.2200000000,16.8800000000,15.9000000000,18351790,302285282.9000,6.01,-0.490800,-0.08,8.693600
2025-06-16,16.2100000000,16.7800000000,17.0600000000,16.0400000000,14332600,238726164.5700,6.29,3.452500,0.56,6.789700
2025-06-17,17.0900000000,16.8500000000,17.5500000000,16.7100000000,15001800,256567104.0000,5.01,0.417200,0.07,7.106700
2025-06-18,16.8900000000,16.7100000000,17.1800000000,16.4000000000,8102900,135547290.0000,4.63,-0.830900,-0.14,3.838500
2025-06-19,16.7100000000,16.0100000000,16.8400000000,16.0000000000,7488300,122396673.0000,5.03,-4.189100,-0.70,3.547400
2025-06-20,16.1300000000,16.0000000000,16.3200000000,15.8000000000,5049500,81019894.0000,3.25,-0.062500,-0.01,2.392100
2025-06-23,16.0200000000,16.2600000000,16.3000000000,15.9000000000,4703800,76069511.0000,2.50,1.625000,0.26,2.228300
2025-06-24,16.5200000000,17.2900000000,17.4800000000,16.3400000000,14002700,240203756.0000,7.01,6.334600,1.03,6.633400
2025-06-25,17.5600000000,17.5900000000,17.7000000000,17.3500000000,11179800,195829883.0000,2.02,1.735100,0.30,5.296100
2025-06-26,17.5900000000,17.6800000000,17.7900000000,17.1000000000,11602700,201863820.0000,3.92,0.511700,0.09,5.496500
2025-06-27,17.5400000000,18.0300000000,18.4100000000,17.5400000000,12279641,223015389.7100,4.92,1.979600,0.35,5.817100
2025-06-30,18.0700000000,18.0400000000,18.1700000000,17.8000000000,6892741,123939348.1300,2.05,0.055500,0.01,3.265200
2025-07-01,18.2000000000,18.0700000000,18.2500000000,17.5400000000,6763300,121142947.0000,3.94,0.166300,0.03,3.203900
2025-07-02,18.0500000000,18.1500000000,18.8000000000,17.9300000000,7352100,134523747.0000,4.81,0.442700,0.08,3.482900
2025-07-03,18.2900000000,17.8200000000,18.2900000000,17.7200000000,4826400,86356828.0000,3.14,-1.818200,-0.33,2.286400
2025-07-04,17.9000000000,17.4700000000,17.9000000000,17.1400000000,5932200,103357862.0000,4.26,-1.964100,-0.35,2.810200
2025-07-07,17.4000000000,17.2700000000,17.4900000000,17.1800000000,3665500,63349248.0000,1.77,-1.144800,-0.20,1.736400
2025-07-08,17.4200000000,17.5900000000,17.8000000000,17.1800000000,4817800,84438485.0000,3.59,1.852900,0.32,2.282300
2025-07-09,17.6300000000,17.0700000000,17.7000000000,17.0000000000,6328800,108834795.0000,3.98,-2.956200,-0.52,2.998100
2025-07-10,17.1000000000,17.2700000000,17.5800000000,17.0300000000,4924200,84986512.0000,3.22,1.171600,0.20,2.332700
2025-07-11,17.2700000000,17.0700000000,17.5200000000,17.0500000000,6174700,106295305.0000,2.72,-1.158100,-0.20,2.925100
2025-07-14,17.1800000000,16.9500000000,17.3000000000,16.7400000000,5608700,94908028.0000,3.28,-0.703000,-0.12,2.657000
2025-07-15,16.9000000000,16.7300000000,17.5800000000,16.6700000000,7188099,122206893.2400,5.37,-1.297900,-0.22,3.405200
2025-07-16,16.9000000000,16.8300000000,16.9000000000,16.5100000000,5083299,84790599.3900,2.33,0.597700,0.10,2.408100
2025-07-17,16.9600000000,17.2800000000,17.3800000000,16.8500000000,6782700,116366278.0000,3.15,2.673800,0.45,3.213100
2025-07-18,17.5800000000,17.3400000000,17.5800000000,17.0200000000,6475200,111898034.0000,3.24,0.347200,0.06,3.067400
2025-07-21,17.2100000000,17.1900000000,17.4200000000,17.0300000000,6512900,111750660.0000,2.25,-0.865100,-0.15,3.085300
2025-07-22,17.4800000000,17.0800000000,17.4800000000,17.0600000000,4086655,70215565.8500,2.44,-0.639900,-0.11,1.935900
2025-07-23,17.0100000000,16.6800000000,17.2500000000,16.6300000000,5303900,89075555.0000,3.63,-2.341900,-0.40,2.512600
2025-07-24,16.8800000000,17.0100000000,17.1000000000,16.6200000000,5657475,95966032.2500,2.88,1.978400,0.33,2.680100
2025-07-25,17.1000000000,18.7100000000,18.7100000000,16.8100000000,13677375,246257249.2500,11.17,9.994100,1.70,6.479300
2025-07-28,18.5300000000,17.7800000000,18.6000000000,17.7300000000,17271554,310780870.5500,4.65,-4.970600,-0.93,8.181900
2025-07-29,17.9000000000,17.4600000000,17.9200000000,17.4100000000,7532675,132702124.5000,2.87,-1.799800,-0.32,3.568400
2025-07-30,17.6200000000,17.0300000000,17.7000000000,16.8300000000,9274900,159232105.0000,4.98,-2.462800,-0.43,4.393700
2025-07-31,16.7600000000,16.8000000000,17.1000000000,16.7200000000,6072300,102530610.0000,2.23,-1.350600,-0.23,2.876600
2025-08-01,16.9900000000,16.8800000000,17.0900000000,16.6200000000,4170100,70340720.0000,2.80,0.476200,0.08,1.975500
