日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,17.0462343000,17.3348162000,17.7030069000,17.0462343000,685472,11969380.3600,0.00,1.161400,0.00,1.100500
2025-04-16,16.1207820000,17.1258431000,17.4044739000,16.1207820000,697900,11949667.0000,7.41,-1.205500,-0.21,1.120400
2025-04-17,17.1357942000,17.0661365000,17.3945228000,16.9467233000,673972,11648680.2400,2.61,-0.348600,-0.06,1.082000
2025-04-18,17.0661365000,17.1556964000,17.2651585000,16.8173590000,420600,7206637.0000,2.62,0.524800,0.09,0.675300
2025-04-21,17.0362832000,17.2154030000,17.3049629000,16.9765766000,454100,7835110.0000,1.91,0.348000,0.06,0.729000
2025-04-22,17.2850607000,17.4343272000,17.5935448000,17.1158920000,629300,10973357.0000,2.77,1.271700,0.22,1.010300
2025-04-23,18.5886548000,17.9119800000,18.5886548000,17.6134470000,1080900,19523088.0000,5.59,2.739700,0.48,1.735300
2025-04-24,17.9020289000,17.7428113000,18.1110020000,17.6134470000,540400,9704078.0000,2.78,-0.944400,-0.17,0.867600
2025-04-25,17.7428113000,17.6333492000,17.8124690000,17.4641805000,467900,8303329.0000,1.96,-0.616900,-0.11,0.350900
2025-04-28,17.4741316000,17.7826157000,18.0015399000,17.3447673000,868200,15405447.0000,3.72,0.846500,0.15,0.651100
2025-04-29,18.6782147000,18.0313932000,18.6782147000,17.5139360000,1072600,19542346.0000,6.55,1.399000,0.25,0.804400
2025-04-30,18.0313932000,18.0612465000,18.1607575000,17.6233981000,692750,12539672.5000,2.98,0.165600,0.03,0.519500
2025-05-06,18.0910998000,18.3199751000,18.5787037000,18.0711976000,1272371,23473382.6600,2.81,1.432500,0.26,0.954200
2025-05-07,18.4095350000,18.5687526000,18.5886548000,18.2602685000,943900,17479014.0000,1.79,1.358000,0.25,0.707900
2025-05-08,18.5687526000,18.9070900000,19.3548895000,18.4692416000,1789000,34176241.0000,4.77,1.822100,0.34,1.341700
2025-05-09,19.0663076000,18.8175301000,19.0663076000,18.7180191000,786500,14909825.0000,1.84,-0.473700,-0.09,0.589800
2025-05-12,18.8274812000,18.8772367000,19.0663076000,18.7777257000,567800,10766720.0000,1.53,0.317300,0.06,0.425800
2025-05-13,18.9667966000,18.9568455000,19.3051340000,18.9070900000,937700,17991585.0000,2.11,0.421700,0.08,0.703200
2025-05-14,18.9170411000,19.0862098000,19.2653296000,18.9170411000,786300,15074160.0000,1.84,0.682400,0.13,0.589700
2025-05-15,19.0862098000,19.4145961000,19.5937159000,18.9170411000,1340521,26112873.4500,3.55,1.720500,0.33,1.005300
2025-05-16,19.3946939000,19.4145961000,19.8424934000,19.3150851000,1129800,22124233.0000,2.72,0.000000,0.00,0.847300
2025-05-19,19.4145961000,19.3648406000,19.7927379000,19.2354763000,1391600,27288203.0000,2.87,-0.256300,-0.05,1.043600
2025-05-20,19.3648406000,19.6534225000,20.0017110000,19.3548895000,2068821,40920223.9100,3.34,1.490200,0.29,1.551500
2025-05-21,19.6434714000,19.3051340000,19.8424934000,19.1857208000,1167200,22753163.0000,3.34,-1.772200,-0.35,0.875400
2025-05-22,19.4842538000,19.4344983000,19.6434714000,19.0862098000,1132600,22129677.0000,2.89,0.670100,0.13,0.849400
2025-05-23,19.8922489000,19.2852318000,19.8922489000,19.1658186000,1785000,34918466.0000,3.74,-0.768000,-0.15,1.338700
2025-05-26,18.9568455000,19.3747917000,19.7728357000,18.9568455000,1237431,24122125.0500,4.23,0.464400,0.09,0.928000
2025-05-27,19.2454274000,20.1509775000,20.8873589000,19.0961609000,5396404,108853106.2200,9.24,4.006200,0.78,4.047100
2025-05-28,19.7330313000,19.2155741000,19.9221022000,19.0364543000,3314504,64504506.8800,4.40,-4.642000,-0.94,2.485800
2025-05-29,19.3349873000,19.6036670000,19.7728357000,19.0563565000,2363600,46383706.0000,3.73,2.019700,0.39,1.772600
2025-05-30,19.4544005000,19.5539115000,19.7927379000,19.4544005000,947500,18673108.0000,1.73,-0.253800,-0.05,0.710600
2025-06-03,19.5539115000,19.8026890000,20.0315643000,19.2255252000,1821400,35977947.0000,4.12,1.272300,0.25,1.366000
2025-06-04,19.5937159000,20.1808308000,20.7579946000,19.5937159000,2008200,40802542.0000,5.88,1.909500,0.38,1.506100
2025-06-05,20.2305863000,19.8723467000,20.2305863000,19.7728357000,1149900,23080199.0000,2.27,-1.528600,-0.31,0.862400
2025-06-06,20.3599506000,20.0514665000,20.3599506000,19.7230802000,877200,17621458.0000,3.20,0.901400,0.18,0.657900
2025-06-09,20.0614176000,21.3849139000,21.6933980000,20.0614176000,5492560,116059498.9700,8.14,6.650100,1.33,4.119200
2025-06-10,21.1560386000,21.9720288000,22.2407085000,20.9669677000,4457439,97100435.0400,5.96,2.745500,0.59,3.342900
2025-06-11,21.7730068000,21.8924200000,22.1610997000,21.6436425000,1920391,42072086.6800,2.36,-0.362300,-0.08,1.440200
2025-06-12,21.8426645000,21.2157452000,21.8426645000,20.9769188000,2285539,49067108.3100,3.95,-3.090900,-0.68,1.714100
2025-06-13,21.1858919000,20.3599506000,21.1958430000,20.2305863000,1415900,29413954.0000,4.55,-4.033800,-0.86,1.061900
2025-06-16,20.3599506000,20.6385814000,21.0067721000,20.2504885000,1629021,33884639.5400,3.71,1.368500,0.28,1.221700
2025-06-17,20.8475545000,20.3798528000,20.8475545000,20.2007330000,1174200,24189753.0000,3.13,-1.253600,-0.26,0.880600
2025-06-18,20.7281413000,20.4296083000,20.7380924000,19.9818088000,999600,20314618.0000,3.71,0.244100,0.05,0.749700
2025-06-19,20.3300973000,19.8822978000,20.5291193000,19.7529335000,1396125,28247186.2200,3.80,-2.679000,-0.55,1.047000
2025-06-20,20.2106841000,19.8723467000,20.4992660000,19.6335203000,1218000,24649726.0000,4.35,-0.050100,-0.01,0.913500
2025-06-23,19.4942049000,20.2206352000,20.3002440000,19.4942049000,985100,19915169.0000,4.06,1.752600,0.35,0.738800
2025-06-24,20.3997550000,20.7679457000,20.8973100000,19.9320533000,1265000,26238881.0000,4.77,2.706700,0.55,0.948700
2025-06-25,20.7480435000,20.6286303000,21.0664787000,20.3997550000,1079100,22386877.0000,3.21,-0.670800,-0.14,0.809300
2025-06-26,20.8276523000,20.4196572000,20.8774078000,20.3201462000,1211825,24973969.0100,2.70,-1.013000,-0.21,0.908800
2025-06-27,20.4992660000,20.3997550000,20.5987770000,20.2305863000,916900,18782779.0000,1.80,-0.097500,-0.02,0.687600
