日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-12-02,42.08,43.02,54.77,42.08,122118,686606606.87,131.23,344.88,33.35,93.84
2025-12-03,38.48,34.42,39.40,34.32,80077,350337238.10,11.81,-19.99,-8.60,61.53
2025-12-04,33.22,32.25,33.58,32.25,46287,184390038.67,3.86,-6.30,-2.17,35.57
2025-12-05,32.65,32.25,33.36,31.52,34257,134290088.22,5.71,0.00,0.00,26.32
2025-12-08,31.92,31.94,32.27,31.67,24221,94024043.73,1.86,-0.96,-0.31,18.61
2025-12-09,32.06,32.75,33.90,31.68,39537,157394693.72,6.95,2.54,0.81,30.38
2025-12-10,32.66,31.23,32.66,30.94,29313,111468449.53,5.25,-4.64,-1.52,22.52
2025-12-11,31.34,35.10,38.75,31.08,74676,314566586.33,24.56,12.39,3.87,57.38
2025-12-12,33.90,35.48,38.08,33.09,59606,255171670.91,14.22,1.08,0.38,45.80
2025-12-15,34.35,34.42,35.67,33.67,32366,135717630.47,5.64,-2.99,-1.06,24.87
2025-12-16,34.22,38.77,41.23,33.18,65706,293270261.64,23.39,12.64,4.35,50.49
2025-12-17,37.14,39.97,46.19,37.08,75376,380458372.80,23.50,3.10,1.20,57.92
2025-12-18,39.58,38.61,42.57,37.92,49898,242510807.26,11.63,-3.40,-1.36,38.34
2025-12-19,38.61,36.42,38.83,36.30,39792,177667073.51,6.55,-5.67,-2.19,30.58
2025-12-22,36.20,36.66,37.32,35.37,30533,134421670.39,5.35,0.66,0.24,23.46
2025-12-23,36.07,35.57,37.04,35.43,25449,111255244.31,4.39,-2.97,-1.09,19.56
2025-12-24,35.67,35.58,36.57,35.42,17212,74693552.38,3.23,0.03,0.01,13.23
2025-12-25,35.51,34.67,35.66,34.42,20319,85935947.12,3.49,-2.56,-0.91,15.61
2025-12-26,34.50,35.30,36.53,34.27,29838,128278704.58,6.52,1.82,0.63,22.93
2025-12-29,34.96,36.87,36.97,34.65,33840,147621024.99,6.57,4.45,1.57,26.00
2025-12-30,36.34,34.56,36.34,34.42,25835,111335815.92,5.21,-6.27,-2.31,19.85
2025-12-31,34.57,33.21,34.71,33.02,19956,81162008.24,4.89,-3.91,-1.35,15.33
2026-01-05,33.26,33.37,33.57,32.67,16326,65647337.30,2.71,0.48,0.16,12.54
2026-01-06,33.33,34.17,34.31,33.05,18101,74517648.99,3.78,2.40,0.80,13.91
2026-01-07,34.14,33.83,34.53,33.59,15768,65043921.03,2.75,-1.00,-0.34,12.12
2026-01-08,33.65,33.86,34.45,33.63,14281,58973870.32,2.42,0.09,0.03,10.97
2026-01-09,33.76,33.65,34.11,33.44,13805,56514799.68,1.98,-0.62,-0.21,10.61
2026-01-12,33.68,34.57,34.57,33.11,21838,89906390.70,4.34,2.73,0.92,16.78
2026-01-13,34.87,34.08,35.38,33.92,19352,81526417.86,4.22,-1.42,-0.49,14.87
2026-01-14,33.87,33.66,34.42,33.34,18778,77174212.57,3.17,-1.23,-0.42,14.43
2026-01-15,33.78,33.67,34.44,33.49,15294,63134135.43,2.82,0.03,0.01,11.75
2026-01-16,33.67,34.20,34.57,33.58,16412,68134060.87,2.94,1.57,0.53,12.61
2026-01-19,34.07,33.33,34.07,33.26,16332,66316051.23,2.37,-2.54,-0.87,12.55
2026-01-20,33.34,33.08,33.49,32.93,10105,40623311.17,1.68,-0.75,-0.25,7.76
2026-01-21,33.08,33.30,33.48,32.94,8764,35441087.97,1.63,0.67,0.22,6.73
2026-01-22,33.16,33.20,33.45,33.01,7433,29957870.35,1.32,-0.30,-0.10,5.71
2026-01-23,33.17,33.60,33.66,33.07,11685,47515775.79,1.78,1.20,0.40,8.98
2026-01-26,33.92,33.42,33.92,33.22,8033,32727570.62,2.08,-0.54,-0.18,6.17
2026-01-27,33.35,32.59,33.42,32.33,10986,43694293.52,3.26,-2.48,-0.83,8.44
2026-01-28,32.67,32.77,33.08,32.37,8061,31980383.68,2.18,0.55,0.18,6.19
2026-01-29,32.75,32.17,32.89,32.09,7568,29785530.07,2.44,-1.83,-0.60,5.82
2026-01-30,32.50,32.17,32.50,31.92,4047,15869271.48,1.80,0.00,0.00,3.11
2026-02-02,32.17,31.26,32.25,31.24,4271,16518824.88,3.14,-2.83,-0.91,3.28
2026-02-03,31.40,31.95,32.02,31.29,3844,14792378.68,2.34,2.21,0.69,2.95
2026-02-04,31.82,32.25,32.72,31.75,5066,19964528.54,3.04,0.94,0.30,3.89
2026-02-05,32.23,31.58,32.30,31.56,3099,12032771.80,2.29,-2.08,-0.67,2.38
2026-02-06,31.83,31.50,31.86,31.44,2870,11043951.63,1.33,-0.25,-0.08,2.21
2026-02-09,31.63,31.54,31.82,31.49,3835,14728521.47,1.05,0.13,0.04,2.95
2026-02-10,31.87,31.33,31.87,31.33,3039,11633632.71,1.71,-0.67,-0.21,2.33
2026-02-11,31.33,31.29,31.53,31.29,1937,7383085.96,0.77,-0.13,-0.04,1.49
