日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-16,15.51,17.39,17.50,15.30,137367,232095991.72,14.07,11.19,1.75,7.63
2025-04-17,17.18,17.30,17.30,16.70,67285,114464305.50,3.45,-0.52,-0.09,3.74
2025-04-18,17.28,16.25,18.59,16.25,116572,203173951.62,13.53,-6.07,-1.05,6.47
2025-04-21,15.80,16.77,17.25,15.60,71944,118547818.15,10.15,3.20,0.52,3.99
2025-04-22,16.81,17.44,17.65,16.52,73473,126321862.67,6.74,4.00,0.67,4.08
2025-04-23,17.50,17.20,17.85,17.03,47761,82621535.41,4.70,-1.38,-0.24,2.65
2025-04-24,17.11,17.37,18.06,17.06,63914,112470706.85,5.81,0.99,0.17,3.55
2025-04-25,17.41,16.70,17.73,16.70,48019,82344960.37,5.93,-3.86,-0.67,2.67
2025-04-28,16.77,18.05,18.30,16.77,104932,184987386.36,9.16,8.08,1.35,5.83
2025-04-29,18.03,18.35,18.59,17.56,79102,142765276.88,5.71,1.66,0.30,4.39
2025-04-30,18.40,17.95,19.50,17.80,98090,183230748.04,9.26,-2.18,-0.40,5.45
2025-05-06,17.90,17.45,18.12,17.13,102639,179485348.70,5.52,-2.79,-0.50,5.70
2025-05-07,17.43,17.30,18.04,16.65,86378,150056344.88,7.97,-0.86,-0.15,4.80
2025-05-08,17.00,17.14,17.20,16.71,52657,89153092.10,2.83,-0.92,-0.16,2.92
2025-05-09,17.03,17.14,17.58,16.90,36988,63809979.06,3.97,0.00,0.00,2.05
2025-05-12,17.10,16.68,17.10,16.42,58733,97865460.11,3.97,-2.68,-0.46,3.26
2025-05-13,16.76,16.84,16.98,16.58,34811,58612160.74,2.40,0.96,0.16,1.93
2025-05-14,16.92,16.18,16.95,15.92,62206,100807943.68,6.12,-3.92,-0.66,3.45
2025-05-15,16.14,16.32,16.44,15.70,44411,71256550.54,4.57,0.87,0.14,2.47
2025-05-16,16.29,16.81,16.99,15.87,66821,109797849.31,6.86,3.00,0.49,3.71
2025-05-19,16.76,16.92,16.96,16.50,38658,64723708.13,2.74,0.65,0.11,2.15
2025-05-20,17.09,17.79,18.44,17.00,78628,140389445.43,8.51,5.14,0.87,4.37
2025-05-21,17.72,17.69,18.57,17.61,86681,156440676.73,5.40,-0.56,-0.10,4.81
2025-05-22,17.70,16.30,17.70,16.27,80588,135888590.73,8.08,-7.86,-1.39,4.47
2025-05-23,16.02,16.44,16.85,16.02,44404,73323104.79,5.09,0.86,0.14,2.47
2025-05-26,16.61,16.64,16.87,16.32,29614,48968354.49,3.35,1.22,0.20,1.64
2025-05-27,16.70,16.99,17.47,16.56,50024,85500373.65,5.47,2.10,0.35,2.78
2025-05-28,17.05,17.25,17.60,16.92,47632,82548138.60,4.00,1.53,0.26,2.64
2025-05-29,17.20,18.23,18.39,17.13,78988,141567112.29,7.30,5.68,0.98,4.39
2025-05-30,18.19,20.94,23.00,18.15,269604,577551662.65,26.60,14.87,2.71,14.97
2025-06-03,19.91,24.88,26.19,19.77,290290,658778663.08,30.66,18.82,3.94,16.12
2025-06-04,24.00,23.88,25.44,23.30,183547,443393499.35,8.60,-4.02,-1.00,10.19
2025-06-05,24.32,22.90,25.43,21.81,186960,437747247.09,15.16,-4.10,-0.98,10.38
2025-06-06,22.20,22.55,23.23,21.21,134879,300140393.71,8.82,-1.53,-0.35,7.49
2025-06-09,22.27,23.90,25.62,22.27,190670,462227943.43,14.86,5.99,1.35,10.59
2025-06-10,23.14,22.87,24.20,22.60,132288,307448667.76,6.69,-4.31,-1.03,7.34
2025-06-11,22.98,22.50,23.10,21.90,87994,196487575.60,5.25,-1.62,-0.37,4.89
2025-06-12,22.28,23.19,23.48,22.03,119067,271924141.59,6.44,3.07,0.69,6.61
2025-06-13,22.73,20.94,23.28,20.93,127256,278456435.54,10.13,-9.70,-2.25,7.07
2025-06-16,20.80,21.19,21.70,20.51,63158,133301380.63,5.68,1.19,0.25,3.51
2025-06-17,21.81,20.78,22.35,20.52,89362,192768049.04,8.64,-1.93,-0.41,4.96
2025-06-18,20.50,19.71,20.50,19.40,86352,171272676.75,5.29,-5.15,-1.07,4.79
2025-06-19,19.78,19.08,20.10,18.91,67635,130963516.73,6.04,-3.20,-0.63,3.76
2025-06-20,19.08,19.20,19.72,19.00,50981,98696226.94,3.77,0.63,0.12,2.83
2025-06-23,19.05,20.38,20.49,18.88,73233,145429612.29,8.39,6.15,1.18,4.07
2025-06-24,20.25,20.94,21.28,20.11,68521,142315294.09,5.74,2.75,0.56,3.80
