日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-01-21,48.88,44.04,55.00,44.01,141618,688872968.28,68.77,175.59,28.06,78.23
2026-01-22,40.00,38.68,42.00,38.50,86646,340897644.80,7.95,-12.17,-5.36,47.86
2026-01-23,38.97,39.06,39.96,38.80,53091,208279084.82,3.00,0.98,0.38,29.33
2026-01-26,39.01,40.45,41.75,38.10,57831,228639712.40,9.34,3.56,1.39,31.95
2026-01-27,39.60,38.63,39.60,38.51,33278,129292821.67,2.69,-4.50,-1.82,18.38
2026-01-28,38.52,38.07,38.57,38.02,25644,97859327.24,1.42,-1.45,-0.56,14.17
2026-01-29,38.01,37.24,38.15,37.20,20544,77285126.94,2.50,-2.18,-0.83,11.35
2026-01-30,37.21,37.35,37.63,37.07,11485,42872500.96,1.50,0.30,0.11,6.34
2026-02-02,37.45,36.66,37.50,36.66,11600,42988038.15,2.25,-1.85,-0.69,6.41
2026-02-03,37.00,36.81,37.08,36.39,10015,36686273.39,1.88,0.41,0.15,5.53
2026-02-04,36.91,37.16,37.29,36.71,7630,28287005.53,1.58,0.95,0.35,4.21
2026-02-05,37.16,36.66,37.25,36.58,6323,23262020.12,1.80,-1.35,-0.50,3.49
2026-02-06,36.88,36.73,36.96,36.68,4873,17927856.03,0.76,0.19,0.07,2.69
2026-02-09,37.00,36.77,37.26,36.69,6536,24056912.97,1.55,0.11,0.04,3.61
2026-02-10,36.86,36.73,36.93,36.59,4831,17761955.26,0.92,-0.11,-0.04,2.67
2026-02-11,36.71,36.70,36.97,36.69,4097,15070072.11,0.76,-0.08,-0.03,2.26
2026-02-12,36.65,36.06,36.70,36.06,9049,32878648.80,1.74,-1.74,-0.64,5.00
2026-02-13,36.00,36.07,36.47,36.00,6221,22486470.69,1.30,0.03,0.01,3.44
2026-02-24,36.26,36.29,36.48,36.08,4130,14957645.37,1.11,0.61,0.22,2.28
2026-02-25,36.52,36.38,36.52,36.26,4572,16626457.65,0.72,0.25,0.09,2.53
