日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-03-31,36.00,37.80,43.11,36.00,142826,543820578.45,28.79,53.04,13.10,93.35
2026-04-01,35.61,34.70,36.70,34.66,80093,283145141.38,5.40,-8.20,-3.10,52.35
2026-04-02,34.53,34.29,35.86,33.96,42197,146902378.54,5.48,-1.18,-0.41,27.58
2026-04-03,34.29,33.00,34.60,32.87,34090,114090826.26,5.05,-3.76,-1.29,22.28
2026-04-07,33.08,32.65,33.21,32.38,19371,63562496.95,2.52,-1.06,-0.35,12.66
2026-04-08,33.25,33.98,33.98,33.21,28133,94385427.32,2.36,4.07,1.33,18.39
2026-04-09,33.51,32.66,33.54,32.43,22784,75076370.61,3.27,-3.88,-1.32,14.89
2026-04-10,32.63,32.84,33.50,32.62,17478,57783039.31,2.69,0.55,0.18,11.42
2026-04-13,32.14,33.19,33.55,32.13,17727,58583916.54,4.32,1.07,0.35,11.59
2026-04-14,33.50,33.80,34.74,33.23,23512,80053328.17,4.55,1.84,0.61,15.37
2026-04-15,34.25,33.44,34.56,33.42,21605,73294153.78,3.37,-1.07,-0.36,14.12
2026-04-16,33.77,33.16,33.77,32.84,17586,58207778.34,2.78,-0.84,-0.28,11.49
2026-04-17,33.28,35.14,35.47,32.80,37060,127141521.19,8.05,5.97,1.98,24.22
2026-04-20,35.00,35.22,36.28,34.75,33605,119668949.88,4.35,0.23,0.08,21.96
2026-04-21,34.97,35.10,35.29,33.86,19751,68261161.32,4.06,-0.34,-0.12,12.91
2026-04-22,34.90,35.70,35.92,34.80,17908,63474841.92,3.19,1.71,0.60,11.70
2026-04-23,35.68,35.09,35.70,34.31,14079,49053972.97,3.89,-1.71,-0.61,9.20
2026-04-24,34.51,33.61,34.68,33.50,18081,61356923.36,3.36,-4.22,-1.48,11.82
2026-04-27,33.68,33.11,33.69,32.50,13545,44778905.90,3.54,-1.49,-0.50,8.85
2026-04-28,32.90,32.72,33.80,32.62,14120,46722044.25,3.56,-1.18,-0.39,9.23
2026-04-29,33.34,34.53,34.66,33.20,19081,64986280.33,4.46,5.53,1.81,12.47
2026-04-30,34.51,35.13,35.96,34.17,21621,76416338.44,5.18,1.74,0.60,14.13
2026-05-06,35.13,35.13,36.28,34.99,23914,84926716.62,3.67,0.00,0.00,15.63
2026-05-07,35.36,35.34,35.92,35.02,18039,63854085.75,2.56,0.60,0.21,11.79
2026-05-08,35.38,37.55,38.10,35.35,39580,146480431.32,7.78,6.25,2.21,25.87
2026-05-11,37.47,39.05,39.11,36.70,32289,122429848.07,6.42,3.99,1.50,21.10
2026-05-12,38.73,38.05,40.59,37.60,28116,108821036.43,7.66,-2.56,-1.00,18.38
2026-05-13,37.60,37.60,37.96,37.09,15761,59041706.72,2.29,-1.18,-0.45,10.30
2026-05-14,37.81,38.21,38.28,37.30,6402,24226808.90,2.61,1.62,0.61,4.18
