日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-03-18,33.00,35.30,42.89,31.50,199529,712465826.68,163.18,405.73,28.32,96.39
2026-03-19,35.80,36.23,39.98,33.00,166159,605766387.96,19.77,2.63,0.93,80.27
2026-03-20,33.00,29.08,33.66,29.02,131662,410484388.96,12.81,-19.74,-7.15,63.60
2026-03-23,28.00,26.02,28.37,25.25,88614,233483170.06,10.73,-10.52,-3.06,42.81
2026-03-24,26.10,25.57,26.91,24.85,71192,183960489.14,7.92,-1.73,-0.45,34.39
2026-03-25,25.96,26.17,27.94,25.58,76039,202067657.88,9.23,2.35,0.60,36.73
2026-03-26,25.52,24.62,25.96,24.52,58395,147220154.68,5.50,-5.92,-1.55,28.21
2026-03-27,24.04,25.05,25.77,23.99,46640,116035186.11,7.23,1.75,0.43,22.53
2026-03-30,26.20,29.70,32.00,25.76,126355,361050412.91,24.91,18.56,4.65,61.04
2026-03-31,28.56,28.60,30.51,27.49,97874,281697608.93,10.17,-3.70,-1.10,47.28
2026-04-01,28.24,26.78,28.97,26.50,76138,209672374.53,8.64,-6.36,-1.82,36.78
2026-04-02,27.19,25.90,28.10,25.88,54175,146254505.17,8.29,-3.29,-0.88,26.17
2026-04-03,25.32,24.20,25.86,23.99,46821,115384846.76,7.22,-6.56,-1.70,22.62
2026-04-07,24.21,24.62,24.80,24.01,28539,69583534.24,3.26,1.74,0.42,13.79
2026-04-08,24.70,25.33,25.38,24.67,42544,107001277.05,2.88,2.88,0.71,20.55
2026-04-09,25.01,23.61,25.02,23.60,47429,113739322.82,5.61,-6.79,-1.72,22.91
2026-04-10,23.79,23.28,24.07,23.06,35800,84170672.76,4.28,-1.40,-0.33,17.29
2026-04-13,22.81,23.74,23.74,22.31,29028,67706152.81,6.14,1.98,0.46,14.02
2026-04-14,24.09,23.36,24.20,23.25,28614,67495185.90,4.00,-1.60,-0.38,13.82
2026-04-15,23.58,24.36,25.34,23.40,57705,141195161.24,8.30,4.28,1.00,27.88
2026-04-16,24.30,23.73,24.50,23.32,35555,84119530.15,4.84,-2.59,-0.63,17.18
2026-04-17,23.66,26.18,27.98,23.20,76062,192215989.28,20.14,10.32,2.45,36.75
2026-04-20,25.44,28.06,31.65,25.38,112989,323267401.84,23.95,7.18,1.88,54.58
2026-04-21,28.22,28.75,29.78,26.98,82979,236539131.76,9.98,2.46,0.69,40.09
2026-04-22,27.72,29.50,29.50,27.13,68771,194527693.14,8.24,2.61,0.75,33.22
2026-04-23,28.98,27.61,29.17,27.32,60171,169110255.52,6.27,-6.41,-1.89,29.07
2026-04-24,26.51,25.62,27.00,25.62,49271,129271715.32,5.00,-7.21,-1.99,23.80
2026-04-27,25.49,25.41,25.99,25.40,25948,66518990.33,2.30,-0.82,-0.21,12.54
2026-04-28,25.54,24.02,25.54,24.02,31697,77247294.84,5.98,-5.47,-1.39,15.31
2026-04-29,24.30,25.30,25.49,24.03,33954,84695183.60,6.08,5.33,1.28,16.40
2026-04-30,25.30,27.61,28.80,24.89,65616,178042942.09,15.45,9.13,2.31,31.70
2026-05-06,27.01,28.73,29.00,26.91,70452,199238936.48,7.57,4.06,1.12,34.03
2026-05-07,28.69,29.21,29.79,28.20,61246,177278683.10,5.53,1.67,0.48,29.59
2026-05-08,28.45,32.60,36.18,28.37,96791,305217239.45,26.74,11.61,3.39,46.76
2026-05-11,31.99,34.14,35.00,31.53,89604,298207288.72,10.64,4.72,1.54,43.29
2026-05-12,33.53,33.88,35.88,32.09,75909,255926321.83,11.10,-0.76,-0.26,36.67
2026-05-13,33.00,34.26,37.26,32.00,78205,273697158.47,15.53,1.12,0.38,37.78
2026-05-14,33.33,34.31,34.93,33.01,26704,90341513.62,5.60,0.15,0.05,12.90
