日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-16,41.95,39.85,42.10,38.68,16449,66043220.02,8.46,-1.39,-0.56,5.15
2025-04-17,39.07,39.66,41.67,38.95,14813,60111927.26,6.83,-0.48,-0.19,4.64
2025-04-18,39.25,40.30,40.95,38.76,13853,55429333.58,5.52,1.61,0.64,4.34
2025-04-21,40.34,42.24,42.93,40.02,21754,91506479.15,7.22,4.81,1.94,6.81
2025-04-22,42.23,41.62,43.75,41.50,21870,93435276.66,5.33,-1.47,-0.62,6.85
2025-04-23,42.85,42.14,43.45,41.95,19154,81663910.46,3.60,1.25,0.52,6.00
2025-04-24,42.17,39.46,42.92,39.25,18073,73418138.09,8.71,-6.36,-2.68,5.66
2025-04-25,39.92,40.07,41.61,39.43,11743,47423962.51,5.52,1.55,0.61,3.68
2025-04-28,40.52,39.85,42.48,39.75,15747,64489752.15,6.81,-0.55,-0.22,4.93
2025-04-29,38.78,39.39,40.09,38.06,11324,44544868.06,5.09,-1.15,-0.46,3.55
2025-04-30,40.05,42.51,42.51,39.52,25209,105409267.92,7.59,7.92,3.12,7.90
2025-05-06,45.19,44.67,46.78,43.05,35716,160898009.99,8.77,5.08,2.16,11.19
2025-05-07,45.85,44.13,46.35,43.18,27871,123993044.05,7.10,-1.21,-0.54,8.73
2025-05-08,43.53,44.06,44.63,43.24,12813,56388108.41,3.15,-0.16,-0.07,4.01
2025-05-09,43.45,43.55,45.15,42.83,14132,62041912.65,5.27,-1.16,-0.51,4.43
2025-05-12,44.15,44.52,44.53,43.45,14203,62655218.61,2.48,2.23,0.97,4.45
2025-05-13,45.55,44.25,46.45,43.95,22147,100296730.97,5.62,-0.61,-0.27,6.94
2025-05-14,45.25,45.59,46.23,43.96,25684,116281401.29,5.13,3.03,1.34,8.04
2025-05-15,45.35,43.54,45.55,43.39,19124,84899308.60,4.74,-4.50,-2.05,5.99
2025-05-16,43.81,46.70,48.57,43.12,45742,211870809.79,12.52,7.26,3.16,14.33
2025-05-19,45.55,46.78,48.33,45.53,33799,158651620.43,6.00,0.17,0.08,10.59
2025-05-20,45.95,46.43,46.81,45.49,23852,109951749.04,2.82,-0.75,-0.35,7.47
2025-05-21,45.89,44.65,46.15,44.62,17842,80726034.15,3.30,-3.83,-1.78,5.59
2025-05-22,44.74,42.71,45.09,42.51,16721,72877434.46,5.78,-4.34,-1.94,5.24
2025-05-23,42.36,41.02,43.19,40.99,11984,50768416.14,5.15,-3.96,-1.69,3.75
2025-05-26,41.46,42.10,42.53,40.75,8095,33775290.42,4.34,2.63,1.08,2.54
2025-05-27,40.95,41.48,42.32,40.95,6745,28049489.38,3.25,-1.47,-0.62,2.11
2025-05-28,41.52,41.47,42.40,41.12,8367,35086094.45,3.09,-0.02,-0.01,2.62
2025-05-29,41.61,44.35,44.65,41.48,27158,118840409.74,7.64,6.94,2.88,8.51
2025-05-30,43.80,42.81,44.53,42.50,16244,70403303.67,4.58,-3.47,-1.54,5.09
2025-06-03,42.06,42.68,43.75,42.06,9314,40010168.62,3.95,-0.30,-0.13,2.92
2025-06-04,42.55,42.13,43.32,41.99,10761,45850610.12,3.12,-1.29,-0.55,3.37
2025-06-05,42.45,43.69,43.93,41.76,18345,79071947.55,5.15,3.70,1.56,5.75
2025-06-06,43.75,45.40,46.85,43.05,34689,156582269.92,8.70,3.91,1.71,10.86
2025-06-09,45.20,45.64,46.10,44.44,21633,98726188.29,3.66,0.53,0.24,6.78
2025-06-10,45.46,43.84,46.32,43.13,21405,95112505.98,6.99,-3.94,-1.80,6.70
2025-06-11,43.70,44.08,44.93,43.48,12993,57550319.66,3.31,0.55,0.24,4.07
2025-06-12,43.78,43.56,44.50,43.45,11455,50356279.28,2.38,-1.18,-0.52,3.59
2025-06-13,43.16,41.96,43.46,41.96,11745,50009613.09,3.44,-3.67,-1.60,3.68
2025-06-16,41.23,42.35,42.69,41.23,9999,42301716.42,3.48,0.93,0.39,3.13
2025-06-17,42.63,42.03,42.63,41.53,7640,32083959.55,2.60,-0.76,-0.32,2.39
2025-06-18,41.75,41.94,42.13,40.95,8946,37211124.20,2.81,-0.21,-0.09,2.80
2025-06-19,41.85,39.95,42.19,39.75,13301,54358736.98,5.82,-4.74,-1.99,4.17
