日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-16,27.50,26.65,27.50,26.01,24621,66142296.95,5.43,-2.91,-0.80,6.67
2025-04-17,26.67,27.81,27.99,25.92,41772,115547738.47,7.77,4.35,1.16,11.32
2025-04-18,27.68,28.71,28.96,27.39,44388,127013181.02,5.65,3.24,0.90,12.03
2025-04-21,28.80,29.04,29.30,28.24,37359,108216024.61,3.69,1.15,0.33,10.13
2025-04-22,29.08,27.86,29.08,27.80,25577,73344587.56,4.41,-4.06,-1.18,6.93
2025-04-23,28.05,30.19,30.69,27.71,61571,182050829.17,10.70,8.36,2.33,16.69
2025-04-24,30.80,28.98,30.80,28.50,44709,131540838.73,7.62,-4.01,-1.21,12.12
2025-04-25,28.56,28.13,29.10,28.10,32923,94550807.61,3.45,-2.93,-0.85,8.92
2025-04-28,27.84,26.32,28.13,26.05,28369,76928301.91,7.39,-6.43,-1.81,7.69
2025-04-29,26.46,26.94,27.50,26.46,18932,51663731.83,3.95,2.36,0.62,5.13
2025-04-30,27.41,27.54,27.70,27.11,18804,52143995.51,2.19,2.23,0.60,5.10
2025-05-06,27.68,28.67,28.69,27.68,23638,67284097.65,3.67,4.10,1.13,6.41
2025-05-07,29.79,28.38,29.80,27.92,33631,97212637.12,6.56,-1.01,-0.29,9.12
2025-05-08,28.38,29.10,29.10,28.08,26420,76750655.69,3.59,2.54,0.72,7.16
2025-05-09,29.15,28.76,29.15,28.40,21255,61411666.06,2.58,-1.17,-0.34,5.76
2025-05-12,28.83,29.33,29.69,28.64,25761,75914925.95,3.65,1.98,0.57,6.98
2025-05-13,29.80,28.55,29.80,28.48,24766,72392700.65,4.50,-2.66,-0.78,6.71
2025-05-14,28.60,28.53,28.68,27.98,18301,52217583.32,2.45,-0.07,-0.02,4.96
2025-05-15,28.60,28.79,29.09,28.25,24119,69783066.22,2.94,0.91,0.26,6.54
2025-05-16,28.81,28.58,28.97,28.50,21411,61943563.48,1.63,-0.73,-0.21,5.80
2025-05-19,28.70,28.31,28.70,27.69,21255,60109211.77,3.53,-0.94,-0.27,5.76
2025-05-20,28.27,29.58,29.68,28.11,43290,127361836.32,5.55,4.49,1.27,11.74
2025-05-21,29.70,29.00,29.89,28.96,26680,78539123.24,3.14,-1.96,-0.58,7.23
2025-05-22,28.98,27.63,29.30,27.45,33028,93434231.58,6.38,-4.72,-1.37,8.95
2025-05-23,27.80,26.80,28.00,26.80,21613,59677607.31,4.34,-3.00,-0.83,5.86
2025-05-26,26.81,27.34,27.40,26.50,14920,40537409.71,3.36,2.01,0.54,4.04
2025-05-27,27.27,27.02,27.58,26.92,12376,33962965.11,2.41,-1.17,-0.32,3.35
2025-05-28,27.19,26.41,27.20,26.30,15013,40420419.66,3.33,-2.26,-0.61,4.07
2025-05-29,26.41,27.36,27.47,26.41,18955,51804040.46,4.01,3.60,0.95,5.14
2025-05-30,27.40,27.06,27.53,26.91,13124,36020396.17,2.27,-1.10,-0.30,3.56
2025-06-03,27.06,27.07,27.41,26.71,10155,27650233.89,2.59,0.04,0.01,2.75
2025-06-04,27.15,27.60,27.77,27.02,14418,39908024.04,2.77,1.96,0.53,3.91
2025-06-05,27.70,27.85,28.36,27.55,19060,53626680.48,2.93,0.91,0.25,5.17
2025-06-06,27.86,27.51,27.95,27.41,12312,34184329.26,1.94,-1.22,-0.34,3.34
2025-06-09,27.80,27.48,27.80,27.30,14787,40897586.43,1.82,-0.11,-0.03,4.01
2025-06-10,27.46,26.89,27.66,26.51,16740,45635055.09,4.18,-2.15,-0.59,4.54
2025-06-11,26.92,26.95,27.28,26.88,9980,27250911.95,1.49,0.22,0.06,2.71
2025-06-12,26.96,26.99,27.19,26.81,12327,33524546.55,1.41,0.15,0.04,3.34
