日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-28,49.50,47.65,50.99,44.51,185677,890543875.66,42.41,211.85,32.37,80.09
2025-08-29,48.10,44.46,48.10,44.40,103778,477956593.21,7.76,-6.69,-3.19,44.76
2025-09-01,44.52,43.15,45.17,42.88,69382,305595717.41,5.15,-2.95,-1.31,29.93
2025-09-02,43.30,43.16,43.76,42.43,48903,212438141.62,3.08,0.02,0.01,21.09
2025-09-03,42.98,42.79,43.30,42.51,29330,126869141.11,1.83,-0.86,-0.37,12.65
2025-09-04,42.85,43.43,43.88,42.70,37057,161654662.47,2.76,1.50,0.64,15.98
2025-09-05,43.05,43.46,43.74,42.76,37047,162229648.50,2.26,0.07,0.03,15.98
2025-09-08,43.47,43.65,44.50,43.43,38969,172953278.07,2.46,0.44,0.19,16.81
2025-09-09,43.63,42.41,43.68,42.41,29320,127063193.21,2.91,-2.84,-1.24,12.65
2025-09-10,42.28,41.73,42.64,41.73,19451,82851753.86,2.15,-1.60,-0.68,8.39
2025-09-11,41.80,42.22,42.29,41.71,16982,72071142.53,1.39,1.17,0.49,7.33
2025-09-12,42.22,41.56,42.33,41.56,12899,54713789.02,1.82,-1.56,-0.66,5.56
2025-09-15,41.60,41.92,42.49,41.18,18374,77621906.13,3.15,0.87,0.36,7.93
2025-09-16,41.92,41.90,42.31,41.50,13546,57451462.09,1.93,-0.05,-0.02,5.84
2025-09-17,42.17,41.72,42.25,41.66,9398,39753202.99,1.41,-0.43,-0.18,4.05
2025-09-18,41.74,41.21,42.16,41.05,18042,76196728.05,2.66,-1.22,-0.51,7.78
2025-09-19,41.06,40.57,41.10,40.50,12945,53300302.76,1.46,-1.55,-0.64,5.58
2025-09-22,40.69,39.68,40.70,39.58,10838,43778323.65,2.76,-2.19,-0.89,4.67
2025-09-23,39.68,38.77,39.80,38.00,12785,50036588.85,4.54,-2.29,-0.91,5.51
2025-09-24,38.65,39.03,39.37,38.51,7282,28775733.20,2.22,0.67,0.26,3.14
2025-09-25,38.91,39.08,39.79,38.84,8667,34521305.12,2.43,0.13,0.05,3.74
