日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-04-16,40.00,36.58,41.01,36.54,106243,407731461.94,20.50,67.80,14.78,90.25
2026-04-17,35.99,40.00,43.07,35.86,86008,328740722.85,19.71,9.35,3.42,73.06
2026-04-20,37.91,38.35,39.80,37.00,61653,236160528.96,7.00,-4.13,-1.65,52.37
2026-04-21,37.45,37.23,38.12,36.16,37069,136493205.63,5.11,-2.92,-1.12,31.49
2026-04-22,36.68,37.53,38.38,36.60,32259,121068596.52,4.78,0.81,0.30,27.40
2026-04-23,37.01,34.55,37.48,34.34,36380,129211202.90,8.37,-7.94,-2.98,30.90
2026-04-24,34.10,33.51,34.64,33.51,20592,69720375.16,3.27,-3.01,-1.04,17.49
2026-04-27,33.59,33.07,33.60,32.56,15007,49394366.49,3.10,-1.31,-0.44,12.75
2026-04-28,33.01,32.42,33.80,32.34,11417,37621708.06,4.41,-1.97,-0.65,9.70
2026-04-29,32.41,32.85,33.38,32.22,13917,45847658.74,3.58,1.33,0.43,11.82
2026-04-30,32.80,34.41,35.79,32.80,32832,114029926.60,9.10,4.75,1.56,27.89
2026-05-06,34.09,34.33,35.17,33.52,26046,89011523.26,4.80,-0.23,-0.08,22.13
2026-05-07,34.36,35.10,36.06,33.70,26446,92168978.11,6.87,2.24,0.77,22.47
2026-05-08,34.50,36.68,37.68,34.12,40368,147039039.40,10.14,4.50,1.58,34.29
2026-05-11,35.90,37.80,38.16,35.90,37975,140711851.00,6.16,3.05,1.12,32.26
2026-05-12,37.82,37.73,39.58,36.38,32656,123884411.63,8.47,-0.19,-0.07,27.74
2026-05-13,37.00,36.12,37.00,35.86,26869,97192973.05,3.02,-4.27,-1.61,22.82
2026-05-14,35.88,36.57,36.79,35.78,8459,30718186.88,2.80,1.25,0.45,7.19
