日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-16,27.41,28.05,28.19,26.77,76747,214354162.88,5.19,2.60,0.71,9.31
2025-04-17,27.75,28.48,29.13,27.45,93007,266969909.81,5.99,1.53,0.43,11.28
2025-04-18,27.90,27.15,28.30,27.15,77911,218535416.46,4.04,-4.67,-1.33,9.45
2025-04-21,27.65,27.09,27.96,26.35,66624,182070475.22,5.93,-0.22,-0.06,8.08
2025-04-22,26.98,28.40,28.78,26.59,104715,294023129.37,8.08,4.84,1.31,12.70
2025-04-23,27.75,28.05,29.06,27.61,102352,291109230.51,5.11,-1.23,-0.35,12.41
2025-04-24,27.79,25.57,27.80,25.57,89655,240464349.99,7.95,-8.84,-2.48,10.87
2025-04-25,26.05,25.09,26.53,25.05,51470,133350009.26,5.79,-1.88,-0.48,6.24
2025-04-28,24.79,23.54,25.21,23.53,57980,141909648.49,6.70,-6.18,-1.55,7.03
2025-04-29,23.55,23.88,24.38,23.26,40600,97672864.55,4.76,1.44,0.34,4.92
2025-04-30,24.13,25.25,25.25,23.81,50915,127410474.96,6.03,5.74,1.37,6.18
2025-05-06,26.15,26.58,27.32,25.55,72487,193631848.50,7.01,5.27,1.33,8.79
2025-05-07,27.58,27.05,28.91,26.61,108714,303389380.98,8.65,1.77,0.47,13.19
2025-05-08,26.18,26.85,27.13,26.15,61362,164737147.89,3.62,-0.74,-0.20,7.44
2025-05-09,26.99,25.66,27.00,25.60,58325,153165945.68,5.21,-4.43,-1.19,7.07
2025-05-12,25.84,26.05,26.15,25.60,43667,114185520.29,2.14,1.52,0.39,5.30
2025-05-13,26.77,26.25,27.04,26.11,56006,150277117.30,3.57,0.77,0.20,6.79
2025-05-14,28.57,26.91,28.74,26.59,85284,236512612.79,8.19,2.51,0.66,10.34
2025-05-15,26.15,25.77,27.24,25.77,66350,175395269.71,5.46,-4.24,-1.14,8.05
2025-05-16,25.63,26.19,26.62,25.47,52406,137864161.19,4.46,1.63,0.42,6.36
2025-05-19,26.16,26.02,26.44,25.51,41153,107716798.52,3.55,-0.65,-0.17,4.99
2025-05-20,25.88,26.88,27.25,25.68,70780,190046815.28,6.03,3.31,0.86,8.58
2025-05-21,26.40,27.39,27.63,25.98,91637,249656423.51,6.14,1.90,0.51,11.11
2025-05-22,26.75,25.75,27.25,25.63,64179,170416284.88,5.91,-5.99,-1.64,7.78
2025-05-23,25.49,24.92,26.27,24.88,42273,108236392.73,5.40,-3.22,-0.83,5.13
2025-05-26,25.70,26.28,26.98,25.20,65262,170475887.30,7.14,5.46,1.36,7.92
2025-05-27,26.00,25.71,26.99,25.61,44579,116405707.97,5.25,-2.17,-0.57,5.41
2025-05-28,25.52,24.88,25.99,24.66,43005,108990074.59,5.17,-3.23,-0.83,5.22
2025-05-29,24.57,25.78,25.88,24.57,43151,109571556.15,5.27,3.62,0.90,5.23
2025-05-30,25.38,24.78,25.57,24.77,35279,88331208.69,3.10,-3.88,-1.00,4.28
2025-06-03,24.98,24.68,24.98,24.51,22399,55310705.46,1.90,-0.40,-0.10,2.72
2025-06-04,24.72,24.92,25.09,24.70,26346,65611613.29,1.58,0.97,0.24,3.20
2025-06-05,25.03,25.55,25.55,24.65,37509,94407306.66,3.61,2.53,0.63,4.55
2025-06-06,25.55,25.79,25.96,25.13,35168,89892296.70,3.25,0.94,0.24,4.27
2025-06-09,26.00,26.59,26.64,25.58,52521,137909304.80,4.11,3.10,0.80,6.37
2025-06-10,26.72,26.19,26.80,25.50,40274,104922955.19,4.89,-1.50,-0.40,4.88
2025-06-11,26.09,26.33,26.65,25.92,36788,96640518.80,2.79,0.53,0.14,4.46
2025-06-12,26.22,26.55,26.79,26.01,45973,121875130.53,2.96,0.84,0.22,5.58
2025-06-13,26.23,25.80,27.20,25.80,69485,184885219.97,5.27,-2.82,-0.75,8.43
2025-06-16,26.19,26.29,26.76,25.88,40858,107693879.14,3.41,1.90,0.49,4.96
2025-06-17,26.03,26.01,26.60,25.92,31107,81452821.21,2.59,-1.07,-0.28,3.77
2025-06-18,25.80,25.80,26.05,25.02,34320,87654457.68,3.96,-0.81,-0.21,4.16
2025-06-19,25.42,24.71,26.24,24.43,30412,77002346.51,7.02,-4.22,-1.09,3.69
2025-06-20,24.71,24.74,25.78,24.70,33881,85993078.67,4.37,0.12,0.03,4.11
2025-06-23,24.27,25.51,26.19,24.10,45269,115686476.34,8.45,3.11,0.77,5.49
2025-06-24,25.30,26.16,26.20,25.27,37580,97668804.40,3.65,2.55,0.65,4.56
2025-06-25,26.16,26.82,27.20,25.90,48178,127919468.04,4.97,2.52,0.66,5.84
2025-06-26,26.99,26.60,28.00,26.55,62834,170815759.29,5.41,-0.82,-0.22,7.62
2025-06-27,26.25,27.02,27.37,26.11,56549,151336062.63,4.74,1.58,0.42,6.86
2025-06-30,27.68,27.21,28.78,27.08,76377,213221381.68,6.29,0.70,0.19,9.26
2025-07-01,27.26,27.51,28.50,27.00,70742,197157372.17,5.51,1.10,0.30,8.42
2025-07-02,26.80,26.64,27.50,26.28,55667,148612954.66,4.43,-3.16,-0.87,6.63
2025-07-03,26.64,26.31,26.72,26.00,32272,85068495.14,2.70,-1.24,-0.33,3.84
2025-07-04,26.37,25.50,26.50,25.48,29846,76919005.74,3.88,-3.08,-0.81,3.55
2025-07-07,25.50,25.39,25.65,25.25,15881,40382123.59,1.57,-0.43,-0.11,1.89
2025-07-08,25.49,25.62,25.84,25.41,20985,53737810.59,1.69,0.91,0.23,2.50
2025-07-09,25.70,25.14,25.94,25.04,29496,74922678.55,3.51,-1.87,-0.48,3.51
2025-07-10,25.29,25.03,25.29,24.80,16075,40188477.67,1.95,-0.44,-0.11,1.91
2025-07-11,25.07,25.31,25.47,25.00,19339,48914440.67,1.88,1.12,0.28,2.30
2025-07-14,25.30,25.48,25.68,25.29,14720,37467454.00,1.54,0.67,0.17,1.75
2025-07-15,25.57,25.26,25.65,24.75,17909,44911668.88,3.53,-0.86,-0.22,2.13
2025-07-16,25.31,25.30,25.77,25.14,15981,40592800.32,2.49,0.16,0.04,1.90
2025-07-17,25.43,25.40,25.70,25.05,20270,51375455.62,2.57,0.40,0.10,2.41
2025-07-18,25.40,25.57,25.59,25.10,21522,54550116.27,1.93,0.67,0.17,2.56
2025-07-21,25.42,25.47,25.64,25.35,21262,54186526.16,1.13,-0.39,-0.10,2.53
2025-07-22,25.59,25.76,26.45,25.21,36252,93381941.30,4.87,1.14,0.29,4.32
2025-07-23,25.42,25.12,25.57,25.05,25013,63242842.95,2.02,-2.48,-0.64,2.98
2025-07-24,25.07,25.27,25.44,25.04,22456,56679005.12,1.59,0.60,0.15,2.67
2025-07-25,25.36,25.97,26.10,25.10,43967,112722895.27,3.96,2.77,0.70,5.24
2025-07-28,26.06,25.55,26.15,25.50,27139,69622992.42,2.50,-1.62,-0.42,3.23
2025-07-29,25.39,25.40,25.88,25.10,20173,51235790.14,3.05,-0.59,-0.15,2.40
2025-07-30,25.31,24.68,25.41,24.60,29251,72952996.34,3.19,-2.83,-0.72,3.48
2025-07-31,24.67,24.40,24.90,24.30,19011,46813595.23,2.43,-1.13,-0.28,2.26
2025-08-01,24.49,24.73,24.75,24.23,12307,30169436.09,2.13,1.35,0.33,1.47
2025-08-04,24.66,24.98,25.08,24.36,13477,33508262.21,2.91,1.01,0.25,1.60
2025-08-05,25.30,25.86,25.93,25.03,43549,111617665.77,3.60,3.52,0.88,5.19
2025-08-06,25.90,26.60,27.28,25.37,60783,159941631.61,7.39,2.86,0.74,7.24
2025-08-07,26.70,26.40,27.29,26.01,49530,131481221.01,4.81,-0.75,-0.20,5.90
2025-08-08,26.80,25.95,27.45,25.93,45265,121025619.31,5.76,-1.70,-0.45,5.39
2025-08-11,25.63,25.71,25.87,25.36,30525,78346663.37,1.97,-0.92,-0.24,3.64
2025-08-12,25.85,26.06,26.75,25.25,43551,113172295.79,5.83,1.36,0.35,5.19
2025-08-13,25.92,25.75,26.31,25.50,30543,79093385.66,3.11,-1.19,-0.31,3.64
2025-08-14,25.98,24.81,25.98,24.79,29544,74517594.04,4.62,-3.65,-0.94,3.52
2025-08-15,24.89,25.45,25.59,24.80,25405,64346527.61,3.18,2.58,0.64,3.03
2025-08-18,25.66,29.64,31.13,25.66,130642,367619123.84,21.49,16.46,4.19,15.56
2025-08-19,29.56,28.68,30.68,28.50,98925,288590900.33,7.35,-3.24,-0.96,11.78
2025-08-20,28.02,28.52,28.70,27.58,58316,164300059.10,3.91,-0.56,-0.16,6.94
