日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-16,42.47,40.89,42.53,39.31,35476,212287570.96,7.34,-6.84,-3.00,24.79
2025-04-17,41.50,41.34,43.79,41.10,28397,175225411.75,6.58,1.10,0.45,19.84
2025-04-18,40.95,44.95,46.81,40.66,36365,232981451.86,14.88,8.73,3.61,25.41
2025-04-21,45.06,48.95,49.09,44.54,39598,267601499.62,10.12,8.90,4.00,27.67
2025-04-22,49.31,47.24,49.31,46.73,26911,184947555.56,5.27,-3.49,-1.71,18.80
2025-04-23,48.90,47.95,51.56,46.27,58757,295110015.13,11.20,1.50,0.71,29.33
2025-04-24,46.45,45.10,48.41,44.11,47272,222125026.91,8.97,-5.94,-2.85,23.60
2025-04-25,44.50,43.50,45.45,43.44,30952,140018152.37,4.46,-3.55,-1.60,15.45
2025-04-28,43.95,40.89,43.96,40.89,20416,88219144.45,7.06,-6.00,-2.61,10.19
2025-04-29,40.85,40.91,42.34,40.37,21048,88809882.20,4.82,0.05,0.02,10.51
2025-04-30,40.87,42.34,42.45,40.86,24489,105298453.39,3.89,3.50,1.43,12.22
2025-05-06,42.46,44.50,44.50,42.46,27579,123238606.53,4.82,5.10,2.16,13.77
2025-05-07,45.35,44.08,46.35,43.06,29602,133686817.58,7.39,-0.94,-0.42,14.78
2025-05-08,44.33,44.48,44.93,43.81,23291,106156087.90,2.54,0.91,0.40,11.63
2025-05-09,44.52,47.23,47.85,43.43,46296,215920991.76,9.94,6.18,2.75,23.11
2025-05-12,48.83,48.06,49.95,47.15,62255,309816012.28,5.93,1.76,0.83,31.08
2025-05-13,47.95,46.20,48.76,46.08,39217,189974877.81,5.58,-3.87,-1.86,19.58
2025-05-14,46.07,46.19,46.85,45.22,27962,131171131.34,3.53,-0.02,-0.01,13.96
2025-05-15,46.39,44.13,46.55,43.97,28691,132078537.04,5.59,-4.46,-2.06,14.32
2025-05-16,43.94,43.85,45.23,43.68,23875,108546892.67,3.51,-0.63,-0.28,11.92
2025-05-19,43.83,44.58,44.75,42.97,18688,83946911.63,4.06,1.66,0.73,9.33
2025-05-20,44.84,45.76,46.20,44.65,32291,150636934.13,3.48,2.65,1.18,16.12
2025-05-21,45.75,50.85,54.03,45.13,89021,455635878.15,19.45,11.12,5.09,44.44
2025-05-22,48.95,45.77,49.15,45.33,56277,268357885.99,7.51,-9.99,-5.08,28.09
2025-05-23,45.23,45.13,47.03,44.45,34821,163218796.29,5.64,-1.40,-0.64,17.38
2025-05-26,44.63,45.35,45.43,43.37,25960,117913455.70,4.56,0.49,0.22,12.96
2025-05-27,45.02,46.54,47.15,44.62,32683,153666574.97,5.58,2.62,1.19,16.31
2025-05-28,45.59,45.07,46.45,44.75,23480,109081182.27,3.65,-3.16,-1.47,11.72
2025-05-29,44.95,45.56,45.79,44.68,16624,77150317.74,2.46,1.09,0.49,8.30
2025-05-30,45.57,44.05,45.94,43.95,16842,77380149.58,4.37,-3.31,-1.51,8.41
2025-06-03,43.98,44.41,44.77,43.42,13389,60392813.73,3.06,0.82,0.36,6.68
2025-06-04,44.45,45.44,47.23,44.01,29407,138146629.98,7.25,2.32,1.03,14.68
2025-06-05,45.35,44.70,45.52,44.25,26577,121649509.95,2.79,-1.63,-0.74,13.27
2025-06-06,44.86,45.01,46.16,44.33,22418,104175979.00,4.09,0.69,0.31,11.19
2025-06-09,45.01,45.94,46.42,44.55,27259,127866040.22,4.15,2.07,0.93,13.61
2025-06-10,45.92,46.50,47.94,45.51,48531,232794213.43,5.29,1.22,0.56,24.23
2025-06-11,45.92,46.24,47.27,45.65,29769,140849834.70,3.48,-0.56,-0.26,14.86
2025-06-12,45.78,47.13,47.95,45.06,41315,197291431.77,6.25,1.92,0.89,20.62
2025-06-13,47.15,45.31,47.95,45.26,32108,152525727.08,5.71,-3.86,-1.82,16.03
2025-06-16,44.74,45.52,45.95,44.15,22906,105394560.74,3.97,0.46,0.21,11.43
2025-06-17,46.15,46.95,47.45,45.35,36814,175387780.32,4.61,3.14,1.43,18.38
2025-06-18,46.23,46.84,47.93,44.95,33563,159032657.88,6.35,-0.23,-0.11,16.75
2025-06-19,46.94,45.66,49.14,44.97,40406,196294749.27,8.90,-2.52,-1.18,20.17
2025-06-20,45.10,44.46,47.15,44.45,30291,141476148.31,5.91,-2.63,-1.20,15.12
2025-06-23,43.86,45.50,45.55,43.24,23115,105648383.42,5.20,2.34,1.04,11.54
2025-06-24,45.85,48.02,48.91,45.53,52863,255868553.28,7.43,5.54,2.52,26.39
2025-06-25,48.20,48.62,49.88,47.45,50788,251945947.12,5.06,1.25,0.60,25.35
2025-06-26,48.22,47.95,52.60,47.85,50592,259397398.95,9.77,-1.38,-0.67,25.25
2025-06-27,48.50,50.04,50.13,46.96,54875,273144493.04,6.61,4.36,2.09,27.39
2025-06-30,49.45,49.25,50.34,48.04,37711,188253907.00,4.60,-1.58,-0.79,18.82
2025-07-01,48.44,47.80,49.73,46.88,31346,153178705.17,5.79,-2.94,-1.45,15.65
2025-07-02,47.23,47.57,47.91,46.97,16732,81125454.00,1.97,-0.48,-0.23,8.35
2025-07-03,47.74,47.20,47.90,46.15,27056,130223311.38,3.68,-0.78,-0.37,13.51
2025-07-04,47.25,45.50,47.25,45.46,23970,112820330.07,3.79,-3.60,-1.70,11.97
2025-07-07,45.47,45.82,46.10,45.05,10445,48710751.41,2.31,0.70,0.32,5.21
2025-07-08,46.15,45.67,46.15,45.55,13078,61222766.62,1.31,-0.33,-0.15,6.53
2025-07-09,45.72,45.01,46.25,44.55,15504,71762795.78,3.72,-1.45,-0.66,7.74
2025-07-10,44.87,44.85,45.19,44.13,14470,66009800.55,2.36,-0.36,-0.16,7.22
2025-07-11,45.00,44.97,45.25,44.55,10821,49779592.37,1.56,0.27,0.12,5.40
2025-07-14,44.81,44.91,45.83,44.61,12755,59136931.53,2.71,-0.13,-0.06,6.37
2025-07-15,45.23,43.95,45.27,43.95,16178,73351295.09,2.94,-2.14,-0.96,8.08
2025-07-16,44.11,43.74,44.25,43.55,10903,48925042.16,1.59,-0.48,-0.21,5.44
2025-07-17,43.95,44.39,44.45,43.60,10358,46834807.29,1.94,1.49,0.65,5.17
2025-07-18,44.75,44.65,45.35,44.35,15053,69150177.32,2.25,0.59,0.26,7.51
2025-07-21,44.44,44.73,45.10,44.19,11706,53570772.20,2.04,0.18,0.08,5.84
2025-07-22,45.03,44.39,45.25,44.05,17759,81176675.89,2.68,-0.76,-0.34,8.86
2025-07-23,44.39,43.37,44.65,43.36,17325,77652116.14,2.91,-2.30,-1.02,8.65
2025-07-24,43.65,43.59,44.01,43.35,11897,53183085.68,1.52,0.51,0.22,5.94
2025-07-25,43.95,43.33,44.01,43.15,11180,49747703.46,1.97,-0.60,-0.26,5.58
2025-07-28,43.72,44.06,44.31,43.25,13715,61783748.55,2.45,1.68,0.73,6.85
2025-07-29,44.00,43.50,44.27,43.25,11697,52123265.53,2.32,-1.27,-0.56,5.84
2025-07-30,43.50,42.12,43.50,41.78,15531,67529253.72,3.95,-3.17,-1.38,7.75
2025-07-31,42.12,41.32,42.55,41.21,9861,42229941.01,3.18,-1.90,-0.80,4.92
2025-08-01,41.45,41.12,41.76,40.72,8876,37490880.45,2.52,-0.48,-0.20,4.43
2025-08-04,41.12,41.51,41.74,40.73,6869,29111747.75,2.46,0.95,0.39,3.43
2025-08-05,41.85,41.28,41.88,41.14,7530,31948982.72,1.78,-0.55,-0.23,3.76
2025-08-06,41.40,41.65,41.65,41.07,9158,38855295.95,1.41,0.90,0.37,4.57
2025-08-07,41.65,41.60,42.05,41.23,8171,34824886.70,1.97,-0.12,-0.05,4.08
2025-08-08,42.00,42.07,42.83,41.71,12264,53144231.36,2.69,1.13,0.47,6.12
2025-08-11,42.49,42.64,43.36,42.46,11281,49452911.87,2.14,1.35,0.57,5.63
2025-08-12,42.46,41.89,42.46,41.65,9716,41796346.60,1.90,-1.76,-0.75,4.85
2025-08-13,41.77,41.57,42.27,41.43,8626,36879454.07,2.01,-0.76,-0.32,4.31
2025-08-14,41.80,40.85,41.80,40.61,10860,45705610.63,2.86,-1.73,-0.72,5.42
2025-08-15,40.85,41.31,41.56,40.70,9245,39125357.22,2.11,1.13,0.46,4.61
2025-08-18,41.70,42.71,42.93,41.27,19543,84696622.18,4.02,3.39,1.40,9.76
2025-08-19,42.73,43.39,44.24,42.67,27760,123764906.76,3.68,1.59,0.68,13.86
2025-08-20,42.83,43.28,43.58,42.46,14108,62243438.65,2.58,-0.25,-0.11,7.04
2025-08-21,43.77,42.91,43.80,42.48,10613,46867852.53,3.05,-0.85,-0.37,5.30
2025-08-22,42.92,42.31,43.24,42.06,11754,51080186.85,2.75,-1.40,-0.60,5.87
2025-08-25,42.85,42.47,42.85,41.72,16226,70169625.85,2.67,0.38,0.16,8.10
2025-08-26,42.45,42.19,42.64,42.09,9188,39884636.14,1.30,-0.66,-0.28,4.59
2025-08-27,42.43,40.85,42.45,40.83,14475,61719215.27,3.84,-3.18,-1.34,7.23
2025-08-28,40.94,40.25,41.50,38.90,15227,62758529.24,6.36,-1.47,-0.60,7.60
2025-08-29,40.29,42.75,44.34,40.29,45772,202378207.46,10.06,6.21,2.50,22.85
2025-09-01,42.45,43.36,43.91,41.73,30617,134733040.36,5.10,1.43,0.61,15.28
2025-09-02,44.88,44.31,46.48,43.56,48929,226690186.15,6.73,2.19,0.95,24.42
2025-09-03,44.28,45.15,47.13,42.95,48554,227399105.64,9.43,1.90,0.84,24.24
2025-09-04,45.45,48.44,51.35,45.35,74476,369805712.42,13.29,7.29,3.29,37.18
2025-09-05,46.92,51.41,52.90,45.83,79251,409795878.15,14.60,6.13,2.97,39.56
2025-09-08,50.95,47.86,51.37,47.57,56604,281851930.47,7.39,-6.91,-3.55,28.25
2025-09-09,46.46,46.01,48.00,45.98,35521,169643440.46,4.22,-3.87,-1.85,17.73
2025-09-10,45.56,43.81,45.65,43.47,32276,146839984.15,4.74,-4.78,-2.20,16.11
2025-09-11,44.25,43.80,44.25,42.90,21604,96003105.85,3.08,-0.02,-0.01,10.78
2025-09-12,44.31,43.25,44.31,42.53,19927,88267542.60,4.06,-1.26,-0.55,9.95
2025-09-15,43.50,44.16,45.78,43.34,32530,148615809.74,5.64,2.10,0.91,16.24
2025-09-16,43.65,42.62,43.81,41.91,26223,114848460.44,4.30,-3.49,-1.54,13.09
2025-09-17,42.90,43.25,43.44,42.06,17560,76926491.99,3.24,1.48,0.63,8.77
2025-09-18,43.25,41.66,43.39,41.35,21833,94978825.30,4.72,-3.68,-1.59,10.90
2025-09-19,41.70,41.34,42.25,41.05,13190,56289332.28,2.88,-0.77,-0.32,6.58
2025-09-22,41.16,41.75,41.94,40.56,11528,48767388.86,3.34,0.99,0.41,5.75
2025-09-23,41.69,41.09,42.40,39.90,13779,57698309.81,5.99,-1.58,-0.66,6.88
2025-09-24,41.09,41.49,41.76,40.52,8991,37853259.42,3.02,0.97,0.40,4.49
2025-09-25,41.73,40.82,41.75,40.82,7545,31642492.82,2.24,-1.61,-0.67,3.77
2025-09-26,40.82,39.49,40.82,39.49,9420,38384041.29,3.26,-3.26,-1.33,4.70
2025-09-29,40.00,41.13,41.50,39.56,14850,61981585.20,4.91,4.15,1.64,7.41
2025-09-30,40.96,41.21,41.93,40.94,9445,39723832.23,2.41,0.19,0.08,4.71
2025-10-09,42.28,43.00,43.54,41.36,24408,106125716.02,5.29,4.34,1.79,12.18
2025-10-10,42.62,41.26,42.66,41.20,13827,58574487.36,3.40,-4.05,-1.74,6.90
2025-10-13,39.09,40.40,40.50,38.30,12558,50598288.65,5.33,-2.08,-0.86,6.27
2025-10-14,40.45,39.75,41.14,39.60,8015,32771336.44,3.81,-1.61,-0.65,4.00
2025-10-15,39.70,40.07,40.67,39.51,5258,21419074.35,2.92,0.81,0.32,2.62
2025-10-16,40.05,39.30,40.76,39.00,7393,29975937.70,4.39,-1.92,-0.77,3.69
2025-10-17,39.30,38.45,40.28,38.42,8344,33257933.81,4.73,-2.16,-0.85,4.17
2025-10-20,38.55,39.11,39.95,38.55,10291,41244418.34,3.64,1.72,0.66,5.14
2025-10-21,39.66,40.54,40.75,39.61,14888,61238062.86,2.91,3.66,1.43,7.43
2025-10-22,40.29,39.70,40.44,39.31,10240,41678766.50,2.79,-2.07,-0.84,5.11
2025-10-23,40.26,38.97,40.26,38.56,7317,29016558.64,4.28,-1.84,-0.73,3.65
2025-10-24,38.97,39.32,39.58,38.97,5568,22273742.08,1.57,0.90,0.35,2.78
2025-10-27,39.65,39.71,40.05,39.32,7504,30402267.33,1.86,0.99,0.39,3.75
2025-10-28,39.99,39.19,40.23,39.16,7221,29105889.35,2.69,-1.31,-0.52,3.60
2025-10-29,39.30,40.85,41.02,38.67,16978,69111448.22,6.00,4.24,1.66,8.47
2025-10-30,40.75,40.71,42.58,40.68,22803,96286028.61,4.65,-0.34,-0.14,11.38
2025-10-31,40.24,41.54,42.73,40.24,22222,94802895.36,6.12,2.04,0.83,11.09
2025-11-03,40.98,40.80,41.80,40.50,12130,50548847.07,3.13,-1.78,-0.74,6.06
2025-11-04,41.02,39.55,41.02,39.31,9409,38048247.49,4.19,-3.06,-1.25,4.70
2025-11-05,39.19,40.03,40.26,38.98,6941,28158859.54,3.24,1.21,0.48,3.46
2025-11-06,40.28,39.76,40.28,39.37,6745,27235357.92,2.27,-0.67,-0.27,3.37
2025-11-07,40.22,40.08,40.53,39.42,10294,41981405.69,2.79,0.80,0.32,5.14
2025-11-10,40.55,39.42,40.59,39.11,9267,37383018.41,3.69,-1.65,-0.66,4.63
2025-11-11,39.52,39.30,39.95,39.18,6127,24654999.38,1.95,-0.30,-0.12,3.06
2025-11-12,39.45,38.64,39.45,38.35,7439,29414777.54,2.80,-1.68,-0.66,3.71
2025-11-13,38.89,40.34,40.65,38.63,19800,80919147.88,5.23,4.40,1.70,9.88
2025-11-14,39.77,39.93,40.59,39.12,13504,54662001.88,3.64,-1.02,-0.41,6.74
2025-11-17,39.73,40.36,40.80,39.16,13213,53584573.78,4.11,1.08,0.43,6.60
2025-11-18,40.20,38.45,40.42,38.40,14418,57279411.61,5.00,-4.73,-1.91,7.20
2025-11-19,38.45,37.59,38.90,37.50,8066,31154334.35,3.64,-2.24,-0.86,4.03
2025-11-20,37.80,36.25,38.00,36.18,8671,32510039.90,4.84,-3.56,-1.34,4.33
2025-11-21,36.29,34.30,36.30,34.20,9822,34972977.38,5.79,-5.38,-1.95,4.90
2025-11-24,34.40,34.54,34.78,34.30,4150,14626127.33,1.40,0.70,0.24,2.07
2025-11-25,34.64,35.20,35.54,34.64,5695,20438024.90,2.61,1.91,0.66,2.84
2025-11-26,35.08,34.77,35.79,34.55,5905,21074996.11,3.52,-1.22,-0.43,2.95
2025-11-27,35.26,34.31,35.26,34.20,6439,22749087.33,3.05,-1.32,-0.46,3.21
2025-11-28,34.20,34.58,34.78,34.20,3655,12840933.22,1.69,0.79,0.27,1.82
2025-12-01,34.85,34.75,34.99,34.30,5330,18857885.27,2.00,0.49,0.17,2.66
2025-12-02,34.96,34.15,34.96,34.07,6158,21575298.48,2.56,-1.73,-0.60,3.07
2025-12-03,34.29,33.84,34.60,33.74,4376,15210245.97,2.52,-0.91,-0.31,2.18
2025-12-04,33.72,32.94,34.09,32.94,5642,19177291.05,3.40,-2.66,-0.90,2.82
2025-12-05,33.10,33.40,33.49,32.63,4932,16674171.22,2.61,1.40,0.46,2.46
2025-12-08,33.40,33.78,34.07,33.40,4084,14123236.06,2.01,1.14,0.38,2.04
2025-12-09,33.77,32.91,33.83,32.90,4858,16505254.20,2.75,-2.58,-0.87,2.43
2025-12-10,33.09,33.06,33.10,32.50,3679,12315864.15,1.82,0.46,0.15,1.84
2025-12-11,33.08,34.18,35.30,32.59,11392,39674055.14,8.20,3.39,1.12,5.69
2025-12-12,34.05,34.16,34.58,33.58,6275,21851319.48,2.93,-0.06,-0.02,3.13
2025-12-15,33.89,34.05,34.75,33.83,4500,15776343.61,2.69,-0.32,-0.11,2.25
2025-12-16,33.92,34.58,35.08,33.71,7563,26695815.84,4.02,1.56,0.53,3.78
2025-12-17,34.35,35.25,35.52,34.35,11088,39783021.20,3.38,1.94,0.67,5.53
2025-12-18,35.19,34.46,35.19,34.39,7106,25173882.96,2.27,-2.24,-0.79,3.55
2025-12-19,34.46,34.73,35.00,34.46,5615,19893058.55,1.57,0.78,0.27,2.80
2025-12-22,34.72,34.59,34.99,34.40,3669,12945566.32,1.70,-0.40,-0.14,1.83
2025-12-23,34.31,33.80,34.65,33.73,5801,20199979.79,2.66,-2.28,-0.79,2.90
2025-12-24,34.02,34.08,34.43,33.61,3655,12685823.75,2.43,0.83,0.28,1.82
2025-12-25,34.55,34.10,34.56,34.01,3418,11938200.86,1.61,0.06,0.02,1.71
2025-12-26,34.50,34.11,34.78,33.90,5838,20459842.71,2.58,0.03,0.01,2.91
2025-12-29,34.16,33.60,34.47,33.51,4412,15182991.39,2.81,-1.50,-0.51,2.20
2025-12-30,33.51,33.35,33.68,33.10,4257,14486588.51,1.73,-0.74,-0.25,2.12
2025-12-31,33.30,33.14,33.79,33.14,3949,13412335.99,1.95,-0.63,-0.21,1.97
2026-01-05,33.32,33.89,33.99,33.13,5674,19540193.48,2.60,2.26,0.75,2.83
2026-01-06,34.40,35.38,35.78,33.80,16530,59561565.25,5.84,4.40,1.49,8.25
