日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-16,23.18,22.74,23.70,22.12,19880,46926118.73,6.75,-2.86,-0.67,4.66
2025-04-17,22.74,23.38,23.68,22.35,23131,55752071.07,5.85,2.81,0.64,5.43
2025-04-18,23.20,24.20,24.30,23.20,25021,61866295.91,4.70,3.51,0.82,5.87
2025-04-21,24.32,24.48,24.69,23.80,23664,59261126.55,3.68,1.16,0.28,5.55
2025-04-22,24.38,24.15,25.19,24.03,26222,66410181.41,4.74,-1.35,-0.33,6.15
2025-04-23,24.89,24.63,25.25,24.37,31770,81370763.12,3.64,1.99,0.48,7.45
2025-04-24,24.26,23.55,24.56,23.19,26694,65734445.53,5.56,-4.38,-1.08,6.26
2025-04-25,23.85,24.49,24.70,23.68,26273,65877992.79,4.33,3.99,0.94,6.16
2025-04-28,25.46,24.50,26.09,24.46,37320,96562633.25,6.66,0.04,0.01,8.76
2025-04-29,24.42,24.95,25.18,24.00,25891,65943916.81,4.82,1.84,0.45,6.07
2025-04-30,25.05,27.30,27.50,25.05,57970,159062298.34,9.82,9.42,2.35,13.60
2025-05-06,27.07,28.06,28.10,26.47,57010,160053548.41,5.97,2.78,0.76,13.37
2025-05-07,28.18,27.40,28.48,26.75,48246,136950686.52,6.17,-2.35,-0.66,11.32
2025-05-08,27.48,27.36,27.80,27.05,25375,71447278.68,2.74,-0.15,-0.04,5.95
2025-05-09,27.23,26.78,27.49,26.57,24019,66797444.10,3.36,-2.12,-0.58,5.63
2025-05-12,27.21,27.36,27.48,26.88,22410,62785302.55,2.24,2.17,0.58,5.26
2025-05-13,27.65,26.75,28.19,26.59,26193,73912670.49,5.85,-2.23,-0.61,6.14
2025-05-14,26.70,27.23,27.52,26.25,23061,63776724.02,4.75,1.79,0.48,5.41
2025-05-15,27.25,26.86,27.51,26.65,21840,60857549.64,3.16,-1.36,-0.37,5.12
2025-05-16,26.88,26.93,27.46,26.60,16585,46147408.44,3.20,0.26,0.07,3.89
2025-05-19,26.80,27.12,27.37,26.21,20543,56792827.82,4.31,0.71,0.19,4.82
2025-05-20,27.02,28.40,28.70,27.02,49608,143474205.17,6.19,4.72,1.28,11.64
2025-05-21,28.49,27.81,28.50,27.58,25876,74320789.04,3.24,-2.08,-0.59,6.07
2025-05-22,27.68,26.39,27.73,26.00,26693,73461140.24,6.22,-5.11,-1.42,6.26
2025-05-23,26.34,25.26,26.85,25.24,21545,57782184.06,6.10,-4.28,-1.13,5.05
2025-05-26,25.20,27.17,27.20,24.85,37115,100446531.09,9.30,7.56,1.91,8.71
2025-05-27,26.75,26.22,26.75,25.91,22692,61400155.98,3.09,-3.50,-0.95,5.32
2025-05-28,26.06,26.19,26.67,25.75,16417,44333430.41,3.51,-0.11,-0.03,3.85
2025-05-29,26.19,26.69,26.83,25.88,19236,52693758.80,3.63,1.91,0.50,4.51
2025-05-30,26.56,25.88,26.73,25.79,16285,43830898.49,3.52,-3.03,-0.81,3.82
2025-06-03,25.20,25.90,26.28,25.20,11272,29959802.21,4.17,0.08,0.02,2.64
2025-06-04,25.95,26.27,26.67,25.86,14631,39586233.81,3.13,1.43,0.37,3.43
2025-06-05,26.20,26.49,26.64,26.11,13105,35676344.72,2.02,0.84,0.22,3.07
2025-06-06,26.50,26.88,27.17,26.11,16348,45034617.70,4.00,1.47,0.39,3.84
2025-06-09,26.70,26.83,27.10,26.60,17412,48044274.68,1.86,-0.19,-0.05,4.08
2025-06-10,26.86,26.21,27.08,25.86,21435,58493170.54,4.55,-2.31,-0.62,5.03
2025-06-11,26.17,26.83,26.86,26.17,15271,41950122.12,2.63,2.37,0.62,3.58
2025-06-12,27.05,26.78,27.32,26.65,21253,57936796.48,2.50,-0.19,-0.05,4.99
2025-06-13,26.61,26.42,27.13,26.25,16541,44613897.40,3.29,-1.34,-0.36,3.88
2025-06-16,26.41,26.40,26.59,26.15,9994,26619817.25,1.67,-0.08,-0.02,2.34
2025-06-17,26.47,26.32,27.09,26.31,13385,36050029.00,2.95,-0.30,-0.08,3.14
2025-06-18,26.17,27.22,27.78,26.16,37695,103554902.89,6.16,3.42,0.90,8.84
2025-06-19,27.70,26.84,27.70,26.60,27557,75739773.47,4.04,-1.40,-0.38,6.46
2025-06-20,26.66,25.84,27.05,25.80,19365,51679682.36,4.66,-3.73,-1.00,4.54
2025-06-23,25.86,26.20,26.37,25.43,12945,33844454.82,3.64,1.39,0.36,3.04
2025-06-24,26.39,27.06,27.07,26.39,19893,53998414.88,2.60,3.28,0.86,4.67
2025-06-25,27.01,27.78,27.83,26.96,31310,87078602.24,3.22,2.66,0.72,7.35
2025-06-26,27.98,28.92,29.19,27.50,41844,120534412.54,6.08,4.10,1.14,9.82
2025-06-27,28.72,28.16,28.94,28.07,28735,82373649.59,3.01,-2.63,-0.76,6.74
2025-06-30,28.08,28.29,28.55,28.00,20178,57680365.16,1.95,0.46,0.13,4.73
