交易所,板块,代码,市场代码,名称,空字段f1,最新价,涨跌额,涨跌幅,流通市场代码,成交量,成交额,振幅,最高,昨收,最低,今开,量比,换手率,市盈率,市净率
上交所,沪市主板,600000,1,浦发银行,2,906,-3,-33,2,886490,805400842.0,88,913,909,905,908,124,27,422,40
上交所,沪市主板,600004,1,白云机场,2,859,3,35,2,123007,105153322.0,105,859,856,850,854,74,52,3301,105
上交所,沪市主板,600006,1,东风股份,2,691,-4,-58,2,182848,126086054.0,187,698,695,685,696,81,91,1681,173
上交所,沪市主板,600007,1,中国国贸,2,2177,17,79,2,21295,46138106.0,194,2182,2160,2140,2140,72,21,1794,218
上交所,沪市主板,600008,1,首创环保,2,310,1,32,2,916457,284624603.0,227,315,309,308,309,126,125,1324,107
上交所,沪市主板,600009,1,上海机场,2,2718,-8,-29,2,95993,260913569.0,44,2725,2726,2713,2722,94,47,2926,157
上交所,沪市主板,600010,1,包钢股份,2,277,-3,-107,2,7128926,1966439915.0,286,280,280,272,280,72,227,-6778,243
上交所,沪市主板,600011,1,华能国际,2,725,-2,-28,2,1288861,937734105.0,248,737,727,719,727,98,117,635,162
上交所,沪市主板,600012,1,皖通高速,2,1570,20,129,2,34654,54307087.0,252,1580,1550,1541,1550,82,30,1250,201
上交所,沪市主板,600015,1,华夏银行,2,667,2,30,2,741955,493699496.0,90,669,665,663,665,66,48,532,33
上交所,沪市主板,600016,1,民生银行,2,369,0,0,2,1102340,407370718.0,54,371,369,369,369,72,31,351,28
上交所,沪市主板,600017,1,日照港,2,299,2,67,2,274556,81888128.0,135,300,297,296,297,101,89,2411,65
上交所,沪市主板,600018,1,上港集团,2,510,4,79,2,574556,292074464.0,138,511,506,504,506,106,25,741,82
上交所,沪市主板,600019,1,宝钢股份,2,641,9,142,2,886226,563909929.0,158,641,632,631,632,81,41,1569,67
上交所,沪市主板,600020,1,中原高速,2,402,-2,-50,2,103875,41876134.0,149,407,404,401,404,45,46,615,76
上交所,沪市主板,600021,1,上海电力,2,1789,-6,-33,2,420369,750541557.0,234,1809,1795,1767,1790,91,149,2225,243
上交所,沪市主板,600022,1,山东钢铁,2,146,1,69,2,731270,106093198.0,138,146,145,144,145,79,68,-1791,83
上交所,沪市主板,600023,1,浙能电力,2,587,3,51,2,630293,371347754.0,308,598,584,580,583,70,47,2077,102
上交所,沪市主板,600025,1,华能水电,2,961,-2,-21,2,294257,282936372.0,145,970,963,956,959,99,16,2900,252
上交所,沪市主板,600026,1,中远海能,2,2341,72,317,2,1019736,2366117194.0,621,2366,2269,2225,2225,128,267,1472,265
上交所,沪市主板,600027,1,华电国际,2,514,4,78,2,1165798,599735758.0,216,520,510,509,511,85,127,834,119
上交所,沪市主板,600028,1,中国石化,2,523,-4,-76,2,3395391,1782390132.0,171,530,527,521,529,80,36,930,76
上交所,沪市主板,600029,1,南方航空,2,571,9,160,2,2134366,1215323748.0,409,577,562,554,556,165,158,1747,279
上交所,沪市主板,600030,1,中信证券,2,2692,-31,-114,2,1285368,3466832229.0,136,2720,2723,2683,2710,70,106,976,137
上交所,沪市主板,600031,1,三一重工,2,2053,-45,-214,2,1059388,2168974889.0,281,2090,2098,2031,2090,88,125,1902,208
上交所,沪市主板,600032,1,浙江新能,2,1040,-17,-161,2,649742,687835913.0,672,1104,1057,1033,1055,95,270,22016,195
上交所,沪市主板,600033,1,福建高速,2,367,4,110,2,301975,110383038.0,165,368,363,362,363,149,110,985,80
上交所,沪市主板,600035,1,楚天高速,2,389,4,104,2,104790,40585947.0,156,390,385,384,385,111,65,655,69
上交所,沪市主板,600036,1,招商银行,2,3796,1,3,2,860073,3267771007.0,74,3818,3795,3790,3803,65,42,632,85
上交所,沪市主板,600037,1,歌华有线,2,819,3,37,2,221236,181781602.0,172,829,816,815,818,85,159,4217,89
上交所,沪市主板,600038,1,中直股份,2,3150,46,148,2,119049,372179515.0,222,3153,3104,3084,3098,126,178,17057,147
上交所,沪市主板,600039,1,四川路桥,2,809,3,37,2,651670,528164320.0,310,829,806,804,805,126,75,1176,133
上交所,沪市主板,600048,1,保利发展,2,642,2,31,2,1334823,855954100.0,266,650,640,633,638,79,112,2098,40
上交所,沪市主板,600050,1,中国联通,2,453,4,89,2,1681119,757585644.0,178,455,449,447,447,95,54,1657,83
上交所,沪市主板,600051,1,宁波联合,2,786,19,248,2,95447,74616966.0,313,791,767,767,772,108,307,11331,71
上交所,沪市主板,600052,1,东望时代,2,462,8,176,2,514028,237538720.0,419,469,454,450,459,80,609,-5002,181
