锚点日期,训练样本数,特征集合,特征数量,日期,代码,名称,行业,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,换手率,预测上涨概率,方向阈值,预测涨跌,实际涨跌,涨跌预测是否准确,未来卖出日期
2025-07-29,24786,core,49,2025-07-29,603220,中贝通信,通信服务,22.47,22.66,22.66,22.18,11570876.0,258803098.75,2.13,0.3988,2.6646,0.8109525242792627,0.615,上涨,下跌,0,2025-08-05
2025-07-29,24786,core,49,2025-07-29,603489,八方股份,电机Ⅱ,27.7,27.94,27.98,27.42,2683116.0,74202371.52,2.02,0.576,1.1436,0.7934970307343134,0.615,上涨,下跌,0,2025-08-05
2025-07-29,24786,core,49,2025-07-29,603868,飞科电器,小家电,37.11,37.06,37.23,36.86,895207.0,33117520.44,1.0,-0.1616,0.2055,0.7916750544102101,0.615,上涨,上涨,1,2025-08-05
2025-07-29,24786,core,49,2025-07-29,603082,北自科技,自动化设备,39.45,39.5,39.71,39.29,1298535.0,51240590.65,1.06,-0.5038,3.2018,0.7883302776903001,0.615,上涨,上涨,1,2025-08-05
2025-07-29,24786,core,49,2025-07-29,002937,兴瑞科技,汽车零部件,17.0086518,17.03849154,17.03849154,16.81966678,4783161.0,81438716.05,1.28,-0.1748,1.6107,0.7808205081061497,0.615,上涨,上涨,1,2025-08-05
2025-07-29,24786,core,49,2025-07-29,001229,魅视科技,计算机设备,33.42,33.42,33.59,33.14,1128400.0,37602632.0,1.34,-0.2686,3.8373,0.7768616382762856,0.615,上涨,上涨,1,2025-08-05
2025-07-29,24786,core,49,2025-07-29,603312,西典新能,电网设备,37.8015246,37.9503495,38.08925274,37.64277804,910062.0,34700056.04,1.18,0.0,1.7328,0.7760993171038264,0.615,上涨,上涨,1,2025-08-05
2025-07-29,24786,core,49,2025-07-29,600456,宝钛股份,小金属,31.8,32.05,32.13,31.63,8351464.0,266019249.86,1.57,0.5964,1.748,0.7684056228859517,0.615,上涨,下跌,0,2025-08-05
2025-07-29,24786,core,49,2025-07-29,600938,中国海油,油气开采Ⅱ,25.32091338,25.45736172,25.48660065,25.25268921,35630158.0,928846699.19,0.93,1.0054,1.1916,0.7677226674543003,0.615,上涨,下跌,0,2025-08-05
2025-07-29,24786,core,49,2025-07-29,600520,三佳科技,专用设备,29.3,29.36,29.64,29.13,3203838.0,93993356.58,1.74,-0.034,2.0222,0.7632004198073119,0.615,上涨,上涨,1,2025-08-05
2025-07-29,24786,core,49,2025-07-29,002415,海康威视,计算机设备,28.166379,28.22567664,28.25532546,27.90942256,44379737.0,1261139262.84,1.22,-0.1049,0.4874,0.7597890844868312,0.615,上涨,上涨,1,2025-08-05
2025-07-29,24786,core,49,2025-07-29,002976,瑞玛精密,汽车零部件,25.9,25.74,26.1,25.45,2817300.0,72363769.0,2.52,-0.0388,4.3199,0.7597185683804774,0.615,上涨,上涨,1,2025-08-05
2025-07-29,24786,core,49,2025-07-29,600699,均胜电子,汽车零部件,18.19,18.32,18.32,18.03,25113156.0,455722333.13,1.59,0.3836,1.8356,0.755331381430893,0.615,上涨,上涨,1,2025-08-05
2025-07-29,24786,core,49,2025-07-29,000021,深科技,消费电子,18.86,19.08,19.08,18.76,33392179.0,631917807.35,1.69,0.6329,2.14,0.7541053368329758,0.615,上涨,下跌,0,2025-08-05
2025-07-29,24786,core,49,2025-07-29,603211,晋拓股份,汽车零部件,18.43,18.23,18.43,18.14,3218800.0,58635812.0,1.57,-1.1388,1.1842,0.7476335604197848,0.615,上涨,上涨,1,2025-08-05
2025-07-29,24786,core,49,2025-07-29,001228,永泰运,物流,24.98176925,24.76410631,25.08070695,24.37824928,1721500.0,42926065.89,2.82,-0.5562,1.6574,0.7442798124120299,0.615,上涨,上涨,1,2025-08-05
2025-07-29,24786,core,49,2025-07-29,002378,章源钨业,小金属,9.79,9.82,9.91,9.68,47026194.0,459950929.63,2.34,-0.1017,3.935,0.7442654338872958,0.615,上涨,下跌,0,2025-08-05
2025-07-29,24786,core,49,2025-07-29,603867,新化股份,化学制品,26.2,26.13,26.2,25.67,2830360.0,73395066.7,2.03,0.1533,1.4682,0.7426576735874422,0.615,上涨,下跌,0,2025-08-05
