锚点日期,训练样本数,特征集合,特征数量,日期,代码,名称,行业,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,换手率,预测上涨概率,方向阈值,预测涨跌,实际涨跌,涨跌预测是否准确,未来卖出日期
2026-05-06,38049,core,49,2026-05-06,000935,四川双马,多元金融,26.88,27.25,27.79,26.41,9068553.0,247620698.51,5.16,1.9835,1.1879,0.7134835289625252,0.345,上涨,上涨,1,2026-05-13
2026-05-06,38049,core,49,2026-05-06,002757,南兴股份,专用设备,23.62,25.31,25.48,23.62,67382810.0,1673691622.26,8.03,9.2832,23.8901,0.7109731693040334,0.345,上涨,上涨,1,2026-05-13
2026-05-06,38049,core,49,2026-05-06,002396,星网锐捷,通信设备,26.86,26.91,27.72,26.8,27285695.0,744291705.3,3.47,1.5472,4.678,0.6826754744754092,0.345,上涨,上涨,1,2026-05-13
2026-05-06,38049,core,49,2026-05-06,600206,有研新材,半导体,28.36,28.08,29.29,28.03,118178342.0,3364861537.91,4.6,2.5941,13.9599,0.6711397090295781,0.345,上涨,上涨,1,2026-05-13
2026-05-06,38049,core,49,2026-05-06,002552,宝鼎科技,元件,22.42,22.85,23.13,22.3,14552000.0,331246036.0,3.76,3.5342,3.9489,0.658194985128822,0.345,上涨,上涨,1,2026-05-13
2026-05-06,38049,core,49,2026-05-06,002190,成飞集成,汽车零部件,29.6,29.91,30.06,29.6,3700400.0,110718695.89,1.56,1.3211,1.0315,0.6392213591723706,0.345,上涨,上涨,1,2026-05-13
2026-05-06,38049,core,49,2026-05-06,601168,西部矿业,工业金属,29.92,30.91,31.04,29.46,79096674.0,2395749061.13,5.34,4.461,3.3192,0.6213574679419379,0.345,上涨,上涨,1,2026-05-13
2026-05-06,38049,core,49,2026-05-06,002430,杭氧股份,化学制品,31.55,31.69,31.9,31.3,23061045.0,729632205.03,1.91,0.8272,2.3581,0.6202767705223908,0.345,上涨,下跌,0,2026-05-13
2026-05-06,38049,core,49,2026-05-06,002436,兴森科技,元件,29.65,29.47,30.48,29.36,210739449.0,6320633608.1,4.04,6.3515,13.8833,0.6177272246418675,0.345,上涨,上涨,1,2026-05-13
2026-05-06,38049,core,49,2026-05-06,603665,康隆达,服装家纺,28.12,28.73,29.3,28.12,4021967.0,115647596.77,4.15,1.162,2.5111,0.6106569222891287,0.345,上涨,上涨,1,2026-05-13
2026-05-06,38049,core,49,2026-05-06,920018,宏远股份,电网设备,28.55,28.57,28.78,28.38,11980.0,34203131.83,1.41,0.92,2.71,0.6104506678586118,0.345,上涨,上涨,1,2026-05-13
2026-05-06,38049,core,49,2026-05-06,002864,盘龙药业,中药Ⅱ,30.38,30.3,30.43,30.1,1836000.0,55570092.0,1.09,0.1984,2.4917,0.6050445895471748,0.345,上涨,上涨,1,2026-05-13
2026-05-06,38049,core,49,2026-05-06,603496,恒为科技,计算机设备,30.71,31.36,31.57,30.71,28962117.0,903825482.53,2.82,2.786,9.0447,0.5996368306552837,0.345,上涨,上涨,1,2026-05-13
2026-05-06,38049,core,49,2026-05-06,600330,天通股份,电子化学品Ⅱ,27.1,27.01,27.86,26.59,273203082.0,7422643622.55,4.55,-3.1553,22.1498,0.5985061168887591,0.345,上涨,上涨,1,2026-05-13
2026-05-06,38049,core,49,2026-05-06,002978,安宁股份,小金属,31.29,31.73,31.75,31.17,4556894.0,143345590.48,1.86,1.9929,1.234,0.5980446799168072,0.345,上涨,上涨,1,2026-05-13
2026-05-06,38049,core,49,2026-05-06,603005,晶方科技,半导体,31.8,31.57,32.5,31.51,53546289.0,1714140302.65,3.18,1.5113,8.2105,0.5961635489644908,0.345,上涨,上涨,1,2026-05-13
2026-05-06,38049,core,49,2026-05-06,001279,强邦新材,包装印刷,30.51,30.72,30.98,30.5,716564.0,22013058.8,1.58,0.8536,1.7914,0.5944036880631338,0.345,上涨,上涨,1,2026-05-13
2026-05-06,38049,core,49,2026-05-06,002827,高争民爆,化学制品,30.41,30.37,30.82,29.8,4003390.0,121210607.2,3.38,0.5629,1.4505,0.5874327298027147,0.345,上涨,上涨,1,2026-05-13
2026-05-06,38049,core,49,2026-05-06,002906,华阳集团,汽车零部件,29.79706428,29.99387448,30.28908978,29.67897816,7725036.0,235150031.42,2.06,1.2625,1.4725,0.5786564189047965,0.345,上涨,上涨,1,2026-05-13
2026-05-06,38049,core,49,2026-05-06,000880,潍柴重机,汽车零部件,30.9,31.46,31.99,30.89,27829109.0,874924108.53,3.56,1.8123,12.2581,0.5746651590041637,0.345,上涨,上涨,1,2026-05-13
2026-05-06,38049,core,49,2026-05-06,603816,顾家家居,家居用品,28.9,29.57,29.76,28.52,10881162.0,317693476.13,4.27,1.8251,1.3398,0.5733381073277305,0.345,上涨,上涨,1,2026-05-13
2026-05-06,38049,core,49,2026-05-06,600685,中船防务,航海装备Ⅱ,31.74,32.13,32.14,31.4,28675301.0,913889176.44,2.3,-0.0622,3.4909,0.5724063379699521,0.345,上涨,上涨,1,2026-05-13
2026-05-06,38049,core,49,2026-05-06,600699,均胜电子,汽车零部件,28.75,29.73,29.74,28.6,67169240.0,1962050374.84,4.0,4.2426,4.9569,0.5709060618088512,0.345,上涨,上涨,1,2026-05-13
2026-05-06,38049,core,49,2026-05-06,002997,瑞鹄模具,汽车零部件,30.0,30.16,30.47,29.78,4360997.0,131139842.0,2.3,0.6004,2.0834,0.5694686597261369,0.345,上涨,上涨,1,2026-05-13
2026-05-06,38049,core,49,2026-05-06,603216,梦天家居,家居用品,29.63,29.9,30.09,29.35,2399800.0,71395526.0,2.5,1.0135,1.0776,0.568486932315655,0.345,上涨,上涨,1,2026-05-13
2026-05-06,38049,core,49,2026-05-06,002134,天津普林,元件,25.21,26.76,26.89,25.21,20460294.0,535450949.2,6.64,5.6872,8.3007,0.5671690349680121,0.345,上涨,上涨,1,2026-05-13
