锚点日期,训练样本数,特征集合,特征数量,日期,代码,名称,行业,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,换手率,预测上涨概率,方向阈值,预测涨跌,实际涨跌,涨跌预测是否准确,未来卖出日期
2026-02-06,36814,core,56,2026-02-06,002842,翔鹭钨业,小金属,25.87,28.46,28.46,25.49,55771887.0,1535470719.04,11.48,10.0116,20.7746,0.8074744820029235,0.28,上涨,上涨,1,2026-02-13
2026-02-06,36814,core,56,2026-02-06,600176,中国巨石,玻璃玻纤,21.89,21.99,22.25,21.1,76813703.0,1673193833.7,5.28,1.057,1.9188,0.8004040155303664,0.28,上涨,上涨,1,2026-02-13
2026-02-06,36814,core,56,2026-02-06,000935,四川双马,多元金融,27.72,27.21,27.72,26.95,6137138.0,167952993.18,2.78,-1.769,0.8039,0.753583843021038,0.28,上涨,上涨,1,2026-02-13
2026-02-06,36814,core,56,2026-02-06,003019,宸展光电,光学光电子,30.28,30.36,30.68,30.1,1995973.0,60858265.05,1.91,-0.0987,1.1682,0.7306648865666407,0.28,上涨,上涨,1,2026-02-13
2026-02-06,36814,core,56,2026-02-06,002430,杭氧股份,化学制品,30.1,30.27,30.98,29.81,7744564.0,236106819.42,3.84,-0.6238,0.7919,0.7273638858830114,0.28,上涨,上涨,1,2026-02-13
2026-02-06,36814,core,56,2026-02-06,603685,晨丰科技,光学光电子,24.23,25.16,25.87,23.3,7928422.0,197686997.66,10.61,3.8382,3.9354,0.7235805052247141,0.28,上涨,下跌,0,2026-02-13
2026-02-06,36814,core,56,2026-02-06,002989,中天精装,装修装饰Ⅱ,27.09,27.12,27.5,26.6,2925300.0,79151236.0,3.29,-0.7321,1.5957,0.718345009286901,0.28,上涨,上涨,1,2026-02-13
2026-02-06,36814,core,56,2026-02-06,002396,星网锐捷,通信设备,27.02,27.23,27.77,26.85,10424302.0,285664655.06,3.38,0.0367,1.7872,0.7181592306993847,0.28,上涨,上涨,1,2026-02-13
2026-02-06,36814,core,56,2026-02-06,002378,章源钨业,小金属,22.53,24.62,24.81,22.52,128523263.0,3098673269.99,10.16,9.1796,10.754,0.7177323569199557,0.28,上涨,上涨,1,2026-02-13
2026-02-06,36814,core,56,2026-02-06,002956,西麦食品,休闲食品,27.57,27.26,27.88,27.2,1410240.0,38896063.8,2.46,-1.3391,0.6318,0.7143774414151925,0.28,上涨,上涨,1,2026-02-13
2026-02-06,36814,core,56,2026-02-06,603496,恒为科技,计算机设备,28.16,27.78,28.26,27.71,14359258.0,401832070.74,1.96,-0.9979,4.4843,0.7119382041363698,0.28,上涨,上涨,1,2026-02-13
2026-02-06,36814,core,56,2026-02-06,605058,澳弘电子,元件,30.1,30.26,30.73,29.89,1377350.0,41868497.0,2.79,0.4315,0.9637,0.7061321268856895,0.28,上涨,上涨,1,2026-02-13
2026-02-06,36814,core,56,2026-02-06,002838,道恩股份,塑料,27.45,27.63,28.03,27.25,2573414.0,71416553.26,2.82,0.0362,0.6118,0.7047894144409759,0.28,上涨,上涨,1,2026-02-13
2026-02-06,36814,core,56,2026-02-06,600699,均胜电子,汽车零部件,27.59,27.91,28.35,27.32,21703896.0,607707583.88,3.71,0.4318,1.6017,0.7038699621431804,0.28,上涨,下跌,0,2026-02-13
2026-02-06,36814,core,56,2026-02-06,002158,汉钟精机,通用设备,24.62,24.98,25.28,24.48,3514281.0,87811065.54,3.22,0.6041,0.6586,0.703678180670473,0.28,上涨,上涨,1,2026-02-13
2026-02-06,36814,core,56,2026-02-06,603618,杭电股份,电网设备,12.46,13.71,13.71,12.12,124583426.0,1651147895.22,12.76,10.0321,18.0196,0.6991665838908581,0.28,上涨,上涨,1,2026-02-13
2026-02-06,36814,core,56,2026-02-06,002580,圣阳股份,电池,12.58,12.88,13.05,12.58,11289475.0,145492251.8,3.7,1.4972,2.4958,0.6991344948002114,0.28,上涨,上涨,1,2026-02-13
2026-02-06,36814,core,56,2026-02-06,000338,潍柴动力,汽车零部件,23.88,23.78,24.23,23.43,91758125.0,2188921676.73,3.27,-2.6607,1.8326,0.6940294273256954,0.28,上涨,上涨,1,2026-02-13
2026-02-06,36814,core,56,2026-02-06,600885,宏发股份,电网设备,28.99,29.15,29.57,28.65,12714401.0,371734351.87,3.16,0.1718,0.8216,0.6917899061933077,0.28,上涨,上涨,1,2026-02-13
