锚点日期,训练样本数,特征集合,特征数量,日期,代码,名称,行业,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,换手率,预测上涨概率,方向阈值,预测涨跌,实际涨跌,涨跌预测是否准确,未来卖出日期
2026-04-13,37753,core,49,2026-04-13,000811,冰轮环境,通用设备,18.29,18.6,18.68,18.14,23243794.0,429993029.79,2.89,-0.3215,2.3757,0.8270019935276735,0.615,上涨,上涨,1,2026-04-20
2026-04-13,37753,core,49,2026-04-13,003017,大洋生物,化学原料,31.2,30.98,31.34,30.77,1255520.0,38902431.54,1.82,-0.864,1.812,0.822378105388972,0.615,上涨,上涨,1,2026-04-20
2026-04-13,37753,core,49,2026-04-13,601168,西部矿业,工业金属,26.87,27.33,27.5,26.85,42796062.0,1163833197.16,2.4,0.9232,1.7959,0.8145322687691896,0.615,上涨,上涨,1,2026-04-20
2026-04-13,37753,core,49,2026-04-13,002552,宝鼎科技,元件,18.31,19.28,19.4,18.09,11395282.0,214331659.67,7.11,4.6688,3.0923,0.8029984561631663,0.615,上涨,上涨,1,2026-04-20
2026-04-13,37753,core,49,2026-04-13,002655,共达电声,消费电子,21.12,21.21,21.88,20.83,43013737.0,912914454.76,4.87,-1.7146,11.889,0.8029513083707682,0.615,上涨,上涨,1,2026-04-20
2026-04-13,37753,core,49,2026-04-13,002956,西麦食品,休闲食品,28.79,28.47,28.86,28.1,2371720.0,67469418.8,2.64,-1.0428,1.0625,0.8028374942930819,0.615,上涨,下跌,0,2026-04-20
2026-04-13,37753,core,49,2026-04-13,002158,汉钟精机,通用设备,24.4,24.26,24.63,24.1,4262340.0,103376578.2,2.16,-1.1007,0.7988,0.8008271946239959,0.615,上涨,上涨,1,2026-04-20
2026-04-13,37753,core,49,2026-04-13,600206,有研新材,半导体,21.71,22.63,22.77,21.71,47291583.0,1061595634.97,4.87,4.046,5.5864,0.8001431475269718,0.615,上涨,上涨,1,2026-04-20
2026-04-13,37753,core,49,2026-04-13,600673,东阳光,综合Ⅱ,31.15,32.08,32.76,31.15,59829376.0,1926382470.02,5.12,2.1006,1.9933,0.7939603559229056,0.615,上涨,上涨,1,2026-04-20
2026-04-13,37753,core,49,2026-04-13,920111,聚星科技,电网设备,23.46,23.5,23.98,23.36,9909.0,23450825.25,2.62,-0.76,1.32,0.7920652846848103,0.615,上涨,上涨,1,2026-04-20
2026-04-13,37753,core,49,2026-04-13,002128,电投能源,煤炭开采,31.7,31.54,31.95,31.21,16097549.0,507709612.62,2.34,-0.1899,0.7181,0.7867234104461063,0.615,上涨,上涨,1,2026-04-20
2026-04-13,37753,core,49,2026-04-13,002757,南兴股份,专用设备,20.16,20.46,20.65,20.16,6743200.0,137798585.5,2.4,0.3433,2.3907,0.7858836642342861,0.615,上涨,上涨,1,2026-04-20
2026-04-13,37753,core,49,2026-04-13,603618,杭电股份,电网设备,24.12,23.64,24.18,23.28,61200856.0,1445189524.43,3.73,-1.99,8.852,0.779696237716724,0.615,上涨,上涨,1,2026-04-20
2026-04-13,37753,core,49,2026-04-13,603255,鼎际得,化学制品,29.0,28.87,29.18,28.55,1569000.0,45216144.0,2.17,-0.5854,2.5859,0.7786955069778262,0.615,上涨,上涨,1,2026-04-20
2026-04-13,37753,core,49,2026-04-13,002580,圣阳股份,电池,19.45,20.88,20.88,19.35,102139055.0,2074911511.16,8.06,10.0105,22.5802,0.7769296119330975,0.615,上涨,上涨,1,2026-04-20
2026-04-13,37753,core,49,2026-04-13,603685,晨丰科技,光学光电子,29.55,29.08,29.65,28.7,2676227.0,77646382.03,3.22,-1.5572,1.3284,0.7758692572082351,0.615,上涨,上涨,1,2026-04-20
2026-04-13,37753,core,49,2026-04-13,600520,三佳科技,专用设备,23.91,24.3,24.88,23.71,4007500.0,97452293.98,4.88,1.3767,2.5295,0.7750610296148631,0.615,上涨,上涨,1,2026-04-20
2026-04-13,37753,core,49,2026-04-13,001336,楚环科技,环保设备Ⅱ,26.0,25.94,26.2,25.34,1404110.0,36031979.8,3.31,-0.2308,3.0142,0.7740250033270275,0.615,上涨,上涨,1,2026-04-20
2026-04-13,37753,core,49,2026-04-13,603496,恒为科技,计算机设备,28.41,28.65,28.95,28.36,7621354.0,218577299.31,2.05,-0.6243,2.3801,0.7714678526671236,0.615,上涨,上涨,1,2026-04-20
2026-04-13,37753,core,49,2026-04-13,002838,道恩股份,塑料,27.19,27.57,27.79,26.66,6490300.0,176498834.0,4.15,1.2858,1.543,0.7688667685482363,0.615,上涨,上涨,1,2026-04-20
2026-04-13,37753,core,49,2026-04-13,002134,天津普林,元件,20.9,21.4,21.45,20.85,5378399.0,113751488.0,2.84,1.182,2.183,0.7679879751643719,0.615,上涨,上涨,1,2026-04-20
2026-04-13,37753,core,49,2026-04-13,603665,康隆达,服装家纺,28.55,28.56,29.5,28.02,4068400.0,116669806.0,5.15,-0.5225,2.5401,0.7673294271021195,0.615,上涨,下跌,0,2026-04-20
2026-04-13,37753,core,49,2026-04-13,002971,和远气体,化学制品,31.14,30.25,31.17,29.96,3966860.0,120276770.0,3.9,-2.5137,2.4638,0.7646657506229931,0.615,上涨,下跌,0,2026-04-20
2026-04-13,37753,core,49,2026-04-13,600685,中船防务,航海装备Ⅱ,28.38,28.5,28.69,28.22,13713819.0,389468869.06,1.64,-0.5583,1.6695,0.763042847313371,0.615,上涨,上涨,1,2026-04-20
2026-04-13,37753,core,49,2026-04-13,601899,紫金矿业,工业金属,33.38,33.66,33.8,33.31,176532051.0,5921734291.22,1.45,-0.2667,0.8569,0.758957216501675,0.615,上涨,上涨,1,2026-04-20
2026-04-13,37753,core,49,2026-04-13,002430,杭氧股份,化学制品,29.41,28.09,29.61,27.95,21100795.0,596570324.51,5.61,-5.1334,2.1577,0.7575924269779427,0.615,上涨,上涨,1,2026-04-20
