锚点日期,训练样本数,特征集合,特征数量,日期,代码,名称,行业,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,换手率,预测上涨概率,方向阈值,预测涨跌,实际涨跌,涨跌预测是否准确,未来卖出日期
2025-11-14,36859,core,49,2025-11-14,920003,中诚咨询,工程咨询服务Ⅱ,34.43,34.82,35.7,34.3,24142.0,85724472.67,4.05,0.69,18.13,0.7792083914748857,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,001336,楚环科技,环保设备Ⅱ,25.93,26.32,26.68,25.65,1024300.0,26946932.0,3.97,1.504,2.1989,0.7660877350356035,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,000807,云铝股份,工业金属,26.32,25.95,26.6,25.9,51443748.0,1344088679.38,2.62,-2.809,1.4834,0.7506129909423656,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,002001,新 和 成,化学制品,25.83,25.46,25.98,25.46,21396305.0,549696911.07,2.0,-2.2649,0.7046,0.7405147246300459,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,600938,中国海油,油气开采Ⅱ,28.9,29.02,29.28,28.88,33957700.0,987868250.13,1.38,0.1726,1.1357,0.7389214202053095,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,601168,西部矿业,工业金属,24.01981725,23.93991765,24.369378,23.78011845,28639908.0,691780566.58,2.41,-1.9632,1.2018,0.7384190371829055,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,000792,盐湖股份,农化制品,26.43,26.09,26.89,25.98,90400664.0,2374173496.43,3.38,-2.9751,1.7084,0.7330664091208765,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,600673,东阳光,综合Ⅱ,20.75,20.87,21.26,20.41,30015847.0,630373093.14,4.06,-0.3819,1.0,0.7299413783768636,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,603992,松霖科技,家居用品,28.81,29.2,29.6,28.5,1091800.0,31864644.0,3.79,0.5164,0.257,0.7297514005113406,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,603816,顾家家居,家居用品,30.48,30.78,31.07,30.48,3814005.0,117818628.79,1.93,0.7529,0.4696,0.7233068229367474,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,603860,中公高科,工程咨询服务Ⅱ,32.33,32.68,32.81,32.18,1681194.0,54774925.44,1.95,1.0201,2.5213,0.7174735521953807,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,603657,春光科技,家电零部件Ⅱ,29.0,29.26,29.8,28.86,2296000.0,67739681.0,3.22,0.1026,1.6983,0.7165494835288502,0.335,上涨,上涨,1,2025-11-21
2025-11-14,36859,core,49,2025-11-14,002128,电投能源,煤炭开采,27.747524,28.37184329,28.71868734,27.41058978,16921983.0,478866901.07,4.65,0.8099,0.7549,0.7117450799410088,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,002142,宁波银行,银行Ⅱ,29.43408475,29.30546522,29.89909382,29.2856776,25932643.0,776389254.02,2.08,-0.5707,0.3929,0.7087088759938058,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,000935,四川双马,多元金融,20.29,20.03,20.44,20.02,8489233.0,171181695.79,2.06,-1.7174,1.112,0.707760638786147,0.335,上涨,上涨,1,2025-11-21
2025-11-14,36859,core,49,2025-11-14,001279,强邦新材,包装印刷,38.41,38.62,38.86,38.41,940100.0,36430947.72,1.17,0.1037,2.3503,0.7061790917943028,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,603281,江瀚新材,化学制品,28.28,28.45,29.33,28.2,4580973.0,131407292.24,3.94,-0.6981,1.8201,0.6981455056316344,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,603376,大明电子,汽车零部件,42.9,42.32,43.5,42.32,6085245.0,260915849.36,2.73,-2.0144,19.606,0.6967653022610851,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,002273,水晶光电,光学光电子,23.93,23.61,23.99,23.6,21470510.0,511397643.6,1.61,-2.236,1.5762,0.6901203536015945,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,603272,*ST联翔,家居用品,21.67,22.17,22.41,21.67,2030700.0,44835650.0,3.39,1.4645,1.9596,0.6900244680689827,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,000933,神火股份,工业金属,26.58,25.73,26.58,25.72,60145462.0,1570846006.48,3.19,-4.6331,2.6761,0.6875128237578295,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,601899,紫金矿业,工业金属,30.1,30.02,30.43,29.82,166166770.0,5009890531.44,1.99,-2.2786,0.8071,0.6850372026167738,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,002396,星网锐捷,通信设备,25.5,25.17,25.68,25.17,8625732.0,219253347.65,1.98,-2.2524,1.4788,0.6666697057875604,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,002899,英派斯,文娱用品,24.3,24.01,24.6,24.01,2925600.0,70990699.0,2.43,-1.1527,1.9795,0.6657432693475062,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,001228,永泰运,物流,27.75202485,28.20713827,28.92938348,27.45521175,3649214.0,104415021.08,5.3,1.4591,4.5693,0.6650574657772178,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,600426,华鲁恒升,农化制品,28.63,28.99,30.09,28.63,35952833.0,1061037298.3,5.02,-0.378,1.6963,0.6644564235823369,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,002838,道恩股份,塑料,22.31,22.35,22.84,22.06,5467641.0,122804115.55,3.48,-0.1787,1.2999,0.6627481781570803,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,603211,晋拓股份,汽车零部件,18.02,18.08,18.25,18.02,1443500.0,26188939.0,1.27,-0.2208,0.5311,0.6609516425387849,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,603868,飞科电器,小家电,36.68,36.88,37.3,36.68,921380.0,34101413.4,1.68,0.1902,0.2115,0.6608119856351534,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,600176,中国巨石,玻璃玻纤,16.33,15.89,16.35,15.88,40656266.0,654038954.02,2.84,-3.8717,1.0156,0.6601824558846848,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,600456,宝钛股份,小金属,32.57,32.15,32.65,32.14,6149407.0,199299196.21,1.56,-1.7721,1.2871,0.655043208866511,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,002937,兴瑞科技,汽车零部件,18.15,18.06,18.25,18.02,2001900.0,36320541.0,1.26,-0.7692,0.6741,0.6526788558325515,0.335,上涨,上涨,1,2025-11-21
2025-11-14,36859,core,49,2025-11-14,002430,杭氧股份,化学制品,28.2,28.7,29.11,27.65,21656250.0,613177669.28,5.12,0.5959,2.2151,0.6464812965992957,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,603685,晨丰科技,光学光电子,20.49,19.95,20.49,19.93,2918815.0,58679727.14,2.72,-3.0141,1.5566,0.6450524404535363,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,600323,瀚蓝环境,环境治理,29.78,30.05,30.4,29.72,4554898.0,137585586.86,2.28,0.5689,0.5586,0.6449949227733471,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,920976,视声智能,计算机设备,26.19,25.85,26.48,25.85,5723.0,15155586.19,2.38,-2.16,1.3,0.6447048170489699,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,600206,有研新材,半导体,21.24,20.62,21.24,20.61,29800573.0,621450521.54,2.95,-3.2833,3.5202,0.6446389706413655,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,603261,*ST立航,航空装备Ⅱ,26.29,27.31,27.31,26.29,1065300.0,28873647.0,3.92,4.9981,1.3745,0.6404964917142378,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,603288,海天味业,调味发酵品Ⅱ,38.1957345,38.11636674,38.86043949,38.07668286,18102605.0,701816443.95,2.05,-0.4663,0.3256,0.6364609652730611,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,000513,丽珠集团,化学制药,37.4,37.6,37.85,37.37,6459837.0,243604527.52,1.28,0.0266,1.1055,0.6278739319758333,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,601698,中国卫通,航天装备Ⅱ,22.07,21.7,22.22,21.7,35036444.0,767464905.59,2.34,-2.4281,0.8294,0.6261175152609979,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,603658,安图生物,医疗器械,39.27,39.33,39.65,39.2,2066660.0,81603068.91,1.14,0.0,0.3617,0.6195810287357506,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,002134,天津普林,元件,23.74,24.18,24.54,23.6,8783401.0,211632702.06,3.94,1.2563,3.5749,0.6124368458094426,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,600330,天通股份,电子化学品Ⅱ,9.69,9.6,9.75,9.55,24548603.0,236986521.69,2.05,-1.4374,1.9903,0.6116668019220175,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,000938,紫光股份,IT服务Ⅱ,25.65,25.35,25.79,25.33,37212193.0,951600517.33,1.78,-2.1236,1.3011,0.6027964268300042,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,920026,卓兆点胶,专用设备,38.84,38.04,38.94,37.99,8486.0,32536982.79,2.45,-1.93,2.29,0.6019478568388985,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,600605,汇通能源,一般零售,28.59444154,29.0638578,29.24363424,28.48457816,2497540.0,72499472.4,2.65,1.3231,1.2107,0.6010615184562019,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,600460,士兰微,半导体,29.13,28.81,29.19,28.81,25600180.0,741425953.29,1.29,-2.2727,1.5384,0.5997154669914523,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,603255,鼎际得,化学制品,35.81,35.73,36.11,35.53,1147600.0,41146267.0,1.61,-0.529,1.8914,0.599597342987029,0.335,上涨,下跌,0,2025-11-21
2025-11-14,36859,core,49,2025-11-14,605058,澳弘电子,元件,28.85,28.98,29.19,28.6,1990500.0,57733567.0,2.04,0.2075,1.3927,0.5986868063237156,0.335,上涨,下跌,0,2025-11-21
