锚点日期,训练样本数,特征集合,特征数量,日期,代码,名称,行业,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,换手率,预测上涨概率,方向阈值,预测涨跌,实际涨跌,涨跌预测是否准确,未来卖出日期
2026-03-11,37060,core,49,2026-03-11,000935,四川双马,多元金融,28.32,28.23,28.59,28.13,4005837.0,113450012.08,1.62,-0.3178,0.5247,0.793018522885174,0.615,上涨,下跌,0,2026-03-18
2026-03-11,37060,core,49,2026-03-11,603618,杭电股份,电网设备,20.44,20.6,22.22,20.31,115003549.0,2427404653.59,9.22,-0.5792,16.634,0.761868478268674,0.615,上涨,下跌,0,2026-03-18
2026-03-11,37060,core,49,2026-03-11,001336,楚环科技,环保设备Ⅱ,28.49,28.09,28.54,27.94,1523302.0,42927383.18,2.12,-0.8821,3.2701,0.7460492852739171,0.615,上涨,下跌,0,2026-03-18
2026-03-11,37060,core,49,2026-03-11,600176,中国巨石,玻璃玻纤,27.13,26.5,27.6,26.46,56631308.0,1523396975.93,4.24,-1.3403,1.4147,0.7457181932789549,0.615,上涨,下跌,0,2026-03-18
2026-03-11,37060,core,49,2026-03-11,605133,嵘泰股份,汽车零部件,29.26,28.94,29.43,28.87,3254712.0,94833745.62,1.92,-0.8225,1.1537,0.739593132505556,0.615,上涨,下跌,0,2026-03-18
2026-03-11,37060,core,49,2026-03-11,601168,西部矿业,工业金属,31.88,31.16,31.96,31.07,34376317.0,1079512069.6,2.81,-1.4859,1.4426,0.7322858083272089,0.615,上涨,下跌,0,2026-03-18
2026-03-11,37060,core,49,2026-03-11,000811,冰轮环境,通用设备,21.02,20.45,21.43,20.3,27007695.0,561466867.07,5.36,-3.0806,2.7604,0.7230573744532114,0.615,上涨,下跌,0,2026-03-18
2026-03-11,37060,core,49,2026-03-11,603281,江瀚新材,化学制品,29.98,29.83,30.15,29.48,3403140.0,101718362.6,2.24,-0.2675,0.9116,0.7155229892109999,0.615,上涨,上涨,1,2026-03-18
2026-03-11,37060,core,49,2026-03-11,002730,电光科技,专用设备,19.91,20.17,20.3,19.72,37324500.0,745059678.0,2.91,1.255,10.7865,0.7112588076858579,0.615,上涨,上涨,1,2026-03-18
2026-03-11,37060,core,49,2026-03-11,002655,共达电声,消费电子,17.45,17.38,17.75,17.23,24244699.0,423490560.94,2.98,-0.344,6.7013,0.710151863837912,0.615,上涨,上涨,1,2026-03-18
2026-03-11,37060,core,49,2026-03-11,600699,均胜电子,汽车零部件,26.54,26.36,26.75,26.28,21427387.0,567459715.54,1.77,-0.6782,1.5813,0.6995645172085596,0.615,上涨,下跌,0,2026-03-18
2026-03-11,37060,core,49,2026-03-11,605566,福莱蒽特,化学制品,28.09,27.25,28.09,27.25,1774800.0,48858332.0,3.02,-1.9431,1.331,0.6884546866584094,0.615,上涨,上涨,1,2026-03-18
