锚点日期,训练样本数,特征集合,特征数量,日期,代码,名称,行业,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,换手率,预测上涨概率,方向阈值,预测涨跌,实际涨跌,涨跌预测是否准确,未来卖出日期
2025-09-04,32041,core_v14,52,2025-09-04,001277,速达股份,专用设备,41.39,40.79,41.39,40.54,1125400.0,46025075.0,2.06,-1.0192,2.4798,0.8741594694562245,0.28,上涨,上涨,1,2025-09-11
2025-09-04,32041,core_v14,52,2025-09-04,001279,强邦新材,包装印刷,38.72941002,39.01895704,39.66794174,38.72941002,1204521.0,47122750.05,2.42,0.7476,3.2015,0.8721219333088628,0.28,上涨,上涨,1,2025-09-11
2025-09-04,32041,core_v14,52,2025-09-04,603658,安图生物,医疗器械,40.81,40.33,40.9,39.91,3372064.0,136252459.82,2.42,-1.2246,0.5901,0.8687078381825941,0.28,上涨,上涨,1,2025-09-11
2025-09-04,32041,core_v14,52,2025-09-04,603281,江瀚新材,化学制品,25.05,24.94,25.2,24.67,1837112.0,45879124.68,2.11,-0.5582,0.7299,0.862650630631671,0.28,上涨,上涨,1,2025-09-11
2025-09-04,32041,core_v14,52,2025-09-04,000338,潍柴动力,汽车零部件,14.50183367,14.3360427,14.5310909,14.18975655,89249340.0,1311501831.32,2.36,-1.0767,1.7903,0.8623365031640018,0.28,上涨,下跌,0,2025-09-11
2025-09-04,32041,core_v14,52,2025-09-04,600938,中国海油,油气开采Ⅱ,25.340406,24.98953884,25.340406,24.76537371,83351569.0,2133054059.72,2.25,-2.2866,2.7877,0.8557889567966952,0.28,上涨,上涨,1,2025-09-11
2025-09-04,32041,core_v14,52,2025-09-04,002864,盘龙药业,中药Ⅱ,29.18320032,29.03369622,29.51210934,28.6051178,2417000.0,70659459.0,3.13,0.2064,3.2578,0.8555773521241419,0.28,上涨,上涨,1,2025-09-11
2025-09-04,32041,core_v14,52,2025-09-04,603860,中公高科,工程咨询服务Ⅱ,30.28,30.55,31.0,30.16,1444700.0,44252653.0,2.77,0.8584,2.1666,0.8527562740825076,0.28,上涨,上涨,1,2025-09-11
2025-09-04,32041,core_v14,52,2025-09-04,603355,莱克电气,小家电,22.36,22.39,22.44,22.1,2864024.0,63889590.72,1.52,0.3136,0.5015,0.8341889499783554,0.28,上涨,上涨,1,2025-09-11
2025-09-04,32041,core_v14,52,2025-09-04,002142,宁波银行,银行Ⅱ,27.81149991,27.94011944,28.04895135,27.43553513,32701110.0,915812557.63,2.2,0.1418,0.4955,0.8281803873367114,0.28,上涨,上涨,1,2025-09-11
2025-09-04,32041,core_v14,52,2025-09-04,600456,宝钛股份,小金属,31.5,30.99,31.76,30.65,9872716.0,307606936.9,3.52,-1.7127,2.0664,0.8274894075475144,0.28,上涨,上涨,1,2025-09-11
2025-09-04,32041,core_v14,52,2025-09-04,920112,巴兰仕,专用设备,42.85,43.43,43.88,42.7,37057.0,161654662.47,2.76,1.5,15.98,0.8248493850247275,0.28,上涨,下跌,0,2025-09-11
