锚点日期,训练样本数,特征集合,特征数量,日期,代码,名称,行业,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,换手率,预测上涨概率,方向阈值,预测涨跌,实际涨跌,涨跌预测是否准确,未来卖出日期
2026-04-01,37632,core_v14,52,2026-04-01,603358,华达科技,汽车零部件,34.5,36.01,37.8,33.95,33099925.0,1184022194.47,11.16,4.3768,7.2718,0.5311839239862389,0.335,上涨,下跌,0,2026-04-09
2026-04-01,37632,core_v14,52,2026-04-01,002128,电投能源,煤炭开采,30.49,30.08,30.49,29.9,13880870.0,418953184.52,1.96,0.0333,0.6192,0.5021638567573018,0.335,上涨,上涨,1,2026-04-09
2026-04-01,37632,core_v14,52,2026-04-01,002378,章源钨业,小金属,32.12,31.49,32.18,31.12,39293678.0,1238339092.36,3.39,0.5749,3.2878,0.5000254680109012,0.335,上涨,上涨,1,2026-04-09
2026-04-01,37632,core_v14,52,2026-04-01,002842,翔鹭钨业,小金属,32.1,32.2,32.96,31.18,36698950.0,1174089605.67,5.44,-1.6794,13.6701,0.4949325823825837,0.335,上涨,上涨,1,2026-04-09
2026-04-01,37632,core_v14,52,2026-04-01,000935,四川双马,多元金融,25.52,25.38,26.15,25.32,4699734.0,120719697.18,3.32,1.642,0.6156,0.4924031993820914,0.335,上涨,上涨,1,2026-04-09
2026-04-01,37632,core_v14,52,2026-04-01,920725,惠丰钻石,通用设备,29.78,29.08,29.88,28.83,11389.0,33132228.78,3.7,2.57,2.74,0.4796395474765754,0.335,上涨,上涨,1,2026-04-09
2026-04-01,37632,core_v14,52,2026-04-01,002352,顺丰控股,物流,38.42,38.09,38.66,37.92,25909214.0,987338093.18,1.95,0.1314,0.5432,0.4653759081232479,0.335,上涨,下跌,0,2026-04-09
2026-04-01,37632,core_v14,52,2026-04-01,601899,紫金矿业,工业金属,33.86,34.15,34.58,33.62,323703092.0,11014637163.36,2.93,4.3704,1.5712,0.46169622376282227,0.335,上涨,下跌,0,2026-04-09
2026-04-01,37632,core_v14,52,2026-04-01,002294,信立泰,化学制药,61.84,66.05,66.6,61.78,13990950.0,912454146.63,7.86,7.7312,1.2553,0.4598420900323715,0.335,上涨,下跌,0,2026-04-09
2026-04-01,37632,core_v14,52,2026-04-01,002902,铭普光磁,通信设备,28.75,28.78,28.78,28.75,16014382.0,460811036.39,0.11,10.0153,9.0155,0.45934227077865963,0.335,上涨,上涨,1,2026-04-09
2026-04-01,37632,core_v14,52,2026-04-01,002558,巨人网络,游戏Ⅱ,32.3,34.69,34.69,31.95,55955935.0,1874729902.44,8.69,9.9873,2.9442,0.4519407899956258,0.335,上涨,下跌,0,2026-04-09
2026-04-01,37632,core_v14,52,2026-04-01,600036,招商银行,银行Ⅱ,39.56,39.82,40.04,39.42,88152581.0,3510509344.77,1.58,1.2716,0.4273,0.45116362887661576,0.335,上涨,下跌,0,2026-04-09
2026-04-01,37632,core_v14,52,2026-04-01,920187,通领科技,汽车零部件,36.51,36.25,36.59,36.08,7102.0,25750548.99,1.42,0.61,3.39,0.44513316050001217,0.335,上涨,下跌,0,2026-04-09
2026-04-01,37632,core_v14,52,2026-04-01,603826,坤彩科技,非金属材料Ⅱ,27.63,28.64,29.2,27.57,26119180.0,744467348.76,5.89,3.5056,3.9864,0.44420128701337064,0.335,上涨,下跌,0,2026-04-09
2026-04-01,37632,core_v14,52,2026-04-01,920086,科马材料,汽车零部件,32.0,31.88,32.29,31.3,17226.0,54736595.7,3.17,2.05,6.44,0.442558661115112,0.335,上涨,下跌,0,2026-04-09
2026-04-01,37632,core_v14,52,2026-04-01,000807,云铝股份,工业金属,31.46,31.82,32.1,31.15,63872185.0,2025204986.66,3.06,2.6452,1.8418,0.4424439838735351,0.335,上涨,上涨,1,2026-04-09
2026-04-01,37632,core_v14,52,2026-04-01,600456,宝钛股份,小金属,34.16,34.04,34.29,33.67,5755258.0,195288896.77,1.84,1.2794,1.2046,0.4342154658980719,0.335,上涨,上涨,1,2026-04-09
2026-04-01,37632,core_v14,52,2026-04-01,601168,西部矿业,工业金属,26.0,26.17,26.36,25.55,57078987.0,1481317917.12,3.24,4.68,2.3953,0.433880303466338,0.335,上涨,上涨,1,2026-04-09
2026-04-01,37632,core_v14,52,2026-04-01,002978,安宁股份,小金属,33.5,33.25,33.65,33.0,3159014.0,104978961.2,1.99,1.7753,0.8555,0.4331198931385525,0.335,上涨,上涨,1,2026-04-09
2026-04-01,37632,core_v14,52,2026-04-01,603813,*ST原尚,物流,25.2,24.06,25.44,24.06,1346000.0,32983985.0,5.45,-5.0138,1.2817,0.42521303263143234,0.335,上涨,上涨,1,2026-04-09
2026-04-01,37632,core_v14,52,2026-04-01,600096,云天化,农化制品,33.8,33.5,33.96,33.24,39323652.0,1316487028.66,2.16,0.3294,2.1571,0.4195875280894952,0.335,上涨,下跌,0,2026-04-09
2026-04-01,37632,core_v14,52,2026-04-01,002422,科伦药业,化学制药,34.511015,35.68438951,35.94075705,34.22506659,33300367.0,1193311958.64,5.02,4.324,2.55,0.41624199033690834,0.335,上涨,下跌,0,2026-04-09
2026-04-01,37632,core_v14,52,2026-04-01,603261,*ST立航,航空装备Ⅱ,35.89,35.2,36.0,34.35,1249900.0,43770865.0,4.56,-2.6549,1.6127,0.408400868186064,0.335,上涨,上涨,1,2026-04-09
2026-04-01,37632,core_v14,52,2026-04-01,603658,安图生物,医疗器械,33.84,34.35,34.39,33.33,3449698.0,117086388.33,3.17,2.6906,0.6037,0.40809214534091554,0.335,上涨,上涨,1,2026-04-09
2026-04-01,37632,core_v14,52,2026-04-01,603216,梦天家居,家居用品,32.62,32.7,32.85,32.0,1859900.0,60310105.0,2.66,2.4436,0.8352,0.40800232894980837,0.335,上涨,上涨,1,2026-04-09
2026-04-01,37632,core_v14,52,2026-04-01,601601,中国太保,保险Ⅱ,38.15,38.31,38.58,37.79,34217623.0,1308954044.91,2.13,3.2893,0.4999,0.4079691364107708,0.335,上涨,下跌,0,2026-04-09
2026-04-01,37632,core_v14,52,2026-04-01,603288,海天味业,调味发酵品Ⅱ,41.33,41.76,42.08,40.6,29224283.0,1216694686.36,3.61,1.8537,0.5256,0.40266652965943844,0.335,上涨,下跌,0,2026-04-09
2026-04-01,37632,core_v14,52,2026-04-01,002415,海康威视,计算机设备,30.75,30.72,30.84,30.52,21174877.0,649690395.25,1.05,0.9862,0.2341,0.40210832804755803,0.335,上涨,上涨,1,2026-04-09
