锚点日期,训练样本数,特征集合,特征数量,日期,代码,名称,行业,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,换手率,预测上涨概率,方向阈值,预测涨跌,实际涨跌,涨跌预测是否准确,未来卖出日期
2026-04-28,38034,stock_only,34,2026-04-28,002552,宝鼎科技,元件,21.5,21.98,22.68,21.3,20034699.0,439942576.01,6.41,2.1375,5.4368,0.7879650058278456,0.28,上涨,上涨,1,2026-05-08
2026-04-28,38034,stock_only,34,2026-04-28,002757,南兴股份,专用设备,23.23,22.46,23.23,22.2,29030427.0,657609191.36,4.39,-4.2626,10.2925,0.7655720279542868,0.28,上涨,上涨,1,2026-05-08
2026-04-28,38034,stock_only,34,2026-04-28,920110,雷特科技,其他电源设备Ⅱ,31.71,31.1,32.28,31.1,3198.0,10149893.1,3.72,-1.92,1.97,0.7498616959440286,0.28,上涨,上涨,1,2026-05-08
2026-04-28,38034,stock_only,34,2026-04-28,920078,族兴新材,金属新材料,25.54,24.02,25.54,24.02,31697.0,77247294.84,5.98,-5.47,15.31,0.7465601938794162,0.28,上涨,上涨,1,2026-05-08
2026-04-28,38034,stock_only,34,2026-04-28,002134,天津普林,元件,25.6,25.15,25.99,24.75,24388806.0,617721262.56,4.96,0.6805,9.8944,0.7425520478532623,0.28,上涨,上涨,1,2026-05-08
2026-04-28,38034,stock_only,34,2026-04-28,002158,汉钟精机,通用设备,25.96,25.38,25.96,25.2,6998473.0,178461918.63,2.92,-2.4596,1.3116,0.7365722628306325,0.28,上涨,上涨,1,2026-05-08
2026-04-28,38034,stock_only,34,2026-04-28,002977,*ST天箭,军工电子Ⅱ,27.22,26.75,27.99,26.15,13320104.0,359002428.01,6.68,-2.8333,19.986,0.7208539202076854,0.28,上涨,上涨,1,2026-05-08
2026-04-28,38034,stock_only,34,2026-04-28,000811,冰轮环境,通用设备,22.76,24.35,25.4,22.76,73484162.0,1778630520.63,11.43,5.4113,7.5107,0.7191518707736768,0.28,上涨,上涨,1,2026-05-08
2026-04-28,38034,stock_only,34,2026-04-28,000338,潍柴动力,汽车零部件,29.73,30.08,30.4,29.53,114330753.0,3428973380.56,2.93,1.416,2.285,0.7131712553040045,0.28,上涨,上涨,1,2026-05-08
2026-04-28,38034,stock_only,34,2026-04-28,603556,海兴电力,电网设备,29.9,29.42,30.08,29.28,3887246.0,115024032.91,2.65,-2.4212,0.7994,0.7122407650519297,0.28,上涨,下跌,0,2026-05-08
2026-04-28,38034,stock_only,34,2026-04-28,920592,华信永道,软件开发,30.03,29.0,30.7,28.9,15625.0,46417920.23,5.99,-3.43,3.11,0.7008771479400967,0.28,上涨,上涨,1,2026-05-08
2026-04-28,38034,stock_only,34,2026-04-28,600699,均胜电子,汽车零部件,28.8,28.18,29.33,28.09,52129767.0,1497548777.98,4.34,-1.4341,3.8471,0.6856598874479747,0.28,上涨,上涨,1,2026-05-08
2026-04-28,38034,stock_only,34,2026-04-28,603376,大明电子,汽车零部件,31.87,30.43,31.88,30.25,2939241.0,90790196.65,4.97,-7.1407,9.4699,0.6822466443319012,0.28,上涨,上涨,1,2026-05-08
2026-04-28,38034,stock_only,34,2026-04-28,603211,晋拓股份,汽车零部件,25.0,25.06,26.07,24.9,12657500.0,320101165.0,4.61,-1.3386,4.6568,0.6812269273611734,0.28,上涨,上涨,1,2026-05-08
2026-04-28,38034,stock_only,34,2026-04-28,000935,四川双马,多元金融,28.68,28.09,28.7,27.83,6788233.0,190474307.65,3.04,-1.8519,0.8892,0.671343216051465,0.28,上涨,上涨,1,2026-05-08
2026-04-28,38034,stock_only,34,2026-04-28,605133,嵘泰股份,汽车零部件,31.02,30.31,31.1,30.19,6267042.0,191361122.0,2.92,-2.7279,2.2214,0.6598295752680201,0.28,上涨,上涨,1,2026-05-08
2026-04-28,38034,stock_only,34,2026-04-28,603355,莱克电气,小家电,30.75,29.69,30.8,29.5,2864871.0,85510578.57,4.22,-3.6039,0.4996,0.6557393987536615,0.28,上涨,上涨,1,2026-05-08
2026-04-28,38034,stock_only,34,2026-04-28,600612,老凤祥,饰品,39.38,39.32,39.45,39.16,1173794.0,46088090.5,0.74,0.0509,0.3702,0.6556366284121055,0.28,上涨,下跌,0,2026-05-08
2026-04-28,38034,stock_only,34,2026-04-28,600460,士兰微,半导体,28.9,28.44,29.31,28.3,49809113.0,1430294727.27,3.49,-1.6937,2.9932,0.654682158268232,0.28,上涨,上涨,1,2026-05-08
2026-04-28,38034,stock_only,34,2026-04-28,002422,科伦药业,化学制药,32.76574367,32.1445454,33.47568455,32.08538366,13008618.0,430512294.74,4.24,-1.9254,0.9962,0.6536099158077285,0.28,上涨,上涨,1,2026-05-08
2026-04-28,38034,stock_only,34,2026-04-28,001287,中电港,其他电子Ⅱ,26.01,25.8,26.34,25.1,46189069.0,1192599734.64,4.49,-6.6232,6.0783,0.6535824821495556,0.28,上涨,上涨,1,2026-05-08
2026-04-28,38034,stock_only,34,2026-04-28,603005,晶方科技,半导体,31.78,31.2,31.92,30.92,35766884.0,1120806793.08,3.13,-2.2863,5.4843,0.6520665830278274,0.28,上涨,上涨,1,2026-05-08
2026-04-28,38034,stock_only,34,2026-04-28,002956,西麦食品,休闲食品,29.9,29.55,29.9,29.02,2194120.0,64614036.0,2.95,-0.9054,0.9829,0.6502866969948121,0.28,上涨,上涨,1,2026-05-08
2026-04-28,38034,stock_only,34,2026-04-28,600520,三佳科技,专用设备,29.3,28.8,29.89,28.75,7330799.0,212774423.82,3.88,-1.8739,4.6272,0.6468357555586224,0.28,上涨,上涨,1,2026-05-08
2026-04-28,38034,stock_only,34,2026-04-28,920396,常辅股份,自动化设备,29.0,27.95,29.0,27.87,11828.0,33515565.75,3.93,-2.85,2.31,0.642306953716636,0.28,上涨,上涨,1,2026-05-08
2026-04-28,38034,stock_only,34,2026-04-28,002989,中天精装,装修装饰Ⅱ,23.85,26.3,26.3,23.75,8392118.0,215155761.63,10.66,9.9958,4.5774,0.6375487407712903,0.28,上涨,上涨,1,2026-05-08
2026-04-28,38034,stock_only,34,2026-04-28,002190,成飞集成,汽车零部件,29.95,29.06,29.95,29.0,7896302.0,230957615.66,3.1,-5.2185,2.2012,0.6321585928272103,0.28,上涨,上涨,1,2026-05-08
2026-04-28,38034,stock_only,34,2026-04-28,600038,中直股份,航空装备Ⅱ,32.6,31.68,32.6,31.58,13559444.0,434562111.6,3.07,-4.6931,2.027,0.6270564462754976,0.28,上涨,下跌,0,2026-05-08
2026-04-28,38034,stock_only,34,2026-04-28,600685,中船防务,航海装备Ⅱ,30.58,31.69,32.66,30.56,34984969.0,1121231080.16,6.83,3.124,4.259,0.6260798342307313,0.28,上涨,下跌,0,2026-05-08
2026-04-28,38034,stock_only,34,2026-04-28,603666,亿嘉和,自动化设备,28.7,29.02,29.8,28.44,6652500.0,194475108.96,4.67,-0.446,3.2367,0.622359038951532,0.28,上涨,上涨,1,2026-05-08
2026-04-28,38034,stock_only,34,2026-04-28,601168,西部矿业,工业金属,29.0,28.58,29.16,28.22,41541928.0,1190424641.13,3.24,-1.3462,1.7433,0.6222689255933141,0.28,上涨,上涨,1,2026-05-08
