锚点日期,训练样本数,特征集合,特征数量,日期,代码,名称,行业,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,换手率,预测上涨概率,方向阈值,预测涨跌,实际涨跌,涨跌预测是否准确,未来卖出日期
2026-04-23,37917,relative_core,39,2026-04-23,603272,*ST联翔,家居用品,21.08,20.08,21.18,20.08,14119542.0,288832313.69,4.93,-9.9955,13.6254,0.8732315213695271,0.335,上涨,上涨,1,2026-05-06
2026-04-23,37917,relative_core,39,2026-04-23,002757,南兴股份,专用设备,22.41,22.38,22.74,22.22,22358500.0,501726514.1,2.32,-0.0893,7.927,0.8006695640624402,0.335,上涨,上涨,1,2026-04-30
2026-04-23,37917,relative_core,39,2026-04-23,000811,冰轮环境,通用设备,22.83,22.43,22.97,21.67,75220497.0,1672808184.89,5.8,0.0892,7.6881,0.7845052746926792,0.335,上涨,上涨,1,2026-04-30
2026-04-23,37917,relative_core,39,2026-04-23,603556,海兴电力,电网设备,30.43,30.2,30.85,30.11,5356621.0,162610145.58,2.43,-0.9186,1.1016,0.7838990299682147,0.335,上涨,下跌,0,2026-04-30
2026-04-23,37917,relative_core,39,2026-04-23,603211,晋拓股份,汽车零部件,25.37,23.95,25.6,23.74,14389900.0,349376887.0,7.27,-6.4088,5.2941,0.7520076592110002,0.335,上涨,上涨,1,2026-04-30
2026-04-23,37917,relative_core,39,2026-04-23,002158,汉钟精机,通用设备,26.19,25.71,26.48,25.48,6794800.0,174802780.0,3.82,-1.7953,1.2734,0.7409619727974852,0.335,上涨,上涨,1,2026-04-30
2026-04-23,37917,relative_core,39,2026-04-23,920592,华信永道,软件开发,32.97,31.86,33.09,31.8,12525.0,40391074.31,3.9,-3.63,2.49,0.7278879078537024,0.335,上涨,下跌,0,2026-04-30
2026-04-23,37917,relative_core,39,2026-04-23,920046,亿能电力,电网设备,26.58,26.82,27.33,25.5,67122.0,178671291.22,6.86,0.52,12.0,0.6894721984648636,0.335,上涨,下跌,0,2026-04-30
2026-04-23,37917,relative_core,39,2026-04-23,002134,天津普林,元件,23.39,22.98,23.46,22.57,7956300.0,182297170.2,3.8,-1.7949,3.2278,0.6838392539921547,0.335,上涨,上涨,1,2026-04-30
2026-04-23,37917,relative_core,39,2026-04-23,920086,科马材料,汽车零部件,32.12,30.83,32.26,30.52,22044.0,68459190.55,5.44,-3.54,8.24,0.6721297106268562,0.335,上涨,下跌,0,2026-04-30
2026-04-23,37917,relative_core,39,2026-04-23,603255,鼎际得,化学制品,29.51,29.16,29.53,28.95,802500.0,23413421.0,1.97,-1.0183,1.3226,0.6668521100398753,0.335,上涨,上涨,1,2026-04-30
2026-04-23,37917,relative_core,39,2026-04-23,002552,宝鼎科技,元件,22.0,21.51,22.08,21.33,10170032.0,219841356.76,3.41,-2.3161,2.7598,0.664517746744405,0.335,上涨,上涨,1,2026-04-30
2026-04-23,37917,relative_core,39,2026-04-23,920092,汉鑫科技,IT服务Ⅱ,31.68,30.63,31.94,30.52,10262.0,31835073.07,4.47,-3.68,3.11,0.6640855783350555,0.335,上涨,下跌,0,2026-04-30
2026-04-23,37917,relative_core,39,2026-04-23,002655,共达电声,消费电子,24.5,24.71,25.13,24.31,31456324.0,778444337.38,3.35,1.0221,8.6643,0.6625074519447085,0.335,上涨,上涨,1,2026-04-30
2026-04-23,37917,relative_core,39,2026-04-23,002430,杭氧股份,化学制品,29.85,30.5,30.8,29.68,28123498.0,851712275.92,3.75,2.0067,2.8758,0.66129789416594,0.335,上涨,上涨,1,2026-04-30
2026-04-23,37917,relative_core,39,2026-04-23,002580,圣阳股份,电池,26.01,26.97,28.02,25.63,162725477.0,4399824510.23,8.94,0.8979,35.9742,0.6609968873618232,0.335,上涨,上涨,1,2026-04-30
2026-04-23,37917,relative_core,39,2026-04-23,603813,*ST原尚,物流,33.31,33.31,33.31,33.31,130800.0,4356948.0,0.0,5.0126,0.1246,0.658065469223559,0.335,上涨,上涨,1,2026-04-30
2026-04-23,37917,relative_core,39,2026-04-23,600605,汇通能源,一般零售,31.1612496,29.9128021,31.1612496,29.88283936,5344741.0,162003035.57,4.17,-2.3157,2.591,0.6548005784115615,0.335,上涨,上涨,1,2026-04-30
2026-04-23,37917,relative_core,39,2026-04-23,920570,坤博精工,通用设备,29.84,29.45,30.27,29.2,4914.0,14560561.75,3.57,-1.64,2.02,0.6474625675446486,0.335,上涨,上涨,1,2026-04-30
2026-04-23,37917,relative_core,39,2026-04-23,000935,四川双马,多元金融,28.94,28.63,29.11,28.5,5071224.0,146040383.44,2.11,-1.1054,0.6643,0.6432426003056025,0.335,上涨,下跌,0,2026-04-30
2026-04-23,37917,relative_core,39,2026-04-23,600460,士兰微,半导体,27.61,27.36,28.08,27.3,34559506.0,954960847.3,2.83,-0.9055,2.0768,0.6318732560427783,0.335,上涨,上涨,1,2026-04-30
2026-04-23,37917,relative_core,39,2026-04-23,603216,梦天家居,家居用品,30.45,29.61,30.45,29.4,4082100.0,121160276.0,3.43,-3.2985,1.8331,0.631536277481159,0.335,上涨,下跌,0,2026-04-30
2026-04-23,37917,relative_core,39,2026-04-23,603816,顾家家居,家居用品,30.9,30.23,31.38,30.05,6844470.0,208326000.7,4.37,-0.7551,0.8427,0.630539149918523,0.335,上涨,下跌,0,2026-04-30
2026-04-23,37917,relative_core,39,2026-04-23,001336,楚环科技,环保设备Ⅱ,26.12,25.79,26.12,25.56,1189900.0,30710209.0,2.14,-1.2256,2.5544,0.630528700395044,0.335,上涨,上涨,1,2026-04-30
2026-04-23,37917,relative_core,39,2026-04-23,605566,福莱蒽特,化学制品,33.39,32.8,33.88,32.74,1900308.0,62943043.51,3.43,-1.4127,1.4252,0.6296762068333551,0.335,上涨,上涨,1,2026-04-30
2026-04-23,37917,relative_core,39,2026-04-23,002838,道恩股份,塑料,27.7,28.35,29.18,27.7,7078218.0,201650518.08,5.34,2.3466,1.6828,0.6229537015492774,0.335,上涨,上涨,1,2026-04-30
2026-04-23,37917,relative_core,39,2026-04-23,603666,亿嘉和,自动化设备,26.76,26.85,27.39,26.32,4048377.0,108795509.8,4.02,0.7883,1.9697,0.6220859106820134,0.335,上涨,上涨,1,2026-04-30
