锚点日期,训练天数,特征数量,股票数量,决策模式,预测市场上涨概率,预测未来5日上涨比例,相似市场预测上涨比例,机会模型强上涨概率,风险模型强下跌概率,融合预测上涨比例,预测市场方向,预测市场状态,实际未来5日上涨比例,实际市场方向,实际市场状态,市场方向预测是否准确,未来卖出日期
2026-03-16,120,279,225,regime,,52.67%,,10.23%,1.80%,53.01%,震荡,震荡,7.11%,下跌,强下跌,0,2026-03-23
2026-03-19,120,279,226,regime,,56.54%,,41.00%,8.55%,57.83%,上涨,普涨,17.26%,下跌,强下跌,0,2026-03-26
2026-03-24,120,279,226,regime,,41.55%,,3.78%,34.23%,40.33%,下跌,普跌,53.98%,上涨,震荡,0,2026-03-31
2026-03-27,120,279,226,regime,,34.21%,,0.88%,8.55%,33.90%,下跌,普跌,28.32%,下跌,强下跌,1,2026-04-03
2026-04-01,120,279,227,regime,,30.61%,,1.14%,11.03%,30.21%,下跌,普跌,53.30%,上涨,震荡,0,2026-04-09
2026-04-07,120,279,227,regime,,33.42%,,1.00%,21.61%,32.60%,下跌,普跌,83.26%,上涨,强上涨,0,2026-04-14
2026-04-10,120,279,227,regime,,47.13%,,4.14%,10.41%,46.88%,震荡,震荡,72.69%,上涨,强上涨,0,2026-04-17
2026-04-15,120,279,227,regime,,41.38%,,2.57%,26.81%,40.41%,下跌,普跌,73.13%,上涨,强上涨,0,2026-04-24
2026-04-20,120,279,228,regime,,52.57%,,3.98%,7.45%,52.43%,震荡,震荡,39.04%,下跌,普跌,0,2026-04-29
2026-04-24,120,279,228,regime,,48.24%,,18.73%,50.18%,46.98%,震荡,震荡,64.04%,上涨,普涨,0,2026-05-07
