特征,入选次数,平均相关性绝对值,平均方向一致率
极端涨跌差_近10日均值,10,0.5345807456757904,1.0
行业强涨比例_1pct_近10日均值,10,0.4868219515523372,1.0
极端涨跌差_近5日均值,10,0.4723077721623053,1.0
ret_10_均值,10,0.4657507609152053,1.0
涨跌扩散差_近10日均值,10,0.462369571922593,1.0
当日大涨比例_3pct_近10日均值,10,0.4443876079945981,1.0
当日强涨比例_5pct_近10日均值,10,0.428477404248374,1.0
当日上涨比例_近10日均值,10,0.41396440228899145,1.0
沪深300_5日涨跌幅_均值_近5日均值,10,0.41131616324583015,1.0
当日平均涨跌幅_近10日均值,10,0.3992492814437666,1.0
当日平均换手率_近5日均值,10,0.39163515312112274,1.0
中证500_5日涨跌幅_均值_近5日均值,10,0.37482489722279444,1.0
沪深300_5日涨跌幅_均值_近3日均值,10,0.37348089170169047,1.0
行业强跌比例_1pct_近5日均值,10,0.36773493755485026,1.0
当日平均换手率_近3日均值,10,0.36696026301691026,1.0
当日强涨比例_5pct_近5日均值,10,0.36465537749246557,1.0
当日大涨比例_3pct_近5日均值,10,0.34748357383862494,1.0
极端涨跌差_近3日均值,10,0.3374303694303328,1.0
中证500_5日涨跌幅_均值_近3日均值,10,0.3286685268382556,1.0
涨跌扩散差_近5日均值,10,0.3233067939558695,1.0
下跌行业比例_近5日均值,10,0.3225570627297874,1.0
ret_5_均值,10,0.31089539910994723,1.0
中证1000_5日涨跌幅_均值_近5日均值,10,0.30527020594860793,1.0
上涨行业比例_近5日均值,10,0.3038199649374101,1.0
沪深300_5日涨跌幅_均值,10,0.28613390878539147,1.0
当日强涨比例_5pct_近3日均值,10,0.2836329299873278,1.0
中证500_5日涨跌幅_均值,10,0.2810695149625281,1.0
当日上涨比例_近5日均值,10,0.2710788999795867,1.0
沪深300_5日涨跌幅_均值_近5日标准差,10,0.269333621722386,1.0
沪深300_5日涨跌幅_均值_近10日均值,10,0.2680084724748478,1.0
行业强涨比例_1pct_近5日均值,10,0.26547622726311915,1.0
当日大涨比例_3pct_近3日均值,10,0.26466429081041093,1.0
弱势延续风险特征,10,0.262568253536717,1.0
行业强跌比例_1pct_近3日均值,10,0.2614413816895919,1.0
中证1000_5日涨跌幅_均值_近3日均值,10,0.25941418020948515,1.0
当日平均换手率,10,0.2569526392935515,1.0
中证1000强于沪深300_5日_近10日标准差,10,0.2537490075865293,1.0
上证指数_5日涨跌幅_均值,10,0.24210404936896923,1.0
中证500_5日涨跌幅_均值_近10日均值,10,0.24046909750443324,1.0
